Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.12835,0.12891,0.12835,0.12835,0.10027,469033600
1980-12-15,0.12221,0.12221,0.12165,0.12165,0.09504,175884800
1980-12-16,0.11328,0.11328,0.11272,0.11272,0.08806,105728000
1980-12-17,0.11551,0.11607,0.11551,0.11551,0.09024,86441600
1980-12-18,0.11886,0.11942,0.11886,0.11886,0.09286,73449600
1980-12-19,0.12612,0.12667,0.12612,0.12612,0.09852,48630400
1980-12-22,0.13225,0.13281,0.13225,0.13225,0.10332,37363200
1980-12-23,0.13784,0.13839,0.13784,0.13784,0.10768,46950400
1980-12-24,0.14509,0.14565,0.14509,0.14509,0.11334,48003200
1980-12-26,0.15848,0.15904,0.15848,0.15848,0.12381,55574400
1980-12-29,0.16071,0.16127,0.16071,0.16071,0.12555,93161600
1980-12-30,0.15737,0.15737,0.15681,0.15681,0.12250,68880000
1980-12-31,0.15290,0.15290,0.15234,0.15234,0.11901,35750400
1981-01-02,0.15402,0.15513,0.15402,0.15402,0.12032,21660800
1981-01-05,0.15123,0.15123,0.15067,0.15067,0.11770,35728000
1981-01-06,0.14453,0.14453,0.14397,0.14397,0.11247,45158400
1981-01-07,0.13839,0.13839,0.13784,0.13784,0.10768,55686400
1981-01-08,0.13560,0.13560,0.13504,0.13504,0.10550,39827200
1981-01-09,0.14230,0.14286,0.14230,0.14230,0.11116,21504000
1981-01-12,0.14230,0.14230,0.14118,0.14118,0.11029,23699200
1981-01-13,0.13672,0.13672,0.13616,0.13616,0.10637,23049600
1981-01-14,0.13672,0.13728,0.13672,0.13672,0.10680,14291200
1981-01-15,0.13951,0.14062,0.13951,0.13951,0.10898,14067200
1981-01-16,0.13895,0.13895,0.13839,0.13839,0.10811,13395200
1981-01-19,0.14676,0.14732,0.14676,0.14676,0.11465,41574400
1981-01-20,0.14286,0.14286,0.14230,0.14230,0.11116,30083200
1981-01-21,0.14509,0.14620,0.14509,0.14509,0.11334,15904000
1981-01-22,0.14676,0.14788,0.14676,0.14676,0.11465,35548800
1981-01-23,0.14676,0.14732,0.14620,0.14620,0.11422,11222400
1981-01-26,0.14453,0.14453,0.14397,0.14397,0.11247,24640000
1981-01-27,0.14397,0.14397,0.14286,0.14286,0.11160,23699200
1981-01-28,0.13895,0.13895,0.13839,0.13839,0.10811,28156800
1981-01-29,0.13393,0.13393,0.13337,0.13337,0.10419,43904000
1981-01-30,0.12723,0.12723,0.12612,0.12612,0.09852,46188800
1981-02-02,0.11942,0.11942,0.11886,0.11886,0.09286,23766400
1981-02-03,0.12333,0.12388,0.12333,0.12333,0.09634,19152000
1981-02-04,0.12779,0.12835,0.12779,0.12779,0.09983,27865600
1981-02-05,0.12779,0.12891,0.12779,0.12779,0.09983,7929600
1981-02-06,0.12835,0.12891,0.12835,0.12835,0.10027,13865600
1981-02-09,0.12277,0.12277,0.12165,0.12165,0.09504,16755200
1981-02-10,0.12165,0.12221,0.12165,0.12165,0.09504,18345600
1981-02-11,0.11830,0.11830,0.11775,0.11775,0.09198,13843200
1981-02-12,0.11719,0.11719,0.11663,0.11663,0.09111,14560000
1981-02-13,0.11496,0.11496,0.11384,0.11384,0.08893,11155200
1981-02-17,0.11663,0.11719,0.11663,0.11663,0.09111,12275200
1981-02-18,0.12165,0.12277,0.12165,0.12165,0.09504,19241600
1981-02-19,0.11496,0.11496,0.11440,0.11440,0.08937,22310400
1981-02-20,0.10882,0.10882,0.10826,0.10826,0.08457,24371200
1981-02-23,0.10993,0.11049,0.10993,0.10993,0.08588,14112000
1981-02-24,0.10714,0.10714,0.10603,0.10603,0.08283,16979200
1981-02-25,0.11272,0.11328,0.11272,0.11272,0.08806,19488000
1981-02-26,0.11440,0.11496,0.11440,0.11440,0.08937,10841600
1981-02-27,0.11830,0.11942,0.11830,0.11830,0.09242,14761600
1981-03-02,0.11886,0.11942,0.11886,0.11886,0.09286,11760000
