Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,34.92000,35.40000,34.10000,35.12000,25.02767,13767900
2013-01-03,35.00000,35.00000,34.16000,34.83000,24.82100,16739300
2013-01-04,34.62000,34.89000,34.25000,34.39000,24.50744,21372100
2013-01-07,34.15000,35.45000,34.15000,34.46000,24.55733,17897100
2013-01-08,34.29000,34.64000,33.36000,33.71000,24.02286,17863300
2013-01-09,33.61000,33.95000,33.61000,33.90000,24.15826,18800400
2013-01-10,33.66000,34.00000,33.33000,34.00000,24.22952,15658100
2013-01-11,33.59000,33.90000,33.35000,33.85000,24.40980,11191500
2013-01-14,34.01000,34.25000,33.80000,34.09000,24.58287,11584900
2013-01-15,33.71000,34.72000,33.71000,34.60000,24.95064,13040200
2013-01-16,34.47000,35.54000,34.45000,35.54000,25.62849,16512700
2013-01-17,35.75000,36.70000,35.75000,36.42000,26.26306,14424800
2013-01-18,36.43000,37.32000,36.04000,37.32000,26.91208,17842200
2013-01-22,36.98000,37.25000,35.93000,36.42000,26.26306,15809700
2013-01-23,36.91000,37.84000,36.50000,37.80000,27.25820,10981600
2013-01-24,37.79000,38.52000,37.23000,37.46000,27.01303,11327100
2013-01-25,37.52000,37.84000,36.64000,37.60000,27.11398,8934600
2013-01-28,37.65000,37.87000,36.71000,36.89000,26.60200,7140100
2013-01-29,36.71000,37.46000,36.25000,37.31000,26.90487,8838500
2013-01-30,36.81000,37.53000,36.81000,36.93000,26.63083,10841800
2013-01-31,36.84000,36.93000,36.27000,36.69000,26.45777,10720700
2013-02-01,36.84000,37.20000,36.52000,37.18000,26.81112,9527500
2013-02-04,36.64000,37.30000,36.55000,37.28000,26.88322,6348000
2013-02-05,37.42000,37.73000,37.18000,37.20000,26.82554,7284400
2013-02-06,36.96000,37.28000,36.86000,37.14000,26.78227,5738900
2013-02-07,37.57000,37.57000,35.80000,36.42000,26.26306,9872500
2013-02-08,36.37000,36.42000,35.83000,36.25000,26.14048,13858700
2013-02-11,36.13000,36.18000,35.75000,35.85000,25.85203,6032100
2013-02-12,35.77000,35.90000,35.20000,35.42000,25.54194,7473800
2013-02-13,35.42000,35.57000,35.15000,35.27000,25.43378,4859800
2013-02-14,35.05000,36.73000,35.01000,36.57000,26.37124,7570100
2013-02-15,36.93000,37.81000,36.93000,37.58000,27.09956,13296300
2013-02-19,37.54000,38.33000,37.11000,38.19000,27.53944,8292700
2013-02-20,38.16000,39.13000,37.61000,38.61000,27.84231,8096400
2013-02-21,38.49000,39.03000,38.19000,38.78000,27.96491,7260900
2013-02-22,38.79000,38.85000,38.14000,38.46000,27.73414,4490400
2013-02-25,38.54000,38.61000,37.37000,37.37000,26.94813,4665600
2013-02-26,37.60000,37.60000,36.96000,37.09000,26.74621,4463000
2013-02-27,36.97000,36.98000,36.40000,36.73000,26.48661,12238400
2013-02-28,36.66000,37.14000,36.50000,36.92000,26.62363,10321000
2013-03-01,36.80000,38.07000,36.55000,37.81000,27.26542,8929400
2013-03-04,37.53000,38.25000,37.53000,38.24000,27.57550,5420800
2013-03-05,38.45000,38.57000,37.29000,37.51000,27.04908,6650400
2013-03-06,37.56000,37.86000,37.37000,37.74000,27.21494,5489500
2013-03-07,37.65000,38.01000,37.44000,37.49000,27.03466,4442500
2013-03-08,37.64000,37.65000,37.16000,37.34000,26.92650,4114500
2013-03-11,37.25000,38.15000,37.08000,37.67000,27.16446,4614400
2013-03-12,37.70000,38.30000,37.05000,37.17000,26.80390,6523900
2013-03-13,37.20000,37.59000,37.04000,37.17000,26.80390,3710600
2013-03-14,37.43000,37.59000,36.86000,37.56000,27.08514,9859700
2013-03-15,37.44000,38.54000,37.28000,38.50000,27.76298,12208300
2013-03-18,38.05000,38.49000,37.99000,38.16000,27.51781,5178700
2013-03-19,38.25000,38.40000,37.84000,38.36000,27.66204,5108400
2013-03-20,38.50000,39.19000,38.41000,39.06000,28.16682,7072900
2013-03-21,38.82000,38.97000,38.48000,38.49000,27.75578,4736100
2013-03-22,38.57000,38.97000,38.30000,38.97000,28.10191,3323400
2013-03-25,39.12000,39.52000,38.93000,39.32000,28.35430,6065000
2013-03-26,39.57000,40.52000,39.57000,40.21000,28.99610,7249500
2013-03-27,40.22000,40.29000,39.66000,40.15000,28.95284,4274800
2013-03-28,40.26000,40.80000,39.78000,40.78000,29.40714,7263400
2013-04-01,39.96000,41.14000,39.96000,41.12000,29.65232,5740000
2013-04-02,41.22000,41.22000,40.52000,40.71000,29.35666,5510700
2013-04-03,40.75000,41.45000,40.35000,40.57000,29.25571,4122100
2013-04-04,40.77000,41.78000,40.62000,41.60000,29.99845,20687600
2013-04-05,41.31000,41.50000,41.09000,41.31000,29.78933,14089800
2013-04-08,41.27000,41.87000,41.07000,41.77000,30.12105,16449200
2013-04-09,41.96000,43.56000,41.80000,42.55000,30.68351,8673900
2013-04-10,42.65000,43.77000,42.50000,43.62000,31.45511,7809200
2013-04-11,43.42000,43.71000,43.11000,43.20000,31.44056,6494100
2013-04-12,42.97000,43.29000,42.62000,43.09000,31.36049,4199800
2013-04-15,42.87000,43.03000,41.41000,41.44000,30.15964,7152500
2013-04-16,41.67000,42.53000,41.13000,42.45000,30.89471,6998000
2013-04-17,42.14000,42.43000,41.42000,42.24000,30.74187,5046200
2013-04-18,42.37000,42.64000,41.89000,42.32000,30.80010,5009000
2013-04-19,42.51000,42.58000,42.20000,42.39000,30.85104,6493200
2013-04-22,43.00000,44.83000,42.88000,44.20000,32.16833,8531300
2013-04-23,44.61000,46.32000,44.40000,45.14000,32.85247,9378100
2013-04-24,45.14000,45.34000,43.94000,44.32000,32.25568,5541300
2013-04-25,44.75000,44.79000,43.76000,44.24000,32.19745,5236900
2013-04-26,44.95000,46.31000,44.75000,45.84000,33.36191,10096800
2013-04-29,45.83000,45.93000,45.05000,45.23000,32.91796,6024700
2013-04-30,45.05000,46.23000,45.01000,46.05000,33.51474,6798600
2013-05-01,45.74000,46.09000,45.55000,45.55000,33.15086,6398100
2013-05-02,45.68000,45.68000,43.86000,43.99000,32.01551,9649400
2013-05-03,44.31000,44.77000,43.83000,44.68000,32.51768,4641200
2013-05-06,44.95000,44.95000,44.15000,44.59000,32.45218,4085700
2013-05-07,44.50000,45.00000,44.42000,44.91000,32.68507,3745600
2013-05-08,45.01000,45.05000,43.39000,43.49000,31.65162,6973200
2013-05-09,43.34000,44.45000,43.25000,44.24000,32.19745,5046900
2013-05-10,44.21000,45.01000,44.20000,45.01000,32.75785,4455800
2013-05-13,44.79000,44.79000,44.17000,44.54000,32.41579,3738400
2013-05-14,44.09000,45.52000,44.09000,45.35000,33.00529,5760300
2013-05-15,45.72000,46.93000,45.48000,46.03000,33.50020,6702500
2013-05-16,46.06000,46.90000,46.01000,46.21000,33.63120,4605300
2013-05-17,46.03000,47.34000,45.85000,47.17000,34.32988,5244800
2013-05-20,47.12000,47.14000,46.07000,46.26000,33.66760,3537800
2013-05-21,46.19000,46.96000,46.17000,46.54000,33.87137,4708800
2013-05-22,46.46000,48.00000,45.85000,46.76000,34.03148,5203500
2013-05-23,46.12000,46.95000,46.02000,46.59000,33.90776,3306200
2013-05-24,46.25000,46.48000,45.31000,45.44000,33.07080,4511700
2013-05-28,45.89000,46.04000,44.70000,45.39000,33.03441,6181800
2013-05-29,44.89000,45.18000,43.79000,43.88000,31.93545,6908400
2013-05-30,44.07000,45.12000,44.07000,44.55000,32.42306,4852200
2013-05-31,44.27000,44.69000,42.68000,42.69000,31.06939,9308800
2013-06-03,42.88000,43.58000,42.75000,43.36000,31.55701,7176800
2013-06-04,43.42000,44.47000,43.38000,43.63000,31.75350,4528400
2013-06-05,43.49000,43.90000,42.69000,43.04000,31.32411,4801300
2013-06-06,43.22000,43.57000,42.65000,43.50000,31.65889,4261300
2013-06-07,43.72000,44.27000,43.50000,44.00000,32.02278,5463200
2013-06-10,44.33000,44.33000,43.22000,43.92000,31.96457,4702700
2013-06-11,43.31000,44.05000,43.05000,43.59000,31.72439,3574800
2013-06-12,43.91000,44.00000,42.72000,42.77000,31.12761,3742600
2013-06-13,42.42000,43.20000,40.10000,43.15000,31.40416,6096500
2013-06-14,42.98000,43.50000,42.50000,43.21000,31.44783,4078500
2013-06-17,43.40000,43.50000,42.68000,43.01000,31.30227,3457700
2013-06-18,42.97000,43.56000,42.63000,43.54000,31.68801,3644900
2013-06-19,43.56000,43.83000,43.01000,43.04000,31.32411,3663300
2013-06-20,42.65000,42.78000,40.91000,41.06000,29.88308,7474900
2013-06-21,41.66000,42.71000,41.20000,42.62000,31.01844,9825700
2013-06-24,42.07000,42.40000,41.32000,41.89000,30.48715,6042400
2013-06-25,42.15000,42.77000,41.61000,42.63000,31.02572,4686900
2013-06-26,43.10000,43.61000,43.03000,43.38000,31.57155,4733700
2013-06-27,43.56000,43.98000,42.74000,43.13000,31.38961,5163900
2013-06-28,42.53000,42.97000,41.32000,41.34000,30.08687,10753100
2013-07-01,41.40000,41.93000,41.07000,41.61000,30.28336,4588200
2013-07-02,41.58000,42.57000,41.58000,42.21000,30.72004,4365900
2013-07-03,41.88000,42.31000,41.61000,42.23000,30.73459,2417500
2013-07-05,42.45000,42.83000,42.31000,42.72000,31.09122,2743700
2013-07-08,42.90000,43.69000,42.82000,43.68000,31.78990,3978300
2013-07-09,44.00000,44.23000,43.25000,43.32000,31.52788,3805700
2013-07-10,43.36000,44.12000,43.36000,43.91000,31.95728,3080100
2013-07-11,43.94000,44.11000,43.33000,43.78000,32.15559,4061400
2013-07-12,43.93000,45.11000,43.80000,45.05000,33.08841,5693900
2013-07-15,44.95000,44.97000,44.54000,44.62000,32.77256,3265800
2013-07-16,44.54000,44.77000,43.70000,43.81000,32.17763,3714500
2013-07-17,43.97000,44.15000,43.74000,43.96000,32.28780,3645400
2013-07-18,43.96000,44.56000,43.81000,44.32000,32.55222,3043700
2013-07-19,44.49000,44.91000,44.12000,44.52000,32.69911,4317900
2013-07-22,44.30000,45.10000,43.80000,44.97000,33.02963,3810500
2013-07-23,44.92000,45.09000,44.23000,44.31000,32.54488,3535100
2013-07-24,44.28000,44.37000,43.39000,43.64000,32.05277,3088100
2013-07-25,43.41000,44.43000,43.35000,44.24000,32.49346,4088500
2013-07-26,45.01000,45.12000,44.17000,44.79000,32.89743,4491100
2013-07-29,44.72000,45.45000,44.47000,45.06000,33.09573,4326200
2013-07-30,45.08000,45.23000,44.20000,44.70000,32.83132,3619700
2013-07-31,44.84000,45.91000,44.81000,45.48000,33.40422,6020600
2013-08-01,45.14000,45.90000,45.04000,45.25000,33.23528,3652400
2013-08-02,45.11000,45.42000,44.81000,45.32000,33.28669,3190700
2013-08-05,45.05000,45.37000,44.48000,44.71000,32.83866,2953500
2013-08-06,44.42000,44.99000,44.42000,44.88000,32.96353,4980600
2013-08-07,44.70000,44.86000,44.22000,44.57000,32.73584,3299400
2013-08-08,44.86000,45.18000,44.61000,45.06000,33.09573,2892400
2013-08-09,44.90000,45.00000,44.47000,44.71000,32.83866,3290800
2013-08-12,44.71000,45.20000,44.39000,45.04000,33.08104,3826400
2013-08-13,45.12000,45.18000,44.68000,44.93000,33.00025,2791800
2013-08-14,44.85000,45.23000,44.45000,44.58000,32.74318,2990500
2013-08-15,44.60000,44.62000,43.13000,43.21000,31.73694,4363100
2013-08-16,42.94000,43.14000,42.42000,43.00000,31.58269,6093300
2013-08-19,43.01000,43.81000,42.95000,43.37000,31.85446,3326900
2013-08-20,43.29000,43.48000,42.85000,42.97000,31.56066,2803000
2013-08-21,42.82000,42.88000,42.25000,42.31000,31.07591,4118800
2013-08-22,42.40000,43.10000,42.29000,42.92000,31.52393,4077700
2013-08-23,43.01000,43.50000,42.85000,43.43000,31.89853,2738100
2013-08-26,43.43000,43.74000,43.19000,43.45000,31.91321,3493400
2013-08-27,43.02000,43.09000,42.60000,42.63000,31.31095,4473000
2013-08-28,42.53000,42.81000,42.35000,42.56000,31.25952,3009700
2013-08-29,42.32000,43.09000,42.26000,42.62000,31.30360,2788900
