Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,146.00000,165.00000,141.25000,144.71001,144.71001,70447500
2020-12-11,146.55000,151.50000,135.10001,139.25000,139.25000,26980800
2020-12-14,135.00000,135.30000,125.16000,130.00000,130.00000,16966100
2020-12-15,126.69000,127.60000,121.50000,124.80000,124.80000,10914400
2020-12-16,125.83000,142.00000,124.91000,137.99000,137.99000,20396000
2020-12-17,143.00000,152.44990,142.67000,150.39999,150.39999,11320002
2020-12-18,150.45000,159.00000,150.30000,157.30000,157.30000,15954200
2020-12-21,155.31000,172.00000,145.11000,163.02000,163.02000,17788100
2020-12-22,170.00000,174.97000,161.05000,163.19000,163.19000,9872600
2020-12-23,162.81400,168.25000,155.50000,158.01000,158.01000,5852500
2020-12-24,159.16000,162.78999,154.11200,154.84000,154.84000,3621400
2020-12-28,158.60001,163.64000,147.52000,149.00000,149.00000,6229200
2020-12-29,150.00000,151.65100,143.12000,150.00000,150.00000,5402300
2020-12-30,151.34000,152.81300,145.60001,148.42999,148.42999,3462400
2020-12-31,146.89999,147.89000,144.51000,146.80000,146.80000,2791900
2021-01-04,150.99000,151.00000,137.02000,140.72501,140.72501,5003443
