Date,Open,High,Low,Close,Adj Close,Volume
1995-12-06,36.75000,38.49999,36.62499,38.37501,8.78964,1380000
1995-12-07,39.50001,39.99999,38.75001,39.24999,8.99005,582600
1995-12-08,39.00000,39.00000,38.49999,38.49999,8.81826,252000
1995-12-11,38.49999,39.12501,38.49999,38.75001,8.87553,62400
1995-12-12,39.00000,39.00000,38.49999,38.87499,8.90416,289200
1995-12-13,39.12501,39.24999,38.87499,39.00000,8.93279,216600
1995-12-14,39.00000,39.00000,38.49999,38.49999,8.81826,326400
1995-12-15,38.49999,38.49999,38.12499,38.25000,8.76100,551100
1995-12-18,38.37501,38.37501,36.87501,37.74999,8.64648,88500
1995-12-19,38.00001,38.25000,37.74999,38.00001,8.70375,419400
1995-12-20,38.00001,38.00001,37.62501,38.00001,8.70375,752400
1995-12-21,38.25000,39.00000,37.87500,38.62500,8.84690,513600
1995-12-22,38.49999,39.50001,38.49999,38.75001,8.87553,460200
1995-12-26,39.00000,39.12501,38.75001,39.12501,8.96142,75900
1995-12-27,39.00000,39.24999,39.00000,39.24999,9.02234,52200
1995-12-28,39.24999,39.24999,39.00000,39.00000,8.96487,59400
1995-12-29,39.00000,39.75000,39.00000,39.75000,9.13727,140100
1996-01-02,39.50001,39.62499,39.37500,39.37500,9.05107,249300
1996-01-03,39.37500,39.37500,38.87499,39.12501,8.99361,245100
1996-01-04,39.00000,39.50001,39.00000,39.50001,9.07981,233700
1996-01-05,38.75001,39.50001,38.75001,39.00000,8.96487,669900
1996-01-08,39.00000,39.00000,38.49999,38.49999,8.84993,69300
1996-01-09,38.49999,38.75001,38.12499,38.12499,8.76373,458100
1996-01-10,38.49999,38.49999,38.00001,38.00001,8.73500,247200
1996-01-11,38.25000,38.25000,37.74999,38.25000,8.79247,369000
1996-01-12,38.12499,38.62500,38.12499,38.49999,8.84993,319200
1996-01-15,38.62500,38.75001,38.62500,38.75001,8.90741,262200
1996-01-16,38.62500,39.00000,38.00001,38.62500,8.87867,370200
1996-01-17,38.75001,39.62499,38.49999,39.24999,9.02234,520200
1996-01-18,39.62499,39.75000,39.12501,39.50001,9.07981,583200
1996-01-19,39.37500,40.25001,39.37500,40.25001,9.25221,1007400
1996-01-22,41.12499,43.25001,41.12499,42.99999,9.88434,2121000
1996-01-23,43.12500,43.50000,42.87501,43.37499,9.97054,1548000
1996-01-24,43.50000,44.00001,43.37499,43.50000,9.99928,1064100
1996-01-25,43.25001,43.74999,42.99999,43.74999,10.05674,240900
1996-01-26,43.74999,43.87500,43.50000,43.50000,9.99928,201300
1996-01-29,43.37499,43.74999,43.25001,43.62501,10.02801,778500
1996-01-30,43.87500,44.00001,43.62501,43.87500,10.08548,726000
1996-01-31,43.87500,44.25000,43.87500,44.12499,10.14294,639000
1996-02-01,44.25000,44.49999,44.12499,44.49999,10.22914,465300
1996-02-02,44.49999,44.75001,44.37501,44.75001,10.28662,732000
1996-02-05,44.75001,44.87499,44.49999,44.87499,10.31535,178800
1996-02-06,44.62500,44.75001,44.25000,44.75001,10.28662,241500
1996-02-07,45.00000,45.24999,43.37499,43.74999,10.05674,460800
1996-02-08,44.00001,45.50001,43.87500,45.50001,10.45902,731700
1996-02-09,46.74999,48.24999,46.50000,48.24999,11.09115,1912500
1996-02-12,48.24999,50.37501,48.24999,48.75000,11.20609,2234700
1996-02-13,48.87501,48.87501,48.50001,48.62499,11.17735,693000
1996-02-14,48.62499,48.62499,47.37501,47.62500,10.94749,370800
1996-02-15,47.49999,47.49999,46.50000,47.00001,10.80382,710400
