Date,Open,High,Low,Close,Adj Close,Volume
1986-08-13,0.00000,0.21875,0.21094,0.21094,0.15317,18899200
1986-08-14,0.00000,0.23047,0.22266,0.22266,0.16168,4160000
1986-08-15,0.00000,0.22266,0.21875,0.21875,0.15884,4332800
1986-08-18,0.00000,0.21875,0.21094,0.21094,0.15317,2828800
1986-08-19,0.00000,0.21875,0.21484,0.21484,0.15601,2060800
1986-08-20,0.00000,0.22656,0.21484,0.21484,0.15601,684800
1986-08-21,0.00000,0.23438,0.22266,0.22266,0.16168,883200
1986-08-22,0.00000,0.23047,0.22266,0.22266,0.16168,1734400
1986-08-25,0.00000,0.22266,0.21484,0.21484,0.15601,627200
1986-08-26,0.00000,0.22266,0.21484,0.21484,0.15601,793600
1986-08-27,0.00000,0.21875,0.21484,0.21484,0.15601,2540800
1986-08-28,0.00000,0.21875,0.20703,0.20703,0.15033,1555200
1986-08-29,0.00000,0.21875,0.20703,0.20703,0.15033,1548800
1986-09-02,0.00000,0.23047,0.22266,0.22266,0.16168,1068800
1986-09-03,0.00000,0.23438,0.22266,0.22266,0.16168,403200
1986-09-04,0.00000,0.25781,0.25000,0.25000,0.18153,1804800
1986-09-05,0.00000,0.25781,0.24609,0.24609,0.17870,2137600
1986-09-08,0.00000,0.25391,0.24219,0.24219,0.17586,492800
1986-09-09,0.00000,0.26172,0.25000,0.25000,0.18153,499200
1986-09-10,0.00000,0.27344,0.26172,0.26172,0.19004,934400
1986-09-11,0.00000,0.24219,0.23047,0.23047,0.16735,1798400
1986-09-12,0.00000,0.24219,0.23438,0.23438,0.17019,1286400
1986-09-15,0.00000,0.26953,0.25781,0.25781,0.18721,998400
1986-09-16,0.00000,0.28125,0.26953,0.26953,0.19572,1254400
1986-09-17,0.00000,0.29688,0.28906,0.28906,0.20990,1356800
1986-09-18,0.00000,0.30078,0.28906,0.28906,0.20990,352000
1986-09-19,0.00000,0.30078,0.28906,0.28906,0.20990,1024000
1986-09-22,0.00000,0.28906,0.27734,0.27734,0.20139,780800
1986-09-23,0.00000,0.28125,0.26953,0.26953,0.19572,1798400
1986-09-24,0.00000,0.28516,0.27344,0.27344,0.19855,1312000
1986-09-25,0.00000,0.28125,0.26562,0.26562,0.19288,1657600
1986-09-26,0.00000,0.27734,0.26562,0.26562,0.19288,768000
1986-09-29,0.00000,0.27734,0.26953,0.26953,0.19572,473600
1986-09-30,0.00000,0.28516,0.26953,0.26953,0.19572,192000
1986-10-01,0.00000,0.28516,0.26953,0.26953,0.19572,371200
1986-10-02,0.00000,0.28516,0.26953,0.26953,0.19572,224000
1986-10-03,0.00000,0.28125,0.26953,0.26953,0.19572,44800
1986-10-06,0.00000,0.28516,0.27344,0.27344,0.19855,128000
1986-10-07,0.00000,0.28516,0.27344,0.27344,0.19855,198400
1986-10-08,0.00000,0.28516,0.27344,0.27344,0.19855,204800
1986-10-09,0.00000,0.28516,0.27344,0.27344,0.19855,793600
1986-10-10,0.00000,0.28516,0.27344,0.27344,0.19855,224000
1986-10-13,0.00000,0.28516,0.27734,0.27734,0.20139,454400
