Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,0.82714,0.80855,0.81785,0.43380,1158000
1980-03-18,0.00000,0.83024,0.81475,0.82714,0.43873,1622000
1980-03-19,0.00000,0.84263,0.82714,0.84263,0.44695,1367800
1980-03-20,0.00000,0.86122,0.83953,0.83953,0.44530,3046300
1980-03-21,0.00000,0.84883,0.83644,0.83644,0.44366,1020700
1980-03-24,0.00000,0.84263,0.83024,0.83024,0.44037,778700
1980-03-25,0.00000,0.84263,0.82714,0.83024,0.44037,944100
1980-03-26,0.00000,0.84263,0.82714,0.84263,0.44695,2332200
1980-03-27,0.00000,0.83024,0.81165,0.81165,0.43052,770600
1980-03-28,0.00000,0.84263,0.83024,0.83644,0.44366,459900
1980-03-31,0.00000,0.85192,0.83644,0.84573,0.44859,250100
1980-04-01,0.00000,0.86122,0.84573,0.85812,0.45516,201700
1980-04-02,0.00000,0.90459,0.85812,0.89839,0.47652,758500
1980-04-03,0.00000,0.92627,0.90149,0.91698,0.48638,1480800
1980-04-07,0.00000,0.91698,0.90149,0.90149,0.47817,463900
1980-04-08,0.00000,0.89530,0.88600,0.88600,0.46995,1355700
1980-04-09,0.00000,0.88600,0.88600,0.88600,0.46995,346900
1980-04-10,0.00000,0.90459,0.89220,0.89530,0.47488,314700
1980-04-11,0.00000,0.91698,0.90149,0.90459,0.47981,710000
1980-04-14,0.00000,0.89839,0.89220,0.89220,0.47324,205700
1980-04-15,0.00000,0.90459,0.89530,0.89839,0.47652,197600
1980-04-16,0.00000,0.91698,0.90459,0.90459,0.47981,2134400
1980-04-17,0.00000,0.89839,0.89220,0.89839,0.47652,1371800
1980-04-18,0.00000,0.90769,0.89839,0.89839,0.47652,391300
1980-04-21,0.00000,0.90459,0.89839,0.89839,0.47652,379200
1980-04-22,0.00000,0.92937,0.90459,0.90459,0.47981,1125600
1980-04-23,0.00000,0.92008,0.90459,0.91078,0.48310,625300
1980-04-24,0.00000,0.91698,0.90769,0.91698,0.48638,246000
1980-04-25,0.00000,0.92008,0.91388,0.91388,0.48474,120900
1980-04-28,0.00000,0.92627,0.91388,0.92627,0.49131,346900
1980-04-29,0.00000,0.92627,0.92318,0.92318,0.48967,1166100
1980-04-30,0.00000,0.92627,0.92008,0.92008,0.48803,431600
1980-05-01,0.00000,0.94796,0.93247,0.94486,0.50117,500200
1980-05-02,0.00000,0.95106,0.93557,0.93557,0.49624,217700
1980-05-05,0.00000,0.94796,0.93557,0.94796,0.50282,455900
1980-05-06,0.00000,0.95416,0.94176,0.94796,0.50282,375100
