Date,Open,High,Low,Close,Adj Close,Volume
2001-06-15,13.16000,13.16000,12.75000,12.86000,12.11754,511400
2001-06-18,12.85000,13.15000,12.70000,13.11000,12.35311,408000
2001-06-19,13.40000,13.60000,13.15000,13.55000,12.76770,216400
2001-06-20,13.50000,13.65000,13.30000,13.55000,12.76770,54400
2001-06-21,13.53000,13.90000,13.52000,13.88000,13.07865,80700
2001-06-22,14.00000,14.98000,14.00000,14.55000,13.70997,127900
2001-06-25,14.75000,14.85000,14.40000,14.65000,13.80420,87100
2001-06-26,14.70000,14.78000,14.65000,14.70000,13.85131,48900
2001-06-27,14.60000,15.15000,14.55000,15.11000,14.23764,139800
2001-06-28,15.01000,15.25000,14.90000,15.00000,14.13399,195100
2001-06-29,15.10000,15.90000,15.00000,15.00000,14.13399,130699
2001-07-02,15.25000,15.60000,14.31000,14.40000,13.56863,42000
2001-07-03,14.45000,15.05000,14.45000,14.97000,14.10572,35600
2001-07-05,14.90000,15.45000,14.90000,15.20000,14.32244,97100
2001-07-06,15.40000,15.40000,14.75000,14.95000,14.08688,149700
2001-07-09,15.00000,15.20000,14.86000,14.90000,14.03976,130000
2001-07-10,14.90000,15.10000,14.70000,14.70000,13.85131,189200
2001-07-11,14.70000,14.80000,14.60000,14.60000,13.75708,76800
2001-07-12,14.70000,15.21000,14.70000,15.21000,14.33187,177600
2001-07-13,15.00000,15.81000,15.00000,15.81000,14.89723,144200
2001-07-16,15.81000,15.81000,15.21000,15.50000,14.60512,38600
2001-07-17,15.50000,16.00000,15.50000,15.85000,14.93491,32900
2001-07-18,15.80000,16.75000,15.50000,16.75000,15.78295,102500
2001-07-19,16.90000,17.40000,16.00000,16.40000,15.45316,303700
2001-07-20,16.40000,16.40000,14.70000,14.95000,14.08688,82700
2001-07-23,14.98000,15.05000,14.81000,14.85000,13.99265,55500
2001-07-24,14.85000,14.85000,14.00000,14.10000,13.28595,45600
2001-07-25,14.10000,14.10000,13.50000,13.50000,12.72059,65800
2001-07-26,13.50000,13.90000,13.50000,13.75000,12.95616,653100
