Date,Open,High,Low,Close,Adj Close,Volume
1991-06-26,3.11489,3.35760,3.11489,3.27670,2.28720,16683200
1991-06-27,3.35760,3.43851,3.25647,3.31715,2.31544,6160000
1991-06-28,3.31715,3.39806,3.23625,3.29693,2.30132,2384400
1991-07-01,3.35760,3.35760,3.27670,3.31715,2.31544,1782400
1991-07-02,3.35760,3.35760,3.31715,3.35760,2.34368,1270800
1991-07-03,3.31715,3.35760,3.23625,3.31715,2.31544,1214800
1991-07-05,3.31715,3.31715,3.19579,3.19579,2.23073,230000
1991-07-08,3.19579,3.31715,3.19579,3.19579,2.23073,550000
1991-07-09,3.25647,3.47896,3.19579,3.43851,2.40015,3100000
1991-07-10,3.47896,3.72168,3.47896,3.72168,2.59781,1238400
1991-07-11,3.72168,3.88350,3.64078,3.78236,2.64017,2259200
1991-07-12,3.84304,3.84304,3.68123,3.72168,2.59781,733200
1991-07-15,3.76214,3.76214,3.68123,3.72168,2.59781,404000
1991-07-16,3.72168,3.92395,3.68123,3.92395,2.73900,1534000
1991-07-17,3.84304,4.20712,3.84304,4.12621,2.88018,3741600
1991-07-18,4.12621,4.24757,4.04531,4.12621,2.88018,3756000
1991-07-19,4.16667,4.16667,3.92395,3.92395,2.73900,1457200
1991-07-22,4.00485,4.04531,3.92395,3.92395,2.73900,499200
1991-07-23,3.92395,3.96440,3.70146,3.74191,2.61193,782800
1991-07-24,3.72168,3.84304,3.64078,3.64078,2.54134,524000
1991-07-25,3.72168,3.72168,3.60032,3.60032,2.60586,211200
1991-07-26,3.58010,3.64078,3.55987,3.64078,2.63514,494400
1991-07-29,3.68123,3.68123,3.55987,3.68123,2.66442,77600
1991-07-30,3.68123,3.98463,3.60032,3.96440,2.86937,630000
1991-07-31,3.96440,4.08576,3.92395,4.04531,2.92793,1389600
1991-08-01,4.08576,4.08576,4.00485,4.08576,2.95721,320400
1991-08-02,4.04531,4.12621,4.04531,4.04531,2.92793,728000
1991-08-05,4.00485,4.12621,3.96440,3.96440,2.86937,746400
1991-08-06,3.92395,4.00485,3.88350,4.00485,2.89865,140800
1991-08-07,4.00485,4.00485,3.96440,4.00485,2.89865,210400
1991-08-08,4.00485,4.00485,3.96440,4.00485,2.89865,448400
1991-08-09,4.00485,4.00485,3.92395,3.94418,2.85474,353200
1991-08-12,3.88350,3.92395,3.84304,3.92395,2.84010,132400
1991-08-13,3.84304,3.92395,3.84304,3.92395,2.84010,131200
1991-08-14,3.92395,3.96440,3.84304,3.96440,2.86937,122400
1991-08-15,3.96440,3.96440,3.88350,3.96440,2.86937,162000
1991-08-16,3.88350,4.00485,3.88350,3.92395,2.84010,92800
1991-08-19,3.68123,3.80259,3.60032,3.74191,2.70834,414400
1991-08-20,3.80259,3.88350,3.76214,3.88350,2.81081,267200
1991-08-21,3.92395,3.96440,3.84304,3.88350,2.81081,412000
1991-08-22,3.96440,3.96440,3.88350,3.96440,2.86937,52800
1991-08-23,3.96440,4.04531,3.88350,4.00485,2.89865,117200
1991-08-26,3.96440,4.04531,3.96440,4.04531,2.92793,19600
1991-08-27,4.04531,4.20712,3.96440,4.20712,3.04505,554800
1991-08-28,4.24757,4.40938,4.16667,4.32848,3.13289,654000
1991-08-29,4.32848,4.32848,4.24757,4.26780,3.08897,268000
1991-08-30,4.32848,4.32848,4.24757,4.28803,3.10361,162000
1991-09-03,4.28803,4.28803,4.24757,4.28803,3.10361,237600
1991-09-04,4.24757,4.30825,4.24757,4.24757,3.07433,448800
1991-09-05,4.24757,4.28803,4.24757,4.24757,3.07433,148000
1991-09-06,4.28803,4.28803,4.24757,4.24757,3.07433,687600
1991-09-09,4.24757,4.28803,4.24757,4.28803,3.10361,108800
1991-09-10,4.24757,4.28803,4.24757,4.24757,3.07433,274800
1991-09-11,4.28803,4.36893,4.24757,4.32848,3.13289,436400
1991-09-12,4.32848,4.38916,4.32848,4.32848,3.13289,420000
1991-09-13,4.40938,4.40938,4.32848,4.36893,3.16217,369200
1991-09-16,4.44984,4.44984,4.32848,4.36893,3.16217,304000
1991-09-17,4.40938,4.40938,4.32848,4.36893,3.16217,101200
1991-09-18,4.36893,4.36893,4.32848,4.32848,3.13289,206800
1991-09-19,4.36893,4.36893,4.32848,4.32848,3.13289,393200
1991-09-20,4.32848,4.36893,4.32848,4.32848,3.13289,288400
1991-09-23,4.32848,4.40938,4.32848,4.40938,3.19145,632000
1991-09-24,4.40938,4.40938,4.32848,4.36893,3.16217,144400
1991-09-25,4.40938,4.49029,4.32848,4.40938,3.19145,839200
1991-09-26,4.53074,4.53074,4.40938,4.49029,3.25000,190400
1991-09-27,4.53074,4.53074,4.36893,4.40938,3.19145,228400
1991-09-30,4.36893,4.44984,4.36893,4.36893,3.16217,178000
1991-10-01,4.34870,4.40938,4.28803,4.32848,3.13289,2311600
1991-10-02,4.36893,4.40938,4.36893,4.36893,3.16217,89200
1991-10-03,4.38916,4.38916,4.04531,4.16667,3.01577,399200
1991-10-04,4.16667,4.16667,4.04531,4.12621,2.98649,470000
1991-10-07,4.08576,4.08576,3.88350,4.00485,2.89865,975600
1991-10-08,4.00485,4.04531,3.88350,4.04531,2.92793,183200
1991-10-09,3.96440,4.20712,3.96440,4.16667,3.01577,262000
1991-10-10,4.08576,4.24757,4.08576,4.24757,3.07433,78000
1991-10-11,4.24757,4.32848,4.20712,4.20712,3.04505,72000
1991-10-14,4.30825,4.42961,4.28803,4.36893,3.16217,290400
1991-10-15,4.36893,4.49029,4.36893,4.49029,3.25000,701200
