Date,Open,High,Low,Close,Adj Close,Volume
1980-02-11,34.87504,35.12496,34.62496,35.00000,1.47856,628800
1980-02-12,35.00000,35.12496,34.75000,35.00000,1.47856,412800
1980-02-13,35.00000,35.25000,34.75000,35.00000,1.47856,1217600
1980-02-14,34.87504,34.87504,33.75000,33.87504,1.43104,1175200
1980-02-15,33.75000,33.75000,32.87504,33.50000,1.41519,904800
1980-02-19,33.37504,33.37504,32.87504,33.37504,1.40991,1150400
1980-02-20,33.37504,33.50000,32.87504,33.00000,1.39407,630400
1980-02-21,32.50000,32.50000,31.75000,31.87504,1.34655,1962400
1980-02-22,31.75000,31.75000,30.87504,31.12496,1.31486,1395200
1980-02-25,31.12496,31.25000,30.87504,31.00000,1.30958,737600
1980-02-26,31.00000,31.12496,30.75000,31.12496,1.31486,855200
1980-02-27,31.12496,31.37504,30.75000,30.87504,1.30430,1743200
1980-02-28,30.87504,31.12496,30.75000,30.75000,1.29902,1192800
1980-02-29,31.00000,31.87504,31.00000,31.87504,1.34655,1287200
1980-03-03,31.87504,32.25000,31.62496,31.62496,1.33598,1063200
1980-03-04,31.62496,32.62496,31.37504,32.62496,1.37823,888800
1980-03-05,32.62496,32.75000,31.50000,31.50000,1.33070,989600
1980-03-06,31.50000,31.75000,31.12496,31.12496,1.31486,1299200
1980-03-07,31.12496,31.25000,30.75000,30.87504,1.30430,682400
1980-03-10,30.87504,30.87504,30.25000,30.62496,1.29374,767200
1980-03-11,30.75000,31.75000,30.75000,30.87504,1.30430,1179200
1980-03-12,30.87504,31.25000,30.25000,31.00000,1.30958,800800
1980-03-13,31.00000,31.12496,30.50000,30.62496,1.29374,887200
1980-03-14,30.62496,31.25000,30.12496,31.12496,1.33802,476800
1980-03-17,31.00000,31.00000,29.87504,30.00000,1.28966,404800
1980-03-18,30.00000,31.50000,30.00000,30.87504,1.32727,372000
1980-03-19,30.87504,31.00000,30.50000,30.87504,1.32727,620800
1980-03-20,30.87504,31.25000,30.62496,31.12496,1.33802,388800
1980-03-21,31.12496,31.37504,30.87504,30.87504,1.32727,516000
1980-03-24,30.87504,31.00000,30.37504,30.62496,1.31652,828000
1980-03-25,30.62496,31.37504,30.37504,31.25000,1.34339,393600
1980-03-26,31.37504,32.12496,31.37504,31.50000,1.35414,501600
1980-03-27,31.25000,31.25000,30.00000,31.25000,1.34339,792800
1980-03-28,31.25000,31.50000,30.87504,31.50000,1.35414,1582400
1980-03-31,31.50000,32.62496,31.50000,32.62496,1.40250,1454400
1980-04-01,32.75000,33.50000,32.75000,33.12496,1.42399,1620000
1980-04-02,33.12496,35.25000,33.12496,34.75000,1.49385,3132000
1980-04-03,34.75000,35.37504,34.62496,34.87504,1.49923,1073600
1980-04-07,34.75000,34.75000,34.00000,34.25000,1.47236,1028800
1980-04-08,34.25000,34.50000,34.00000,34.37504,1.47773,1276800
1980-04-09,34.37504,34.87504,34.25000,34.87504,1.49923,606400
1980-04-10,34.87504,35.25000,34.50000,35.25000,1.51534,998400
1980-04-11,35.25000,35.50000,35.12496,35.37504,1.52072,733600
1980-04-14,35.25000,35.25000,34.62496,34.87504,1.49923,608000
1980-04-15,34.87504,35.00000,34.62496,34.75000,1.49385,732000
1980-04-16,35.00000,36.00000,35.00000,35.00000,1.50460,2249600
1980-04-17,35.00000,35.00000,34.62496,35.00000,1.50460,939200
1980-04-18,35.00000,35.12496,34.75000,34.87504,1.49923,862400
1980-04-21,34.87504,35.00000,33.62496,33.62496,1.44549,555200
1980-04-22,34.50000,35.00000,34.50000,35.00000,1.50460,803200
1980-04-23,35.00000,35.50000,34.87504,35.25000,1.51534,1207200
1980-04-24,35.25000,35.75000,35.00000,35.62496,1.53146,870400
1980-04-25,35.12496,35.12496,34.25000,35.00000,1.50460,924800
1980-04-28,35.00000,35.00000,34.37504,34.50000,1.48310,1536000
1980-04-29,34.50000,34.50000,34.12496,34.25000,1.47236,948000
1980-04-30,34.00000,34.00000,33.50000,34.00000,1.46161,510400
1980-05-01,34.00000,34.25000,33.75000,34.00000,1.46161,556800
1980-05-02,34.00000,34.12496,33.75000,33.87504,1.45624,475200
1980-05-05,33.87504,34.25000,33.62496,34.00000,1.46161,343200
1980-05-06,34.12496,34.87504,34.12496,34.62496,1.48848,589600
1980-05-07,34.62496,35.75000,34.50000,34.75000,1.49385,1137600
1980-05-08,34.75000,35.12496,34.75000,35.00000,1.50460,1274400
1980-05-09,35.00000,35.25000,34.75000,34.87504,1.49923,1361600
1980-05-12,34.87504,34.87504,34.62496,34.87504,1.49923,968800
1980-05-13,34.87504,35.12496,34.87504,35.00000,1.50460,234400
1980-05-14,35.00000,35.37504,35.00000,35.25000,1.51534,545600
1980-05-15,35.37504,36.37504,35.37504,36.00000,1.54759,1824000
1980-05-16,36.00000,36.25000,35.75000,36.12496,1.55296,628800
1980-05-19,36.12496,36.12496,35.62496,35.62496,1.53146,1011200
1980-05-20,35.50000,35.50000,34.87504,34.87504,1.49923,1764800
1980-05-21,34.87504,34.87504,34.00000,34.00000,1.46161,546400
1980-05-22,34.00000,34.62496,33.87504,34.50000,1.48310,1115200
1980-05-23,34.75000,35.62496,34.75000,35.37504,1.52072,1020800
1980-05-27,36.00000,36.12496,36.00000,36.12496,1.55296,416000
1980-05-28,36.12496,36.25000,36.00000,36.25000,1.55833,401600
1980-05-29,36.25000,36.37504,35.75000,35.75000,1.53684,802400
1980-05-30,35.75000,36.50000,35.75000,36.50000,1.56908,731200
1980-06-02,36.50000,36.75000,36.37504,36.50000,1.56908,723200
1980-06-03,36.50000,36.62496,36.37504,36.50000,1.56908,300000
1980-06-04,36.50000,37.25000,36.37504,37.12496,1.59595,1778400
1980-06-05,37.12496,37.62496,37.00000,37.37504,1.60670,917600
1980-06-06,37.37504,38.00000,37.25000,37.87504,1.62819,836000
1980-06-09,38.12496,39.37504,38.12496,39.00000,1.67655,1335200
1980-06-10,39.00000,39.50000,38.87504,38.87504,1.67118,626400
1980-06-11,38.87504,39.00000,38.37504,38.37504,1.64969,740000
1980-06-12,38.37504,38.75000,37.50000,37.87504,1.62819,1495200
1980-06-13,37.75000,37.75000,37.37504,37.62496,1.64040,612800
1980-06-16,37.25000,37.25000,36.75000,37.12496,1.61860,651200
1980-06-17,37.12496,37.12496,36.62496,36.75000,1.60225,346400
1980-06-18,36.75000,37.00000,36.00000,36.87504,1.60770,974400
1980-06-19,36.87504,37.00000,36.37504,36.87504,1.60770,1360000
1980-06-20,36.87504,37.12496,36.50000,37.12496,1.61860,1217600
1980-06-23,37.12496,38.12496,36.87504,38.00000,1.65675,1982400
1980-06-24,38.00000,38.75000,38.00000,38.75000,1.68945,1640800
1980-06-25,38.75000,39.37504,38.75000,39.25000,1.71124,866400
1980-06-26,39.25000,39.25000,38.50000,38.50000,1.67855,727200
1980-06-27,38.50000,38.62496,38.37504,38.50000,1.67855,1174400
1980-06-30,38.37504,38.37504,37.62496,37.75000,1.64585,495200
1980-07-01,37.75000,37.87504,37.50000,37.75000,1.64585,876000
1980-07-02,37.75000,38.00000,37.62496,38.00000,1.65675,1121600
1980-07-03,38.00000,38.00000,37.75000,37.87504,1.65130,1112800
1980-07-07,37.87504,37.87504,37.62496,37.87504,1.65130,271200
1980-07-08,37.87504,38.62496,37.62496,38.62496,1.68399,890400
1980-07-09,38.62496,39.12496,38.25000,38.25000,1.66765,392800
1980-07-10,38.25000,38.25000,37.50000,37.50000,1.63495,518400
1980-07-11,37.50000,38.12496,37.50000,38.00000,1.65675,401600
1980-07-14,38.00000,39.00000,37.87504,39.00000,1.70035,248800
1980-07-15,39.00000,39.12496,38.50000,38.62496,1.68399,884800
1980-07-16,38.62496,38.87504,37.87504,38.00000,1.65675,824800
1980-07-17,38.00000,38.00000,37.37504,37.62496,1.64040,2099200
1980-07-18,37.75000,38.25000,37.75000,37.87504,1.65130,1266400
1980-07-21,37.87504,37.87504,37.50000,37.62496,1.64040,631200
1980-07-22,37.62496,37.75000,37.25000,37.37504,1.62950,904800
1980-07-23,37.00000,37.00000,36.12496,36.50000,1.59135,1430400
1980-07-24,36.50000,36.75000,36.12496,36.12496,1.57500,1164800
1980-07-25,35.87504,35.87504,35.00000,35.25000,1.53685,1286400
1980-07-28,34.87504,34.87504,34.12496,34.62496,1.50960,1500800
1980-07-29,34.62496,35.12496,34.50000,34.87504,1.52050,2452000
1980-07-30,34.87504,35.12496,34.50000,34.75000,1.51505,1027200
1980-07-31,34.75000,34.87504,34.00000,34.87504,1.52050,1108000
1980-08-01,34.87504,35.12496,34.37504,34.50000,1.50415,989600
1980-08-04,34.50000,35.12496,34.37504,35.12496,1.53140,1250400
1980-08-05,35.12496,35.12496,34.62496,34.75000,1.51505,1845600
1980-08-06,34.75000,35.00000,34.50000,35.00000,1.52595,618400
1980-08-07,35.12496,35.62496,35.12496,35.37504,1.54230,1208800
1980-08-08,35.37504,35.62496,35.00000,35.25000,1.53685,983200
1980-08-11,35.37504,36.25000,35.37504,36.25000,1.58045,2057600
1980-08-12,36.25000,36.25000,35.75000,35.87504,1.56410,608800
1980-08-13,35.87504,35.87504,35.37504,35.37504,1.54230,628000
1980-08-14,35.37504,35.75000,35.25000,35.75000,1.55865,590400
1980-08-15,35.75000,35.75000,35.25000,35.62496,1.55320,652000
1980-08-18,35.62496,35.62496,35.12496,35.25000,1.53685,913600
1980-08-19,35.25000,35.75000,35.25000,35.50000,1.54775,786400
1980-08-20,35.50000,35.50000,34.87504,35.12496,1.53140,587200
1980-08-21,35.12496,35.25000,35.00000,35.12496,1.53140,3668000
1980-08-22,35.12496,35.50000,35.12496,35.25000,1.53685,665600
1980-08-25,35.25000,35.50000,35.00000,35.00000,1.52595,420800
1980-08-26,35.00000,35.12496,34.62496,34.62496,1.50960,1229600
1980-08-27,34.62496,34.87504,34.50000,34.50000,1.50415,1338400
1980-08-28,34.50000,34.75000,34.50000,34.50000,1.50415,250400
1980-08-29,34.50000,35.00000,34.50000,35.00000,1.52595,474400
1980-09-02,35.00000,35.87504,34.87504,35.75000,1.55865,614400
1980-09-03,35.75000,37.25000,35.50000,37.25000,1.62405,1505600
1980-09-04,37.25000,37.50000,36.62496,36.75000,1.60225,960000
1980-09-05,36.75000,36.87504,36.25000,36.25000,1.58045,663200
1980-09-08,36.25000,36.50000,36.00000,36.12496,1.57500,869600
1980-09-09,36.12496,36.62496,35.87504,36.62496,1.59680,1440800
1980-09-10,36.62496,37.37504,36.50000,37.12496,1.61860,1376800
1980-09-11,37.12496,37.75000,37.00000,37.75000,1.64585,1655200
1980-09-12,37.75000,37.75000,37.25000,37.37504,1.65270,964800
1980-09-15,37.37504,37.62496,37.25000,37.62496,1.66375,556800
1980-09-16,37.62496,37.87504,37.50000,37.75000,1.66928,580000
1980-09-17,38.00000,38.75000,38.00000,38.62496,1.70797,928800
1980-09-18,38.62496,38.75000,38.37504,38.50000,1.70245,839200
1980-09-19,38.50000,39.87504,38.50000,39.87504,1.76325,940000
1980-09-22,39.75000,39.75000,39.37504,39.50000,1.74667,593600
1980-09-23,39.62496,40.12496,39.62496,39.75000,1.75772,964800
1980-09-24,39.75000,40.00000,39.25000,40.00000,1.76878,514400
1980-09-25,39.87504,39.87504,39.25000,39.25000,1.73561,531200
1980-09-26,38.50000,38.50000,37.25000,37.75000,1.66928,850400
1980-09-29,37.25000,37.25000,36.12496,36.75000,1.62506,633600
1980-09-30,36.75000,37.00000,36.25000,36.75000,1.62506,640800
1980-10-01,36.75000,36.87504,36.25000,36.75000,1.62506,512000
1980-10-02,36.75000,37.87504,36.75000,37.87504,1.67481,536000
1980-10-03,38.00000,39.37504,38.00000,39.12496,1.73008,612800
1980-10-06,39.12496,40.00000,39.00000,39.87504,1.76325,491200
