Date,Open,High,Low,Close,Adj Close,Volume
1973-01-02,24.70410,24.70410,24.70410,24.70410,15.24486,0
1973-01-03,24.81198,24.81198,24.81198,24.81198,15.31144,0
1973-01-04,24.52431,24.52431,24.52431,24.52431,15.13391,0
1973-01-05,24.66815,24.66815,24.66815,24.66815,15.22267,0
1973-01-08,24.59623,24.59623,24.59623,24.59623,15.17829,0
1973-01-09,24.74006,24.74006,24.74006,24.74006,15.26706,0
1973-01-10,24.74006,24.74006,24.74006,24.74006,15.26706,0
1973-01-11,24.91986,24.91986,24.91986,24.91986,15.37800,0
1973-01-12,24.95582,24.95582,24.95582,24.95582,15.40020,0
1973-01-15,25.02774,25.02774,25.02774,25.02774,15.44458,0
1973-01-16,24.63219,24.63219,24.63219,24.63219,15.20048,0
1973-01-17,24.23663,24.23663,24.23663,24.23663,14.95638,0
1973-01-18,24.09280,24.09280,24.09280,24.09280,14.86763,0
1973-01-19,23.76916,23.76916,23.76916,23.76916,14.66791,0
1973-01-22,23.80512,23.80512,23.80512,23.80512,14.69010,0
1973-01-23,23.94896,23.94896,23.94896,23.94896,14.77886,0
1973-01-24,23.80512,23.80512,23.80512,23.80512,14.69010,0
1973-01-26,23.15785,23.15785,23.15785,23.15785,14.29067,0
1973-01-29,22.43866,22.43866,22.43866,22.43866,13.84686,0
1973-01-30,22.43866,22.43866,22.43866,22.43866,13.84686,0
1973-01-31,22.51058,22.51058,22.51058,22.51058,13.89124,0
1973-02-01,22.43866,22.43866,22.43866,22.43866,13.84686,0
1973-02-02,22.40270,22.40270,22.40270,22.40270,13.82467,0
1973-02-05,22.40270,22.40270,22.40270,22.40270,13.82467,0
1973-02-06,22.51058,22.51058,22.51058,22.51058,13.89124,0
1973-02-07,22.43866,22.43866,22.43866,22.43866,13.84686,0
1973-02-08,22.18695,22.18695,22.18695,22.18695,13.69152,0
1973-02-09,22.29483,22.29483,22.29483,22.29483,13.75810,0
1973-02-12,22.58250,22.58250,22.58250,22.58250,13.93562,0
1973-02-13,22.87018,22.87018,22.87018,22.87018,14.11315,0
1973-02-14,22.47462,22.47462,22.47462,22.47462,13.86905,0
1973-02-15,21.93523,21.93523,21.93523,21.93523,13.53619,0
1973-02-16,21.97119,21.97119,21.97119,21.97119,13.55839,0
1973-02-20,22.15099,22.15099,22.15099,22.15099,13.66934,0
1973-02-21,22.00715,22.00715,22.00715,22.00715,13.58057,0
1973-02-22,21.93523,21.93523,21.93523,21.93523,13.53619,0
1973-02-23,21.61160,21.61160,21.61160,21.61160,13.33648,0
1973-02-26,21.50372,21.50372,21.50372,21.50372,13.26990,0
1973-02-27,20.60473,20.60473,20.60473,20.60473,12.71515,0
1973-02-28,20.56878,20.56878,20.56878,20.56878,12.69296,0
1973-03-01,20.56878,20.56878,20.56878,20.56878,12.69296,0
1973-03-02,20.89241,20.89241,20.89241,20.89241,12.89267,0
1973-03-05,21.00029,21.00029,21.00029,21.00029,12.95924,0
1973-03-06,21.50372,21.50372,21.50372,21.50372,13.26990,0
1973-03-07,21.97119,21.97119,21.97119,21.97119,13.55839,0
1973-03-08,22.00715,22.00715,22.00715,22.00715,13.58057,0
1973-03-09,22.00715,22.00715,22.00715,22.00715,13.58057,0
1973-03-12,22.07907,22.07907,22.07907,22.07907,13.62496,0
1973-03-13,22.11503,22.11503,22.11503,22.11503,13.64715,0
1973-03-14,22.15099,22.15099,22.15099,22.15099,13.66934,0
1973-03-15,22.07907,22.07907,22.07907,22.07907,13.62496,0
1973-03-16,22.15099,22.15099,22.15099,22.15099,13.66934,0
1973-03-19,21.68352,21.68352,21.68352,21.68352,13.38086,0
1973-03-20,21.50372,21.50372,21.50372,21.50372,13.26990,0
1973-03-21,21.18008,21.18008,21.18008,21.18008,13.07019,0
1973-03-22,20.56878,20.56878,20.56878,20.56878,12.69296,0
1973-03-23,20.64069,20.64069,20.64069,20.64069,12.73734,0
1973-03-26,20.64069,20.64069,20.64069,20.64069,12.73734,0
1973-03-27,20.82049,20.82049,20.82049,20.82049,12.84829,0
1973-03-28,21.57564,21.57564,21.57564,21.57564,13.31429,0
1973-03-29,22.07907,22.07907,22.07907,22.07907,13.62496,0
1973-03-30,21.71948,21.71948,21.71948,21.71948,13.40306,0
1973-04-02,21.28796,21.28796,21.28796,21.28796,13.13677,0
1973-04-03,21.07221,21.07221,21.07221,21.07221,13.00362,0
1973-04-04,20.35302,20.35302,20.35302,20.35302,12.55982,0
1973-04-05,20.56878,20.56878,20.56878,20.56878,12.69296,0
1973-04-06,20.71261,20.71261,20.71261,20.71261,12.78172,0
1973-04-09,20.71261,20.71261,20.71261,20.71261,12.78172,0
1973-04-10,20.56878,20.56878,20.56878,20.56878,12.69296,0
1973-04-11,20.64069,20.64069,20.64069,20.64069,12.73734,0
1973-04-12,21.00029,21.00029,21.00029,21.00029,12.95924,0
1973-04-13,21.07221,21.07221,21.07221,21.07221,13.00362,0
1973-04-16,21.03625,21.03625,21.03625,21.03625,12.98144,0
1973-04-17,20.89241,20.89241,20.89241,20.89241,12.89267,0
1973-04-18,20.82049,20.82049,20.82049,20.82049,12.84829,0
1973-04-19,20.78453,20.78453,20.78453,20.78453,12.82610,0
1973-04-23,20.53282,20.53282,20.53282,20.53282,12.67077,0
1973-04-24,20.20918,20.20918,20.20918,20.20918,12.47105,0
1973-04-25,20.06534,20.06534,20.06534,20.06534,12.38230,0
1973-04-26,19.92150,19.92150,19.92150,19.92150,12.29353,0
1973-04-27,19.70575,19.70575,19.70575,19.70575,12.16038,0
1973-04-30,19.63383,19.63383,19.63383,19.63383,12.11601,0
1973-05-01,19.27424,19.27424,19.27424,19.27424,11.89410,0
1973-05-02,19.38211,19.38211,19.38211,19.38211,11.96067,0
1973-05-03,19.38211,19.38211,19.38211,19.38211,11.96067,0
1973-05-04,19.99342,19.99342,19.99342,19.99342,12.33791,0
1973-05-07,19.63383,19.63383,19.63383,19.63383,12.11601,0
1973-05-08,19.45403,19.45403,19.45403,19.45403,12.00505,0
1973-05-09,19.34616,19.34616,19.34616,19.34616,11.93848,0
1973-05-10,19.16636,19.16636,19.16636,19.16636,11.82753,0
1973-05-11,18.95060,18.95060,18.95060,18.95060,11.69439,0
1973-05-14,17.76394,17.76394,17.76394,17.76394,10.96210,0
1973-05-15,17.83586,17.83586,17.83586,17.83586,11.00648,0
