Date,Open,High,Low,Close,Adj Close,Volume
1999-10-29,110.00000,165.00000,110.00000,145.18750,145.18750,11474900
1999-11-01,144.00000,179.00000,143.00000,174.31250,174.31250,5103800
1999-11-02,178.00000,199.00000,175.00000,192.75000,192.75000,3979400
1999-11-03,200.50000,204.00000,185.12500,190.87500,190.87500,1545100
1999-11-04,191.87500,191.93750,171.00000,173.25000,173.25000,1596900
1999-11-05,178.00000,183.00000,166.43750,174.25000,174.25000,770600
1999-11-08,173.00000,190.50000,172.87500,187.56250,187.56250,872200
1999-11-09,189.18750,197.00000,178.00000,189.75000,189.75000,539900
1999-11-10,190.37500,195.50000,181.50000,190.00000,190.00000,439600
1999-11-11,190.00000,194.25000,178.50000,182.18750,182.18750,368200
1999-11-12,185.12500,185.50000,174.06250,177.31250,177.31250,298900
1999-11-15,180.00000,181.00000,169.00000,171.75000,171.75000,374100
1999-11-16,176.75000,184.00000,163.62500,184.00000,184.00000,584700
1999-11-17,180.62500,190.00000,178.31250,189.37500,189.37500,422500
1999-11-18,190.50000,190.50000,180.00000,187.37500,187.37500,318200
1999-11-19,191.00000,192.62500,183.25000,185.00000,185.00000,426400
1999-11-22,187.37500,188.68750,176.00000,184.87500,184.87500,242000
1999-11-23,193.00000,219.87500,186.00000,210.00000,210.00000,1596200
1999-11-24,215.93750,215.93750,200.25000,201.00000,201.00000,517700
1999-11-26,207.50000,210.50000,203.50000,206.50000,206.50000,182100
1999-11-29,213.50000,236.50000,210.75000,227.00000,227.00000,751800
1999-11-30,237.50000,249.50000,220.50000,237.00000,237.00000,1421400
1999-12-01,238.12500,239.00000,207.25000,217.62500,217.62500,790500
1999-12-02,214.56250,225.75000,214.50000,215.25000,215.25000,282000
1999-12-03,218.37500,229.00000,206.25000,207.00000,207.00000,435200
1999-12-06,208.18750,219.00000,201.12500,216.75000,216.75000,292700
1999-12-07,223.75000,229.37500,215.00000,226.00000,226.00000,516200
1999-12-08,226.00000,241.68750,223.25000,241.50000,241.50000,515799
1999-12-09,247.00000,258.00000,224.00000,250.00000,250.00000,560300
1999-12-10,253.37500,258.75000,238.00000,243.50000,243.50000,309700
1999-12-13,246.50000,246.50000,227.00000,228.50000,228.50000,386100
1999-12-14,233.75000,236.37500,217.00000,217.00000,217.00000,395600
1999-12-15,215.00000,232.00000,201.00000,230.37500,230.37500,352800
1999-12-16,236.56250,271.50000,236.00000,271.00000,271.00000,936400
1999-12-17,271.50000,298.00000,268.00000,281.75000,281.75000,685200
1999-12-20,285.43750,302.00000,282.93750,286.25000,286.25000,367100
1999-12-21,292.50000,309.00000,290.25000,301.87500,301.87500,454700
1999-12-22,305.75000,309.12500,287.68750,291.00000,291.00000,352500
1999-12-23,289.87500,293.93750,274.25000,281.43750,281.43750,377100
1999-12-27,282.56250,285.87500,275.00000,285.87500,285.87500,177600
1999-12-28,284.68750,290.00000,265.00000,271.50000,271.50000,175400
1999-12-29,277.87500,304.00000,277.50000,303.56250,303.56250,381800
1999-12-30,315.93750,342.37500,314.75000,327.00000,327.00000,388100
1999-12-31,334.00000,344.87500,320.00000,327.62500,327.62500,237400
2000-01-03,344.18750,345.50000,311.00000,321.25000,321.25000,285600
2000-01-04,320.00000,321.50000,300.00000,300.00000,300.00000,215900
2000-01-05,282.50000,299.62500,262.00000,283.50000,283.50000,1183500
2000-01-06,272.00000,278.12500,235.25000,236.12500,236.12500,797500
2000-01-07,248.37500,254.50000,238.00000,248.37500,248.37500,729100
2000-01-10,259.12500,286.25000,249.56250,285.50000,285.50000,1143200
2000-01-11,295.12500,298.00000,267.25000,278.43750,278.43750,481000
2000-01-12,288.00000,289.25000,250.00000,254.00000,254.00000,1011300
2000-01-13,260.37500,260.50000,218.37500,232.81250,232.81250,1031300
