Date,Open,High,Low,Close,Adj Close,Volume
1993-06-03,14.87500,15.00000,14.50000,14.68750,7.59378,56603000
1993-06-04,14.56250,14.68750,14.31250,14.31250,7.39989,12644400
1993-06-07,14.12500,14.25000,14.00000,14.06250,7.27064,10043800
1993-06-08,14.06250,14.12500,13.81250,13.87500,7.17370,6974600
1993-06-09,13.93750,14.25000,13.93750,14.12500,7.30295,4043200
1993-06-10,14.06250,14.12500,13.93750,14.00000,7.23833,2605400
1993-06-11,14.00000,14.18750,14.00000,14.00000,7.23833,2641600
1993-06-14,14.06250,14.12500,13.87500,13.87500,7.17370,1806200
1993-06-15,14.00000,14.00000,13.87500,13.93750,7.20601,2257600
1993-06-16,13.93750,14.00000,13.87500,14.00000,7.23833,2391600
1993-06-17,14.00000,14.12500,13.93750,14.00000,7.23833,2126800
1993-06-18,14.00000,14.00000,13.81250,13.81250,7.14138,2128600
1993-06-21,13.81250,13.81250,13.56250,13.68750,7.07676,2101000
1993-06-22,13.68750,13.87500,13.68750,13.87500,7.17370,1593600
1993-06-23,13.87500,14.00000,13.81250,13.81250,7.14138,1948000
1993-06-24,13.81250,14.06250,13.62500,14.06250,7.27064,3305200
1993-06-25,14.25000,14.31250,14.06250,14.25000,7.36758,2468000
1993-06-28,14.18750,14.50000,14.18750,14.50000,7.49684,2522600
1993-06-29,14.43750,14.50000,14.12500,14.37500,7.43221,1190800
1993-06-30,14.50000,14.62500,14.43750,14.50000,7.49684,2553800
1993-07-01,14.68750,14.75000,14.31250,14.75000,7.62609,2857800
1993-07-02,14.43750,14.43750,14.31250,14.37500,7.43221,1077200
1993-07-06,14.43750,14.56250,14.31250,14.31250,7.39989,1237600
1993-07-07,14.25000,14.37500,14.18750,14.25000,7.36758,1667200
1993-07-08,14.31250,14.50000,14.25000,14.43750,7.46452,1588600
1993-07-09,14.56250,14.62500,14.25000,14.25000,7.36758,1731200
1993-07-12,14.37500,14.37500,13.93750,14.12500,7.30295,1738600
1993-07-13,14.18750,14.43750,14.18750,14.31250,7.39989,1305000
1993-07-14,14.31250,14.62500,14.31250,14.62500,7.56147,1805600
1993-07-15,14.62500,14.68750,14.56250,14.68750,7.59378,1235400
1993-07-16,14.87500,15.06250,14.75000,14.93750,7.72303,2590200
1993-07-19,15.00000,15.18750,14.93750,15.18750,7.85229,2590000
1993-07-20,15.75000,15.75000,15.31250,15.31250,7.91692,3977600
1993-07-21,15.43750,15.43750,14.93750,14.93750,7.72303,1779000
1993-07-22,15.00000,15.00000,14.75000,14.81250,7.65841,1095200
1993-07-23,14.81250,15.06250,14.81250,14.93750,7.72303,1060400
1993-07-26,15.00000,15.25000,14.93750,15.25000,7.88460,990000
1993-07-27,15.25000,15.56250,15.25000,15.25000,7.88460,942200
1993-07-28,15.25000,15.31250,15.12500,15.18750,7.85229,346200
1993-07-29,15.06250,15.37500,15.00000,15.25000,7.88460,1070400
1993-07-30,15.25000,15.56250,15.25000,15.56250,8.04618,1271200
1993-08-02,15.56250,15.68750,15.43750,15.50000,8.01386,1062200
1993-08-03,15.56250,15.81250,15.56250,15.68750,8.11081,1316000
1993-08-04,15.75000,15.87500,15.50000,15.62500,8.07849,752200
1993-08-05,15.68750,15.68750,15.25000,15.25000,7.88460,910600
1993-08-06,15.43750,15.62500,15.43750,15.50000,8.01386,718200
