Date,Open,High,Low,Close,Adj Close,Volume
2013-11-18,49.75000,50.00000,47.49000,48.48000,45.64470,587100
2013-11-19,48.99000,49.00000,45.30000,45.80000,43.12144,1682000
2013-11-20,45.98000,46.00000,43.99000,44.65000,42.03868,1106900
2013-11-21,44.50000,45.15000,43.04000,43.79000,41.22898,730200
2013-11-22,43.90000,44.10000,43.25000,43.99000,41.41729,947600
2013-11-25,44.28000,45.62000,43.70000,44.18000,41.59616,727300
2013-11-26,45.00000,45.00000,43.04000,43.20000,40.67349,873700
2013-11-27,43.55000,43.55000,42.50000,43.24000,40.71114,1153300
2013-11-29,42.75000,43.85000,42.75000,43.24000,40.71114,949900
2013-12-02,43.08000,43.67000,41.52000,43.14000,40.61700,5130700
2013-12-03,42.80000,44.85000,42.70000,42.90000,40.39104,3239300
2013-12-04,42.43000,42.61000,41.65000,41.83000,39.38361,2777700
2013-12-05,42.28000,42.28000,40.63000,41.05000,38.64922,3380500
2013-12-06,40.75000,41.06000,40.64000,40.70000,38.31970,4662300
2013-12-09,40.70000,41.27000,40.24000,41.18000,38.77162,3074000
2013-12-10,41.07000,42.84000,41.04000,42.56000,40.07092,3289400
2013-12-11,42.32000,43.02000,42.00000,42.46000,39.97675,3367300
2013-12-12,42.01000,43.10000,42.00000,42.97000,40.45693,1770500
2013-12-13,42.92000,43.80000,42.92000,43.25000,40.72056,683800
2013-12-16,43.01000,43.99000,42.11000,43.69000,41.13483,1953900
2013-12-17,43.43000,44.00000,43.16000,43.75000,41.19132,1396700
2013-12-18,43.65000,44.50000,43.10000,44.27000,41.68090,1225200
2013-12-19,43.96000,44.50000,43.82000,44.45000,41.85039,593000
2013-12-20,44.30000,44.45000,43.91000,44.26000,41.67149,2878600
2013-12-23,44.17000,44.85000,43.55000,44.65000,42.03868,773600
2013-12-24,44.76000,45.02000,44.25000,44.58000,41.97278,304700
2013-12-26,44.86000,45.01000,44.44000,44.70000,42.08577,513200
2013-12-27,44.77000,44.97000,44.09000,44.64000,42.02927,393300
2013-12-30,44.45000,44.88000,44.00000,44.12000,41.53968,381500
2013-12-31,44.23000,44.50000,43.76000,44.19000,41.60559,874200
2014-01-02,44.08000,44.18000,43.27000,43.65000,41.09716,992900
2014-01-03,43.57000,44.32000,43.17000,43.96000,41.38905,378400
2014-01-06,43.97000,43.98000,43.37000,43.68000,41.12542,597800
2014-01-07,42.16000,43.98000,42.16000,43.87000,41.30431,1371300
2014-01-08,44.02000,44.36000,43.40000,43.88000,41.31372,1407100
2014-01-09,43.89000,44.25000,43.84000,44.13000,41.54910,1093500
2014-01-10,44.17000,46.08000,44.02000,45.73000,43.05552,2008600
2014-01-13,45.70000,47.44000,45.20000,47.04000,44.28891,2278500
2014-01-14,47.16000,47.89000,46.91000,47.80000,45.00447,2338200
2014-01-15,47.97000,49.19000,47.26000,47.50000,44.72202,1733000
2014-01-16,47.28000,47.68000,47.04000,47.40000,44.62786,1178700
2014-01-17,47.52000,48.24000,47.00000,48.00000,45.19276,1572100
2014-01-21,49.38000,49.38000,47.94000,48.17000,45.35281,1570400
2014-01-22,48.11000,49.16000,48.08000,48.51000,45.67293,682200
2014-01-23,48.68000,48.68000,47.58000,47.72000,44.92914,867600
2014-01-24,47.62000,47.71000,45.83000,46.84000,44.10060,1417500
2014-01-27,45.20000,48.00000,45.20000,46.60000,43.87464,717800
2014-01-28,46.77000,47.88000,46.77000,47.73000,44.93855,721700
2014-01-29,47.35000,48.48000,47.13000,47.78000,44.98564,800900
2014-01-30,47.91000,49.63000,47.83000,49.42000,46.52972,1247100
2014-01-31,49.25000,49.96000,49.03000,49.35000,46.46381,2011100
2014-02-03,49.35000,49.94000,47.20000,47.44000,44.66551,1184800
2014-02-04,47.44000,48.48000,47.32000,48.05000,45.23983,891300
2014-02-05,47.84000,48.65000,47.15000,47.60000,44.81616,823100
2014-02-06,47.50000,49.27000,47.50000,49.24000,46.36025,1168400
2014-02-07,49.33000,50.27000,49.33000,49.94000,47.01931,1837500
2014-02-10,49.99000,50.12000,49.45000,49.84000,46.92516,763400
2014-02-11,49.73000,50.41000,49.33000,49.89000,46.97224,1446100
2014-02-12,49.92000,51.00000,49.73000,50.00000,47.07579,1405300
2014-02-13,49.98000,50.44000,49.59000,50.12000,47.18878,695000
2014-02-14,50.15000,50.25000,49.59000,49.63000,46.72743,891700
2014-02-18,49.72000,50.86000,49.72000,50.11000,47.17935,2748500
2014-02-19,49.84000,50.34000,49.03000,49.16000,46.28492,1076100
2014-02-20,50.23000,52.78000,49.10000,51.52000,48.50690,2623600
2014-02-21,51.75000,52.79000,51.75000,52.37000,49.30718,2198700
2014-02-24,52.36000,53.11000,52.36000,52.86000,49.76854,667900
2014-02-25,53.00000,54.58000,52.93000,54.56000,51.36911,1117600
2014-02-26,54.83000,55.78000,54.18000,54.66000,51.46327,1880100
2014-02-27,54.69000,55.53000,54.21000,55.35000,52.11291,1139900
2014-02-28,55.09000,55.32000,53.82000,54.35000,51.17139,1198500
2014-03-03,54.67000,54.93000,53.08000,53.49000,50.36169,659600
2014-03-04,53.71000,55.00000,53.48000,54.00000,50.84187,1189900
2014-03-05,53.90000,54.31000,53.38000,53.95000,50.79478,395000
2014-03-06,53.99000,54.10000,53.04000,53.19000,50.07922,617400
2014-03-07,53.44000,53.78000,52.59000,53.39000,50.26754,776100
2014-03-10,53.20000,53.67000,52.24000,53.29000,50.17339,1155300
2014-03-11,53.49000,54.80000,53.45000,54.50000,51.31262,874700
2014-03-12,54.42000,54.74000,52.77000,54.28000,51.10548,1255500
2014-03-13,54.46000,54.71000,53.13000,53.60000,50.53974,946400
2014-03-14,53.62000,53.95000,53.25000,53.30000,50.25687,1071800
2014-03-17,53.44000,53.83000,52.93000,52.96000,49.93627,1011700
2014-03-18,52.95000,53.49000,52.71000,53.28000,50.23801,880800
2014-03-19,53.18000,54.00000,52.92000,53.28000,50.23801,645000
2014-03-20,53.41000,54.22000,52.82000,54.17000,51.07719,628100
2014-03-21,54.38000,54.81000,53.74000,53.81000,50.73774,1356800
2014-03-24,54.00000,54.23000,53.04000,53.47000,50.41717,895600
2014-03-25,53.70000,53.90000,53.17000,53.21000,50.17201,708000
2014-03-26,53.32000,53.50000,52.01000,52.04000,49.06881,691100
2014-03-27,51.87000,51.97000,51.19000,51.45000,48.51250,492900
2014-03-28,51.62000,52.44000,51.54000,52.16000,49.18194,346100
2014-03-31,52.38000,52.58000,51.91000,52.17000,49.19138,334600
2014-04-01,52.44000,54.06000,52.29000,53.92000,50.84147,593600
2014-04-02,53.92000,54.81000,53.59000,54.67000,51.54866,500500
2014-04-03,54.77000,55.00000,54.58000,54.95000,51.81267,427900
2014-04-04,54.82000,55.35000,53.00000,53.73000,50.66233,492000
2014-04-07,53.71000,54.00000,51.53000,51.62000,48.67279,1054200
2014-04-08,51.34000,51.78000,50.81000,51.41000,48.47479,1213700
2014-04-09,51.46000,51.59000,51.23000,51.50000,48.55964,1212800
2014-04-10,51.52000,51.79000,50.12000,50.68000,47.78646,1488500
2014-04-11,50.53000,50.90000,49.86000,50.01000,47.15471,1184600
2014-04-14,50.28000,50.61000,49.18000,49.77000,46.92842,605900
2014-04-15,49.88000,50.43000,48.93000,49.96000,47.10756,419300
2014-04-16,50.16000,50.72000,49.84000,50.23000,47.36215,254000
2014-04-17,50.07000,50.54000,49.43000,50.15000,47.28673,427200
2014-04-21,49.98000,50.65000,49.60000,50.63000,47.73931,225700
2014-04-22,50.71000,51.15000,50.36000,51.00000,48.08818,422500
2014-04-23,50.89000,50.96000,49.98000,50.40000,47.52244,507800
2014-04-24,50.62000,50.78000,49.72000,50.24000,47.37158,659800
2014-04-25,49.95000,50.39000,49.37000,49.54000,46.71155,290300
2014-04-28,49.84000,50.08000,48.45000,48.82000,46.03265,605400
2014-04-29,48.96000,49.43000,48.46000,48.90000,46.10808,442000
2014-04-30,49.00000,49.46000,48.44000,49.35000,46.53239,481100
2014-05-01,51.00000,51.86000,49.48000,51.25000,48.32391,722100
2014-05-02,51.18000,51.74000,50.25000,50.70000,47.80532,479000
2014-05-05,50.28000,50.52000,49.57000,50.06000,47.20185,413800
2014-05-06,49.95000,50.16000,49.55000,49.89000,47.04157,596000
2014-05-07,49.89000,50.32000,49.34000,49.93000,47.07927,598000
2014-05-08,49.60000,50.40000,49.11000,49.36000,46.54182,530600
2014-05-09,49.20000,50.16000,48.67000,50.00000,47.14528,489100
2014-05-12,50.05000,50.84000,50.05000,50.48000,47.59787,586100
2014-05-13,50.50000,50.72000,50.33000,50.48000,47.59787,638700
2014-05-14,50.30000,50.43000,49.74000,49.79000,46.94728,470700
2014-05-15,49.52000,49.74000,47.98000,48.29000,45.53291,738400
2014-05-16,48.32000,49.43000,48.15000,49.28000,46.46639,719500
2014-05-19,49.30000,50.36000,49.27000,50.21000,47.34329,653500
2014-05-20,49.87000,50.54000,49.75000,50.50000,47.61673,1543600
2014-05-21,50.52000,51.03000,50.40000,50.71000,47.81474,338500
2014-05-22,50.65000,51.84000,50.32000,51.49000,48.55021,501100
2014-05-23,51.73000,52.59000,51.33000,52.46000,49.46484,451800
2014-05-27,52.49000,52.84000,52.33000,52.47000,49.47426,331600
2014-05-28,52.62000,53.26000,52.46000,52.94000,49.91742,523700
2014-05-29,52.94000,53.86000,52.94000,53.52000,50.46431,815600
2014-05-30,53.49000,53.51000,52.33000,52.39000,49.39881,400300
2014-06-02,52.77000,52.77000,52.04000,52.07000,49.09710,646500
2014-06-03,51.30000,52.74000,51.30000,52.41000,49.41768,451900
2014-06-04,52.27000,53.31000,52.23000,53.15000,50.11544,621100
2014-06-05,53.20000,54.34000,52.90000,54.31000,51.20921,608900
2014-06-06,54.43000,56.09000,54.37000,55.83000,52.64242,965400
2014-06-09,55.97000,56.81000,55.62000,56.35000,53.13273,850400
2014-06-10,56.24000,56.75000,55.95000,56.73000,53.49104,618100
2014-06-11,56.40000,56.42000,55.98000,56.34000,53.12331,625600
2014-06-12,56.18000,56.56000,55.89000,56.12000,52.99111,1780200
2014-06-13,56.26000,56.26000,55.90000,56.09000,52.96278,545100
2014-06-16,55.93000,57.36000,55.84000,57.13000,53.94480,634300
2014-06-17,56.88000,57.66000,56.10000,57.25000,54.05811,1436700
2014-06-18,57.23000,57.50000,57.05000,57.34000,54.14308,1901900
2014-06-19,57.33000,57.74000,56.04000,57.27000,54.07699,875800
2014-06-20,57.14000,57.78000,56.88000,57.62000,54.40748,1265000
2014-06-23,57.72000,58.29000,57.43000,57.56000,54.35083,384500
2014-06-24,57.30000,57.57000,56.49000,56.68000,53.51988,580300
2014-06-25,56.62000,56.83000,56.04000,56.69000,53.52932,503900
2014-06-26,56.72000,56.78000,56.17000,56.32000,53.17997,336500
2014-06-27,56.45000,56.45000,55.52000,55.58000,52.48121,1105000
2014-06-30,55.52000,56.75000,55.42000,56.68000,53.51988,609900
2014-07-01,56.77000,57.46000,56.77000,57.06000,53.87869,424500
2014-07-02,57.00000,57.87000,57.00000,57.37000,54.17141,484600
2014-07-03,57.46000,57.74000,57.02000,57.16000,53.97313,138700
2014-07-07,57.04000,57.04000,55.94000,56.04000,52.91556,274700
2014-07-08,56.04000,56.04000,54.99000,55.51000,52.41512,424300
2014-07-09,55.50000,56.03000,55.36000,55.61000,52.50954,342800
2014-07-10,54.85000,55.88000,54.62000,55.60000,52.50010,496000
2014-07-11,55.67000,56.45000,55.44000,56.03000,52.90613,269000
2014-07-14,56.10000,56.57000,55.62000,55.98000,52.85891,426400
2014-07-15,55.85000,56.19000,55.28000,55.61000,52.50954,306800
2014-07-16,55.79000,56.11000,55.14000,55.43000,52.33958,417400
2014-07-17,55.05000,55.17000,54.18000,54.27000,51.24426,408600
2014-07-18,54.35000,55.01000,54.11000,54.89000,51.82967,300700
2014-07-21,54.79000,55.05000,54.56000,54.76000,51.70693,265900
2014-07-22,55.15000,55.58000,54.71000,54.90000,51.83912,242000
2014-07-23,54.92000,55.09000,54.10000,54.45000,51.41423,362800
2014-07-24,54.42000,55.46000,54.29000,54.97000,51.90523,412400
2014-07-25,54.63000,55.25000,54.39000,55.10000,52.02798,473700
2014-07-28,55.10000,55.11000,53.32000,53.57000,50.58329,513200
2014-07-29,53.52000,53.86000,52.42000,52.45000,49.52573,582000
2014-07-30,52.55000,53.96000,52.43000,53.66000,50.66827,799300
2014-07-31,50.90000,52.73000,49.93000,51.43000,48.56260,1583400
2014-08-01,51.43000,51.48000,49.59000,50.36000,47.55225,903900
2014-08-04,50.59000,51.77000,49.97000,50.12000,47.32563,956900
2014-08-05,50.14000,50.93000,49.80000,50.40000,47.59002,668400
2014-08-06,49.30000,50.23000,48.83000,50.12000,47.32563,1078300
2014-08-07,50.50000,50.63000,49.60000,49.87000,47.08956,622300
2014-08-08,49.92000,50.72000,49.92000,50.61000,47.78831,850400
2014-08-11,50.76000,51.03000,50.28000,50.36000,47.55225,342200
2014-08-12,50.29000,51.12000,50.28000,50.96000,48.11879,712200
2014-08-13,51.06000,52.28000,51.06000,52.24000,49.32744,708300
2014-08-14,52.23000,52.36000,51.67000,52.02000,49.11969,626600
2014-08-15,52.33000,52.93000,51.83000,52.26000,49.34632,755500
2014-08-18,52.51000,53.20000,52.17000,52.64000,49.70514,325400
2014-08-19,52.80000,53.41000,52.23000,52.61000,49.67681,513600
2014-08-20,52.63000,52.91000,52.27000,52.52000,49.59182,332400
2014-08-21,52.63000,52.77000,52.11000,52.14000,49.23301,249600
2014-08-22,52.05000,52.12000,51.74000,51.97000,49.07249,399800
2014-08-25,52.22000,52.56000,51.91000,52.47000,49.54461,276100
2014-08-26,52.47000,52.58000,52.09000,52.38000,49.45962,291400
2014-08-27,52.26000,52.26000,51.65000,52.01000,49.11026,281200
2014-08-28,51.73000,51.79000,51.21000,51.55000,48.67590,438400
