Date,Open,High,Low,Close,Adj Close,Volume
1997-11-21,17.16667,17.95833,17.16667,17.66667,17.12502,4724800
1997-11-24,17.58333,17.58333,17.33333,17.33333,16.80190,714100
1997-11-25,17.33333,17.41667,17.33333,17.33333,16.80190,347700
1997-11-26,17.33333,17.41667,16.25000,16.29167,15.79217,939600
1997-11-28,16.33333,16.66667,16.33333,16.66667,16.15567,67000
1997-12-01,16.70833,17.16667,16.66667,16.91667,16.39801,411400
1997-12-02,16.87500,16.87500,16.33333,16.45833,15.95373,246900
1997-12-03,16.20833,16.33333,15.91667,16.16667,15.67100,714900
1997-12-04,16.16667,16.16667,15.95833,16.00000,15.50945,331800
1997-12-05,16.00000,16.08333,15.95833,16.00000,15.50945,173100
1997-12-08,16.08333,16.16667,16.00000,16.16667,15.67100,143500
1997-12-09,16.12500,16.75000,16.12500,16.58333,16.07490,222400
1997-12-10,16.58333,16.75000,16.37500,16.66667,16.15567,232000
1997-12-11,16.58333,16.62500,16.37500,16.62500,16.11529,52900
1997-12-12,16.54167,16.75000,16.45833,16.45833,15.95373,176700
1997-12-15,16.50000,16.62500,16.33333,16.58333,16.07490,118300
1997-12-16,16.75000,17.50000,16.75000,17.50000,16.96345,450100
1997-12-17,17.62500,18.54167,17.58333,18.54167,17.97318,417100
1997-12-18,18.50000,19.33333,18.45833,19.33333,18.74058,86200
1997-12-19,19.41667,19.70833,19.33333,19.70833,19.10409,93400
1997-12-22,19.62500,19.62500,18.91667,19.33333,18.74058,117300
1997-12-23,20.08333,20.12500,19.91667,19.91667,19.30603,207100
1997-12-24,19.75000,19.75000,19.00000,19.25000,18.65980,32200
1997-12-26,19.16667,19.50000,19.08333,19.41667,18.82136,8200
1997-12-29,19.33333,19.33333,18.41667,18.41667,17.85202,22900
1997-12-30,18.41667,19.16667,18.41667,19.16667,18.57903,120600
1997-12-31,19.16667,19.41667,19.16667,19.33333,18.74058,75400
1998-01-02,19.08333,19.20833,18.87500,19.20833,18.61942,34000
1998-01-05,19.29167,19.54167,18.91667,19.29167,18.70019,99700
1998-01-06,19.16667,19.54167,19.00000,19.29167,18.70019,35100
1998-01-07,19.20833,19.20833,18.16667,18.16667,17.60968,35700
1998-01-08,18.16667,18.91667,18.16667,18.37500,17.81163,41200
1998-01-09,18.33333,18.33333,18.08333,18.29167,17.73085,35100
1998-01-12,18.12500,18.41667,18.08333,18.41667,17.85202,19300
1998-01-13,18.41667,18.95833,18.41667,18.87500,18.29630,78900
1998-01-14,18.95833,19.25000,18.79167,19.25000,18.65980,92800
1998-01-15,19.25000,19.66667,19.12500,19.66667,19.06369,82900
1998-01-16,19.62500,19.95833,19.58333,19.66667,19.06369,29400
1998-01-20,19.75000,20.16667,19.75000,20.16667,19.54837,9300
1998-01-21,20.16667,20.25000,19.95833,20.16667,19.54837,60400
1998-01-22,20.04167,20.08333,20.00000,20.04167,19.42720,25900
1998-01-23,20.04167,20.08333,20.04167,20.04167,19.42720,210600
1998-01-26,20.20833,20.20833,20.00000,20.08333,19.46759,94000
1998-01-27,20.04167,20.04167,19.83333,19.83333,19.22525,173800
1998-01-28,19.95833,19.95833,19.83333,19.83333,19.22525,96300
1998-01-29,19.83333,20.08333,19.75000,20.04167,19.42720,37000
1998-01-30,20.12500,20.29167,20.08333,20.12500,19.50797,12100
1998-02-02,20.16667,20.66667,20.16667,20.50000,19.87148,41500
1998-02-03,20.75000,21.00000,20.75000,21.00000,20.35615,7500
1998-02-04,20.87500,21.25000,20.87500,21.25000,20.59848,17200
1998-02-05,21.41667,21.66667,21.41667,21.66667,21.00238,21000
1998-02-06,21.66667,21.66667,21.58333,21.62500,20.96199,48700
1998-02-09,21.54167,21.58333,21.41667,21.50000,20.84082,3700
1998-02-10,21.41667,21.83333,21.33333,21.54167,20.88120,24600
1998-02-11,21.62500,21.75000,21.33333,21.33333,20.67926,103800
1998-02-12,21.41667,21.66667,21.00000,21.04167,20.39654,41500
1998-02-13,21.12500,21.41667,21.12500,21.20833,20.55810,43300
1998-02-17,21.20833,21.58333,21.20833,21.58333,20.92160,42400
1998-02-18,21.58333,21.62500,21.50000,21.58333,20.92160,67800
1998-02-19,21.54167,22.00000,21.50000,22.00000,21.32549,32700
1998-02-20,22.00000,23.33333,21.91667,23.33333,22.61794,71700
1998-02-23,23.33333,23.62500,23.29167,23.58333,22.86028,253800
1998-02-24,23.66667,24.33333,23.62500,24.29167,23.54689,47500
1998-02-25,24.25000,24.33333,24.20833,24.29167,23.54689,13800
1998-02-26,24.25000,24.66667,24.25000,24.58333,23.82962,20500
1998-02-27,24.79167,25.29167,24.50000,24.66667,23.91040,69100
1998-03-02,24.50000,24.62500,24.41667,24.62500,23.87001,11200
1998-03-03,24.58333,24.58333,24.29167,24.41667,23.66806,20400
1998-03-04,24.41667,24.66667,24.33333,24.66667,23.91040,15100
1998-03-05,24.33333,24.33333,23.91667,24.16667,23.42572,25900
1998-03-06,24.08333,24.79167,24.08333,24.79167,24.03156,7500
1998-03-09,24.66667,24.66667,24.37500,24.37500,23.62767,25600
1998-03-10,24.45833,24.58333,24.37500,24.58333,23.82962,7000
1998-03-11,24.58333,24.66667,24.41667,24.41667,23.66806,6300
1998-03-12,24.66667,24.70833,24.45833,24.45833,23.70845,8100
1998-03-13,24.33333,24.79167,24.33333,24.75000,23.99118,21900
1998-03-16,24.75000,24.75000,24.62500,24.62500,23.87001,6100
1998-03-17,24.50000,24.62500,24.45833,24.50000,23.74884,5700
1998-03-18,24.50000,24.54167,24.41667,24.50000,23.74884,3700
1998-03-19,24.37500,24.37500,24.20833,24.37500,23.62767,6100
1998-03-20,24.25000,24.25000,23.70833,23.70833,22.98145,12900
1998-03-23,23.54167,23.54167,23.00000,23.00000,22.29483,13600
1998-03-24,22.91667,23.29167,22.70833,23.20833,22.49677,23500
1998-03-25,23.33333,23.66667,23.33333,23.66667,22.94106,13800
1998-03-26,23.66667,23.87500,23.66667,23.83333,23.10262,3000
1998-03-27,24.00000,24.12500,23.54167,23.62500,22.90067,14400
1998-03-30,23.70833,23.75000,23.16667,23.25000,22.53717,106600
1998-03-31,23.08333,23.33333,23.08333,23.25000,22.53717,96000
1998-04-01,23.33333,23.33333,23.04167,23.25000,22.53717,39900
1998-04-02,23.29167,23.50000,23.08333,23.50000,22.77950,106500
1998-04-03,23.70833,24.45833,23.70833,24.33333,23.58729,49600
1998-04-06,24.41667,24.45833,24.12500,24.12500,23.38534,27400
1998-04-07,24.00000,24.16667,23.58333,23.58333,22.86028,19600
1998-04-08,23.58333,23.58333,23.00000,23.16667,22.45639,29100
1998-04-09,23.16667,23.16667,22.83333,23.04167,22.33522,166600
1998-04-13,23.12500,23.41667,23.12500,23.41667,22.69872,24100
1998-04-14,23.45833,23.45833,23.29167,23.41667,22.69872,143400
1998-04-15,23.33333,23.41667,23.29167,23.33333,22.61794,51100
1998-04-16,23.20833,23.25000,22.91667,23.08333,22.37561,70800
1998-04-17,23.08333,23.45833,23.00000,23.45833,22.73911,135300
1998-04-20,23.50000,24.25000,23.50000,23.87500,23.14300,18700
1998-04-21,23.83333,24.33333,23.83333,24.29167,23.54689,38200
1998-04-22,24.62500,25.16667,24.62500,25.16667,24.39506,37900
1998-04-23,25.16667,25.33333,25.16667,25.33333,24.55662,36100
1998-04-24,25.33333,25.75000,25.33333,25.66667,24.87974,22000
1998-04-27,25.54167,25.54167,24.45833,24.58333,23.82962,25200
1998-04-28,24.58333,25.08333,24.58333,24.66667,23.91040,79800
1998-04-29,24.66667,24.66667,23.33333,24.08333,23.34495,87100
1998-04-30,24.16667,24.75000,24.16667,24.75000,23.99118,323400
1998-05-01,24.83333,25.83333,24.83333,25.83333,25.04130,41400
1998-05-04,25.66667,26.25000,25.50000,26.00000,25.20285,53500
1998-05-05,26.16667,26.33333,26.00000,26.12500,25.32402,23700
1998-05-06,26.20833,26.20833,26.00000,26.00000,25.20285,7500
1998-05-07,26.00000,26.25000,26.00000,26.00000,25.20285,71200
1998-05-08,25.91667,25.91667,25.87500,25.87500,25.08169,13800
1998-05-11,25.87500,25.87500,25.12500,25.29167,24.51623,58200
1998-05-12,25.25000,25.37500,25.25000,25.37500,24.59701,25000
1998-05-13,25.25000,25.25000,25.04167,25.25000,24.47584,9400
1998-05-14,25.29167,25.29167,25.25000,25.29167,24.51623,4000
1998-05-15,25.33333,25.33333,24.66667,24.70833,23.95079,90600
1998-05-18,24.58333,24.62500,24.45833,24.58333,23.82962,16500
1998-05-19,24.66667,24.66667,24.37500,24.62500,23.87001,59800
1998-05-20,24.62500,24.62500,23.95833,24.33333,23.58729,21900
1998-05-21,24.33333,24.33333,24.00000,24.29167,23.54689,33400
1998-05-22,24.33333,24.33333,24.00000,24.04167,23.30455,22200
1998-05-26,24.12500,25.20833,23.95833,25.20833,24.43546,37600
1998-05-27,24.95833,25.25000,24.75000,25.25000,24.47584,46600
1998-05-28,25.04167,25.04167,23.58333,24.00000,23.26417,87900
1998-05-29,23.95833,23.95833,23.83333,23.87500,23.14300,74100
1998-06-01,23.83333,23.95833,23.58333,23.66667,22.94106,51600
1998-06-02,23.66667,23.66667,23.37500,23.50000,22.77950,20800
1998-06-03,23.50000,23.54167,23.25000,23.25000,22.53717,68500
1998-06-04,23.16667,23.20833,23.00000,23.20833,22.49677,17700
1998-06-05,23.20833,23.25000,23.08333,23.12500,22.41600,54900
1998-06-08,23.12500,23.12500,22.91667,23.00000,22.29483,18000
1998-06-09,23.00000,23.00000,22.66667,22.87500,22.17367,44700
1998-06-10,22.70833,22.75000,22.62500,22.70833,22.01211,21600
1998-06-11,22.70833,23.33333,22.62500,23.29167,22.57755,143200
1998-06-12,23.33333,23.70833,23.33333,23.62500,22.90067,62100
1998-06-15,23.62500,23.66667,23.37500,23.66667,22.94106,35400
1998-06-16,23.66667,23.87500,23.45833,23.66667,22.94106,157900
1998-06-17,23.66667,23.66667,23.33333,23.54167,22.81989,107500
1998-06-18,23.50000,23.58333,23.33333,23.58333,22.86028,32500
1998-06-19,23.58333,24.29167,23.54167,24.29167,23.54689,84400
1998-06-22,24.16667,24.25000,23.91667,24.00000,23.26417,41700
1998-06-23,23.87500,24.25000,23.87500,24.20833,23.46611,22300
1998-06-24,24.20833,24.54167,24.20833,24.54167,23.78923,75600
1998-06-25,24.54167,24.54167,23.87500,24.50000,23.74884,46500
1998-06-26,24.54167,24.75000,24.45833,24.75000,23.99118,23500
1998-06-29,24.72917,25.16667,24.70833,25.16667,24.39506,40000
1998-06-30,25.16667,25.16667,24.75000,24.75000,23.99118,124500
1998-07-01,24.87500,24.95833,24.54167,24.95833,24.19312,18300
1998-07-02,25.08333,25.08333,22.83333,23.54167,22.81989,52900
1998-07-06,23.16667,23.58333,22.83333,23.04167,22.33522,74100
1998-07-07,23.16667,23.41667,22.91667,23.33333,22.61794,41100
1998-07-08,23.37500,23.37500,22.29167,22.54167,21.85055,51300
1998-07-09,22.58333,22.58333,22.20833,22.29167,21.60821,73200
1998-07-10,22.33333,22.33333,21.50000,21.66667,21.00238,39100
1998-07-13,21.70833,21.91667,21.66667,21.83333,21.16393,99300
1998-07-14,21.87500,22.75000,21.66667,22.75000,22.05249,77700
1998-07-15,22.79167,23.58333,22.75000,23.29167,22.57755,46800
1998-07-16,23.25000,23.66667,23.00000,23.66667,22.94106,67500
1998-07-17,23.75000,23.79167,23.62500,23.70833,22.98145,7600
1998-07-20,23.62500,24.12500,23.62500,24.12500,23.38534,22500
1998-07-21,24.08333,24.16667,23.79167,23.95833,23.22378,95400
1998-07-22,23.87500,24.95833,23.41667,24.00000,23.26417,63100
1998-07-23,23.91667,24.20833,23.91667,24.08333,23.34495,38700
1998-07-24,24.08333,24.08333,23.91667,23.95833,23.22378,75000
1998-07-27,23.83333,23.83333,22.54167,22.62500,21.93133,82300
1998-07-28,22.50000,22.58333,22.16667,22.20833,21.52744,41200
1998-07-29,22.12500,22.12500,22.00000,22.04167,21.36588,18700
1998-07-30,22.00000,22.54167,22.00000,22.54167,21.85055,46200
1998-07-31,22.62500,22.62500,21.75000,21.79167,21.12354,19600
1998-08-03,21.70833,21.91667,20.95833,21.87500,21.20432,19900
1998-08-04,21.83333,22.00000,21.50000,21.87500,21.20432,29200
1998-08-05,21.79167,21.79167,19.95833,20.41667,19.79070,75000
1998-08-06,20.54167,20.75000,20.54167,20.62500,19.99265,32400
1998-08-07,20.66667,20.66667,20.08333,20.50000,19.87148,103000
1998-08-10,20.50000,20.91667,20.50000,20.79167,20.15420,9100
1998-08-11,20.70833,20.70833,19.33333,19.33333,18.74058,88200
1998-08-12,19.50000,19.62500,18.79167,18.79167,18.21552,54600
1998-08-13,18.79167,18.79167,17.16667,17.95833,17.40774,76800
1998-08-14,17.95833,18.04167,15.83333,15.83333,15.34789,96000
1998-08-17,16.58333,17.20833,16.41667,16.66667,16.15567,243900
1998-08-18,16.66667,17.29167,16.66667,17.08333,16.55957,96400
1998-08-19,17.20833,17.20833,15.58333,16.33333,15.83256,78000
1998-08-20,16.29167,16.62500,15.75000,16.04167,15.54984,33600
1998-08-21,15.83333,16.62500,14.91667,16.16667,15.67100,114400
1998-08-24,16.04167,16.29167,15.87500,16.00000,15.50945,29500
1998-08-25,15.95833,16.33333,15.95833,16.33333,15.83256,69600
1998-08-26,15.91667,16.04167,15.75000,16.00000,15.50945,377100
1998-08-27,15.95833,15.95833,15.62500,15.70833,15.22672,31200
1998-08-28,15.66667,15.66667,14.41667,14.62500,14.17660,319200
1998-08-31,14.66667,14.66667,11.79167,11.83333,11.47053,194400
1998-09-01,11.33333,12.16667,11.33333,12.00000,11.63209,252300
1998-09-02,12.16667,12.33333,11.79167,11.91667,11.55131,22600
1998-09-03,11.91667,12.00000,11.20833,11.29167,10.94547,39900
1998-09-04,11.25000,11.33333,10.70833,10.70833,10.38002,41800
1998-09-08,11.08333,11.58333,11.08333,11.41667,11.06664,67500
1998-09-09,11.41667,11.41667,10.45833,10.62500,10.29924,859000
1998-09-10,10.37500,10.37500,9.12500,9.12500,8.84523,47700
1998-09-11,9.29167,10.50000,9.29167,10.12500,9.81457,88200
1998-09-14,10.12500,12.62500,10.12500,12.20833,11.83403,228900
1998-09-15,12.33333,12.50000,12.08333,12.29167,11.91481,37000
1998-09-16,12.25000,12.75000,12.25000,12.75000,12.35909,51700
1998-09-17,12.58333,12.58333,12.16667,12.29167,11.91481,22500
1998-09-18,12.50000,12.79167,12.37500,12.79167,12.39948,50400
1998-09-21,12.95833,12.95833,12.62500,12.87500,12.48026,12900
1998-09-22,12.87500,13.37500,12.87500,13.04167,12.64182,36100
1998-09-23,13.12500,13.12500,12.62500,12.62500,12.23792,202600
1998-09-24,12.62500,12.62500,12.33333,12.45833,12.07636,52800
1998-09-25,12.33333,12.33333,12.08333,12.08333,11.71286,93900
1998-09-28,12.08333,12.16667,11.66667,12.16667,11.79364,73900
1998-09-29,12.00000,12.08333,11.95833,12.00000,11.63209,57400
1998-09-30,11.91667,12.00000,11.70833,12.00000,11.63209,63100
1998-10-01,11.91667,11.91667,10.66667,10.66667,10.33963,28300
1998-10-02,10.50000,10.50000,9.50000,9.50000,9.20873,96400
1998-10-05,9.58333,9.58333,9.12500,9.12500,8.84523,33900
1998-10-06,9.16667,9.29167,8.91667,9.25000,8.96640,115200
1998-10-07,9.16667,9.62500,9.16667,9.58333,9.28951,188800
1998-10-08,9.50000,9.50000,9.25000,9.50000,9.20873,143200
1998-10-09,9.50000,10.29167,9.50000,10.00000,9.69340,23700
1998-10-12,10.08333,10.54167,10.08333,10.54167,10.21846,10500
1998-10-13,10.66667,10.70833,10.58333,10.58333,10.25885,18400
1998-10-14,10.45833,10.70833,10.45833,10.66667,10.33963,34900
1998-10-15,10.70833,12.16667,10.70833,12.16667,11.79364,98800
1998-10-16,12.08333,13.12500,11.87500,12.33333,11.95520,84600
1998-10-19,12.33333,12.33333,12.20833,12.25000,11.87442,21400
1998-10-20,12.12500,12.16667,11.50000,11.50000,11.14742,102000
1998-10-21,11.41667,11.95833,11.41667,11.87500,11.51092,66300
1998-10-22,11.70833,13.16667,11.70833,13.16667,12.76298,121000
1998-10-23,13.33333,15.04167,13.33333,14.41667,13.97466,46900
1998-10-26,14.54167,14.87500,13.83333,13.91667,13.48999,37200
1998-10-27,13.79167,14.08333,13.00000,14.08333,13.65155,129900
1998-10-28,14.08333,14.08333,13.37500,13.87500,13.44960,64900
1998-10-29,13.95833,14.08333,13.83333,13.91667,13.48999,14700
1998-10-30,14.00000,14.87500,14.00000,14.83333,14.37855,38200
1998-11-02,15.00000,15.62500,14.66667,15.54167,15.06517,75100
1998-11-03,15.54167,16.50000,15.54167,16.33333,15.83256,33700
1998-11-04,16.58333,17.66667,16.58333,17.66667,17.12502,305200
1998-11-05,17.66667,19.12500,17.37500,19.12500,18.53864,175500
1998-11-06,18.95833,19.29167,18.50000,18.50000,17.93280,56800
1998-11-09,18.37500,18.41667,17.83333,18.20833,17.65008,62700
1998-11-10,18.16667,18.29167,18.00000,18.16667,17.60968,257500
1998-11-11,18.29167,18.33333,17.95833,18.04167,17.48851,22200
1998-11-12,18.16667,18.29167,18.08333,18.20833,17.65008,92700
1998-11-13,18.20833,18.20833,17.33333,17.50000,16.96345,16900
1998-11-16,17.54167,17.54167,16.41667,16.75000,16.23645,116400
1998-11-17,16.66667,17.33333,16.45833,17.33333,16.80190,156600
1998-11-18,17.29167,17.45833,16.83333,17.29167,16.76151,29400
1998-11-19,17.37500,17.45833,17.25000,17.33333,16.80190,119800
1998-11-20,17.20833,17.20833,16.50000,16.91667,16.39801,296400
1998-11-23,16.66667,17.45833,16.33333,17.45833,16.92307,74800
1998-11-24,17.50000,17.91667,17.50000,17.91667,17.36735,172200
1998-11-25,18.00000,18.50000,17.95833,18.00000,17.44813,39900
1998-11-27,18.00000,18.00000,18.00000,18.00000,17.44813,400
1998-11-30,18.00000,18.12500,17.79167,17.87500,17.32696,92100
1998-12-01,17.87500,18.29167,17.87500,18.20833,17.65008,88300
1998-12-02,18.12500,18.33333,17.75000,18.16667,17.60968,64599
1998-12-03,18.33333,18.75000,17.91667,18.45833,17.89241,142800
1998-12-04,18.62500,19.58333,18.33333,19.41667,18.82136,85800
1998-12-07,19.41667,19.58333,19.12500,19.58333,18.98292,20700
1998-12-08,19.45833,20.83333,19.45833,20.41667,19.79070,72400
1998-12-09,20.50000,20.50000,19.54167,19.79167,19.18486,29100
1998-12-10,19.91667,20.00000,19.58333,19.62500,19.02331,9000
1998-12-11,19.37500,19.37500,18.83333,19.16667,18.57903,31200
1998-12-14,19.12500,19.12500,18.29167,18.29167,17.73085,14700
1998-12-15,18.41667,18.62500,18.20833,18.54167,17.97318,58500
1998-12-16,18.70833,19.83333,18.66667,19.83333,19.22525,89200
1998-12-17,19.95833,21.16667,19.95833,20.50000,19.87148,80700
1998-12-18,20.50000,20.50000,19.66667,19.83333,19.22525,256800
1998-12-21,19.66667,19.91667,19.66667,19.83333,19.22525,298000
1998-12-22,19.79167,19.79167,19.37500,19.62500,19.02331,15900
1998-12-23,19.33333,19.83333,18.83333,19.83333,19.22525,31600
1998-12-24,19.75000,20.20833,19.75000,19.91667,19.30603,5500
1998-12-28,19.91667,20.08333,19.62500,20.08333,19.46759,30700
1998-12-29,20.16667,20.16667,19.45833,19.62500,19.02331,31200
1998-12-30,19.75000,19.83333,19.33333,19.83333,19.22525,153000
1998-12-31,19.91667,20.20833,19.75000,19.91667,19.30603,116800
1999-01-04,19.87500,19.91667,19.25000,19.62500,19.02331,70200
1999-01-05,19.58333,19.79167,19.33333,19.66667,19.06369,135400
1999-01-06,19.75000,19.79167,19.16667,19.29167,18.70019,30300
1999-01-07,19.20833,20.00000,19.20833,19.70833,19.10409,154500
1999-01-08,19.87500,19.91667,19.41667,19.87500,19.26564,122400
1999-01-11,19.66667,19.95833,19.58333,19.75000,19.14447,46500
1999-01-12,19.83333,20.00000,18.33333,18.41667,17.85202,124900
1999-01-13,18.25000,18.25000,17.62500,17.79167,17.24618,62100
1999-01-14,18.33333,19.62500,18.33333,19.54167,18.94253,160500
1999-01-15,19.50000,21.33333,19.50000,21.33333,20.67926,75700
1999-01-19,22.00000,22.00000,21.45833,21.66667,21.00238,53700
1999-01-20,21.79167,22.33333,21.58333,22.00000,21.32549,167800
1999-01-21,21.91667,22.29167,21.41667,21.41667,20.76004,76800
1999-01-22,21.37500,21.79167,20.95833,21.62500,20.96199,62700
1999-01-25,21.62500,21.79167,21.33333,21.37500,20.71965,124900
1999-01-26,21.37500,21.37500,20.79167,20.79167,20.15420,42300
1999-01-27,21.33333,21.33333,20.75000,20.75000,20.11381,233400
1999-01-28,20.91667,22.12500,20.91667,21.75000,21.08316,273700
1999-01-29,21.91667,22.33333,21.87500,22.04167,21.36588,90900
1999-02-01,22.12500,22.12500,21.45833,21.45833,20.80043,18900
1999-02-02,20.75000,20.87500,20.04167,20.12500,19.50797,133800
1999-02-03,19.91667,20.45833,19.54167,20.33333,19.70992,36400
1999-02-04,20.37500,20.45833,19.75000,19.91667,19.30603,33100
1999-02-05,19.95833,19.95833,19.29167,19.29167,18.70019,37800
1999-02-08,19.45833,19.79167,19.33333,19.50000,18.90214,136500
1999-02-09,19.41667,19.45833,19.25000,19.25000,18.65980,48700
1999-02-10,19.25000,19.29167,18.41667,18.45833,17.89241,47700
1999-02-11,18.45833,19.29167,18.45833,19.29167,18.70019,58800
1999-02-12,19.29167,19.41667,18.66667,18.66667,18.09436,29400
1999-02-16,18.75000,18.75000,17.83333,17.91667,17.36735,110800
1999-02-17,17.75000,18.62500,17.62500,18.45833,17.89241,84700
1999-02-18,18.29167,19.16667,18.12500,18.41667,17.85202,93100
1999-02-19,18.29167,18.41667,17.95833,18.12500,17.56930,32500
1999-02-22,18.12500,18.14583,17.70833,17.75000,17.20579,49300
1999-02-23,17.83333,18.58333,17.62500,18.54167,17.97318,104500
1999-02-24,18.54167,18.83333,18.50000,18.50000,17.93280,52800
1999-02-25,18.50000,18.50000,18.04167,18.08333,17.52890,52500
1999-02-26,18.08333,18.08333,17.12500,17.33333,16.80190,4855900
1999-03-01,17.16667,17.16667,16.50000,16.95833,16.43840,400300
1999-03-02,16.87500,17.33333,16.87500,16.95833,16.43840,352900
1999-03-03,16.87500,16.91667,16.58333,16.58333,16.07490,354000
1999-03-04,16.66667,17.16667,16.58333,16.66667,16.15567,235500
1999-03-05,16.87500,17.45833,16.83333,17.41667,16.88268,583500
1999-03-08,17.37500,17.66667,17.08333,17.50000,16.96345,278800
1999-03-09,17.41667,17.83333,17.41667,17.83333,17.28657,238200
1999-03-10,17.70833,17.70833,17.00000,17.12500,16.59995,127600
1999-03-11,17.08333,17.95833,17.08333,17.95833,17.40774,152200
1999-03-12,17.87500,17.91667,16.79167,17.75000,17.20579,95400
1999-03-15,17.66667,17.83333,17.37500,17.70833,17.16541,82600
1999-03-16,17.54167,17.54167,16.66667,16.95833,16.43840,155500
1999-03-17,16.87500,17.04167,16.54167,16.95833,16.43840,120600
1999-03-18,16.87500,17.16667,16.87500,17.12500,16.59995,206400
1999-03-19,17.04167,17.54167,17.04167,17.20833,16.68073,65700
1999-03-22,17.20833,17.33333,16.91667,17.16667,16.64034,77200
1999-03-23,17.37500,17.37500,16.16667,16.16667,15.67100,196300
1999-03-24,16.04167,16.25000,15.79167,16.00000,15.50945,89200
1999-03-25,16.66667,16.66667,16.37500,16.37500,15.87295,97200
