Date,Open,High,Low,Close,Adj Close,Volume
2005-09-15,38.02000,38.10000,37.00000,37.01000,26.75188,1529800
2005-09-16,37.00000,37.00000,36.60000,36.60000,26.45553,62400
2005-09-19,36.60000,36.70000,36.45000,36.70000,26.52782,1162300
2005-09-20,36.60000,37.00000,36.60000,36.70000,26.52782,654900
2005-09-21,36.60000,36.60000,36.00000,36.40000,26.31096,424300
2005-09-22,36.40000,37.20000,36.40000,37.20000,26.88923,864800
2005-09-23,37.20000,38.10000,37.20000,37.68000,27.23620,1249900
2005-09-26,37.75000,38.15000,37.75000,37.75000,27.28679,821400
2005-09-27,37.75000,37.90000,37.14000,37.25000,26.92537,1514000
2005-09-28,37.24000,37.40000,36.80000,37.00000,26.74466,875700
2005-09-29,36.91000,36.91000,36.25000,36.60000,26.45553,2659200
2005-09-30,36.60000,36.60000,35.60000,35.80000,25.87726,4014800
2005-10-03,35.30000,35.90000,34.17000,34.70000,25.08216,10007600
2005-10-04,34.00000,34.30000,33.25000,33.90000,24.50389,8040300
2005-10-05,34.00000,34.10000,33.32000,33.65000,24.32318,6304400
2005-10-06,33.40000,33.65000,33.21000,33.37000,24.12079,7552200
2005-10-07,33.28000,33.60000,33.13000,33.60000,24.28704,7055200
2005-10-10,33.60000,33.60000,33.00000,33.03000,23.87503,3400800
2005-10-11,33.04000,33.39000,32.98000,33.00000,23.85334,3675400
2005-10-12,32.90000,33.30000,32.72000,32.77000,23.68709,4134500
2005-10-13,32.53000,32.70000,32.48000,32.55000,23.52807,3184100
2005-10-14,32.52000,32.75000,32.38000,32.39000,23.41242,2487500
2005-10-17,32.34000,32.77000,32.00000,32.48000,23.47747,1910400
2005-10-18,32.30000,32.55000,32.15000,32.43000,23.44134,1737900
2005-10-19,32.28000,33.16000,32.21000,33.16000,23.96900,1784400
2005-10-20,33.16000,34.06000,33.10000,33.58000,24.27259,2789600
2005-10-21,33.78000,34.50000,33.63000,34.00000,24.57618,2881800
2005-10-24,35.25000,36.48000,34.93000,36.29000,26.23145,4013400
2005-10-25,35.34000,37.47000,35.28000,37.18000,26.87477,2900400
2005-10-26,36.85000,37.72000,36.70000,37.00000,26.74466,2208000
2005-10-27,36.95000,37.00000,35.80000,36.28000,26.22422,2033000
2005-10-28,36.50000,37.20000,36.21000,37.10000,26.81694,1430200
2005-10-31,37.21000,37.60000,36.96000,37.22000,26.90369,1211600
2005-11-01,36.90000,36.96000,36.46000,36.56000,26.42662,1574900
2005-11-02,36.22000,36.90000,36.18000,36.80000,26.68038,1201600
2005-11-03,36.72000,37.62000,36.72000,37.42000,27.12987,1887900
2005-11-04,37.33000,37.42000,37.02000,37.17000,26.94861,1731900
2005-11-07,37.10000,37.17000,36.82000,37.02000,26.83987,1658700
2005-11-08,36.65000,37.20000,36.65000,36.96000,26.79637,2119200
2005-11-09,36.96000,38.18000,36.90000,37.88000,27.46339,2152200
2005-11-10,37.75000,39.30000,37.75000,38.92000,28.21739,2513200
2005-11-11,38.50000,38.96000,38.47000,38.91000,28.21014,1229800
2005-11-14,38.80000,39.40000,38.51000,39.34000,28.52189,1160000
2005-11-15,39.00000,39.40000,38.47000,39.21000,28.42764,1793000
2005-11-16,39.35000,40.00000,39.09000,39.83000,28.87716,2568800
2005-11-17,40.10000,41.18000,39.78000,40.00000,29.00039,2628100
2005-11-18,40.45000,40.87000,39.64000,39.92000,28.94240,1556000
2005-11-21,40.17000,42.00000,40.17000,41.58000,30.14592,2906900
2005-11-22,41.40000,42.39000,41.29000,42.15000,30.55916,2368700
2005-11-23,42.20000,43.76000,42.20000,43.47000,31.51617,2149100
2005-11-25,44.10000,44.25000,42.95000,43.45000,31.50168,468300
2005-11-28,43.40000,44.20000,43.10000,43.90000,31.82794,2377400
2005-11-29,43.75000,43.99000,41.73000,42.55000,30.84918,2962200
2005-11-30,42.90000,43.25000,41.30000,42.05000,30.48666,2761100
2005-12-01,41.95000,43.88000,41.89000,43.31000,31.40020,1833000
2005-12-02,43.25000,43.74000,42.60000,43.23000,31.34218,1057900
2005-12-05,43.22000,43.70000,42.91000,43.52000,31.55244,1042900
2005-12-06,43.70000,43.84000,43.48000,43.61000,31.61769,1154900
2005-12-07,43.59000,44.78000,43.22000,43.36000,31.43643,2063900
2005-12-08,43.65000,44.05000,43.31000,43.65000,31.64668,1227800
2005-12-09,43.64000,44.02000,43.36000,43.76000,31.72643,515400
2005-12-12,43.75000,43.76000,42.88000,43.13000,31.26969,1504900
2005-12-13,42.90000,43.37000,42.51000,42.83000,31.05218,1321300
2005-12-14,42.83000,43.03000,41.52000,41.53000,30.10967,1701600
2005-12-15,41.43000,41.90000,41.09000,41.19000,29.86317,1220600
2005-12-16,41.44000,42.41000,41.41000,42.26000,30.63893,1305600
2005-12-19,42.31000,42.63000,41.12000,41.31000,29.95016,676200
2005-12-20,41.25000,42.40000,41.00000,41.57000,30.13868,1121000
2005-12-21,41.57000,42.60000,40.97000,41.55000,30.12416,1313300
2005-12-22,41.57000,42.39000,41.20000,41.93000,30.39967,808300
2005-12-23,39.42000,42.56000,39.42000,41.93000,30.39967,576000
2005-12-27,41.90000,42.08000,40.80000,40.90000,29.65290,941900
2005-12-28,40.90000,41.33000,40.80000,41.05000,29.76165,562800
2005-12-29,41.15000,41.17000,40.58000,40.84000,29.60941,718300
2005-12-30,40.51000,41.08000,40.46000,41.00000,29.72541,511700
2006-01-03,41.30000,42.20000,40.90000,42.10000,30.52292,1351600
2006-01-04,43.00000,44.39000,42.88000,43.42000,31.47993,3492100
2006-01-05,43.54000,44.50000,43.17000,43.93000,31.84970,1777200
2006-01-06,43.94000,44.20000,43.38000,43.60000,31.61044,2265200
2006-01-09,43.60000,45.10000,43.60000,45.09000,32.69070,1310800
2006-01-10,44.80000,44.87000,44.46000,44.66000,32.37896,1254200
2006-01-11,44.73000,44.78000,43.96000,44.20000,32.04544,915500
2006-01-12,44.21000,44.58000,43.95000,44.16000,32.01645,1161500
2006-01-13,44.10000,44.25000,43.71000,43.88000,31.81344,907200
2006-01-17,43.65000,43.90000,42.97000,43.53000,31.55968,684400
2006-01-18,43.30000,43.90000,42.27000,42.32000,30.68242,976600
2006-01-19,42.45000,42.91000,42.03000,42.60000,30.88543,947100
2006-01-20,42.50000,42.55000,41.88000,42.20000,30.59543,1223300
2006-01-23,42.44000,43.90000,42.42000,43.50000,31.53794,1574200
2006-01-24,42.10000,43.70000,41.69000,43.48000,31.52343,2090500
2006-01-25,43.49000,43.49000,42.94000,43.21000,31.32769,1058600
2006-01-26,43.95000,44.30000,43.01000,43.30000,31.39292,1300600
2006-01-27,42.88000,43.69000,41.76000,42.40000,30.74042,2305000
2006-01-30,42.40000,42.45000,41.50000,41.55000,30.12416,1937300
2006-01-31,41.40000,41.45000,40.51000,40.69000,29.57897,2449400
2006-02-01,40.74000,43.12000,40.30000,41.25000,29.98605,1414900
2006-02-02,41.30000,42.69000,41.30000,42.51000,30.90197,1530900
2006-02-03,42.15000,43.05000,41.57000,42.60000,30.96742,2156700
2006-02-06,42.60000,43.45000,42.39000,43.33000,31.49808,1148500
2006-02-07,43.18000,43.80000,43.07000,43.55000,31.65801,773400
2006-02-08,43.40000,43.95000,43.40000,43.81000,31.84702,923500
2006-02-09,43.95000,44.24000,43.73000,43.92000,31.92695,514700
2006-02-10,43.70000,43.94000,43.28000,43.57000,31.67252,659700
2006-02-13,43.58000,43.59000,42.86000,42.88000,31.17096,712100
2006-02-14,42.82000,44.11000,42.53000,43.94000,31.94150,1260200
2006-02-15,43.60000,43.61000,42.76000,43.27000,31.45446,1072400
2006-02-16,43.29000,43.48000,42.77000,43.43000,31.57076,720500
2006-02-17,43.41000,44.26000,43.41000,44.02000,31.99967,758500
2006-02-21,43.14000,44.35000,43.14000,43.92000,31.92695,436000
2006-02-22,44.08000,45.65000,44.08000,45.46000,33.04644,1485900
2006-02-23,44.58000,47.25000,44.58000,46.42000,33.74430,1164800
2006-02-24,45.55000,46.48000,45.55000,46.26000,33.62799,869000
2006-02-27,46.20000,46.96000,45.87000,46.80000,34.02054,938400
2006-02-28,45.92000,47.16000,45.36000,45.48000,33.06097,1065900
2006-03-01,45.59000,46.19000,45.53000,45.89000,33.35902,525800
2006-03-02,45.77000,45.80000,44.50000,44.57000,32.39948,1151800
2006-03-03,44.32000,44.79000,43.67000,44.00000,31.98511,1331500
2006-03-06,43.90000,43.94000,42.65000,42.77000,31.09100,916100
2006-03-07,42.73000,43.77000,42.68000,43.65000,31.73069,1619600
2006-03-08,43.65000,43.95000,43.19000,43.34000,31.50535,1085300
2006-03-09,43.44000,43.86000,43.05000,43.33000,31.49808,867200
2006-03-10,43.25000,43.37000,42.86000,43.30000,31.47627,911500
2006-03-13,43.35000,43.89000,43.33000,43.80000,31.83975,754600
