Date,Open,High,Low,Close,Adj Close,Volume
1998-02-27,17.37500,18.00000,17.37500,17.37500,14.79510,50000
1998-03-02,17.25000,17.25000,17.00000,17.25000,14.68866,75000
1998-03-03,17.12500,17.12500,16.75000,17.12500,14.58222,35000
1998-03-04,15.75000,15.75000,15.50000,15.75000,13.41138,60000
1998-03-05,16.12500,16.12500,16.12500,16.12500,13.73070,400
1998-03-06,16.12500,16.37500,16.12500,16.12500,13.73070,3600
1998-03-09,16.12500,16.50000,15.87500,15.87500,13.51782,3200
1998-03-10,15.87500,16.87500,15.87500,16.25000,13.83714,56800
1998-03-11,16.25000,16.50000,16.12500,16.25000,13.83714,10400
1998-03-12,16.25000,16.37500,16.12500,16.37500,13.94358,3800
1998-03-13,16.50000,16.50000,16.50000,16.50000,14.05002,1000
1998-03-16,16.50000,16.50000,16.12500,16.12500,13.73070,7700
1998-03-17,16.12500,16.12500,15.75000,15.87500,13.51782,28000
1998-03-18,15.87500,16.12500,15.75000,16.12500,13.73070,45700
1998-03-19,16.12500,17.37500,16.00000,17.12500,14.58222,383600
1998-03-20,17.25000,17.75000,17.25000,17.75000,15.11442,275600
1998-03-23,17.75000,19.00000,17.37500,18.87500,16.07237,398600
1998-03-24,18.87500,19.87500,18.87500,19.75000,16.81745,261800
1998-03-25,19.75000,20.12500,19.50000,19.87500,16.92388,135600
1998-03-26,19.87500,19.87500,19.25000,19.62500,16.71101,26300
1998-03-27,19.62500,19.75000,18.37500,19.25000,16.39170,62200
1998-03-30,19.25000,19.87500,19.25000,19.87500,16.92388,49500
1998-03-31,19.87500,20.25000,19.87500,20.12500,17.13677,79000
1998-04-01,20.12500,20.62500,20.00000,20.50000,17.45609,150100
1998-04-02,21.75000,23.37500,21.75000,23.25000,19.79776,140500
1998-04-03,23.25000,26.12500,21.75000,24.75000,21.07504,458700
1998-04-06,24.75000,26.00000,23.00000,24.00000,20.43640,105300
1998-04-07,24.00000,24.00000,22.12500,22.12500,18.83981,152800
1998-04-08,22.12500,23.00000,21.00000,22.50000,19.15912,45100
1998-04-09,22.50000,23.00000,22.25000,23.00000,19.58488,151400
1998-04-13,23.00000,23.25000,22.37500,22.62500,19.26556,85900
1998-04-14,22.62500,23.00000,22.50000,22.75000,19.37200,322900
1998-04-15,22.75000,22.87500,21.50000,21.75000,18.52048,23100
1998-04-16,21.75000,21.75000,20.87500,21.25000,18.09472,55400
1998-04-17,21.25000,21.62500,21.00000,21.62500,18.41405,15100
1998-04-20,21.62500,22.12500,21.25000,22.12500,18.83981,92900
1998-04-21,22.12500,22.12500,21.75000,22.12500,18.83981,23100
1998-04-22,22.12500,23.62500,22.12500,23.00000,19.58488,60900
1998-04-23,23.00000,23.50000,23.00000,23.50000,20.01064,242300
1998-04-24,23.50000,23.62500,22.00000,22.00000,18.73336,100900
1998-04-27,22.00000,22.50000,19.87500,20.87500,17.77541,52200
1998-04-28,20.87500,21.87500,20.75000,21.50000,18.30760,29100
1998-04-29,21.50000,22.50000,21.00000,22.50000,19.15912,101300
1998-04-30,22.50000,23.25000,22.37500,23.00000,19.58488,116300
1998-05-01,23.00000,23.12500,22.00000,22.12500,18.83981,61000
1998-05-04,22.12500,22.25000,21.25000,21.62500,18.41405,58400
1998-05-05,21.62500,21.75000,20.75000,21.25000,18.09472,44000
1998-05-06,21.25000,22.00000,20.87500,22.00000,18.73336,47300
1998-05-07,22.00000,22.12500,21.37500,21.37500,18.20116,230900
1998-05-08,21.75000,22.75000,21.75000,22.62500,19.26556,320700
1998-05-11,22.62500,22.75000,22.25000,22.37500,19.05268,375200
1998-05-12,22.37500,22.62500,22.00000,22.00000,18.73336,333300
1998-05-13,22.12500,22.62500,22.12500,22.37500,19.05268,88100
1998-05-14,22.37500,22.50000,22.00000,22.50000,19.15912,35600
1998-05-15,22.50000,22.50000,21.50000,22.00000,18.73336,69200
1998-05-18,22.00000,22.12500,21.00000,21.50000,18.30760,53200
1998-05-19,21.50000,22.00000,21.50000,22.00000,18.73336,21000
1998-05-20,22.00000,22.00000,21.00000,21.00000,17.88184,14100
1998-05-21,21.00000,21.12500,19.50000,21.12500,17.98829,116400
1998-05-22,20.75000,20.75000,20.25000,20.62500,17.56252,45100
1998-05-26,20.62500,21.00000,19.12500,19.50000,16.60457,119500
1998-05-27,19.50000,19.50000,18.75000,19.25000,16.39170,91100
1998-05-28,19.25000,20.50000,18.75000,20.50000,17.45609,163600
1998-05-29,20.50000,22.50000,20.50000,22.50000,19.15912,121900
1998-06-01,22.50000,22.50000,22.00000,22.12500,18.83981,258500
1998-06-02,22.12500,22.50000,22.12500,22.37500,19.05268,123400
1998-06-03,22.37500,22.50000,20.75000,20.75000,17.66897,180600
1998-06-04,20.75000,21.00000,20.00000,20.75000,17.66897,263200
1998-06-05,21.00000,23.00000,21.00000,22.87500,19.47844,290100
1998-06-08,23.25000,23.62500,22.50000,23.00000,19.58488,2718000
1998-06-09,23.00000,23.00000,22.00000,22.37500,19.05268,604900
1998-06-10,22.50000,23.12500,22.50000,22.87500,19.47844,149300
1998-06-11,22.87500,23.06250,22.56250,23.00000,19.58488,697400
1998-06-12,23.00000,23.00000,22.37500,22.56250,19.21234,782000
1998-06-15,22.93750,22.93750,21.87500,21.87500,18.62693,165900
1998-06-16,21.93750,22.00000,21.75000,21.75000,18.52048,95000
1998-06-17,21.93750,21.93750,21.50000,21.93750,18.68014,57400
1998-06-18,21.93750,21.93750,21.37500,21.50000,18.30760,588700
1998-06-19,21.12500,21.37500,21.06250,21.18750,18.04151,698100
1998-06-22,21.00000,21.37500,20.62500,21.12500,17.98829,159500
1998-06-23,21.87500,22.75000,21.62500,22.50000,19.15912,234000
1998-06-24,22.50000,23.06250,22.50000,23.00000,19.58488,275900
1998-06-25,23.00000,23.62500,22.68750,23.00000,19.58488,223500
1998-06-26,23.25000,23.62500,23.12500,23.37500,19.90420,115800
1998-06-29,23.12500,23.18750,21.62500,22.87500,19.47844,188900
1998-06-30,22.93750,24.93750,22.68750,24.93750,21.23469,566300
1998-07-01,25.00000,25.62500,24.37500,24.68750,21.02181,449600
1998-07-02,24.00000,24.68750,24.00000,24.00000,20.43640,5141900
1998-07-06,24.25000,25.31250,24.18750,25.25000,21.50079,991100
1998-07-07,26.06250,27.00000,25.62500,25.87500,22.03299,1096000
1998-07-08,26.12500,27.25000,26.12500,26.50000,22.56519,431200
1998-07-09,26.50000,27.12500,25.62500,25.93750,22.08621,659300
1998-07-10,26.12500,26.62500,25.75000,26.25000,22.35231,334700
1998-07-13,26.93750,27.31250,26.68750,27.25000,23.20383,429600
1998-07-14,27.00000,27.37500,26.00000,26.12500,22.24586,509200
1998-07-15,26.62500,27.00000,26.25000,26.93750,22.93773,225800
1998-07-16,27.37500,27.37500,26.50000,26.93750,22.93773,233300
1998-07-17,26.87500,27.43750,26.37500,27.00000,22.99095,479300
1998-07-20,26.75000,27.43750,26.56250,27.06250,23.04417,244800
1998-07-21,27.56250,28.12500,27.25000,27.43750,23.36348,575300
1998-07-22,27.81250,28.12500,27.50000,27.75000,23.62958,630200
1998-07-23,28.00000,28.50000,27.75000,28.00000,23.84246,496100
1998-07-24,27.87500,28.62500,27.25000,27.87500,23.73602,245300
1998-07-27,27.62500,27.62500,26.37500,26.56250,22.61841,280600
1998-07-28,26.62500,27.25000,26.00000,26.25000,22.35231,421600
1998-07-29,26.37500,26.75000,26.25000,26.25000,22.35231,268000
1998-07-30,26.00000,26.37500,25.75000,25.87500,22.03299,208200
1998-07-31,26.00000,26.12500,24.00000,24.00000,20.43640,335600
1998-08-03,24.00000,24.93750,24.00000,24.93750,21.23469,214700
1998-08-04,24.50000,24.62500,22.50000,23.00000,19.58488,654300
