Date,Open,High,Low,Close,Adj Close,Volume
2001-10-30,20.25000,20.45000,20.17500,20.45000,17.48763,45441800
2001-10-31,20.55000,21.25000,20.50500,20.94000,17.90664,11104400
2001-11-01,21.12500,21.30000,20.90000,21.08500,18.03064,3901800
2001-11-02,21.02500,21.55000,21.01000,21.45000,18.34277,4075000
2001-11-05,21.75000,21.75000,21.37500,21.44500,18.33849,2763800
2001-11-06,21.47500,22.15000,21.07500,22.02500,18.83448,3248200
2001-11-07,21.87500,21.87500,21.24500,21.62500,18.49242,2675200
2001-11-08,21.50000,21.55000,21.00000,21.35000,18.25726,3404000
2001-11-09,21.25000,21.25000,20.50000,21.00000,17.95796,3291600
2001-11-12,21.00000,21.42500,20.85000,21.42500,18.32139,973600
2001-11-13,21.70000,21.70000,21.26000,21.37500,18.27863,1721800
2001-11-14,22.00000,23.00000,21.77500,22.97500,19.64686,4213000
2001-11-15,22.85000,23.37500,22.72500,23.37500,19.98892,2310400
2001-11-16,23.45000,23.60000,23.15000,23.40000,20.01029,2176200
2001-11-19,23.37500,23.78500,23.20000,23.75000,20.30959,2007200
2001-11-20,23.65000,24.62500,23.62500,24.40000,20.86543,2803000
2001-11-21,24.35000,24.85000,24.20500,24.50500,20.95522,2684000
2001-11-23,24.47500,24.67500,24.47500,24.59000,21.02791,287800
2001-11-26,24.85000,25.12500,24.15000,24.27500,20.75854,1917400
2001-11-27,24.40000,24.92500,24.13500,24.30000,20.77992,1148000
2001-11-28,24.27500,24.60000,23.75500,24.47500,20.92957,625200
2001-11-29,24.75000,25.05000,24.54000,25.00500,21.38279,1136800
2001-11-30,25.05000,25.50000,24.90000,25.42500,21.74195,2960200
2001-12-03,25.40000,25.65000,25.05000,25.65000,21.93436,1270800
2001-12-04,25.67500,25.75000,25.25000,25.75000,22.01988,794000
2001-12-05,25.90000,25.95000,24.35000,24.43000,20.89109,1356200
2001-12-06,24.45000,24.50000,23.67500,24.24500,20.73289,902600
2001-12-07,24.25000,24.35000,23.80000,24.30000,20.77992,649600
2001-12-10,24.30000,24.43500,24.07500,24.12500,20.63027,308000
2001-12-11,24.12500,24.34500,23.85500,24.10000,20.60889,892800
2001-12-12,24.12500,24.12500,23.92500,23.93000,20.46351,478800
2001-12-13,23.80500,24.05000,23.45000,24.05000,20.56613,960600
2001-12-14,24.00000,24.05000,23.67500,24.00000,20.52338,813600
2001-12-17,24.05000,24.65000,23.96000,24.62500,21.05785,421200
2001-12-18,24.75000,24.80000,24.61000,24.65000,21.07922,809200
2001-12-19,24.65000,24.67500,23.87500,24.00000,20.52338,1473200
2001-12-20,23.88000,24.00000,23.40000,23.45000,20.05305,1312000
2001-12-21,23.40000,23.40000,22.62500,22.87500,19.56134,4283800
2001-12-24,22.87500,22.97500,22.80000,22.80000,19.49721,900200
2001-12-26,22.92500,23.24000,22.92500,23.12500,19.77513,1191600
2001-12-27,23.17500,23.65000,23.17500,23.45000,20.05305,1925400
2001-12-28,23.47500,24.25000,23.47500,24.25000,20.73716,1714800
2001-12-31,24.35000,25.12500,24.35000,24.75000,21.16473,1792800
2002-01-02,24.84000,24.84000,24.35500,24.40000,20.86543,1933000
2002-01-03,24.40000,24.64000,24.22500,24.22500,20.71578,625600
2002-01-04,24.25000,24.40000,23.45000,23.93000,20.46351,2318600
2002-01-07,23.93000,23.97000,23.50000,23.51000,20.10436,1916400
2002-01-08,23.42500,23.92500,23.20000,23.70000,20.26684,932000
2002-01-09,23.77500,24.12500,23.75000,23.80000,20.35235,855000
2002-01-10,23.80000,25.37000,23.78500,25.05000,21.42127,2550400
2002-01-11,25.05000,25.90000,24.95000,25.75000,22.01988,1111800
2002-01-14,25.80000,26.20000,25.42500,25.95000,22.19090,1364600
2002-01-15,25.85000,25.85500,24.70000,25.35000,21.67782,1426800
2002-01-16,25.22500,25.85000,24.80000,25.49500,21.80181,1721200
2002-01-17,25.50000,25.52500,25.00000,25.15000,21.50679,912000
2002-01-18,25.02500,25.50000,24.91000,25.49000,21.79753,1406000
2002-01-22,25.36500,25.94000,25.02500,25.87500,22.12677,1613000
2002-01-23,25.70000,26.43500,25.70000,26.13000,22.34483,1625400
2002-01-24,26.02500,26.54500,26.02500,26.40000,22.57572,1846800
2002-01-25,26.50000,27.05000,26.42500,26.94000,23.03749,1670400
2002-01-28,26.70000,27.25000,26.60000,26.87500,22.98192,1404200
2002-01-29,26.52500,26.87500,26.47500,26.60000,22.74675,1353400
2002-01-30,26.25000,26.65000,25.97500,26.26000,22.45600,1301400
2002-01-31,26.30000,26.60000,25.90000,26.60000,22.74675,2071800
2002-02-01,26.62500,27.05000,26.50000,26.57500,22.72537,1569400
2002-02-04,26.48500,26.50000,25.70000,26.10000,22.31917,1055200
2002-02-05,26.15000,27.12500,25.75000,27.12000,23.19141,1731800
2002-02-06,28.25000,28.97000,27.76500,28.25000,24.15773,5261000
2002-02-07,28.25000,29.42000,28.16000,28.80000,24.62805,1815400
2002-02-08,28.87500,29.01000,28.68000,28.85000,24.67081,1792800
2002-02-11,28.76500,29.05000,28.68000,28.77500,24.60667,1503800
2002-02-12,28.50000,28.55000,28.27500,28.45000,24.32876,2127000
2002-02-13,28.55000,28.62500,27.92500,28.02500,23.96532,1555200
2002-02-14,28.10000,28.37500,27.87500,28.20500,24.11925,1656000
2002-02-15,28.20000,28.25000,28.01000,28.05000,23.98670,1526600
2002-02-19,28.00000,28.03500,26.72500,27.18500,23.24700,2207200
2002-02-20,26.90000,27.35000,26.87500,27.00000,23.08880,1516600
2002-02-21,26.97500,28.27500,26.85000,27.77500,23.75154,1646000
2002-02-22,27.72500,28.55000,27.72500,28.17500,24.09359,1305400
2002-02-25,28.10000,28.76000,28.03500,28.52500,24.39289,1013000
2002-02-26,28.75000,29.48000,28.75000,29.12500,24.90598,1992000
2002-02-27,29.05000,29.25000,28.80000,28.99000,24.79053,2011200
2002-02-28,28.90000,29.12500,28.67500,29.05000,24.84184,1878800
2002-03-01,28.92500,29.02500,28.85000,29.02500,24.82046,1153000
2002-03-04,28.90000,29.22500,27.72500,27.75000,23.73015,2725800
2002-03-05,27.66500,27.89000,27.20000,27.32500,23.36673,1680200
2002-03-06,27.37500,28.55000,27.25000,28.17500,24.09359,1911400
2002-03-07,28.35000,28.60000,28.11000,28.13000,24.05511,1055400
2002-03-08,28.13500,28.35000,27.75000,28.12500,24.05084,1557400
2002-03-11,28.00000,28.33000,27.85000,28.30000,24.20048,1525800
2002-03-12,28.20000,28.25000,28.02500,28.24500,24.15346,846800
2002-03-13,28.22500,28.37500,28.05000,28.27500,24.17910,994200
2002-03-14,28.22500,28.52500,28.12500,28.25000,24.15773,871000
2002-03-15,28.25000,28.61000,28.20000,28.45000,24.32876,1631600
2002-03-18,28.37500,29.22500,28.37500,29.15000,24.92735,1847200
2002-03-19,29.05000,29.20000,28.20000,28.20000,24.11497,991200
2002-03-20,28.15000,28.37000,27.87500,28.20000,24.11497,945000
2002-03-21,28.25000,28.85500,28.25000,28.65000,24.49979,1066200
2002-03-22,28.70000,29.02500,28.32500,28.40000,24.28599,587000
2002-03-25,28.27500,28.50000,28.20000,28.30000,24.20048,559400
2002-03-26,28.30000,28.37500,27.87500,27.99000,23.93539,566200
2002-03-27,27.99000,29.00500,27.95000,29.00000,24.79908,1202600
2002-03-28,29.00000,29.22500,28.52500,28.78500,24.61523,1196000
2002-04-01,28.91000,29.17500,28.75000,29.12500,24.90598,1502200
2002-04-02,29.22500,30.00000,29.20500,30.00000,25.65422,1497600
2002-04-03,30.00000,30.20000,29.58500,29.67500,25.37630,1443200
2002-04-04,29.62500,30.37500,29.60000,30.37500,25.97490,1551600
2002-04-05,30.40000,31.27500,30.26500,30.96000,26.47515,1606800
2002-04-08,30.96000,30.97500,30.47000,30.68500,26.24000,1446400
2002-04-09,30.67500,30.75000,30.37500,30.42500,26.01766,1429600
2002-04-10,30.42500,30.74500,30.37500,30.60000,26.16731,1524200
2002-04-11,30.55000,30.64500,30.13500,30.42000,26.01338,1235000
2002-04-12,30.35000,30.60000,30.30000,30.32000,25.92787,1281400
2002-04-15,30.47500,30.75000,30.31000,30.47500,26.06041,936800
2002-04-16,30.80000,31.25000,30.79000,31.10500,26.59915,1833800
2002-04-17,31.10000,32.50000,31.10000,32.32500,27.64242,2273400
2002-04-18,32.95000,34.12500,32.87500,34.12500,29.18168,4319000
2002-04-19,34.00000,34.30000,33.80000,34.18000,29.22872,2466200
2002-04-22,34.12500,34.37500,33.66000,33.67500,28.79686,1849600
2002-04-23,33.00000,33.20000,32.45000,32.97500,28.19827,2278800
2002-04-24,32.85000,33.87500,32.62000,33.87500,28.96789,1594400
2002-04-25,34.25000,35.62500,34.10000,35.60000,30.44302,4351800
2002-04-26,35.60000,36.00000,35.25000,35.35000,30.22924,2812400
2002-04-29,33.47500,34.11500,32.25000,33.32500,28.49756,16078000
2002-04-30,33.42500,34.50000,33.37500,34.10000,29.16030,7172200
2002-05-01,33.90000,36.07500,33.86000,35.38000,30.25488,9494800
2002-05-02,35.32500,35.80000,34.87500,35.55000,30.40025,5432600
2002-05-03,35.60000,36.15000,35.57500,35.93000,30.72521,3412800
2002-05-06,35.85000,35.85500,34.50000,34.75000,29.71615,3781600
2002-05-07,34.75000,34.75000,33.02500,33.79500,28.89948,4696800
2002-05-08,33.79500,34.32500,33.10000,34.25000,29.28857,4173200
2002-05-09,34.25500,34.25500,33.90000,34.07500,29.13893,2203200
2002-05-10,34.07500,34.42000,34.01000,34.08000,29.14320,2170000
2002-05-13,34.00000,34.00000,32.65000,33.00000,28.21964,2378400
2002-05-14,33.00000,33.00000,31.75000,32.47500,27.77070,4077000
2002-05-15,32.30000,33.29000,32.14000,32.21000,27.54408,3218800
2002-05-16,32.30000,33.89000,32.30000,33.67500,28.79686,3705000
2002-05-17,34.12500,35.32500,34.07500,34.95000,29.88717,4835000
2002-05-20,34.42500,34.43000,33.07500,33.24500,28.42915,3528400
2002-05-21,33.30000,33.82500,32.92500,33.67500,28.79686,2649200
2002-05-22,33.55000,33.92500,32.67500,32.85000,28.09138,1826800
2002-05-23,32.82500,32.99000,32.55500,32.93500,28.16406,2227800
2002-05-24,32.93500,33.74000,32.87500,33.58000,28.71562,1548200
2002-05-28,33.55000,33.60000,33.07500,33.25000,28.43343,839800
2002-05-29,33.25000,34.06000,33.21000,33.90000,28.98927,2147000
2002-05-30,33.90000,35.37500,33.67500,35.37500,30.25061,2738000
2002-05-31,35.30000,35.81000,34.53500,35.45000,30.31474,2897400
2002-06-03,35.37500,35.44000,34.68500,35.13500,30.04537,1314400
2002-06-04,34.75000,34.88500,34.47500,34.65000,29.63061,1596400
2002-06-05,34.62500,36.70000,34.58000,36.00000,30.78506,3235800
2002-06-06,36.00000,36.39500,34.95000,35.22500,30.12233,2300200
2002-06-07,35.23000,36.36500,34.95000,35.95000,30.74231,3551000
2002-06-10,36.00000,36.35000,35.62500,36.35000,31.08437,2013400
2002-06-11,37.50000,37.62500,36.62500,36.62500,31.31954,4227000
2002-06-12,36.82500,37.42000,36.62500,37.30000,31.89674,2924600
2002-06-13,37.27500,37.28000,36.10000,36.20000,30.95610,1390000
2002-06-14,35.97500,35.99000,35.11000,35.69500,30.52424,3330000
2002-06-17,35.95000,36.97500,35.95000,36.75000,31.42642,2711200
2002-06-18,36.75500,36.90500,36.45000,36.87500,31.53332,2098000
2002-06-19,36.72500,37.52500,36.55000,36.71500,31.39650,1977800
2002-06-20,36.59000,36.93500,35.87500,36.27000,31.01596,1819800
2002-06-21,36.17000,36.50000,35.60000,36.25000,30.99885,2150600
2002-06-24,36.17500,36.25000,33.77000,34.60000,29.58787,4338400
2002-06-25,34.50000,34.90000,32.94000,33.18000,28.37357,4011000
2002-06-26,32.20000,33.37500,31.70000,33.00000,28.21964,4727800
2002-06-27,33.37500,33.74000,32.95000,33.45000,28.60446,2412600
2002-06-28,33.50000,33.87500,33.09000,33.74000,28.85246,6945200
2002-07-01,33.61500,33.72500,31.92500,32.12500,27.47139,3081600
2002-07-02,32.12500,32.59000,31.40500,31.87500,27.25761,4343000
2002-07-03,31.87500,32.55000,31.55000,32.37500,27.68518,2510400
2002-07-05,32.72500,33.20000,32.60000,32.95000,28.17689,1298800
2002-07-08,33.02500,33.74000,33.00000,33.35000,28.51894,2409000
2002-07-09,33.35000,33.55000,31.76000,31.76500,27.16355,3113600
2002-07-10,31.67500,32.05000,30.16000,30.27500,25.88939,3737200
2002-07-11,30.27500,31.40000,28.50000,31.02500,26.53074,5174000
2002-07-12,31.50000,32.42500,31.45000,32.17500,27.51416,2868800
2002-07-15,32.10000,32.27500,30.30000,31.75000,27.15072,3345200
2002-07-16,31.62500,32.66000,30.66500,30.90000,26.42385,2295800
2002-07-17,31.75000,32.67500,31.30000,32.42500,27.72794,2377000
2002-07-18,32.75000,34.25000,32.40000,32.75000,28.00586,5435200
2002-07-19,32.50000,32.50000,31.25000,31.40000,26.85142,2902000
2002-07-22,31.37500,31.37500,28.37500,29.30000,25.05562,5004000
2002-07-23,29.50000,29.59500,28.51000,28.87500,24.69219,2888400
2002-07-24,29.75000,32.00000,29.63500,31.50500,26.94122,32792800
2002-07-25,31.50000,34.00000,31.40000,32.32000,27.63815,11095800
2002-07-26,32.57000,32.62000,31.26500,32.00000,27.36450,6009400
2002-07-29,32.25000,34.46500,32.25000,34.30000,29.33133,5311000
2002-07-30,33.92500,35.05000,32.50000,32.95500,28.18116,8583400
2002-07-31,32.62500,34.56500,32.38000,33.94000,29.02348,12098800
2002-08-01,33.96500,35.25000,33.50000,34.44500,29.45532,4690000
