Date,Open,High,Low,Close,Adj Close,Volume
1980-06-02,0.00000,2.70370,2.68518,2.68518,0.61385,118800
1980-06-03,0.00000,2.72222,2.68518,2.72222,0.62232,141700
1980-06-04,0.00000,2.72222,2.70370,2.72222,0.62232,102600
1980-06-05,0.00000,2.74074,2.70370,2.74074,0.62655,575100
1980-06-06,0.00000,2.75926,2.70370,2.70370,0.61808,88300
1980-06-09,0.00000,2.74074,2.70370,2.72222,0.62232,151800
1980-06-10,0.00000,2.79630,2.70370,2.79630,0.63925,238200
1980-06-11,0.00000,2.90741,2.77778,2.90741,0.66465,154500
1980-06-12,0.00000,3.00000,2.90741,2.96296,0.67735,213300
1980-06-13,0.00000,3.05556,2.98148,3.00000,0.68582,369100
1980-06-16,0.00000,3.01852,2.96296,3.01852,0.69005,509500
1980-06-17,0.00000,3.07407,2.94444,3.00000,0.68582,168700
1980-06-18,0.00000,3.00000,2.94444,2.98148,0.68158,293500
1980-06-19,0.00000,2.98148,2.92593,2.94444,0.67312,53200
1980-06-20,0.00000,3.00000,2.92593,2.96296,0.67735,71500
1980-06-23,0.00000,3.01852,2.94444,2.98148,0.68158,24900
1980-06-24,0.00000,2.98148,2.92593,2.98148,0.68158,147700
1980-06-25,0.00000,3.00000,2.94444,2.94444,0.67312,123400
1980-06-26,0.00000,2.92593,2.85185,2.87037,0.65618,114700
1980-06-27,0.00000,2.90741,2.85185,2.87037,0.65618,109300
1980-06-30,0.00000,2.87037,2.79630,2.83333,0.64772,108000
1980-07-01,0.00000,2.94444,2.83333,2.92593,0.66888,150400
1980-07-02,0.00000,2.90741,2.87037,2.90741,0.66465,43800
1980-07-03,0.00000,3.00000,2.90741,3.00000,0.68582,56700
1980-07-07,0.00000,3.05556,2.98148,3.01852,0.69005,111300
1980-07-08,0.00000,2.98148,2.94444,2.96296,0.67735,110700
1980-07-09,0.00000,3.03704,2.96296,3.00000,0.68582,33000
1980-07-10,0.00000,2.94444,2.90741,2.90741,0.66465,70200
1980-07-11,0.00000,2.88889,2.81482,2.87037,0.65618,1334400
1980-07-14,0.00000,2.96296,2.81482,2.94444,0.67312,256500
1980-07-15,0.00000,2.96296,2.88889,2.90741,0.66465,366400
1980-07-16,0.00000,2.96296,2.88889,2.96296,0.67735,264600
1980-07-17,0.00000,2.96296,2.92593,2.94444,0.67312,91000
1980-07-18,0.00000,2.98148,2.92593,2.98148,0.68158,193600
1980-07-21,0.00000,2.98148,2.94444,2.96296,0.67735,44500
1980-07-22,0.00000,2.98148,2.92593,2.94444,0.67312,284800
1980-07-23,0.00000,2.92593,2.87037,2.92593,0.66888,141700
1980-07-24,0.00000,2.94444,2.88889,2.90741,0.66465,168700
1980-07-25,0.00000,2.96296,2.90741,2.92593,0.66888,58600
1980-07-28,0.00000,2.92593,2.88889,2.90741,0.66465,58000
1980-07-29,0.00000,2.92593,2.90741,2.92593,0.66888,39700
1980-07-30,0.00000,2.96296,2.92593,2.94444,0.67312,452800
