Date,Open,High,Low,Close,Adj Close,Volume
1979-05-15,3.55940,3.60750,3.51130,3.55940,1.96853,22000
1979-05-16,3.58345,3.82395,3.58345,3.79990,2.10154,65600
1979-05-17,3.79990,3.84800,3.79990,3.84800,2.12814,57200
1979-05-18,3.84800,3.99230,3.84800,3.96825,2.19464,118600
1979-05-21,3.96825,4.06445,3.92015,4.04040,2.23455,106200
1979-05-22,4.04040,4.13660,4.04040,4.08850,2.26115,127000
1979-05-23,4.08850,4.08850,3.96825,3.96825,2.19464,85400
1979-05-24,3.96825,3.99230,3.87205,3.92015,2.16804,80200
1979-05-25,3.92015,3.99230,3.87205,3.96825,2.19464,63200
1979-05-29,3.96825,4.18470,3.96825,4.11255,2.27445,122800
1979-05-30,4.18470,4.37710,4.18470,4.35306,2.40746,113600
1979-05-31,4.32900,4.32900,4.25685,4.32900,2.39416,80200
1979-06-01,4.32900,4.37710,4.32900,4.32900,2.39416,103000
1979-06-04,4.32900,4.44926,4.32900,4.42520,2.44736,70600
1979-06-05,4.44926,4.64165,4.44926,4.56950,2.52717,135800
1979-06-06,4.61760,4.76190,4.61760,4.66570,2.58037,147800
1979-06-07,4.66570,4.73786,4.64165,4.64165,2.56707,141400
1979-06-08,4.64165,4.71380,4.52140,4.59355,2.54046,53200
1979-06-11,4.59355,4.64165,4.52140,4.61760,2.55377,48600
1979-06-12,4.61760,4.64165,4.56950,4.59355,2.54046,47800
1979-06-13,4.59355,4.61760,4.42520,4.47330,2.47396,75600
1979-06-14,4.47330,4.54546,4.37710,4.47330,2.47396,58200
1979-06-15,4.52140,4.68975,4.52140,4.61760,2.55377,106800
1979-06-18,4.61760,4.61760,4.52140,4.56950,2.52717,34600
1979-06-19,4.56950,4.61760,4.52140,4.61760,2.55377,113600
1979-06-20,4.61760,4.68975,4.61760,4.64165,2.56707,151800
1979-06-21,4.64165,4.64165,4.54546,4.59355,2.54046,388800
1979-06-22,4.59355,4.59355,4.49736,4.56950,2.52717,69800
1979-06-25,4.56950,4.56950,4.28090,4.37710,2.42076,73400
1979-06-26,4.37710,4.47330,4.35306,4.40116,2.43406,77000
1979-06-27,4.40116,4.52140,4.40116,4.44926,2.46066,123800
1979-06-28,4.44926,4.49736,4.35306,4.40116,2.43406,63200
1979-06-29,4.40116,4.52140,4.40116,4.52140,2.50056,135200
1979-07-02,4.52140,4.54546,4.42520,4.42520,2.44736,40200
1979-07-03,4.42520,4.49736,4.42520,4.49736,2.48726,44800
1979-07-05,4.49736,4.49736,4.42520,4.49736,2.48726,17800
1979-07-06,4.49736,4.56950,4.47330,4.52140,2.50056,98400
1979-07-09,4.59355,5.07456,4.59355,5.07456,2.80648,223200
1979-07-10,5.07456,5.09860,4.83406,4.90620,2.71338,168600
1979-07-11,4.90620,4.90620,4.78596,4.81000,2.66018,172600
1979-07-12,4.81000,4.85810,4.76190,4.78596,2.64687,85400
1979-07-13,4.73786,4.73786,4.56950,4.61760,2.55377,89400
1979-07-16,4.61760,4.66570,4.54546,4.66570,2.58037,26200
1979-07-17,4.66570,4.66570,4.44926,4.44926,2.46066,58200
1979-07-18,4.40116,4.40116,4.25685,4.37710,2.42076,81800
1979-07-19,4.37710,4.49736,4.30496,4.42520,2.44736,34600
1979-07-20,4.42520,4.42520,4.35306,4.35306,2.40746,19800
1979-07-23,4.35306,4.47330,4.35306,4.40116,2.43406,47800
1979-07-24,4.44926,4.52140,4.44926,4.52140,2.50056,24000
1979-07-25,4.52140,4.59355,4.52140,4.54546,2.51386,23600
1979-07-26,4.54546,4.56950,4.52140,4.52140,2.50056,22000
1979-07-27,4.52140,4.56950,4.49736,4.49736,2.48726,40200
1979-07-30,4.49736,4.49736,4.40116,4.40116,2.43406,79000
1979-07-31,4.40116,4.44926,4.40116,4.44926,2.46066,69400
1979-08-01,4.44926,4.56950,4.44926,4.49736,2.48726,53200
1979-08-02,4.49736,4.56950,4.44926,4.56950,2.52717,98400
1979-08-03,4.56950,4.56950,4.49736,4.52140,2.50056,61000
1979-08-06,4.52140,4.56950,4.49736,4.52140,2.50056,40200
1979-08-07,4.52140,4.59355,4.52140,4.56950,2.52717,42400
1979-08-08,4.61760,4.76190,4.61760,4.68975,2.59367,78000
1979-08-09,4.68975,4.76190,4.64165,4.73786,2.62027,34600
1979-08-10,4.73786,4.73786,4.59355,4.61760,2.55377,40600
1979-08-13,4.61760,4.71380,4.61760,4.66570,2.58037,40200
1979-08-14,4.66570,4.68975,4.59355,4.61760,2.55377,40600
1979-08-15,4.61760,4.68975,4.54546,4.66570,2.58037,54000
1979-08-16,4.66570,4.76190,4.61760,4.68975,2.59367,61000
1979-08-17,4.68975,4.78596,4.66570,4.78596,2.64687,52600
1979-08-20,4.78596,4.81000,4.71380,4.78596,2.64687,26200
1979-08-21,4.78596,4.81000,4.59355,4.61760,2.55377,40600
1979-08-22,4.61760,4.76190,4.61760,4.73786,2.62027,99800
1979-08-23,4.73786,4.78596,4.73786,4.78596,2.64687,44800
1979-08-24,4.78596,4.85810,4.73786,4.81000,2.66018,48600
1979-08-27,4.81000,4.85810,4.73786,4.78596,2.64687,43800
1979-08-28,4.78596,4.85810,4.66570,4.66570,2.58037,37400
1979-08-29,4.66570,4.97836,4.59355,4.95430,2.73998,81200
1979-08-30,4.95430,5.33910,4.85810,5.33910,2.95279,197600
1979-08-31,5.33910,5.50746,5.33910,5.45936,3.01930,315200
1979-09-04,5.45936,5.48341,5.07456,5.12266,2.83308,106800
1979-09-05,5.00240,5.00240,4.81000,4.97836,2.75328,173400
1979-09-06,4.97836,4.97836,4.93026,4.97836,2.75328,64599
1979-09-07,4.97836,5.21886,4.97836,5.21886,2.88629,74800
1979-09-10,5.21886,5.33910,5.12266,5.17076,2.85969,105200
1979-09-11,5.17076,5.19480,5.07456,5.07456,2.80648,59400
1979-09-12,5.07456,5.21886,5.05050,5.19480,2.87299,72800
1979-09-13,5.19480,5.41126,5.09860,5.31506,2.93949,114400
1979-09-14,5.33910,5.62771,5.33910,5.53151,3.05920,169600
1979-09-17,5.55556,5.74796,5.55556,5.60366,3.09910,228800
1979-09-18,5.60366,5.60366,5.43531,5.50746,3.04590,111000
1979-09-19,5.50746,5.50746,5.41126,5.41126,2.99269,62400
1979-09-20,5.41126,5.43531,5.36316,5.41126,2.99269,80200
1979-09-21,5.43531,5.62771,5.43531,5.62771,3.11240,128800
1979-09-24,5.60366,5.60366,5.43531,5.45936,3.01930,262000
1979-09-25,5.45936,5.60366,5.41126,5.55556,3.07250,215400
1979-09-26,5.55556,5.65176,5.55556,5.55556,3.07250,66400
1979-09-27,5.53151,5.53151,5.43531,5.48341,3.03260,35400
1979-09-28,5.48341,5.55556,5.48341,5.48341,3.03260,58200
1979-10-01,5.48341,5.55556,5.48341,5.50746,3.04590,47800
1979-10-02,5.55556,5.69986,5.55556,5.67581,3.13901,105200
1979-10-03,5.74796,5.91631,5.74796,5.82011,3.21881,197600
1979-10-04,5.82011,6.06061,5.79606,6.01251,3.32522,146600
1979-10-05,6.08466,6.46946,6.08466,6.46946,3.57794,181600
1979-10-08,6.46946,6.46946,6.25301,6.34921,3.51143,245400
1979-10-09,6.32516,6.32516,5.55556,5.55556,3.07250,262600
1979-10-10,5.45936,5.45936,5.00240,5.36316,2.96609,418000
1979-10-11,5.36316,5.55556,5.21886,5.31506,2.93949,192400
1979-10-12,5.31506,5.57961,5.31506,5.41126,2.99269,116400
1979-10-15,5.41126,5.50746,5.33910,5.36316,2.96609,124800
1979-10-16,5.36316,5.48341,5.36316,5.45936,3.01930,74800
1979-10-17,5.45936,5.50746,5.41126,5.43531,3.00600,47000
1979-10-18,5.43531,5.69986,5.41126,5.67581,3.13901,94800
1979-10-19,5.62771,5.62771,5.48341,5.55556,3.07250,164400
1979-10-22,5.41126,5.41126,5.14670,5.21886,2.88629,120600
1979-10-23,5.21886,5.26696,5.09860,5.19480,2.87299,67400
1979-10-24,5.19480,5.33910,5.17076,5.33910,2.95279,58200
1979-10-25,5.33910,5.33910,5.24290,5.24290,2.89959,39600
1979-10-26,5.29100,5.36316,5.29100,5.31506,2.93949,59400
1979-10-29,5.31506,5.33910,5.29100,5.29100,2.92619,21600
1979-10-30,5.31506,5.48341,5.31506,5.48341,3.03260,78000
1979-10-31,5.48341,5.55556,5.43531,5.48341,3.03260,47000
1979-11-01,5.50746,5.77201,5.50746,5.55556,3.07250,127000
1979-11-02,5.55556,5.69986,5.53151,5.65176,3.12570,31200
1979-11-05,5.74796,5.89226,5.74796,5.82011,3.21881,84000
1979-11-06,5.82011,6.13276,5.74796,6.01251,3.32522,162200
1979-11-07,6.01251,6.10871,5.84416,5.89226,3.25871,198800
1979-11-08,5.89226,5.94036,5.79606,5.89226,3.25871,53200
1979-11-09,5.91631,6.08466,5.91631,6.03656,3.33852,129600
1979-11-12,6.03656,6.22896,5.98846,6.13276,3.39172,75600
1979-11-13,6.15681,6.30111,6.15681,6.20491,3.43162,109400
1979-11-14,6.20491,6.44541,6.15681,6.42136,3.55133,91400
1979-11-15,6.46946,6.87831,6.46946,6.61376,3.65774,194200
1979-11-16,6.61376,6.90236,6.61376,6.87831,3.80405,124800
1979-11-19,7.07071,7.23906,7.07071,7.16691,3.96366,335400
1979-11-20,7.16691,7.33526,7.07071,7.14286,3.95036,195400
1979-11-21,7.11881,7.11881,6.83021,7.04666,3.89716,237000
1979-11-23,7.09476,7.31121,7.09476,7.16691,3.96366,101000
1979-11-26,7.28716,7.55171,7.28716,7.55171,4.17647,284800
1979-11-27,7.55171,7.55171,7.11881,7.14286,3.95036,297200
1979-11-28,7.14286,7.33526,6.95046,7.09476,3.92376,408200
1979-11-29,7.09476,7.09476,6.87831,6.95046,3.84395,160800
1979-11-30,6.90236,6.90236,6.73401,6.85426,3.79075,83200
1979-12-03,6.83021,6.83021,6.73401,6.80616,3.76414,57200
1979-12-04,6.85426,6.97451,6.85426,6.85426,3.79075,120600
1979-12-05,6.90236,7.07071,6.90236,6.90236,3.81735,134400
1979-12-06,6.90236,6.97451,6.85426,6.95046,3.84395,106200
1979-12-07,6.95046,6.99856,6.42136,6.44541,3.56463,117000
1979-12-10,6.51756,6.97451,6.51756,6.87831,3.80405,123800
1979-12-11,6.87831,7.04666,6.87831,6.87831,3.80405,45600
1979-12-12,6.87831,7.26311,6.85426,7.16691,3.96366,131000
1979-12-13,7.23906,7.55171,7.23906,7.47956,4.13657,182000
1979-12-14,7.47956,7.47956,7.35931,7.40741,4.09667,43800
1979-12-17,7.40741,7.45551,7.33526,7.38336,4.08337,47800
1979-12-18,7.38336,7.38336,7.33526,7.35931,4.07007,122800
1979-12-19,7.33526,7.33526,7.14286,7.14286,3.95036,102000
1979-12-20,7.19096,7.33526,7.19096,7.28716,4.03016,49000
1979-12-21,7.26311,7.26311,6.99856,7.07071,3.91046,67400
1979-12-24,7.02261,7.02261,6.90236,6.97451,3.85725,19800
1979-12-26,6.97451,7.02261,6.85426,6.90236,3.81735,34000
1979-12-27,6.90236,6.95046,6.85426,6.95046,3.84395,15200
1979-12-28,6.95046,6.99856,6.85426,6.87831,3.80405,150800
1979-12-31,6.78211,6.78211,6.58971,6.70996,3.71094,98800
1980-01-02,6.63781,6.63781,6.42136,6.42136,3.55133,88200
1980-01-03,6.42136,6.58971,6.13276,6.51756,3.60454,114400
1980-01-04,6.51756,6.75806,6.46946,6.70996,3.71094,160200
1980-01-07,6.70996,6.75806,6.66186,6.66186,3.68434,190000
1980-01-08,6.66186,6.90236,6.66186,6.90236,3.81735,59400
1980-01-09,6.90236,7.04666,6.90236,6.90236,3.81735,94200
1980-01-10,6.87831,6.87831,6.73401,6.78211,3.75084,30400
1980-01-11,6.78211,6.83021,6.70996,6.75806,3.73754,30400
1980-01-14,6.75806,6.85426,6.58971,6.85426,3.79075,127000
1980-01-15,6.85426,6.85426,6.70996,6.78211,3.75084,76200
1980-01-16,6.78211,6.80616,6.56566,6.61376,3.65774,99800
1980-01-17,6.61376,6.70996,6.54161,6.61376,3.65774,72800
1980-01-18,6.61376,7.14286,6.56566,7.04666,3.89716,145600
1980-01-21,7.07071,7.33526,7.07071,7.23906,4.00356,97000
1980-01-22,7.23906,7.28716,6.99856,7.14286,3.95036,34000
1980-01-23,7.14286,7.38336,6.95046,7.38336,4.08337,96200
1980-01-24,7.38336,7.45551,7.11881,7.31121,4.04346,93600
1980-01-25,7.26311,7.26311,7.09476,7.09476,3.92376,27000
1980-01-28,7.09476,7.19096,6.85426,6.90236,3.81735,297200
1980-01-29,6.90236,7.02261,6.75806,6.90236,3.81735,305600
1980-01-30,6.90236,6.95046,6.75806,6.87831,3.80405,153000
1980-01-31,6.90236,7.04666,6.90236,6.99856,3.87055,135800
1980-02-01,6.97451,6.97451,6.90236,6.95046,3.84395,81200
1980-02-04,6.95046,7.09476,6.95046,6.95046,3.84395,69800
1980-02-05,6.95046,6.95046,6.87831,6.90236,3.81735,88200
1980-02-06,6.90236,7.62386,6.90236,7.59981,4.20308,187800
1980-02-07,7.59981,7.59981,7.28716,7.28716,4.03016,173400
1980-02-08,7.28716,7.33526,7.21501,7.33526,4.05676,216200
1980-02-11,38.12502,39.87501,37.87502,39.62501,4.84042,313000
1980-02-12,39.62501,40.62501,39.00002,40.62501,4.96258,331200
1980-02-13,40.62501,41.75001,39.75002,39.87501,4.87096,259000
1980-02-14,39.62501,39.62501,37.62502,38.00002,4.64192,116400
1980-02-15,38.00002,38.12502,37.75002,38.12502,4.65719,39600
1980-02-19,38.12502,39.75002,37.62502,39.75002,4.85569,91400
1980-02-20,39.75002,40.00001,39.12501,39.50002,4.82516,93600
1980-02-21,40.00001,43.87501,40.00001,41.50001,5.06947,444800
1980-02-22,41.50001,42.75001,41.00001,42.12501,5.14581,153800
1980-02-25,42.12501,42.25001,40.37501,40.37501,4.93204,151800
1980-02-26,40.37501,41.37501,39.87501,41.25001,5.03893,111400
1980-02-27,41.25001,41.50001,40.12501,40.12501,4.90150,74800
1980-02-28,40.12501,41.00001,40.00001,40.87501,4.99312,83800
1980-02-29,40.87501,41.12501,40.37501,40.75001,4.97785,36400
1980-03-03,40.50001,40.50001,39.50002,39.62501,4.84042,77000
1980-03-04,39.62501,40.00001,37.75002,38.12502,4.65719,186200
1980-03-05,38.37502,39.62501,38.37502,38.87501,4.74881,97800
1980-03-06,38.87501,38.87501,38.00002,38.00002,4.64192,63200
1980-03-07,37.50002,37.50002,35.62502,36.12502,4.41288,192400
1980-03-10,35.37502,35.37502,33.12502,34.12502,4.16857,171600
1980-03-11,34.12502,34.75002,34.12502,34.25002,4.18384,121800
1980-03-12,34.25002,34.87502,33.62502,34.12502,4.16857,80200
1980-03-13,34.12502,34.50002,33.87502,34.12502,4.16857,45600
1980-03-14,34.12502,34.62502,33.12502,34.62502,4.22965,129600
1980-03-17,34.25002,34.25002,32.00002,32.37502,3.95480,74000
1980-03-18,32.37502,32.87502,29.87502,32.87502,4.01587,279800
1980-03-19,32.87502,33.75002,32.87502,32.87502,4.01587,38200
1980-03-20,32.87502,33.00002,31.62502,32.00002,3.90899,90200
1980-03-21,32.00002,32.12502,31.50002,31.50002,3.84791,63200
1980-03-24,31.50002,31.87502,30.50002,30.75002,3.75629,102000
1980-03-25,30.25002,30.25002,28.12503,28.37503,3.46617,411800
1980-03-26,28.37503,29.00002,28.12503,28.12503,3.43563,81800
1980-03-27,26.87503,26.87503,20.87498,25.87498,3.16078,416000
1980-03-28,25.87498,26.75003,24.37498,25.62498,3.13024,243200
1980-03-31,25.62498,26.12503,25.24998,26.12503,3.19132,162200
1980-04-01,26.37503,27.62503,26.37503,26.75003,3.26767,68600
1980-04-02,26.75003,28.12503,26.62503,28.12503,3.43563,65600
1980-04-03,28.12503,28.12503,26.00003,26.62503,3.25240,264000
1980-04-07,26.62503,26.62503,24.49998,24.62498,3.00808,139400
1980-04-08,24.62498,25.37498,24.37498,25.37498,3.09970,216200
1980-04-09,25.37498,25.62498,25.12498,25.49998,3.11497,87200
1980-04-10,26.12503,26.87503,26.12503,26.87503,3.28294,293800
1980-04-11,27.25003,30.12502,27.25003,29.50002,3.60360,237000
1980-04-14,29.50002,30.12502,28.75002,29.25002,3.57306,92200
1980-04-15,29.25002,30.87502,29.12503,30.00002,3.66468,150800
1980-04-16,30.00002,30.87502,28.62503,28.87503,3.52725,100400
1980-04-17,28.87503,29.00002,28.25002,28.25002,3.45090,79600
1980-04-18,28.12503,28.12503,26.87503,27.12503,3.31348,36400
1980-04-21,26.75003,26.75003,25.37498,25.49998,3.11497,85400
1980-04-22,26.37503,28.37503,26.37503,28.37503,3.46617,182000
1980-04-23,29.12503,30.12502,29.12503,29.50002,3.60360,117800
1980-04-24,29.50002,30.00002,29.37502,29.87502,3.64941,58200
1980-04-25,29.87502,30.75002,29.75002,30.75002,3.75629,69400
1980-04-28,30.75002,31.12502,30.50002,31.12502,3.80210,35400
1980-04-29,31.00002,31.00002,30.50002,30.50002,3.72575,30000
