Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,4.03272,3.94600,3.98936,0.80605,271500
1980-03-18,0.00000,4.00382,3.94600,3.97491,0.80313,376100
1980-03-19,0.00000,4.10500,4.01827,4.04718,0.81773,858700
1980-03-20,0.00000,4.04718,4.01827,4.03272,0.81481,144400
1980-03-21,0.00000,4.03272,3.98936,4.03272,0.81481,106300
1980-03-24,0.00000,4.00382,3.88818,3.88818,0.78560,744500
1980-03-25,0.00000,3.90264,3.83036,3.84482,0.77684,112400
1980-03-26,0.00000,3.90264,3.83036,3.85927,0.77976,94200
1980-03-27,0.00000,3.84482,3.81591,3.83036,0.77392,133100
1980-03-28,0.00000,4.04718,3.85927,4.00382,0.80897,152200
1980-03-31,0.00000,4.03272,3.98936,4.01827,0.81189,181600
1980-04-01,0.00000,4.01827,3.93154,3.96045,0.80021,336400
1980-04-02,0.00000,3.93154,3.81591,3.90264,0.78852,1004800
1980-04-03,0.00000,3.81591,3.72919,3.77255,0.76224,418500
1980-04-07,0.00000,3.80146,3.74364,3.78700,0.76516,635600
1980-04-08,0.00000,3.84482,3.72919,3.81591,0.77100,486800
1980-04-09,0.00000,3.96045,3.87373,3.94600,0.79729,211800
1980-04-10,0.00000,4.04718,3.98936,4.04718,0.81773,40600
1980-04-11,0.00000,4.23508,4.10500,4.23508,0.85570,82100
1980-04-14,0.00000,4.23508,4.19172,4.19172,0.84693,133100
1980-04-15,0.00000,4.19172,4.13390,4.16281,0.84109,142600
1980-04-16,0.00000,4.13390,4.06163,4.07609,0.82357,457400
1980-04-17,0.00000,4.07609,3.93154,3.93154,0.79436,449600
1980-04-18,0.00000,3.96045,3.81591,3.84482,0.77684,270600
1980-04-21,0.00000,3.81591,3.77255,3.78700,0.76516,140000
1980-04-22,0.00000,4.07609,3.81591,4.07609,0.82357,378700
1980-04-23,0.00000,4.16281,4.03272,4.09054,0.82649,315600
1980-04-24,0.00000,4.22063,4.07609,4.19172,0.84693,84700
1980-04-25,0.00000,4.30735,4.17727,4.26399,0.86154,35400
1980-04-28,0.00000,4.29290,4.23508,4.27845,0.86446,110600
1980-04-29,0.00000,4.35072,4.24954,4.32181,0.87322,255900
1980-04-30,0.00000,4.39408,4.29290,4.39408,0.88782,267200
1980-05-01,0.00000,4.48080,4.37962,4.37962,0.88490,677100
1980-05-02,0.00000,4.36517,4.32181,4.33626,0.87614,364000
1980-05-05,0.00000,4.39408,4.36517,4.36517,0.88198,681400
1980-05-06,0.00000,4.40853,4.32181,4.37962,0.88490,608800
1980-05-07,0.00000,4.37962,4.27845,4.27845,0.86446,327700
1980-05-08,0.00000,4.27845,4.16281,4.16281,0.84109,134000
1980-05-09,0.00000,4.16281,4.01827,4.04718,0.81773,79500
1980-05-12,0.00000,4.01827,3.87373,3.93154,0.79436,614000
1980-05-13,0.00000,3.94600,3.87373,3.94600,0.79729,604400
1980-05-14,0.00000,4.01827,3.93154,4.00382,0.80897,443600
1980-05-15,0.00000,4.00382,3.94600,3.94600,0.79729,678000
1980-05-16,0.00000,3.97491,3.91709,3.96045,0.80021,126200
1980-05-19,0.00000,3.98936,3.94600,3.96045,0.80021,402900
1980-05-20,0.00000,3.98936,3.93154,3.98936,0.80605,83800
1980-05-21,0.00000,3.98936,3.91709,3.97491,0.80313,269800
1980-05-22,0.00000,4.37962,3.96045,4.19172,0.84693,1090500
1980-05-23,0.00000,4.33626,4.24954,4.33626,0.87614,1250500
1980-05-27,0.00000,4.37962,4.33626,4.36517,0.88198,104600
1980-05-28,0.00000,4.36517,4.30735,4.35072,0.87906,63100
1980-05-29,0.00000,4.35072,4.23508,4.27845,0.86446,704800
1980-05-30,0.00000,4.33626,4.19172,4.33626,0.87614,71700
1980-06-02,0.00000,4.33626,4.27845,4.29290,0.86738,31900
1980-06-03,0.00000,4.33626,4.23508,4.33626,0.87614,316500
1980-06-04,0.00000,4.45190,4.32181,4.45190,0.89950,223900
1980-06-05,0.00000,4.59644,4.43744,4.45190,0.89950,204000
1980-06-06,0.00000,4.45190,4.36517,4.37962,0.88490,180700
1980-06-09,0.00000,4.37962,4.27845,4.27845,0.86446,113200
1980-06-10,0.00000,4.37962,4.27845,4.35072,0.87906,154700
1980-06-11,0.00000,4.37962,4.33626,4.36517,0.88198,411600
1980-06-12,0.00000,4.39408,4.33626,4.39408,0.88782,173800
1980-06-13,0.00000,4.53862,4.40853,4.50971,0.91118,61400
1980-06-16,0.00000,4.63980,4.49526,4.61089,0.93163,236900
1980-06-17,0.00000,4.62535,4.55308,4.58198,0.92578,119300
1980-06-18,0.00000,4.59644,4.50971,4.53862,0.91702,50100
1980-06-19,0.00000,4.58198,4.50971,4.52417,0.91410,46600
1980-06-20,0.00000,4.49526,4.43744,4.45190,0.89950,94200
1980-06-23,0.00000,4.55308,4.46635,4.46635,0.90242,318200
1980-06-24,0.00000,4.48080,4.37962,4.45190,0.89950,535300
1980-06-25,0.00000,4.61089,4.43744,4.56753,0.92287,326800
1980-06-26,0.00000,4.61089,4.50971,4.58198,0.92578,259399
1980-06-27,0.00000,4.71207,4.58198,4.65426,0.94039,201400
1980-06-30,0.00000,4.59644,4.48080,4.48080,0.90534,671900
1980-07-01,0.00000,4.49526,4.45190,4.48080,0.90534,236900
1980-07-02,0.00000,4.56753,4.46635,4.56753,0.92287,195400
1980-07-03,0.00000,4.82771,4.62535,4.79880,0.96959,223900
1980-07-07,0.00000,4.91443,4.79880,4.91443,0.99296,522299
1980-07-08,0.00000,4.94334,4.91443,4.94334,0.99880,170300
1980-07-09,0.00000,4.94334,4.89998,4.89998,0.99004,291400
1980-07-10,0.00000,4.91443,4.78434,4.81325,0.97251,130500
1980-07-11,0.00000,4.89998,4.82771,4.85661,0.98128,274100
1980-07-14,0.00000,4.91443,4.81325,4.91443,0.99296,212700
