Date,Open,High,Low,Close,Adj Close,Volume
1999-11-29,25.75000,25.75000,25.00000,25.25000,16.97075,30700
1999-11-30,25.25000,25.93750,25.18750,25.18750,16.92875,218800
1999-12-01,25.18750,25.18750,23.25000,23.50000,15.79455,818400
1999-12-02,24.25000,24.37500,23.75000,24.18750,16.25664,341100
1999-12-03,24.87500,24.87500,24.31250,24.68750,16.59269,425600
1999-12-06,24.31250,24.68750,24.25000,24.68750,16.59269,319400
1999-12-07,24.31250,24.31250,23.56250,23.68750,15.92058,419900
1999-12-08,23.81250,23.87500,22.93750,22.93750,15.41650,563100
1999-12-09,23.18750,23.25000,22.62500,22.68750,15.24847,411100
1999-12-10,22.18750,22.75000,22.18750,22.75000,15.29048,559800
1999-12-13,22.37500,22.62500,21.93750,22.25000,14.95443,337900
1999-12-14,22.12500,22.12500,21.37500,21.62500,14.53436,524700
1999-12-15,20.87500,21.75000,20.62500,21.12500,14.19830,1119200
1999-12-16,21.12500,21.68750,20.43750,21.68750,14.57636,2292800
1999-12-17,21.68750,22.06250,21.50000,21.93750,14.74440,681800
1999-12-20,21.75000,21.87500,21.18750,21.56250,14.49235,639700
1999-12-21,21.50000,21.56250,20.31250,20.31250,13.65221,423700
1999-12-22,20.37500,21.00000,20.25000,20.75000,13.94626,313100
1999-12-23,20.87500,21.12500,20.87500,21.06250,14.15630,323400
1999-12-27,21.18750,21.25000,20.43750,20.43750,13.73623,248100
1999-12-28,20.37500,21.31250,20.37500,21.25000,14.28232,235900
1999-12-29,21.12500,22.06250,21.12500,22.00000,14.78640,160500
1999-12-30,21.87500,22.68750,21.87500,22.00000,14.78640,307800
1999-12-31,22.25000,22.50000,22.00000,22.43750,15.08044,100000
2000-01-03,22.31250,22.50000,22.12500,22.18750,14.91241,401800
2000-01-04,22.43750,23.56250,22.31250,22.87500,15.37449,572100
2000-01-05,22.87500,23.75000,22.75000,23.62500,15.87858,452800
2000-01-06,23.50000,23.68750,23.37500,23.50000,15.79455,506100
2000-01-07,23.43750,23.75000,23.31250,23.50000,15.79455,197800
2000-01-10,23.43750,23.75000,23.18750,23.31250,15.66854,334100
2000-01-11,23.00000,23.06250,22.81250,22.81250,15.33249,393900
2000-01-12,22.93750,22.93750,22.62500,22.81250,15.33249,391400
2000-01-13,23.00000,23.12500,22.68750,22.81250,15.33249,373300
2000-01-14,22.56250,23.50000,22.56250,23.43750,15.75256,521100
2000-01-18,23.06250,23.43750,22.50000,23.37500,15.71055,345600
2000-01-19,23.25000,23.31250,22.75000,22.75000,15.29048,236300
2000-01-20,22.75000,23.00000,22.50000,22.50000,15.12245,384500
2000-01-21,22.87500,22.87500,22.06250,22.06250,14.82840,358100
2000-01-24,22.75000,22.75000,21.43750,21.50000,14.45035,207700
2000-01-25,21.37500,21.62500,21.18750,21.62500,14.53436,375800
2000-01-26,21.50000,21.62500,21.31250,21.62500,14.53436,188900
2000-01-27,21.37500,21.75000,21.31250,21.43750,14.40834,255400
2000-01-28,21.31250,21.56250,21.12500,21.12500,14.19830,172900
2000-01-31,21.06250,21.25000,20.75000,20.87500,14.03028,302500
2000-02-01,20.81250,20.81250,20.18750,20.75000,13.94626,380100
2000-02-02,20.62500,20.68750,19.50000,19.50000,13.10613,594800
2000-02-03,19.56250,19.56250,18.50000,18.87500,12.68606,651800
2000-02-04,19.06250,19.06250,18.50000,18.62500,12.51803,395800
2000-02-07,18.56250,18.75000,18.00000,18.56250,12.47603,315700
2000-02-08,19.00000,19.18750,17.81250,18.18750,12.22398,453900
2000-02-09,18.18750,18.75000,18.00000,18.31250,12.30800,617600
2000-02-10,18.18750,18.25000,17.81250,17.87500,12.01395,259800
2000-02-11,17.50000,17.87500,16.62500,17.31250,11.63589,377200
2000-02-14,17.06250,17.56250,17.00000,17.31250,11.63589,331600
2000-02-15,17.37500,17.75000,17.25000,17.62500,11.84592,315600
2000-02-16,17.50000,17.68750,17.31250,17.50000,11.76191,211900
2000-02-17,17.87500,17.87500,17.25000,17.56250,11.80392,258800
2000-02-18,17.31250,17.43750,16.87500,17.37500,11.67790,332100
2000-02-22,17.25000,18.18750,17.00000,17.68750,11.88793,297300
2000-02-23,17.75000,18.00000,16.93750,17.81250,11.97194,437400
2000-02-24,17.62500,17.62500,16.12500,16.81250,11.42815,545600
2000-02-25,16.56250,17.12500,16.43750,16.68750,11.34318,296200
2000-02-28,16.68750,17.37500,16.62500,17.12500,11.64057,242000
2000-02-29,17.00000,17.06250,16.68750,16.93750,11.51312,412600
2000-03-01,16.68750,17.25000,16.25000,17.06250,11.59808,314000
2000-03-02,17.06250,17.68750,16.93750,17.62500,11.98044,305300
2000-03-03,17.75000,18.62500,17.75000,18.25000,12.40528,478100
2000-03-06,18.18750,18.18750,17.75000,18.00000,12.23534,717700
2000-03-07,17.93750,18.00000,17.62500,17.68750,12.02292,452000
2000-03-08,17.56250,17.56250,16.75000,16.93750,11.51312,424400
2000-03-09,16.93750,16.93750,16.43750,16.62500,11.30070,441000
2000-03-10,16.56250,17.68750,16.56250,17.68750,12.02292,201100
2000-03-13,17.93750,18.12500,17.00000,17.06250,11.59808,520799
2000-03-14,17.00000,17.43750,16.93750,17.37500,11.81050,312100
2000-03-15,17.25000,18.12500,17.18750,17.93750,12.19286,544400
2000-03-16,18.18750,18.75000,18.06250,18.68750,12.70267,580700
2000-03-17,18.31250,18.62500,17.87500,18.12500,12.32031,501600
2000-03-20,18.37500,18.93750,18.31250,18.62500,12.66018,296800
2000-03-21,18.12500,18.37500,18.12500,18.37500,12.49025,473500
2000-03-22,18.37500,18.37500,17.87500,18.00000,12.23534,300400
2000-03-23,18.25000,18.87500,18.12500,18.62500,12.66018,327100
2000-03-24,18.37500,18.62500,18.25000,18.50000,12.57521,408500
2000-03-27,18.50000,19.00000,18.06250,18.06250,12.27783,323200
2000-03-28,18.18750,18.93750,18.00000,18.12500,12.32031,243700
2000-03-29,18.00000,18.68750,18.00000,18.31250,12.44776,173700
2000-03-30,18.50000,20.18750,18.43750,19.50000,13.25495,300600
2000-03-31,19.25000,20.56250,19.25000,20.06250,13.63731,455100
2000-04-03,20.06250,20.31250,19.87500,20.25000,13.76476,367500
2000-04-04,20.62500,20.68750,19.56250,19.93750,13.55234,252900
2000-04-05,20.31250,20.37500,19.93750,20.31250,13.80724,294800
2000-04-06,20.43750,20.50000,19.93750,20.12500,13.67979,362300
2000-04-07,20.18750,20.18750,19.87500,19.93750,13.55234,168600
2000-04-10,20.25000,20.25000,19.93750,20.00000,13.59483,246400
2000-04-11,20.00000,20.31250,19.75000,20.00000,13.59483,251600
2000-04-12,20.12500,21.12500,20.06250,20.93750,14.23209,338800
2000-04-13,21.62500,21.62500,21.00000,21.31250,14.48698,245300
2000-04-14,21.43750,21.43750,19.43750,19.75000,13.42488,236800
2000-04-17,19.81250,20.37500,19.25000,20.31250,13.80724,260500
2000-04-18,20.18750,20.75000,20.18750,20.56250,13.97718,533100
2000-04-19,20.56250,21.31250,20.56250,20.87500,14.18960,320300
2000-04-20,20.75000,21.50000,20.75000,20.81250,14.14712,202900
2000-04-24,20.62500,20.87500,19.96875,20.00000,13.59483,185100
2000-04-25,20.75000,20.87500,20.56250,20.75000,14.10463,229600
2000-04-26,21.25000,23.06250,20.93750,23.06250,15.67653,743200
2000-04-27,23.12500,23.68750,22.93750,23.43750,15.93144,702400
2000-04-28,23.43750,24.50000,23.43750,24.18750,16.44125,526500
2000-05-01,24.25000,25.00000,24.25000,24.87500,16.90856,244200
2000-05-02,25.12500,25.43750,24.75000,24.93750,16.95104,554600
2000-05-03,25.06250,25.37500,24.81250,25.25000,17.16347,192300
2000-05-04,25.18750,25.50000,24.93750,25.43750,17.29091,305100
2000-05-05,25.50000,25.68750,25.00000,25.31250,17.20594,409400
2000-05-08,25.00000,25.31250,24.75000,25.18750,17.12098,176800
2000-05-09,25.12500,25.18750,24.68750,24.68750,16.78112,233300
2000-05-10,24.81250,24.93750,24.43750,24.68750,16.78112,317700
2000-05-11,24.62500,26.12500,24.56250,25.62500,17.41836,337000
2000-05-12,25.75000,26.31250,25.43750,25.43750,17.29091,270100
2000-05-15,25.56250,25.87500,25.50000,25.50000,17.33340,192900
2000-05-16,25.50000,25.56250,24.62500,25.31250,17.20594,348100
2000-05-17,24.31250,24.62500,23.62500,24.50000,16.65366,1091100
2000-05-18,24.56250,25.87500,24.56250,24.93750,16.95104,246800
2000-05-19,24.56250,26.81250,24.50000,26.25000,17.84321,440100
2000-05-22,26.12500,26.75000,26.12500,26.37500,17.92818,360700
2000-05-23,26.00000,26.12500,24.00000,24.50000,16.65366,550100
2000-05-24,25.00000,25.12500,24.75000,24.87500,16.90856,236300
2000-05-25,24.62500,24.68750,23.75000,23.75000,16.27471,631300
2000-05-26,24.00000,24.25000,23.12500,23.31250,15.97491,345100
2000-05-30,23.18750,23.62500,23.18750,23.62500,16.18905,457600
2000-05-31,23.50000,23.87500,22.25000,22.62500,15.50380,500300
2000-06-01,22.93750,23.12500,22.06250,22.56250,15.46097,342900
2000-06-02,22.50000,22.87500,22.50000,22.68750,15.54662,272600
2000-06-05,23.06250,23.06250,22.12500,22.43750,15.37531,213500
2000-06-06,22.37500,22.87500,22.18750,22.18750,15.20400,178900
2000-06-07,22.12500,22.12500,21.06250,21.06250,14.43310,286200
2000-06-08,21.18750,21.50000,21.12500,21.12500,14.47592,153900
2000-06-09,21.12500,21.37500,21.00000,21.12500,14.47592,136300
2000-06-12,21.25000,21.50000,21.25000,21.25000,14.56158,147200
2000-06-13,21.43750,21.50000,21.25000,21.37500,14.64724,203800
2000-06-14,21.25000,21.50000,21.25000,21.37500,14.64724,135400
2000-06-15,21.62500,21.62500,20.75000,20.75000,14.21895,173000
2000-06-16,20.25000,20.81250,20.25000,20.25000,13.87633,303400
2000-06-19,20.25000,20.25000,19.68750,19.68750,13.49088,196600
2000-06-20,19.43750,19.75000,19.06250,19.12500,13.10542,231700
2000-06-21,19.00000,19.93750,19.00000,19.81250,13.57653,211500
2000-06-22,19.87500,20.00000,19.43750,19.43750,13.31957,172000
2000-06-23,19.56250,20.00000,19.50000,19.87500,13.61936,125000
2000-06-26,19.75000,20.37500,19.75000,20.31250,13.91915,233200
2000-06-27,20.06250,20.37500,20.06250,20.25000,13.87633,206000
2000-06-28,20.31250,20.31250,19.25000,19.39062,13.28744,227500
2000-06-29,19.62500,19.87500,19.43750,19.50000,13.36239,231500
2000-06-30,19.37500,19.50000,17.98438,18.00000,12.33452,447200
2000-07-03,18.12500,19.75000,18.12500,19.68750,13.49088,247600
2000-07-05,20.06250,20.06250,19.37500,19.56250,13.40522,184500
2000-07-06,19.50000,19.75000,19.43750,19.56250,13.40522,81800
2000-07-07,19.81250,20.00000,19.31250,19.50000,13.36239,229900
2000-07-10,19.50000,20.50000,19.50000,19.93750,13.66219,142800
2000-07-11,20.00000,20.68750,20.00000,20.25000,13.87633,98400
2000-07-12,20.25000,20.50000,20.06250,20.06250,13.74784,80900
2000-07-13,20.18750,20.50000,20.18750,20.37500,13.96199,62100
2000-07-14,20.31250,20.62500,19.87500,19.93750,13.66219,150000
2000-07-17,20.00000,20.12500,19.81250,19.87500,13.61936,70600
2000-07-18,19.50000,20.18750,19.50000,20.06250,13.74784,133500
2000-07-19,20.06250,20.31250,19.75000,19.87500,13.61936,115800
2000-07-20,19.75000,20.12500,19.75000,19.87500,13.61936,135400
2000-07-21,19.87500,20.06250,19.87500,20.00000,13.70502,120000
2000-07-24,20.00000,20.56250,20.00000,20.37500,13.96199,145600
2000-07-25,20.50000,20.50000,20.00000,20.06250,13.74784,87100
2000-07-26,20.06250,20.12500,19.62500,20.00000,13.70502,312700
2000-07-27,20.25000,21.25000,20.25000,21.12500,14.47592,312500
2000-07-28,21.18750,21.37500,20.12500,20.25000,13.87633,283600
2000-07-31,20.12500,21.12500,20.12500,20.68750,14.17613,487800
2000-08-01,20.81250,21.37500,20.75000,21.12500,14.47592,385800
2000-08-02,21.18750,21.87500,21.18750,21.56250,14.77572,391100
2000-08-03,21.56250,21.75000,21.12500,21.18750,14.51875,278300
2000-08-04,21.43750,21.43750,20.93750,21.00000,14.39028,247100
2000-08-07,20.93750,21.12500,20.87500,21.00000,14.39028,403600
2000-08-08,21.00000,21.50000,21.00000,21.43750,14.69007,82000
2000-08-09,21.31250,21.31250,20.87500,21.18750,14.51875,153300
2000-08-10,21.06250,21.56250,21.06250,21.37500,14.64724,103400
2000-08-11,21.37500,22.06250,21.37500,21.81250,14.94703,129300
2000-08-14,21.56250,22.06250,21.50000,21.87500,14.98986,88700
