Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.00000,5.18750,5.15625,5.15625,1.54366,22400
1973-02-22,0.00000,5.20312,5.17188,5.17188,1.54834,11200
1973-02-23,0.00000,5.17188,5.12500,5.14062,1.53898,52800
1973-02-26,0.00000,5.12500,5.12500,5.12500,1.53430,9600
1973-02-27,0.00000,5.14062,5.12500,5.12500,1.53430,18400
1973-02-28,0.00000,5.14062,5.12500,5.12500,1.53430,29600
1973-03-01,0.00000,5.12500,5.06250,5.06250,1.51793,24000
1973-03-02,0.00000,5.06250,5.03125,5.03125,1.50856,36800
1973-03-05,0.00000,5.04688,5.00000,5.01562,1.50387,48000
1973-03-06,0.00000,5.07812,5.01562,5.07812,1.52261,12800
1973-03-07,0.00000,5.12500,5.06250,5.12500,1.53666,97600
1973-03-08,0.00000,5.10938,5.09375,5.10938,1.53198,8000
1973-03-09,0.00000,5.12500,5.09375,5.09375,1.52730,100800
1973-03-12,0.00000,5.09375,5.06250,5.06250,1.51793,57600
1973-03-13,0.00000,5.03125,5.03125,5.03125,1.50856,114400
1973-03-14,0.00000,5.12500,5.06250,5.10938,1.53198,226400
1973-03-15,0.00000,5.21875,5.12500,5.18750,1.55540,74400
1973-03-16,0.00000,5.18750,5.15625,5.18750,1.55540,116000
1973-03-19,0.00000,5.23438,5.17188,5.23438,1.56946,53600
1973-03-20,0.00000,5.28125,5.20312,5.25000,1.57414,40000
1973-03-21,0.00000,5.34375,5.26562,5.28125,1.58352,65600
1973-03-22,0.00000,5.26562,5.12500,5.12500,1.53666,69600
1973-03-23,0.00000,5.14062,5.10938,5.12500,1.53666,20000
1973-03-26,0.00000,5.21875,5.15625,5.18750,1.55540,28800
1973-03-27,0.00000,5.18750,5.15625,5.17188,1.55072,12000
1973-03-28,0.00000,5.31250,5.15625,5.31250,1.59288,38400
1973-03-29,0.00000,5.53125,5.34375,5.53125,1.65847,516000
1973-03-30,0.00000,5.50000,5.43750,5.46875,1.63974,50400
1973-04-02,0.00000,5.50000,5.43750,5.50000,1.64910,12000
1973-04-03,0.00000,5.56250,5.46875,5.56250,1.66784,53600
1973-04-04,0.00000,5.60938,5.53125,5.60938,1.68190,32800
1973-04-05,0.00000,5.60938,5.54688,5.54688,1.66316,21600
1973-04-06,0.00000,5.57812,5.37500,5.37500,1.61162,79200
1973-04-09,0.00000,5.37500,5.34375,5.37500,1.61162,48000
1973-04-10,0.00000,5.37500,5.29688,5.29688,1.58820,125600
1973-04-11,0.00000,5.26562,5.00000,5.00000,1.49919,34400
