Date,Open,High,Low,Close,Adj Close,Volume
1991-04-02,6.87500,7.37500,6.56250,7.34375,7.34375,9147200
1991-04-03,7.28125,7.34375,6.87500,7.31250,7.31250,3403200
1991-04-04,7.28125,7.28125,7.09375,7.21875,7.21875,831200
1991-04-05,7.12500,7.18750,7.09375,7.12500,7.12500,457200
1991-04-08,7.06250,7.18750,6.87500,7.12500,7.12500,608800
1991-04-09,7.12500,7.25000,7.12500,7.18750,7.18750,472400
1991-04-10,7.12500,7.50000,7.12500,7.50000,7.50000,781600
1991-04-11,7.75000,8.28125,7.75000,8.06250,8.06250,1339200
1991-04-12,8.12500,8.25000,8.06250,8.15625,8.15625,468800
1991-04-15,8.21875,8.21875,7.93750,8.00000,8.00000,352800
1991-04-16,7.96875,8.15625,7.78125,8.09375,8.09375,266400
1991-04-17,8.12500,8.12500,7.90625,7.93750,7.93750,246400
1991-04-18,7.96875,8.06250,7.87500,8.00000,8.00000,298800
1991-04-19,7.93750,8.06250,7.93750,8.03125,8.03125,204800
1991-04-22,8.00000,8.06250,7.59375,7.59375,7.59375,388000
1991-04-23,7.71875,7.84375,7.65625,7.81250,7.81250,256399
1991-04-24,7.84375,8.06250,7.84375,8.03125,8.03125,254000
1991-04-25,8.09375,8.12500,8.06250,8.06250,8.06250,82400
1991-04-26,8.03125,8.06250,7.87500,8.00000,8.00000,106800
1991-04-29,8.18750,8.25000,8.12500,8.18750,8.18750,306400
1991-04-30,8.12500,8.12500,7.75000,8.06250,8.06250,187600
1991-05-01,8.12500,8.18750,8.06250,8.18750,8.18750,196400
1991-05-02,8.12500,8.28125,8.12500,8.25000,8.25000,155200
1991-05-03,8.25000,8.28125,8.12500,8.25000,8.25000,85600
1991-05-06,8.18750,8.21875,8.03125,8.15625,8.15625,55200
1991-05-07,8.21875,8.21875,8.03125,8.03125,8.03125,138400
1991-05-08,8.00000,8.00000,7.96875,8.00000,8.00000,102400
1991-05-09,8.00000,8.09375,7.96875,8.06250,8.06250,124400
1991-05-10,8.03125,8.03125,7.93750,7.93750,7.93750,61600
1991-05-13,7.90625,7.93750,7.78125,7.78125,7.78125,85600
1991-05-14,7.81250,7.81250,7.43750,7.50000,7.50000,296000
1991-05-15,7.50000,7.81250,7.46875,7.65625,7.65625,165600
1991-05-16,7.68750,7.75000,7.62500,7.75000,7.75000,116000
1991-05-17,7.68750,7.68750,7.31250,7.46875,7.46875,864000
1991-05-20,7.50000,7.75000,7.46875,7.68750,7.68750,174800
1991-05-21,7.90625,7.96875,7.71875,7.75000,7.75000,235200
1991-05-22,7.78125,7.87500,7.75000,7.87500,7.87500,53600
1991-05-23,7.87500,7.87500,7.68750,7.71875,7.71875,24000
1991-05-24,7.75000,7.84375,7.71875,7.81250,7.81250,62400
1991-05-28,7.75000,7.78125,7.62500,7.75000,7.75000,46400
1991-05-29,7.78125,7.78125,7.62500,7.62500,7.62500,183600
1991-05-30,7.62500,7.62500,7.43750,7.56250,7.56250,306400
1991-05-31,7.56250,7.56250,7.46875,7.53125,7.53125,36800
1991-06-03,7.50000,7.68750,7.50000,7.68750,7.68750,257200
1991-06-04,7.71875,7.84375,7.65625,7.84375,7.84375,110800
1991-06-05,7.84375,8.15625,7.84375,8.15625,8.15625,266800
1991-06-06,8.12500,8.25000,8.12500,8.15625,8.15625,105200
1991-06-07,8.15625,8.25000,8.12500,8.18750,8.18750,309200
1991-06-10,8.18750,8.34375,8.18750,8.34375,8.34375,103200
1991-06-11,8.40625,8.43750,8.31250,8.40625,8.40625,197600
1991-06-12,8.40625,8.43750,8.03125,8.03125,8.03125,236400
1991-06-13,8.03125,8.03125,7.90625,7.93750,7.93750,84800
1991-06-14,8.00000,8.46875,8.00000,8.37500,8.37500,298800
1991-06-17,8.37500,8.68750,8.37500,8.65625,8.65625,348800
1991-06-18,8.62500,8.68750,8.59375,8.65625,8.65625,74800
1991-06-19,8.65625,8.65625,8.37500,8.37500,8.37500,102400
1991-06-20,8.31250,8.31250,8.21875,8.25000,8.25000,51200
1991-06-21,8.31250,8.37500,8.28125,8.31250,8.31250,192800
1991-06-24,8.25000,8.31250,8.09375,8.15625,8.15625,128800
1991-06-25,8.06250,8.06250,7.90625,7.96875,7.96875,137600
1991-06-26,7.90625,7.96875,7.81250,7.96875,7.96875,235600
1991-06-27,8.03125,8.37500,8.03125,8.37500,8.37500,186800
1991-06-28,8.37500,8.50000,8.37500,8.46875,8.46875,222000
1991-07-01,8.65625,9.06250,8.62500,9.06250,9.06250,421600
1991-07-02,9.03125,9.40625,8.96875,9.28125,9.28125,459200
1991-07-03,9.21875,9.31250,9.12500,9.28125,9.28125,243600
1991-07-05,9.31250,9.65625,9.31250,9.62500,9.62500,248800
1991-07-08,9.62500,9.93750,9.56250,9.90625,9.90625,470800
1991-07-09,9.96875,10.25000,9.93750,10.18750,10.18750,320000
1991-07-10,10.18750,10.25000,10.00000,10.06250,10.06250,481600
1991-07-11,10.06250,10.06250,9.46875,9.62500,9.62500,404000
1991-07-12,9.62500,9.68750,9.53125,9.62500,9.62500,398000
1991-07-15,9.62500,10.00000,9.62500,10.00000,10.00000,216800
1991-07-16,10.00000,10.00000,9.93750,9.93750,9.93750,145600
1991-07-17,9.90625,10.00000,9.90625,9.96875,9.96875,200400
1991-07-18,10.00000,10.12500,9.96875,10.09375,10.09375,104800
1991-07-19,10.06250,10.06250,9.93750,10.00000,10.00000,172000
1991-07-22,10.00000,10.00000,9.75000,9.75000,9.75000,195600
1991-07-23,9.75000,9.75000,9.71875,9.75000,9.75000,117600
1991-07-24,9.68750,9.71875,9.62500,9.65625,9.65625,88400
