Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,4.62500,4.62500,4.62500,4.62500,1.43748,99200
1973-02-22,4.64062,4.64062,4.64062,4.64062,1.44234,47200
1973-02-23,4.62500,4.62500,4.62500,4.62500,1.43748,133600
1973-02-26,4.62500,4.62500,4.62500,4.62500,1.43748,24000
1973-02-27,4.62500,4.62500,4.62500,4.62500,1.43748,41600
1973-02-28,4.62500,4.62500,4.62500,4.62500,1.43748,66400
1973-03-01,4.65625,4.65625,4.65625,4.65625,1.44720,93600
1973-03-02,4.67188,4.67188,4.67188,4.67188,1.45205,26400
1973-03-05,4.73438,4.73438,4.73438,4.73438,1.47148,68000
1973-03-06,4.87500,4.87500,4.87500,4.87500,1.51518,76800
1973-03-07,4.87500,4.87500,4.87500,4.87500,1.51518,51200
1973-03-08,4.90625,4.90625,4.90625,4.90625,1.52490,84800
1973-03-09,4.90625,4.90625,4.90625,4.90625,1.52490,78400
1973-03-12,4.89062,4.89062,4.89062,4.89062,1.52004,73600
1973-03-13,4.90625,4.90625,4.90625,4.90625,1.52490,47200
1973-03-14,4.92188,4.92188,4.92188,4.92188,1.52976,50400
1973-03-15,4.90625,4.90625,4.90625,4.90625,1.52490,70400
1973-03-16,4.89062,4.89062,4.89062,4.89062,1.52004,44800
1973-03-19,4.84375,4.84375,4.84375,4.84375,1.50547,28000
1973-03-20,4.75000,4.75000,4.75000,4.75000,1.47634,68800
1973-03-21,4.68750,4.68750,4.68750,4.68750,1.45691,94400
1973-03-22,4.60938,4.60938,4.60938,4.60938,1.43263,55200
1973-03-23,4.60938,4.60938,4.60938,4.60938,1.43263,117600
1973-03-26,4.59375,4.59375,4.59375,4.59375,1.42777,9600
1973-03-27,4.59375,4.59375,4.59375,4.59375,1.42777,15200
1973-03-28,4.65625,4.65625,4.65625,4.65625,1.44720,141600
1973-03-29,4.71875,4.71875,4.71875,4.71875,1.46662,120000
1973-03-30,4.71875,4.71875,4.71875,4.71875,1.46662,85600
1973-04-02,4.68750,4.68750,4.68750,4.68750,1.45691,52800
1973-04-03,4.65625,4.65625,4.65625,4.65625,1.44720,23200
1973-04-04,4.62500,4.62500,4.62500,4.62500,1.43748,78400
1973-04-05,4.60938,4.60938,4.60938,4.60938,1.43263,78400
1973-04-06,4.60938,4.60938,4.60938,4.60938,1.43263,36000
1973-04-09,4.60938,4.60938,4.60938,4.60938,1.43263,28000
