Date,Open,High,Low,Close,Adj Close,Volume
1992-06-05,1.12500,1.15625,1.04688,1.06250,0.92159,77576000
1992-06-08,1.09375,1.09375,1.03125,1.03125,0.89448,13020800
1992-06-09,1.06250,1.07812,1.03125,1.04688,0.90804,8281600
1992-06-10,1.03125,1.04688,1.00000,1.00000,0.86738,4707200
1992-06-11,1.00000,1.01562,0.98438,0.99219,0.86060,4974400
1992-06-12,0.98438,1.01562,0.98438,1.01562,0.88093,2393600
1992-06-15,0.98438,1.01562,0.98438,1.00000,0.86738,1944000
1992-06-16,1.01562,1.01562,0.98438,0.98438,0.85383,1276800
1992-06-17,0.98438,1.01562,0.87500,0.89062,0.77251,17123200
1992-06-18,0.89062,0.90625,0.87500,0.87500,0.75896,5713600
1992-06-19,0.87500,0.95312,0.87500,0.92188,0.79962,1252800
1992-06-22,0.93750,0.96875,0.93750,0.95312,0.82672,2241600
1992-06-23,0.96875,1.00000,0.93750,1.00000,0.86738,3516800
1992-06-24,0.98438,0.99219,0.90625,0.95312,0.82672,4502400
1992-06-25,0.96875,0.98438,0.93750,0.98438,0.85383,1024000
1992-06-26,1.00000,1.00000,0.96875,0.98438,0.85383,568000
1992-06-29,1.00000,1.04688,1.00000,1.03125,0.89448,1724800
1992-06-30,1.06250,1.09375,1.03125,1.06250,0.92159,3028800
1992-07-01,1.06250,1.06250,1.03125,1.03125,0.89448,1216000
1992-07-02,1.03125,1.05469,1.00000,1.00781,0.87416,1054400
1992-07-06,1.00000,1.00000,0.95312,0.95312,0.82672,1363200
1992-07-07,0.95312,1.00000,0.95312,1.00000,0.86738,998400
1992-07-08,0.96875,1.00000,0.94531,0.95312,0.82672,2686400
1992-07-09,0.98438,1.04688,0.96875,1.04688,0.90804,2024000
1992-07-10,1.04688,1.04688,1.01562,1.04688,0.90804,680000
1992-07-13,1.04688,1.04688,1.01562,1.04688,0.90804,334400
1992-07-14,1.01562,1.09375,1.01562,1.09375,0.94870,3032000
1992-07-15,1.09375,1.09375,1.06250,1.06250,0.92159,875200
1992-07-16,1.06250,1.07812,1.03125,1.03125,0.89448,369600
1992-07-17,1.03125,1.06250,1.00000,1.04688,0.90804,592000
1992-07-20,1.01562,1.04688,1.01562,1.03125,0.89448,387200
1992-07-21,1.04688,1.04688,1.01562,1.01562,0.88093,268800
1992-07-22,1.04688,1.04688,1.01562,1.04688,0.90804,840000
1992-07-23,1.04688,1.10938,1.01562,1.06250,0.92159,2128000
1992-07-24,1.09375,1.10938,1.06250,1.10938,0.96225,1436800
1992-07-27,1.10938,1.10938,1.06250,1.08594,0.94192,507200
