Date,Open,High,Low,Close,Adj Close,Volume
1991-12-23,14.87500,14.87500,14.62500,14.87500,3.35769,27400
1991-12-24,14.75000,14.87500,14.50000,14.75000,3.32947,15600
1991-12-26,14.62500,14.62500,14.62500,14.62500,3.30125,800
1991-12-27,14.87500,15.00000,14.50000,14.50000,3.27304,9600
1991-12-30,14.75000,14.75000,13.75000,13.75000,3.10374,29800
1991-12-31,14.00000,14.00000,13.62500,13.87500,3.13196,16200
1992-01-02,14.00000,14.00000,13.87500,13.87500,3.13196,6000
1992-01-03,13.87500,14.12500,13.87500,14.00000,3.16017,6800
1992-01-06,13.87500,13.87500,13.62500,13.62500,3.07553,16400
1992-01-07,13.75000,14.00000,13.75000,13.87500,3.13196,19600
1992-01-08,13.87500,14.50000,13.87500,14.00000,3.16017,48200
1992-01-09,13.75000,14.00000,13.62500,14.00000,3.16017,34200
1992-01-10,13.87500,14.00000,13.75000,13.87500,3.15904,22800
1992-01-13,14.00000,14.37500,14.00000,14.25000,3.24442,21000
1992-01-14,14.50000,14.62500,14.25000,14.25000,3.24442,13200
1992-01-15,14.37500,14.37500,14.12500,14.25000,3.24442,21000
1992-01-16,14.25000,14.25000,14.12500,14.25000,3.24442,4800
1992-01-17,14.25000,14.37500,14.25000,14.25000,3.24442,5200
1992-01-20,14.37500,14.37500,14.25000,14.25000,3.24442,6800
1992-01-21,14.00000,14.12500,14.00000,14.00000,3.18750,8800
1992-01-22,13.87500,14.00000,13.87500,14.00000,3.18750,6800
1992-01-23,13.87500,14.12500,13.87500,14.12500,3.21596,27000
1992-01-24,14.00000,14.00000,13.87500,14.00000,3.18750,30600
1992-01-27,14.00000,14.00000,13.87500,13.87500,3.15904,13400
1992-01-28,13.62500,13.75000,13.62500,13.62500,3.10212,29000
1992-01-29,13.87500,13.87500,13.37500,13.50000,3.07366,43800
1992-01-30,13.37500,13.50000,13.00000,13.37500,3.04520,27800
1992-01-31,13.75000,13.87500,13.75000,13.87500,3.15904,53200
1992-02-03,13.75000,13.87500,13.75000,13.87500,3.15904,32000
1992-02-04,13.62500,13.75000,13.37500,13.75000,3.13058,90000
1992-02-05,13.75000,13.75000,13.62500,13.62500,3.10212,78200
1992-02-06,13.62500,13.75000,13.62500,13.75000,3.13058,89200
1992-02-07,13.75000,13.75000,13.50000,13.50000,3.07366,87200
1992-02-10,13.62500,13.62500,13.37500,13.50000,3.07366,20800
1992-02-11,13.50000,13.62500,13.50000,13.50000,3.07366,6600
1992-02-12,13.50000,13.75000,13.50000,13.75000,3.13058,164800
1992-02-13,13.75000,13.87500,13.62500,13.75000,3.13058,84000
1992-02-14,13.75000,13.87500,13.75000,13.75000,3.13058,20400
1992-02-18,13.75000,13.87500,13.75000,13.75000,3.13058,2800
1992-02-19,14.00000,14.12500,13.87500,14.00000,3.18750,52800
1992-02-20,14.12500,14.12500,14.00000,14.12500,3.21596,10600
1992-02-21,14.12500,14.12500,14.00000,14.12500,3.21596,6800
1992-02-24,14.00000,14.12500,14.00000,14.00000,3.18750,4200
1992-02-25,14.12500,14.12500,13.87500,13.87500,3.15904,11400
1992-02-26,14.00000,14.00000,13.87500,14.00000,3.18750,56800
1992-02-27,14.00000,14.12500,13.87500,14.00000,3.18750,14800
1992-02-28,14.00000,14.25000,14.00000,14.12500,3.21596,31800
1992-03-02,14.25000,14.25000,14.12500,14.25000,3.24442,33800
1992-03-03,14.25000,14.25000,13.87500,14.00000,3.18750,13200
1992-03-04,14.00000,14.00000,13.87500,13.87500,3.15904,4200
1992-03-05,13.75000,13.87500,13.62500,13.62500,3.10212,17000
1992-03-06,13.62500,13.62500,13.50000,13.62500,3.10212,19000
1992-03-09,13.50000,13.50000,13.37500,13.50000,3.07366,22400
1992-03-10,13.37500,14.00000,13.37500,13.87500,3.15904,32800
1992-03-11,13.75000,13.87500,13.75000,13.87500,3.15904,4000
1992-03-12,13.75000,13.87500,13.75000,13.87500,3.15904,18600
1992-03-13,13.75000,13.87500,13.75000,13.87500,3.15904,18200
1992-03-16,13.87500,13.87500,13.75000,13.87500,3.15904,24400
1992-03-17,13.87500,13.87500,13.75000,13.87500,3.15904,7200
1992-03-18,13.87500,13.87500,13.62500,13.62500,3.10212,20200
1992-03-19,13.62500,13.62500,13.37500,13.37500,3.04520,18400
1992-03-20,13.50000,13.62500,13.25000,13.37500,3.04520,47400
1992-03-23,13.37500,13.37500,13.25000,13.37500,3.04520,12000
1992-03-24,13.25000,13.50000,13.25000,13.37500,3.04520,85400
1992-03-25,13.37500,14.25000,13.37500,14.12500,3.21596,33600
1992-03-26,14.00000,14.00000,14.00000,14.00000,3.18750,11200
1992-03-27,14.12500,14.12500,14.00000,14.12500,3.21596,11000
1992-03-30,14.00000,14.12500,14.00000,14.12500,3.21596,18000
1992-03-31,14.25000,14.50000,14.25000,14.25000,3.24442,29800
1992-04-01,14.37500,14.50000,14.37500,14.37500,3.27287,23600
1992-04-02,14.50000,14.50000,14.25000,14.25000,3.24442,30600
1992-04-03,14.12500,14.37500,14.12500,14.25000,3.24442,23400
1992-04-06,14.50000,14.50000,14.25000,14.25000,3.24442,28800
1992-04-07,14.50000,14.50000,14.25000,14.25000,3.24442,11800
1992-04-08,14.25000,14.37500,14.00000,14.00000,3.18750,26800
1992-04-09,14.00000,14.37500,14.00000,14.12500,3.21596,33200
1992-04-10,14.37500,14.87500,14.37500,14.75000,3.38703,53200
1992-04-13,14.75000,15.00000,14.75000,15.00000,3.44444,38000
1992-04-14,15.00000,15.37500,15.00000,15.25000,3.50184,13000
1992-04-15,15.25000,15.75000,15.25000,15.62500,3.58795,34800
1992-04-16,15.50000,15.75000,15.25000,15.50000,3.55925,81600
1992-04-20,15.50000,15.50000,15.25000,15.25000,3.50184,27200
1992-04-21,15.12500,15.75000,15.12500,15.50000,3.55925,32000
1992-04-22,15.62500,15.75000,15.50000,15.62500,3.58795,17800
1992-04-23,15.62500,15.62500,15.37500,15.62500,3.58795,26600
1992-04-24,15.50000,15.75000,15.37500,15.37500,3.53055,24200
1992-04-27,15.12500,15.37500,15.12500,15.37500,3.53055,51000
1992-04-28,15.37500,15.50000,15.25000,15.50000,3.55925,13000
1992-04-29,15.50000,15.50000,15.25000,15.37500,3.53055,25800
1992-04-30,15.50000,15.50000,15.37500,15.50000,3.55925,23000
1992-05-01,15.37500,15.37500,15.25000,15.37500,3.53055,2600
1992-05-04,15.37500,15.50000,15.12500,15.37500,3.53055,31600
1992-05-05,15.50000,15.50000,15.25000,15.25000,3.50184,5200
1992-05-06,15.50000,15.50000,15.00000,15.12500,3.47314,30200
1992-05-07,15.25000,16.50000,15.25000,16.50000,3.78888,126400
1992-05-08,16.25000,16.50000,16.00000,16.37500,3.76018,106600
1992-05-11,16.25000,16.37500,16.00000,16.25000,3.73147,33400
1992-05-12,16.25000,17.12500,16.00000,17.12500,3.93240,31000
1992-05-13,17.62500,18.12500,17.37500,17.50000,4.01851,119400
1992-05-14,17.50000,17.62500,17.37500,17.50000,4.01851,67000
1992-05-15,17.50000,17.50000,17.25000,17.50000,4.01851,58600
1992-05-18,17.50000,17.62500,17.37500,17.62500,4.04721,30800
1992-05-19,17.50000,18.00000,17.50000,18.00000,4.13332,63400
1992-05-20,18.00000,18.00000,17.00000,17.00000,3.90369,48200
1992-05-21,17.25000,17.75000,17.25000,17.75000,4.07592,42400
1992-05-22,17.75000,17.75000,17.62500,17.75000,4.07592,122800
1992-05-26,17.75000,17.75000,17.37500,17.37500,3.98981,23200
1992-05-27,17.25000,17.37500,17.25000,17.37500,3.98981,18600
1992-05-28,17.25000,17.37500,17.12500,17.37500,3.98981,31400
1992-05-29,17.50000,17.75000,17.37500,17.75000,4.07592,3200
1992-06-01,17.62500,17.62500,17.37500,17.62500,4.04721,40000
1992-06-02,17.37500,17.37500,17.25000,17.37500,3.98981,6800
1992-06-03,17.37500,17.37500,17.00000,17.00000,3.90369,11800
1992-06-04,17.25000,17.25000,16.75000,17.12500,3.93240,35400
1992-06-05,17.25000,17.25000,17.00000,17.25000,3.96110,15600
1992-06-08,17.25000,17.25000,17.12500,17.25000,3.96110,19200
1992-06-09,17.25000,17.25000,17.12500,17.12500,3.93240,6400
1992-06-10,17.12500,17.25000,17.00000,17.00000,3.90369,3600
1992-06-11,17.00000,17.12500,17.00000,17.00000,3.90369,23600
1992-06-12,17.12500,17.12500,16.87500,16.87500,3.87499,25400
1992-06-15,16.75000,17.00000,16.75000,16.75000,3.84629,8000
1992-06-16,17.00000,17.00000,16.75000,16.87500,3.87499,6200
1992-06-17,16.75000,16.75000,16.75000,16.75000,3.84629,5000
1992-06-18,16.62500,16.75000,16.50000,16.50000,3.78888,14800
1992-06-19,16.50000,16.50000,16.37500,16.37500,3.76018,8800
1992-06-22,16.37500,16.50000,16.37500,16.50000,3.78888,10400
1992-06-23,16.25000,16.25000,15.62500,15.87500,3.64536,26000
1992-06-24,15.62500,16.12500,15.62500,16.00000,3.67407,12600
1992-06-25,15.87500,16.37500,15.87500,16.25000,3.73147,8600
1992-06-26,16.12500,16.62500,16.12500,16.50000,3.78888,4800
1992-06-29,16.50000,16.50000,16.37500,16.37500,3.76018,14800
1992-06-30,16.37500,16.62500,16.25000,16.25000,3.73147,24000
1992-07-01,16.25000,16.25000,16.12500,16.12500,3.70277,34200
1992-07-02,16.00000,16.37500,16.00000,16.12500,3.70277,61400
1992-07-06,16.00000,16.00000,15.37500,15.50000,3.55925,66000
1992-07-07,15.50000,15.62500,15.25000,15.25000,3.50184,134800
1992-07-08,15.37500,17.25000,15.37500,17.12500,3.93240,386000
1992-07-09,17.37500,17.50000,17.25000,17.25000,3.96110,102200
1992-07-10,17.12500,17.50000,17.12500,17.37500,4.02010,180200
1992-07-13,17.62500,18.00000,17.37500,18.00000,4.16471,72400
1992-07-14,18.00000,18.25000,17.50000,17.50000,4.04902,75400
1992-07-15,17.50000,17.50000,17.25000,17.25000,3.99118,71200
1992-07-16,17.25000,17.37500,17.25000,17.25000,3.99118,37600
1992-07-17,17.37500,17.37500,17.00000,17.00000,3.93334,15200
1992-07-20,16.75000,16.75000,16.50000,16.75000,3.87549,18000
1992-07-21,16.62500,17.00000,16.50000,17.00000,3.93334,37400
1992-07-22,16.75000,17.37500,16.75000,17.00000,3.93334,25200
1992-07-23,17.00000,17.12500,17.00000,17.00000,3.93334,15400
1992-07-24,17.00000,17.50000,17.00000,17.50000,4.04902,40000
1992-07-27,17.50000,17.50000,17.50000,17.50000,4.04902,15600
1992-07-28,17.75000,17.75000,17.50000,17.62500,4.07795,20000
1992-07-29,17.62500,17.75000,17.50000,17.50000,4.04902,24000
1992-07-30,17.50000,17.50000,17.00000,17.12500,3.96226,27800
1992-07-31,17.00000,17.37500,17.00000,17.37500,4.02010,34400
1992-08-03,17.12500,17.37500,17.00000,17.25000,3.99118,11400
1992-08-04,17.25000,17.50000,17.25000,17.50000,4.04902,33000
1992-08-05,17.37500,17.75000,17.25000,17.37500,4.02010,23800
1992-08-06,17.50000,17.50000,17.00000,17.00000,3.93334,27600
1992-08-07,17.25000,17.37500,17.25000,17.37500,4.02010,12400
1992-08-10,17.37500,17.50000,17.37500,17.50000,4.04902,14600
1992-08-11,17.37500,17.50000,17.00000,17.50000,4.04902,72400
1992-08-12,17.50000,17.50000,17.50000,17.50000,4.04902,5600
1992-08-13,17.37500,17.50000,17.37500,17.37500,4.02010,14600
1992-08-14,17.50000,17.50000,17.25000,17.25000,3.99118,13400
1992-08-17,17.37500,17.50000,17.25000,17.25000,3.99118,10200
1992-08-18,17.37500,17.37500,17.00000,17.25000,3.99118,13800
1992-08-19,17.37500,17.37500,17.12500,17.25000,3.99118,19200
1992-08-20,17.00000,17.50000,17.00000,17.50000,4.04902,52000
1992-08-21,17.25000,17.50000,17.12500,17.50000,4.04902,33000
1992-08-24,17.37500,17.37500,17.25000,17.25000,3.99118,14200
1992-08-25,17.12500,17.12500,16.75000,16.75000,3.87549,33200
1992-08-26,16.87500,16.87500,16.50000,16.50000,3.81765,14600
1992-08-27,16.62500,16.75000,16.37500,16.75000,3.87549,63800
1992-08-28,16.75000,16.87500,16.75000,16.87500,3.90442,6800
1992-08-31,16.87500,16.87500,16.75000,16.75000,3.87549,14800
1992-09-01,16.50000,16.62500,16.00000,16.00000,3.70196,37800
1992-09-02,16.25000,16.75000,16.25000,16.50000,3.81765,31600
1992-09-03,16.37500,16.37500,16.37500,16.37500,3.78873,8200
1992-09-04,16.50000,16.50000,16.37500,16.50000,3.81765,10800
1992-09-08,16.37500,16.62500,16.37500,16.62500,3.84657,20400
1992-09-09,16.62500,17.12500,16.50000,16.87500,3.90442,84800
1992-09-10,16.75000,16.75000,16.50000,16.62500,3.84657,19200
1992-09-11,16.50000,16.50000,16.12500,16.25000,3.75981,23000
1992-09-14,16.37500,16.50000,16.25000,16.50000,3.81765,10400
1992-09-15,16.50000,16.50000,16.12500,16.25000,3.75981,28600
1992-09-16,16.25000,16.50000,16.12500,16.50000,3.81765,24800
1992-09-17,16.37500,16.62500,16.25000,16.50000,3.81765,22400
1992-09-18,16.62500,16.87500,16.37500,16.87500,3.90442,19600
1992-09-21,16.75000,17.00000,16.75000,17.00000,3.93334,9600
1992-09-22,17.00000,17.00000,16.75000,16.87500,3.90442,12000
1992-09-23,16.75000,17.00000,16.75000,17.00000,3.93334,18200
1992-09-24,17.00000,17.00000,16.75000,16.75000,3.87549,63600
1992-09-25,16.62500,16.75000,16.50000,16.62500,3.84657,5400
1992-09-28,16.62500,17.00000,16.62500,17.00000,3.93334,27600
1992-09-29,17.00000,17.25000,16.87500,16.87500,3.90442,38200
1992-09-30,17.00000,17.00000,16.62500,17.00000,3.93334,15200
1992-10-01,16.87500,17.00000,16.75000,16.75000,3.87549,9600
1992-10-02,17.00000,17.00000,16.50000,16.50000,3.81765,12000
1992-10-05,16.37500,16.37500,16.00000,16.25000,3.75981,24600
1992-10-06,16.37500,16.37500,16.25000,16.25000,3.75981,7600
1992-10-07,16.37500,16.62500,16.37500,16.50000,3.81765,24800
1992-10-08,16.75000,17.25000,16.75000,17.12500,3.96226,14400
1992-10-09,16.87500,17.12500,16.87500,16.87500,3.93428,17000
1992-10-12,16.87500,16.87500,16.75000,16.87500,3.93428,10600
1992-10-13,17.00000,17.00000,16.87500,16.87500,3.93428,26200
1992-10-14,16.87500,17.12500,16.87500,17.12500,3.99257,10000
1992-10-15,17.00000,17.12500,16.87500,17.12500,3.99257,7400
1992-10-16,17.00000,17.00000,16.87500,16.87500,3.93428,8600
1992-10-19,16.87500,17.00000,16.75000,17.00000,3.96342,47000
1992-10-20,16.87500,17.00000,16.87500,17.00000,3.96342,9800
1992-10-21,16.87500,17.00000,16.87500,17.00000,3.96342,9000
1992-10-22,17.00000,17.00000,17.00000,17.00000,3.96342,5800
1992-10-23,16.87500,16.87500,16.87500,16.87500,3.93428,9200
1992-10-26,16.87500,17.00000,16.87500,16.87500,3.93428,3200
1992-10-27,17.00000,17.12500,17.00000,17.12500,3.99257,10600
1992-10-28,17.00000,17.25000,17.00000,17.12500,3.99257,12400
1992-10-29,17.12500,17.25000,17.12500,17.25000,4.02171,48600
1992-10-30,17.12500,17.25000,17.12500,17.25000,4.02171,55000
1992-11-02,17.25000,17.25000,17.12500,17.25000,4.02171,20000
1992-11-03,17.25000,17.25000,17.12500,17.25000,4.02171,65000
1992-11-04,17.12500,17.12500,17.00000,17.12500,3.99257,18800
1992-11-05,17.00000,17.12500,17.00000,17.12500,3.99257,28600
1992-11-06,17.00000,17.12500,17.00000,17.12500,3.99257,58200
1992-11-09,17.00000,17.12500,17.00000,17.12500,3.99257,23400
1992-11-10,17.12500,17.12500,17.00000,17.12500,3.99257,25000
1992-11-11,17.00000,17.12500,17.00000,17.12500,3.99257,25200
1992-11-12,17.00000,17.12500,17.00000,17.00000,3.96342,31400
1992-11-13,17.12500,17.12500,16.75000,16.75000,3.90514,171000
1992-11-16,16.75000,16.75000,16.37500,16.37500,3.81771,24200
1992-11-17,16.50000,16.50000,16.12500,16.37500,3.81771,42000
1992-11-18,16.50000,16.50000,16.37500,16.50000,3.84685,10400
1992-11-19,16.50000,16.50000,16.37500,16.50000,3.84685,422800
1992-11-20,16.50000,16.50000,16.37500,16.50000,3.84685,75600
1992-11-23,16.50000,16.50000,16.25000,16.25000,3.78857,24800
1992-11-24,16.25000,16.37500,16.25000,16.25000,3.78857,53000
1992-11-25,16.37500,16.37500,16.25000,16.37500,3.81771,19400
1992-11-27,16.37500,16.62500,16.37500,16.62500,3.87600,73000
1992-11-30,16.62500,16.75000,16.62500,16.75000,3.90514,28200
1992-12-01,16.75000,16.75000,16.62500,16.75000,3.90514,29800
1992-12-02,16.62500,16.75000,16.37500,16.50000,3.84685,10000
1992-12-03,16.62500,16.75000,16.62500,16.75000,3.90514,37000
1992-12-04,16.75000,16.75000,16.50000,16.62500,3.87600,35600
1992-12-07,16.87500,16.87500,16.75000,16.87500,3.93428,98000
1992-12-08,16.75000,16.87500,16.62500,16.87500,3.93428,98600
1992-12-09,16.87500,16.87500,16.75000,16.87500,3.93428,49200
1992-12-10,16.62500,16.87500,16.62500,16.75000,3.90514,35000
1992-12-11,16.87500,16.87500,16.62500,16.87500,3.93428,35400
1992-12-14,16.87500,16.87500,16.62500,16.87500,3.93428,102400
1992-12-15,16.87500,17.25000,16.87500,17.25000,4.02171,334000
1992-12-16,17.25000,17.37500,17.12500,17.37500,4.05085,230400
1992-12-17,17.37500,17.75000,17.25000,17.75000,4.13828,348600
1992-12-18,17.75000,18.50000,17.75000,18.50000,4.31314,179000
1992-12-21,18.62500,19.00000,18.50000,19.00000,4.42971,167600
1992-12-22,19.00000,19.00000,18.75000,18.87500,4.40057,134600
1992-12-23,19.00000,19.25000,18.75000,19.12500,4.45885,110200
1992-12-24,19.12500,19.12500,19.00000,19.12500,4.45885,63000
1992-12-28,18.87500,19.12500,18.87500,19.12500,4.45885,83800
1992-12-29,19.37500,19.50000,19.12500,19.37500,4.51714,51400
1992-12-30,19.50000,19.50000,19.37500,19.50000,4.54628,35000
1992-12-31,19.50000,19.75000,19.37500,19.62500,4.57542,57600
1993-01-04,19.37500,20.50000,19.00000,20.50000,4.77942,91600
1993-01-05,20.25000,20.75000,20.12500,20.62500,4.80857,86800
1993-01-06,20.37500,20.50000,20.25000,20.37500,4.75028,55600
1993-01-07,20.37500,20.37500,19.75000,20.12500,4.69200,92400
