Date,Open,High,Low,Close,Adj Close,Volume
1991-09-17,3.00000,3.25000,3.00000,3.12500,3.12500,17096400
1991-09-18,3.04167,3.20833,3.04167,3.12500,3.12500,1704000
1991-09-19,3.04167,3.16667,3.04167,3.14583,3.14583,1717800
1991-09-20,3.16667,3.16667,3.08333,3.08333,3.08333,2092800
1991-09-23,3.16667,3.16667,2.95833,2.95833,2.95833,1954800
1991-09-24,2.95833,3.08333,2.95833,3.00000,3.00000,1826400
1991-09-25,2.95833,3.08333,2.95833,3.04167,3.04167,473400
1991-09-26,3.04167,3.25000,3.04167,3.16667,3.16667,598800
1991-09-27,3.25000,3.37500,3.16667,3.33333,3.33333,779400
1991-09-30,3.33333,3.33333,3.04167,3.12500,3.12500,594600
1991-10-01,3.16667,3.16667,3.08333,3.08333,3.08333,112800
1991-10-02,3.16667,3.16667,3.08333,3.16667,3.16667,409800
1991-10-03,3.16667,3.16667,2.95833,2.95833,2.95833,246600
1991-10-04,3.08333,3.08333,2.87500,2.87500,2.87500,303000
1991-10-07,2.87500,2.95833,2.66667,2.66667,2.66667,605400
1991-10-08,2.66667,2.75000,2.45833,2.54167,2.54167,4804200
1991-10-09,2.54167,2.58333,2.50000,2.52083,2.52083,469200
1991-10-10,2.58333,2.58333,2.50000,2.56250,2.56250,1455600
1991-10-11,2.62500,2.75000,2.54167,2.68750,2.68750,312000
1991-10-14,2.75000,2.95833,2.66667,2.95833,2.95833,369600
1991-10-15,3.00000,3.33333,3.00000,3.31250,3.31250,779400
1991-10-16,3.33333,3.54167,3.29167,3.54167,3.54167,1215600
1991-10-17,3.45833,3.45833,3.04167,3.16667,3.16667,954600
1991-10-18,3.16667,3.37500,3.04167,3.37500,3.37500,764400
1991-10-21,3.33333,3.45833,3.29167,3.29167,3.29167,196800
1991-10-22,3.37500,3.37500,3.25000,3.25000,3.25000,84600
1991-10-23,3.33333,3.45833,3.16667,3.16667,3.16667,540000
1991-10-24,3.29167,3.29167,3.04167,3.08333,3.08333,164400
1991-10-25,3.16667,3.16667,2.87500,3.00000,3.00000,243600
1991-10-28,3.12500,3.16667,2.95833,2.95833,2.95833,292200
1991-10-29,3.04167,3.16667,3.00000,3.16667,3.16667,162600
1991-10-30,3.20833,3.29167,3.08333,3.16667,3.16667,277200
1991-10-31,3.16667,3.16667,3.00000,3.08333,3.08333,178200
1991-11-01,3.00000,3.12500,2.97917,3.04167,3.04167,1586400
1991-11-04,3.04167,3.12500,2.95833,2.95833,2.95833,270000
1991-11-05,2.95833,3.04167,2.66667,2.75000,2.75000,716400
1991-11-06,2.83333,2.83333,2.58333,2.66667,2.66667,443400
1991-11-07,2.66667,2.75000,2.50000,2.54167,2.54167,601200
1991-11-08,2.54167,2.70833,2.45833,2.70833,2.70833,1528200
1991-11-11,2.70833,2.91667,2.70833,2.70833,2.70833,818400
1991-11-12,2.83333,2.91667,2.79167,2.91667,2.91667,776400
1991-11-13,2.91667,3.00000,2.83333,2.91667,2.91667,1289400
1991-11-14,3.00000,3.08333,2.91667,2.97917,2.97917,1420200
1991-11-15,2.95833,2.95833,2.37500,2.37500,2.37500,1191000
1991-11-18,2.25000,2.50000,2.00000,2.45833,2.45833,2312400
1991-11-19,2.45833,2.45833,2.25000,2.37500,2.37500,2037000
1991-11-20,2.37500,2.41667,2.00000,2.20833,2.20833,434400
1991-11-21,2.25000,2.33333,2.12500,2.25000,2.25000,208800
1991-11-22,2.29167,2.29167,1.95833,2.08333,2.08333,1123800
1991-11-25,2.04167,2.12500,1.95833,2.08333,2.08333,323400
1991-11-26,1.95833,2.08333,1.83333,1.87500,1.87500,199200
1991-11-27,2.00000,2.04167,1.91667,1.95833,1.95833,192600
1991-11-29,1.95833,2.00000,1.95833,2.00000,2.00000,60000
1991-12-02,1.87500,2.16667,1.87500,2.12500,2.12500,833400
1991-12-03,2.16667,2.16667,1.87500,2.06250,2.06250,910800
1991-12-04,2.04167,2.12500,1.97917,2.00000,2.00000,370200
1991-12-05,2.08333,2.20833,1.95833,2.04167,2.04167,410400
1991-12-06,2.04167,2.08333,1.95833,1.95833,1.95833,58800
1991-12-09,1.95833,2.08333,1.95833,2.04167,2.04167,204600
1991-12-10,2.08333,2.12500,2.00000,2.04167,2.04167,483600
1991-12-11,2.12500,2.33333,2.08333,2.33333,2.33333,439800
1991-12-12,2.50000,2.50000,2.37500,2.45833,2.45833,181200
1991-12-13,2.45833,2.50000,2.37500,2.45833,2.45833,246600
1991-12-16,2.41667,2.45833,2.33333,2.45833,2.45833,90600
1991-12-17,2.45833,2.50000,2.37500,2.41667,2.41667,100200
1991-12-18,2.33333,2.45833,2.33333,2.33333,2.33333,57000
1991-12-19,2.37500,2.37500,2.25000,2.29167,2.29167,82200
1991-12-20,2.29167,2.29167,2.16667,2.16667,2.16667,321000
1991-12-23,13.75002,13.75002,13.00002,13.50000,2.25000,119400
1991-12-24,13.75002,13.75002,13.00002,13.00002,2.16667,37200
1991-12-26,12.75000,13.24998,12.49998,12.49998,2.08333,99000
1991-12-27,12.49998,13.24998,12.49998,12.75000,2.12500,116400
1991-12-30,12.49998,13.99998,12.49998,13.75002,2.29167,384000
1991-12-31,13.99998,14.25000,13.00002,13.00002,2.16667,460800
