Date,Open,High,Low,Close,Adj Close,Volume
1999-11-22,198.43749,215.25000,197.31249,208.62502,64.87926,13251000
1999-11-23,210.00000,210.50002,189.87502,192.75000,59.94236,7614600
1999-11-24,196.37499,204.24999,196.37499,201.99999,62.81897,4950900
1999-11-26,204.00000,210.24999,203.37502,207.12502,64.41278,2075699
1999-11-29,209.87499,209.93752,198.99999,202.93749,63.11052,5068500
1999-11-30,203.12499,203.12499,175.37499,179.06250,55.68576,9588600
1999-12-01,185.68749,194.75002,180.06249,189.99999,59.08715,7296600
1999-12-02,197.37502,201.93750,194.06250,199.87500,62.15813,5589300
1999-12-03,204.87502,211.12500,204.75000,207.75000,64.60714,6171600
1999-12-06,215.00002,221.49999,210.50002,221.49999,68.88318,5581800
1999-12-07,224.81250,227.87499,215.25000,224.49999,69.81613,3531900
1999-12-08,225.50002,230.75002,220.25002,225.00000,69.97163,3512100
1999-12-09,231.00000,234.87502,214.62502,226.31250,70.37980,4395600
1999-12-10,229.87500,229.87500,213.00000,217.74999,67.71699,4874100
1999-12-13,219.87502,219.87502,213.75000,218.00002,67.79474,3099000
1999-12-14,219.00000,219.00000,200.00002,204.62499,63.63531,4206600
1999-12-15,201.37500,215.62500,195.00000,214.25002,66.62855,6533100
1999-12-16,217.37499,223.37499,216.99999,222.00000,69.03868,4729800
1999-12-17,228.50002,230.25000,222.99999,225.31252,70.06882,3496500
1999-12-20,229.25002,230.12499,219.99999,223.43752,69.48572,2238000
1999-12-21,226.12500,231.00000,221.00002,229.87500,71.48768,2796300
1999-12-22,232.56249,256.50000,230.25000,254.00002,78.99020,7590300
1999-12-23,258.99999,259.25002,243.31252,245.68749,76.40513,4083000
1999-12-27,248.75002,252.81249,233.49999,249.99999,77.74625,4902600
1999-12-28,249.24999,282.37500,247.25002,269.18752,83.71329,6168600
1999-12-29,275.00002,279.99999,267.75000,275.00002,85.52089,3389700
1999-12-30,285.87502,288.99999,265.12500,271.74999,84.51018,3702000
1999-12-31,274.25002,274.25002,264.99999,272.37502,84.70455,1346100
2000-01-03,285.50002,285.99999,254.12499,273.12502,84.93779,5782200
2000-01-04,266.49999,273.00000,254.00002,255.18750,79.35949,3359100
2000-01-05,246.00000,256.25002,232.06252,248.49999,77.27978,7465200
2000-01-06,243.06249,246.81249,229.50000,229.87500,71.48768,4499700
2000-01-07,224.49999,266.49999,221.75002,266.49999,82.87751,5652000
2000-01-10,284.00002,304.87500,280.37499,295.56249,91.91551,10480200
2000-01-11,290.62500,306.99999,262.25002,267.99999,83.34398,6621000
2000-01-12,273.99999,295.74999,267.00000,284.49999,88.47524,8599800
2000-01-13,291.87502,300.00000,276.62499,284.62500,88.51411,6310200
2000-01-14,296.37502,301.62502,290.00002,295.25002,91.81833,5111700
2000-01-18,300.99999,332.12499,299.00002,328.50000,102.15858,9194400
2000-01-19,319.50000,330.62499,292.93749,318.06249,98.91267,19689900
2000-01-20,323.00002,323.75002,314.49999,318.87502,99.16536,5637000
2000-01-21,321.00000,321.62499,310.37499,312.43749,97.16338,3569400
2000-01-24,315.00000,315.00000,285.99999,287.62500,89.44707,7745400
2000-01-25,293.37502,294.99999,272.49999,282.75000,87.93102,7458000
2000-01-26,283.81252,294.00000,279.00000,286.56249,89.11664,5349900
2000-01-27,290.62500,294.00000,273.24999,281.37502,87.50342,5265900
2000-01-28,278.25000,290.00002,272.43750,284.00002,88.31975,7143300
2000-01-31,281.68749,289.50000,266.00002,289.31250,89.97186,5233800
2000-02-01,289.50000,299.43750,276.06249,296.75002,92.28481,5389500
2000-02-02,300.00000,326.87499,297.00000,315.43749,98.09634,10475400
2000-02-03,318.99999,330.24999,313.25002,323.56252,100.62310,6975900
2000-02-04,327.50002,327.56250,306.00000,311.00002,96.71635,8273400
2000-02-07,314.75002,342.24999,310.50000,339.31252,105.52111,6789900
2000-02-08,341.37502,351.24999,311.00002,335.00002,104.17999,6286500
2000-02-09,338.00002,345.75000,330.00000,336.93750,104.78252,4724100
2000-02-10,339.24999,354.87502,336.50002,348.99999,108.53377,5943600
2000-02-11,351.24999,354.24999,336.00000,337.12500,104.84083,4722000
2000-02-14,172.75001,173.25000,160.00001,171.75000,106.82336,3401400
2000-02-15,174.49999,176.25000,165.12499,174.37500,108.45603,3392200
2000-02-16,175.62499,187.24999,172.50000,186.25001,115.84193,4348600
2000-02-17,188.12501,193.50000,179.50001,190.31250,118.36868,4786000
2000-02-18,195.31249,195.31249,187.00001,190.00001,118.17432,4686300
2000-02-22,188.50001,190.00001,179.50001,187.99999,116.93037,3986800
2000-02-23,189.12499,190.99999,183.75000,186.00000,115.68643,2669700
2000-02-24,188.93749,190.62499,184.00001,186.87499,116.23065,3731500
2000-02-25,187.50000,197.87501,181.62499,190.99999,118.79628,4757700
2000-02-28,192.93750,193.31250,180.00000,181.50000,112.88757,3352800
2000-02-29,192.00000,198.43751,190.03125,197.37499,122.76134,4010700
2000-03-01,200.50001,208.50000,197.50001,205.99999,128.12583,3842500
2000-03-02,208.50000,209.87501,201.00000,206.12501,128.20358,2990100
2000-03-03,210.75000,235.68750,209.74999,232.87500,144.84128,4155300
2000-03-06,233.43750,249.43751,223.00001,235.18751,146.27959,3601800
2000-03-07,240.06251,249.75000,229.06249,243.00000,151.13872,3850500
2000-03-08,249.18750,249.25001,210.00000,234.49999,145.85197,5765800
2000-03-09,240.75000,243.75000,231.00000,238.99999,148.65084,2541000
2000-03-10,243.25001,249.81251,238.99999,243.06251,151.17760,2629000
2000-03-13,230.25000,239.50001,225.49999,229.99999,143.05311,3349600
2000-03-14,234.56250,235.99999,200.87501,200.93749,124.97710,5519800
2000-03-15,206.25000,211.99999,180.93750,187.93751,116.89150,9306300
2000-03-16,199.43749,213.00000,185.37499,212.81250,132.36300,10081200
2000-03-17,214.37501,223.00001,213.49999,217.56251,135.31737,3556000
2000-03-20,220.00001,229.50000,207.75000,212.37499,132.09089,4543800
2000-03-21,203.62500,229.00001,193.99999,228.00000,141.80917,6388300
2000-03-22,230.81250,246.87499,229.98438,242.62500,150.90549,5035300
2000-03-23,241.75001,253.00001,241.62499,246.00000,153.00463,3799600
2000-03-24,247.37501,248.37499,228.62501,232.99999,144.91902,5316600
2000-03-27,238.93751,242.87501,226.75001,232.99999,144.91902,3496800
2000-03-28,233.50001,233.50001,219.75000,222.68749,138.50495,3140700
2000-03-29,225.49999,226.87500,208.99999,216.93750,134.92863,5871400
2000-03-30,208.99999,231.00000,207.00000,210.93750,131.19681,7028500
2000-03-31,218.18749,244.00001,204.37500,242.87501,151.06098,8099100
2000-04-03,234.00000,235.75001,210.00000,219.06251,136.25032,8214100
2000-04-04,219.62501,221.50001,152.12501,204.00000,126.88189,19954800
2000-04-05,193.12500,220.50000,181.00001,204.56250,127.23175,11011900
2000-04-06,211.62499,213.62501,190.75001,202.75001,126.10443,7479000
2000-04-07,209.50001,213.00000,202.06249,207.75000,129.21428,4770900
2000-04-10,212.68751,214.99999,190.99999,194.50001,120.97318,7113300
2000-04-11,182.18749,190.50000,166.00001,176.62500,109.85546,13462600
2000-04-12,171.12499,178.99999,156.06251,157.99999,98.27126,10269000
2000-04-13,156.49999,159.00000,139.24999,144.06251,89.60257,12395400
2000-04-14,132.25001,142.00001,112.99999,122.25000,76.03584,20358300
2000-04-17,114.46875,150.00000,114.00000,148.56251,92.40143,14976100
2000-04-18,151.50000,161.74999,140.50001,157.00001,97.64930,11555400
2000-04-19,157.99999,158.62500,141.12499,142.24999,88.47524,9216600
2000-04-20,149.25000,154.37501,142.50000,152.50001,94.85044,6823900
2000-04-24,147.87499,151.99999,126.06251,141.87499,88.24200,11808600
2000-04-25,149.37499,162.00000,147.00000,160.87500,100.05943,12710800
2000-04-26,162.12499,173.87501,154.62499,160.56251,99.86507,10947900
2000-04-27,148.87500,175.00001,148.87500,170.74999,106.20138,9505500
2000-04-28,174.00000,180.00000,169.24999,172.37501,107.21209,6429700
2000-05-01,176.25000,181.99999,171.87499,174.25001,108.37829,6642600
2000-05-02,181.06249,187.24999,176.74999,181.99999,113.19855,9715000
2000-05-03,175.99999,180.49999,165.00000,175.93751,109.42786,8437600
2000-05-04,179.25000,180.87499,169.50000,175.31250,109.03913,5850100
2000-05-05,172.50000,182.56249,171.37500,177.81251,110.59406,5194600
2000-05-08,175.00001,177.00000,170.56249,171.25001,106.51238,3393700
2000-05-09,173.25000,173.68751,154.99999,161.93749,100.72027,7125400
2000-05-10,156.00000,160.37501,144.00000,145.00001,90.18566,10600800
2000-05-11,149.87501,153.56250,145.07813,148.12500,92.12932,7535400
2000-05-12,152.68751,160.31250,149.12501,149.43750,92.94565,4741300
2000-05-15,149.37499,157.00001,142.99999,155.25000,96.56085,4552800
2000-05-16,160.99999,170.18749,157.99999,166.62499,103.63576,6361200
