Date,Open,High,Low,Close,Adj Close,Volume
1992-05-19,4.25000,4.34375,4.21875,4.28125,4.28125,7799600
1992-05-20,4.34375,4.37500,4.31250,4.37500,4.37500,2560400
1992-05-21,4.37500,4.37500,4.31250,4.37500,4.37500,1854000
1992-05-22,4.40625,4.59375,4.37500,4.53125,4.53125,3206400
1992-05-26,4.50000,4.53125,4.37500,4.37500,4.37500,1727600
1992-05-27,4.40625,4.46875,4.40625,4.43750,4.43750,794000
1992-05-28,4.46875,4.50000,4.43750,4.46875,4.46875,250800
1992-05-29,4.50000,4.59375,4.46875,4.56250,4.56250,1041599
1992-06-01,4.56250,4.65625,4.56250,4.62500,4.62500,859600
1992-06-02,4.68750,4.68750,4.56250,4.65625,4.65625,1385600
1992-06-03,4.62500,4.62500,4.46875,4.50000,4.50000,1222000
1992-06-04,4.50000,4.50000,4.37500,4.37500,4.37500,464000
1992-06-05,4.34375,4.34375,4.25000,4.31250,4.31250,940800
1992-06-08,4.34375,4.34375,4.31250,4.31250,4.31250,844000
1992-06-09,4.31250,4.34375,4.12500,4.12500,4.12500,1579200
1992-06-10,4.12500,4.15625,4.12500,4.12500,4.12500,676800
1992-06-11,4.15625,4.15625,4.03125,4.09375,4.09375,1413600
1992-06-12,4.15625,4.21875,4.15625,4.18750,4.18750,208400
1992-06-15,4.15625,4.15625,4.12500,4.15625,4.15625,1178000
1992-06-16,4.15625,4.15625,4.09375,4.12500,4.12500,256000
1992-06-17,4.09375,4.09375,3.87500,3.93750,3.93750,1033200
1992-06-18,3.93750,3.93750,3.90625,3.93750,3.93750,277200
1992-06-19,3.90625,3.93750,3.87500,3.93750,3.93750,394800
1992-06-22,3.87500,3.87500,3.50000,3.59375,3.59375,752400
1992-06-23,3.65625,4.00000,3.65625,3.96875,3.96875,1240000
1992-06-24,4.00000,4.00000,3.84375,3.93750,3.93750,368000
1992-06-25,3.96875,3.96875,3.81250,3.87500,3.87500,344400
1992-06-26,3.84375,3.87500,3.81250,3.87500,3.87500,290000
1992-06-29,3.87500,4.25000,3.87500,4.21875,4.21875,474400
1992-06-30,4.25000,4.28125,4.18750,4.28125,4.28125,532400
1992-07-01,4.25000,4.25000,4.21875,4.21875,4.21875,191200
1992-07-02,4.25000,4.46875,4.25000,4.43750,4.43750,1210400
1992-07-06,4.43750,4.59375,4.40625,4.59375,4.59375,1128400
1992-07-07,4.62500,4.71875,4.59375,4.59375,4.59375,784000
1992-07-08,4.62500,4.62500,4.40625,4.46875,4.46875,355200
1992-07-09,4.46875,4.56250,4.21875,4.53125,4.53125,102400
1992-07-10,4.53125,4.53125,4.43750,4.46875,4.46875,129600
1992-07-13,4.46875,4.59375,4.46875,4.53125,4.53125,219200
1992-07-14,4.56250,4.65625,4.53125,4.65625,4.65625,225600
1992-07-15,4.65625,4.65625,4.56250,4.56250,4.56250,335600
1992-07-16,4.56250,4.75000,4.56250,4.75000,4.75000,765600
1992-07-17,4.78125,4.78125,4.62500,4.65625,4.65625,440000
1992-07-20,4.59375,4.65625,4.43750,4.50000,4.50000,201600
1992-07-21,4.53125,4.90625,4.53125,4.75000,4.75000,700400
1992-07-22,4.75000,4.90625,4.71875,4.84375,4.84375,218800
1992-07-23,4.81250,4.90625,4.78125,4.81250,4.81250,330800
1992-07-24,4.75000,4.78125,4.68750,4.71875,4.71875,308800
1992-07-27,4.71875,4.71875,4.62500,4.62500,4.62500,71200
1992-07-28,4.68750,4.87500,4.68750,4.84375,4.84375,453200
1992-07-29,4.87500,5.09375,4.87500,5.00000,5.00000,1081600
1992-07-30,4.96875,5.00000,4.90625,5.00000,5.00000,422800
1992-07-31,4.93750,5.00000,4.93750,5.00000,5.00000,154400
1992-08-03,5.00000,5.00000,4.96875,4.96875,4.96875,63600
1992-08-04,5.00000,5.00000,4.93750,4.96875,4.96875,201200
1992-08-05,4.93750,4.96875,4.90625,4.93750,4.93750,750400
1992-08-06,4.93750,5.00000,4.90625,5.00000,5.00000,208000
1992-08-07,4.96875,5.06250,4.90625,4.90625,4.90625,643200
1992-08-10,4.93750,5.03125,4.81250,4.84375,4.84375,277200
1992-08-11,4.81250,4.81250,4.56250,4.62500,4.62500,764400
1992-08-12,4.59375,4.59375,4.50000,4.56250,4.56250,319200
1992-08-13,4.59375,4.59375,4.50000,4.50000,4.50000,251600
1992-08-14,4.50000,4.50000,4.31250,4.34375,4.34375,984400
1992-08-17,4.34375,4.43750,4.31250,4.43750,4.43750,472800
1992-08-18,4.40625,4.43750,4.40625,4.40625,4.40625,565600
1992-08-19,4.43750,4.56250,4.43750,4.53125,4.53125,782800
1992-08-20,4.59375,4.59375,4.50000,4.56250,4.56250,254800
1992-08-21,4.59375,4.65625,4.56250,4.56250,4.56250,297600
1992-08-24,4.59375,4.59375,4.46875,4.50000,4.50000,164400
1992-08-25,4.56250,4.62500,4.50000,4.62500,4.62500,221600
1992-08-26,4.62500,4.81250,4.62500,4.75000,4.75000,418000
1992-08-27,4.75000,4.84375,4.75000,4.81250,4.81250,94000
1992-08-28,4.75000,4.84375,4.75000,4.84375,4.84375,263200
1992-08-31,4.84375,4.84375,4.78125,4.84375,4.84375,204000
1992-09-01,4.71875,4.78125,4.65625,4.78125,4.78125,586800
1992-09-02,4.78125,4.78125,4.65625,4.78125,4.78125,454400
1992-09-03,4.78125,4.78125,4.50000,4.50000,4.50000,788400
1992-09-04,4.53125,4.59375,4.50000,4.59375,4.59375,38000
