Date,Open,High,Low,Close,Adj Close,Volume
1993-08-13,3.17188,3.18750,3.12500,3.12500,2.27637,14796800
1993-08-16,3.14062,3.14062,3.03125,3.09375,2.25360,3422400
1993-08-17,3.06250,3.09375,3.04688,3.04688,2.21946,732800
1993-08-18,3.04688,3.12500,3.04688,3.09375,2.25360,1084800
1993-08-19,3.07812,3.15625,3.06250,3.15625,2.29913,832800
1993-08-20,3.15625,3.20312,3.14062,3.18750,2.32189,464000
1993-08-23,3.17188,3.17188,3.14062,3.14062,2.28775,146400
1993-08-24,3.15625,3.15625,3.12500,3.12500,2.27637,354400
1993-08-25,3.12500,3.15625,3.12500,3.15625,2.29913,214400
1993-08-26,3.15625,3.18750,3.15625,3.15625,2.29913,287200
1993-08-27,3.15625,3.21875,3.15625,3.18750,2.32189,330400
1993-08-30,3.20312,3.21875,3.17188,3.18750,2.32189,120800
1993-08-31,3.20312,3.20312,3.17188,3.20312,2.33328,233600
1993-09-01,3.17188,3.18750,3.17188,3.18750,2.32189,196800
1993-09-02,3.18750,3.18750,3.12500,3.12500,2.27637,132000
1993-09-03,3.12500,3.15625,3.06250,3.06250,2.23084,51200
1993-09-07,3.09375,3.15625,3.09375,3.09375,2.25360,984800
1993-09-08,3.12500,3.12500,2.95312,3.00000,2.18531,208800
1993-09-09,2.96875,3.00000,2.96875,2.98438,2.17393,277600
1993-09-10,3.00000,3.00000,2.85938,2.87500,2.09426,152000
1993-09-13,2.87500,2.93750,2.87500,2.87500,2.09426,320800
1993-09-14,2.90625,2.90625,2.71875,2.71875,1.98044,1212000
1993-09-15,2.65625,2.87500,2.56250,2.87500,2.09426,1803200
1993-09-16,2.87500,2.87500,2.78125,2.85938,2.08287,248000
1993-09-17,2.82812,2.96875,2.82812,2.95312,2.15117,784800
1993-09-20,3.00000,3.03125,2.90625,2.90625,2.11702,484800
1993-09-21,2.87500,2.87500,2.78125,2.82812,2.06011,240000
1993-09-22,2.82812,2.82812,2.76562,2.79688,2.03735,152000
1993-09-23,2.78125,2.78125,2.71875,2.73438,1.99182,946400
1993-09-24,2.73438,2.82812,2.73438,2.81250,2.04873,480800
1993-09-27,2.81250,2.90625,2.81250,2.89062,2.10564,86400
1993-09-28,2.89062,2.90625,2.89062,2.89062,2.10564,98400
1993-09-29,3.12500,3.12500,3.07812,3.12500,2.27637,788800
1993-09-30,3.12500,3.31250,3.12500,3.29688,2.40157,1268000
1993-10-01,3.29688,3.29688,3.18750,3.25000,2.36742,548800
1993-10-04,3.21875,3.25000,3.20312,3.20312,2.33328,387200
1993-10-05,3.14062,3.14062,3.03125,3.03125,2.20808,482400
1993-10-06,3.03125,3.06250,3.03125,3.06250,2.23084,42400
1993-10-07,3.04688,3.07812,3.04688,3.07812,2.24222,8000
1993-10-08,3.07812,3.12500,3.07812,3.12500,2.27637,905600
1993-10-11,3.10938,3.28125,3.10938,3.28125,2.39018,713600
1993-10-12,3.26562,3.29688,3.25000,3.28125,2.39018,176800
1993-10-13,3.29688,3.29688,3.25000,3.25000,2.36742,346400
1993-10-14,3.28125,3.32812,3.28125,3.29688,2.40157,383200
1993-10-15,3.31250,3.32812,3.29688,3.29688,2.40157,144000
1993-10-18,3.29688,3.34375,3.29688,3.29688,2.40157,160000
1993-10-19,3.31250,3.31250,3.28125,3.29688,2.40157,396800
1993-10-20,3.29688,3.31250,3.29688,3.31250,2.41295,304000
