Date,Open,High,Low,Close,Adj Close,Volume
1997-06-18,26.12500,26.87500,26.12500,26.75000,9.17615,7918300
1997-06-19,26.87500,27.00000,26.50000,26.62500,9.13328,1472400
1997-06-20,26.75000,26.75000,26.25000,26.37500,9.04752,1030200
1997-06-23,26.37500,26.37500,26.12500,26.12500,8.96176,628900
1997-06-24,26.18750,26.25000,26.06250,26.06250,8.94032,541800
1997-06-25,26.25000,26.56250,26.25000,26.43750,9.06896,570500
1997-06-26,26.75000,27.00000,26.56250,27.00000,9.26191,488700
1997-06-27,27.00000,27.12500,26.75000,26.87500,9.21904,586400
1997-06-30,26.81250,27.50000,26.25000,27.25000,9.34767,629800
1997-07-01,27.12500,27.12500,26.62500,26.62500,9.13328,269700
1997-07-02,26.37500,26.62500,26.37500,26.37500,9.04752,350800
1997-07-03,26.43750,26.75000,26.43750,26.62500,9.13328,173000
1997-07-07,26.87500,26.93750,26.50000,26.75000,9.17615,449500
1997-07-08,26.68750,26.87500,26.62500,26.68750,9.15472,239400
1997-07-09,26.62500,26.68750,26.50000,26.56250,9.11183,226000
1997-07-10,26.50000,26.50000,26.31250,26.37500,9.04752,425100
1997-07-11,26.37500,26.50000,26.31250,26.43750,9.06896,326300
1997-07-14,26.68750,27.18750,26.62500,26.75000,9.17615,311000
1997-07-15,26.93750,26.93750,26.56250,26.68750,9.15472,534400
1997-07-16,26.68750,27.00000,26.62500,26.87500,9.21904,443700
1997-07-17,26.93750,27.18750,26.93750,27.06250,9.28336,443800
1997-07-18,27.00000,27.06250,26.37500,26.62500,9.13328,359600
1997-07-21,26.37500,26.87500,26.25000,26.81250,9.19760,422700
1997-07-22,26.81250,26.93750,26.75000,26.81250,9.19760,246500
1997-07-23,26.93750,26.93750,26.81250,26.81250,9.19760,196900
1997-07-24,26.93750,27.12500,26.75000,27.06250,9.28336,481800
1997-07-25,27.18750,27.37500,27.12500,27.31250,9.36911,225800
1997-07-28,27.18750,27.37500,27.00000,27.31250,9.36911,127600
1997-07-29,27.25000,27.56250,27.18750,27.43750,9.41200,350200
1997-07-30,27.43750,27.62500,27.00000,27.56250,9.45488,126600
1997-07-31,27.56250,28.00000,27.50000,27.87500,9.56207,203500
1997-08-01,27.93750,27.93750,27.25000,27.87500,9.56207,85200
1997-08-04,27.93750,28.00000,27.18750,27.87500,9.56207,115600
