Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,16.13312,16.23688,16.13312,16.23688,7.88843,47800
1977-01-04,16.23688,16.28875,16.18500,16.28875,7.91364,34200
1977-01-05,16.28875,16.28875,16.13312,16.18500,7.86323,15300
1977-01-06,16.13312,16.13312,15.92562,16.08125,7.81282,39000
1977-01-07,16.08125,16.13312,15.92562,16.13312,7.83802,20400
1977-01-10,16.13312,16.34063,16.13312,16.28875,7.91364,42800
1977-01-11,16.28875,16.39250,16.28875,16.34063,7.93884,22000
1977-01-12,16.34063,16.34063,16.13312,16.34063,7.93884,34900
1977-01-13,16.34063,16.54812,16.34063,16.44437,7.98924,34400
1977-01-14,16.44437,16.54812,16.39250,16.49625,8.01444,20600
1977-01-17,16.28875,16.28875,16.02938,16.13312,7.83802,33700
1977-01-18,16.13312,16.18500,16.02938,16.18500,7.86323,34200
1977-01-19,16.18500,16.23688,16.08125,16.23688,7.88843,19600
1977-01-20,16.23688,16.34063,15.92562,16.13312,7.83802,79400
1977-01-21,16.13312,16.18500,15.97750,16.13312,7.83802,19200
1977-01-24,16.13312,16.18500,16.02938,16.18500,7.86323,24000
1977-01-25,16.18500,16.34063,16.18500,16.28875,7.91364,24900
1977-01-26,16.23688,16.23688,16.08125,16.13312,7.83802,22800
1977-01-27,16.13312,16.18500,15.97750,16.18500,7.86323,26400
1977-01-28,16.13312,16.18500,15.97750,16.18500,7.86323,26400
1977-01-31,16.13312,16.13312,15.97750,16.02938,7.78762,18000
1977-02-01,16.02938,16.13312,16.02938,16.13312,7.83802,20100
1977-02-02,16.13312,16.18500,16.02938,16.02938,7.78762,72000
1977-02-03,16.02938,16.18500,15.87375,16.02938,7.78762,186900
1977-02-04,16.02938,16.18500,15.97750,16.08125,7.81282,35600
1977-02-07,16.08125,16.18500,16.02938,16.13312,7.83802,20600
1977-02-08,16.13312,16.23688,16.08125,16.18500,7.86323,23500
1977-02-09,16.18500,16.18500,16.02938,16.08125,7.81282,17200
1977-02-10,16.08125,16.28875,16.08125,16.28875,7.91364,16300
1977-02-11,16.28875,16.28875,16.13312,16.23688,7.88843,24700
1977-02-14,16.23688,16.23688,16.13312,16.18500,7.86323,17200
1977-02-15,16.18500,16.18500,16.08125,16.18500,7.86323,16800
1977-02-16,16.18500,16.23688,16.08125,16.18500,7.86323,25200
1977-02-17,16.18500,16.23688,16.13312,16.13312,7.83802,22300
1977-02-18,16.13312,16.28875,16.08125,16.28875,7.91364,26100
1977-02-22,16.28875,16.28875,16.18500,16.28875,7.91364,17500
1977-02-23,16.28875,16.34063,16.23688,16.34063,7.93884,44200
1977-02-24,16.34063,16.34063,16.23688,16.34063,7.93884,80600
1977-02-25,16.28875,16.28875,16.18500,16.18500,7.86323,18000
1977-02-28,16.18500,16.28875,15.97750,16.13312,7.83802,35100
1977-03-01,16.13312,16.28875,16.02938,16.18500,7.86323,47100
1977-03-02,16.18500,16.34063,16.18500,16.34063,7.93884,36300
1977-03-03,16.34063,16.34063,16.23688,16.34063,7.93884,68400
1977-03-04,16.34063,16.44437,16.28875,16.44437,7.98924,43500
1977-03-07,16.44437,16.49625,16.34063,16.44437,7.98924,21100
1977-03-08,16.44437,16.54812,16.34063,16.34063,7.93884,43500
1977-03-09,16.34063,16.34063,16.23688,16.28875,7.91364,21600
1977-03-10,16.28875,16.34063,16.13312,16.23688,7.88843,25400
1977-03-11,16.23688,16.34063,16.23688,16.28875,7.91364,24700
1977-03-14,16.28875,16.39250,16.23688,16.39250,7.96403,28800
1977-03-15,16.44437,16.60000,16.44437,16.49625,8.01444,103500
1977-03-16,16.49625,16.70375,16.49625,16.60000,8.06485,85900
1977-03-17,16.60000,16.65188,16.44437,16.54812,8.03964,40900
1977-03-18,16.54812,16.60000,16.49625,16.49625,8.01444,22500
1977-03-21,16.49625,16.65188,16.49625,16.54812,8.03964,31800
1977-03-22,16.54812,16.54812,16.39250,16.44437,7.98924,33200
1977-03-23,16.44437,16.54812,16.44437,16.49625,8.01444,29200
1977-03-24,16.49625,16.49625,16.44437,16.49625,8.01444,31000
1977-03-25,16.49625,16.49625,16.23688,16.34063,7.93884,20400
1977-03-28,16.28875,16.28875,16.13312,16.28875,7.91364,33700
1977-03-29,16.28875,16.34063,16.23688,16.34063,7.93884,13600
1977-03-30,16.34063,16.34063,16.28875,16.28875,7.91364,15800
1977-03-31,16.28875,16.39250,16.28875,16.28875,7.91364,44000
1977-04-01,16.28875,16.44437,16.28875,16.39250,7.96403,31500
1977-04-04,16.39250,16.44437,16.28875,16.34063,7.93884,17700
1977-04-05,16.34063,16.39250,16.13312,16.34063,7.93884,37500
1977-04-06,16.34063,16.49625,16.34063,16.39250,7.96403,21300
1977-04-07,16.44437,16.54812,16.44437,16.54812,8.03964,24200
1977-04-11,16.54812,16.65188,16.44437,16.49625,8.01444,42300
1977-04-12,16.49625,16.80750,16.49625,16.80750,8.16566,24400
1977-04-13,16.80750,16.91125,16.60000,16.91125,8.21606,144200
1977-04-14,16.91125,17.17063,16.91125,17.01500,8.26647,49300
1977-04-15,17.01500,17.17063,16.91125,16.91125,8.21606,33000
1977-04-18,16.70375,16.70375,16.49625,16.54812,8.03964,37000
1977-04-19,16.49625,16.49625,16.39250,16.39250,7.96403,57000
1977-04-20,16.49625,16.60000,16.49625,16.60000,8.06485,28500
1977-04-21,16.60000,16.60000,16.49625,16.54812,8.03964,16500
1977-04-22,16.54812,16.60000,16.44437,16.44437,7.98924,24900
1977-04-25,16.44437,16.49625,16.23688,16.23688,7.88843,22500
1977-04-26,16.23688,16.39250,16.18500,16.39250,7.96403,23700
1977-04-27,16.39250,16.60000,16.34063,16.44437,7.98924,27600
1977-04-28,16.44437,16.54812,16.39250,16.44437,7.98924,19900
1977-04-29,16.44437,16.54812,16.39250,16.49625,8.01444,34200
1977-05-02,16.49625,16.70375,16.44437,16.60000,8.06485,34200
1977-05-03,16.60000,16.70375,16.54812,16.60000,8.06485,21300
1977-05-04,16.60000,16.70375,16.54812,16.65188,8.09005,21100
1977-05-05,16.65188,16.65188,16.54812,16.60000,8.06485,20600
1977-05-06,16.60000,16.60000,16.44437,16.60000,8.06485,14400
1977-05-09,16.60000,16.75562,16.49625,16.65188,8.09005,49000
1977-05-10,16.65188,16.75562,16.65188,16.65188,8.09005,16300
1977-05-11,16.65188,16.75562,16.60000,16.70375,8.11525,17000
1977-05-12,16.70375,16.75562,16.54812,16.65188,8.09005,39400
1977-05-13,16.65188,16.70375,16.60000,16.60000,8.06485,11500
1977-05-16,16.60000,16.65188,16.60000,16.60000,8.06485,24200
1977-05-17,16.60000,16.75562,16.60000,16.70375,8.11525,29700
1977-05-18,16.70375,16.75562,16.65188,16.70375,8.11525,35400
1977-05-19,16.70375,16.85938,16.65188,16.70375,8.11525,53400
1977-05-20,16.80750,16.91125,16.80750,16.91125,8.21606,19600
1977-05-23,16.85938,16.85938,16.70375,16.75562,8.14046,23000
1977-05-24,16.75562,16.80750,16.60000,16.70375,8.11525,23700
1977-05-25,16.70375,16.80750,16.65188,16.75562,8.14046,25900
1977-05-26,16.75562,16.75562,16.60000,16.70375,8.11525,14100
1977-05-27,16.70375,16.70375,16.60000,16.60000,8.06485,15800
1977-05-31,16.60000,16.60000,16.34063,16.49625,8.01444,28800
1977-06-01,16.49625,16.60000,16.44437,16.54812,8.03964,14600
1977-06-02,16.54812,16.65188,16.49625,16.65188,8.09005,30100
1977-06-03,16.65188,16.70375,16.60000,16.70375,8.11525,26400
1977-06-06,16.70375,16.70375,16.39250,16.44437,7.98924,35600
1977-06-07,16.44437,16.65188,16.39250,16.60000,8.06485,43300
1977-06-08,16.60000,16.65188,16.49625,16.54812,8.03964,25400
1977-06-09,16.54812,16.60000,16.49625,16.60000,8.06485,14400
1977-06-10,16.60000,16.60000,16.49625,16.60000,8.06485,11500
1977-06-13,16.60000,16.60000,16.49625,16.60000,8.06485,13900
1977-06-14,16.60000,16.60000,16.39250,16.60000,8.06485,16300
1977-06-15,16.60000,16.60000,16.44437,16.49625,8.01444,19600
1977-06-16,16.49625,16.49625,16.34063,16.49625,8.01444,73600
1977-06-17,16.49625,16.54812,16.44437,16.54812,8.03964,40400
1977-06-20,16.54812,16.54812,16.39250,16.49625,8.01444,14600
1977-06-21,16.49625,16.60000,16.49625,16.49625,8.01444,33000
1977-06-22,16.49625,16.54812,16.44437,16.54812,8.03964,16300
1977-06-23,16.54812,16.60000,16.49625,16.60000,8.06485,20100
1977-06-24,16.60000,16.65188,16.49625,16.60000,8.06485,47100
1977-06-27,16.60000,16.65188,16.49625,16.49625,8.01444,22300
1977-06-28,16.49625,16.54812,16.49625,16.49625,8.01444,19600
1977-06-29,16.49625,16.60000,16.34063,16.60000,8.06485,16300
1977-06-30,16.60000,16.60000,16.54812,16.54812,8.03964,46400
1977-07-01,16.60000,16.70375,16.60000,16.70375,8.11525,22000
1977-07-05,16.70375,16.80750,16.65188,16.75562,8.14046,27800
1977-07-06,16.85938,16.96312,16.85938,16.85938,8.19086,24200
1977-07-07,16.85938,17.01500,16.85938,17.01500,8.26647,46600
1977-07-08,17.01500,17.06688,16.91125,17.01500,8.26647,20400
1977-07-11,17.01500,17.11875,16.96312,17.11875,8.31688,23000
1977-07-12,17.11875,17.17063,17.01500,17.11875,8.31688,33900
1977-07-13,17.11875,17.17063,17.06688,17.17063,8.34208,22500
1977-07-15,17.17063,17.22250,17.11875,17.17063,8.34208,27100
1977-07-18,17.01500,17.01500,16.75562,16.85938,8.19086,18900
1977-07-19,16.85938,17.11875,16.85938,17.11875,8.31688,19600
1977-07-20,17.11875,17.27438,17.11875,17.22250,8.36728,36800
1977-07-21,17.22250,17.32625,17.22250,17.32625,8.41768,23700
1977-07-22,17.27438,17.27438,17.06688,17.06688,8.29167,30600
1977-07-25,17.06688,17.17063,17.06688,17.11875,8.31688,53400
1977-07-26,17.11875,17.22250,17.06688,17.17063,8.34208,19200
1977-07-27,17.17063,17.27438,17.06688,17.11875,8.31688,15800
1977-07-28,17.11875,17.11875,16.91125,16.96312,8.24127,39200
1977-07-29,16.96312,17.06688,16.75562,16.85938,8.19086,34400
