Date,Open,High,Low,Close,Adj Close,Volume
2007-11-06,21.08000,22.00000,21.04000,21.82000,21.82000,3715800
2007-11-07,21.22000,21.66000,20.43000,20.50000,20.50000,4167000
2007-11-08,21.14000,21.19000,20.35000,20.77000,20.77000,8432400
2007-11-09,20.46000,20.97000,19.96000,20.13000,20.13000,8056400
2007-11-12,20.10000,20.90000,20.02000,20.16000,20.16000,4001200
2007-11-13,20.52000,21.22000,19.92000,19.97000,19.97000,5994300
2007-11-14,20.05000,20.32000,19.30000,19.38000,19.38000,7530200
2007-11-15,19.56000,19.62000,19.00000,19.28000,19.28000,12206300
2007-11-16,19.28000,19.77000,19.12000,19.59000,19.59000,8202200
2007-11-19,19.46000,19.53000,18.38000,18.75000,18.75000,10523700
2007-11-20,18.74000,18.82000,17.49000,18.45000,18.45000,10063300
2007-11-21,18.26000,18.81000,17.76000,18.38000,18.38000,7517400
2007-11-23,18.54000,19.87000,18.30000,19.80000,19.80000,2789000
2007-11-26,19.88000,20.32000,19.34000,20.05000,20.05000,9190400
2007-11-27,19.98000,21.32000,19.98000,21.12000,21.12000,9772000
2007-11-28,21.24000,24.59000,21.16000,24.29000,24.29000,10260100
2007-11-29,24.16000,24.16000,22.53000,23.26000,23.26000,8693200
2007-11-30,23.59000,24.75000,23.15000,23.75000,23.75000,6832400
2007-12-03,23.63000,24.03000,23.37000,23.60000,23.60000,6112800
2007-12-04,23.51000,23.51000,22.04000,22.20000,22.20000,6345100
2007-12-05,22.45000,23.49000,22.45000,22.97000,22.97000,5533700
2007-12-06,22.96000,23.82000,22.74000,23.76000,23.76000,4507200
2007-12-07,23.85000,24.14000,23.53000,23.89000,23.89000,4790500
2007-12-10,24.00000,24.44000,23.65000,24.37000,24.37000,3152400
2007-12-11,24.36000,24.37000,23.10000,23.21000,23.21000,5718200
2007-12-12,24.30000,24.45000,22.82000,23.20000,23.20000,5111100
2007-12-13,23.13000,23.19000,22.00000,23.00000,23.00000,5255500
2007-12-14,22.89000,22.89000,21.65000,21.66000,21.66000,3596300
2007-12-17,21.61000,22.19000,20.97000,21.64000,21.64000,5095800
2007-12-18,21.89000,22.18000,20.80000,21.55000,21.55000,3053100
2007-12-19,21.60000,22.37000,21.14000,22.30000,22.30000,3887500
2007-12-20,22.50000,22.56000,20.50000,21.58000,21.58000,4176899
2007-12-21,21.79000,22.70000,21.78000,22.21000,22.21000,3786400
2007-12-24,22.02000,22.87000,22.02000,22.64000,22.64000,774200
2007-12-26,22.29000,22.49000,21.64000,21.75000,21.75000,2074800
2007-12-27,21.37000,21.84000,21.12000,21.39000,21.39000,2649400
2007-12-28,21.71000,21.73000,20.90000,21.36000,21.36000,1533800
2007-12-31,20.93000,22.05000,20.93000,21.55000,21.55000,2436300
2008-01-02,21.50000,22.00000,21.05000,21.38000,21.38000,4101200
2008-01-03,21.41000,21.46000,20.83000,20.89000,20.89000,3721600
2008-01-04,20.60000,20.97000,19.28000,19.40000,19.40000,6642200
2008-01-07,19.20000,19.48000,18.44000,18.77000,18.77000,6402400
2008-01-08,18.88000,19.21000,18.35000,18.40000,18.40000,6308500
2008-01-09,18.40000,18.40000,16.80000,17.73000,17.73000,6120100
2008-01-10,17.36000,17.65000,16.53000,17.51000,17.51000,8905900
2008-01-11,17.21000,18.24000,16.85000,17.91000,17.91000,6161000
2008-01-14,18.03000,18.25000,17.30000,17.87000,17.87000,3495000
2008-01-15,18.00000,18.00000,16.90000,17.21000,17.21000,3910300
2008-01-16,17.10000,17.65000,16.95000,17.29000,17.29000,3880000
2008-01-17,17.32000,17.73000,16.09000,16.13000,16.13000,4139100
2008-01-18,16.25000,16.96000,15.80000,16.44000,16.44000,7263300
2008-01-22,15.61000,17.32000,15.23000,16.87000,16.87000,7748000
2008-01-23,15.96000,18.49000,15.96000,18.30000,18.30000,6536400
2008-01-24,18.58000,18.88000,18.03000,18.36000,18.36000,5081600
2008-01-25,18.69000,19.25000,17.96000,18.06000,18.06000,3926700
2008-01-28,18.12000,18.52000,17.46000,18.51000,18.51000,2719600
2008-01-29,18.55000,18.90000,17.85000,18.32000,18.32000,2519400
2008-01-30,18.50000,19.55000,18.33000,18.45000,18.45000,5489400
2008-01-31,18.12000,19.77000,17.75000,19.37000,19.37000,6844500
2008-02-01,19.61000,20.00000,18.99000,19.96000,19.96000,3073600
2008-02-04,19.95000,19.95000,19.00000,19.10000,19.10000,1686600
2008-02-05,18.53000,18.78000,17.51000,17.75000,17.75000,3897700
2008-02-06,17.48000,18.87000,16.78000,18.14000,18.14000,5571900
2008-02-07,17.76000,19.02000,17.59000,18.83000,18.83000,4868800
2008-02-08,18.77000,18.84000,17.77000,17.97000,17.97000,3839000
2008-02-11,18.18000,18.67000,17.86000,18.64000,18.64000,4488200
2008-02-12,18.72000,19.35000,18.69000,19.26000,19.26000,6225800
2008-02-13,19.45000,19.80000,19.25000,19.70000,19.70000,3383300
2008-02-14,19.74000,20.02000,19.31000,19.60000,19.60000,3105600
2008-02-15,19.50000,19.50000,19.08000,19.42000,19.42000,4651000
2008-02-19,19.67000,20.77000,19.45000,20.33000,20.33000,4385200
2008-02-20,20.12000,20.72000,19.88000,20.64000,20.64000,3154500
2008-02-21,20.67000,21.05000,20.25000,20.35000,20.35000,2628300
2008-02-22,20.47000,21.05000,20.07000,21.01000,21.01000,2336000
2008-02-25,21.24000,22.00000,20.58000,21.93000,21.93000,3797100
2008-02-26,21.79000,21.87000,21.46000,21.76000,21.76000,4042400
2008-02-27,21.67000,22.18000,21.31000,21.96000,21.96000,5549000
2008-02-28,21.56000,21.81000,21.37000,21.53000,21.53000,3259300
2008-02-29,20.89000,21.17000,19.95000,20.06000,20.06000,3612900
2008-03-03,19.71000,20.23000,19.66000,20.04000,20.04000,2534200
2008-03-04,19.81000,19.87000,18.90000,19.45000,19.45000,3820100
2008-03-05,19.78000,19.83000,18.88000,18.99000,18.99000,2622600
2008-03-06,18.87000,18.87000,17.93000,18.40000,18.40000,4660500
2008-03-07,18.22000,18.99000,18.03000,18.48000,18.48000,5335500
2008-03-10,18.43000,18.57000,17.62000,17.69000,17.69000,4182899
2008-03-11,18.16000,19.27000,17.90000,19.20000,19.20000,4462800
2008-03-12,19.27000,19.51000,18.64000,18.70000,18.70000,2591100
2008-03-13,18.20000,19.52000,18.02000,19.37000,19.37000,2861800
2008-03-14,19.55000,19.55000,18.00000,18.37000,18.37000,5005500
2008-03-17,17.89000,18.45000,17.50000,18.12000,18.12000,5155900
2008-03-18,18.73000,20.00000,18.72000,20.00000,20.00000,4337600
2008-03-19,20.01000,20.85000,18.55000,18.61000,18.61000,3386200
2008-03-20,18.68000,19.61000,18.45000,19.41000,19.41000,5507500
2008-03-24,19.63000,23.17000,19.63000,22.04000,22.04000,6856600
2008-03-25,22.00000,22.05000,20.89000,21.81000,21.81000,2428900
2008-03-26,21.56000,21.90000,21.27000,21.31000,21.31000,2834100
2008-03-27,21.44000,22.04000,21.06000,21.06000,21.06000,2553600
2008-03-28,21.20000,21.56000,20.85000,20.96000,20.96000,1925300
2008-03-31,20.89000,21.79000,20.50000,21.64000,21.64000,3180500
2008-04-01,21.83000,22.50000,21.44000,22.44000,22.44000,4522100
2008-04-02,22.61000,22.93000,22.22000,22.40000,22.40000,2530600
2008-04-03,22.15000,22.15000,21.69000,21.99000,21.99000,3724400
2008-04-04,22.15000,22.15000,21.54000,21.68000,21.68000,1822300
2008-04-07,21.89000,22.53000,21.61000,21.85000,21.85000,2188100
2008-04-08,21.73000,21.79000,21.19000,21.36000,21.36000,1786300
2008-04-09,21.63000,21.63000,20.84000,20.85000,20.85000,1376500
2008-04-10,20.84000,20.84000,20.08000,20.23000,20.23000,3860900
