Date,Open,High,Low,Close,Adj Close,Volume
1988-01-11,15.12501,15.24999,14.37501,15.00000,2.63612,995700
1988-01-12,14.87499,15.00000,14.49999,14.62500,2.57022,514799
1988-01-13,14.49999,14.87499,14.37501,14.75001,2.59219,87900
1988-01-14,14.62500,14.75001,14.62500,14.62500,2.57022,157800
1988-01-15,15.50001,15.50001,15.24999,15.37500,2.70202,501600
1988-01-18,15.50001,15.50001,15.24999,15.50001,2.72399,70500
1988-01-19,15.50001,15.62499,15.24999,15.50001,2.72399,231300
1988-01-20,15.12501,15.50001,14.87499,15.12501,2.65809,2019300
1988-01-21,15.00000,15.00000,14.49999,15.00000,2.63612,436200
1988-01-22,15.00000,15.12501,14.75001,14.75001,2.59219,70500
1988-01-25,14.87499,15.12501,14.75001,15.12501,2.65809,256500
1988-01-26,15.12501,15.12501,14.87499,14.87499,2.61415,258000
1988-01-27,14.87499,15.00000,14.75001,14.87499,2.61415,201600
1988-01-28,14.87499,15.00000,14.75001,14.75001,2.59219,190800
1988-01-29,14.87499,15.37500,14.87499,15.37500,2.70202,231600
1988-02-01,15.75000,15.75000,15.37500,15.37500,2.70202,556800
1988-02-02,15.37500,15.50001,15.12501,15.12501,2.65809,430800
1988-02-03,15.12501,15.24999,14.75001,14.87499,2.61415,891600
1988-02-04,14.75001,15.00000,14.62500,14.87499,2.61415,344400
1988-02-05,15.00000,15.37500,15.00000,15.12501,2.65809,136500
1988-02-08,15.00000,15.12501,14.75001,14.87499,2.61415,426900
1988-02-09,14.75001,15.00000,14.75001,14.87499,2.61415,564600
1988-02-10,15.00000,15.00000,14.75001,15.00000,2.63612,259800
1988-02-11,15.00000,15.00000,14.87499,15.00000,2.63612,1068600
1988-02-12,14.87499,15.12501,14.87499,14.87499,2.61415,738000
1988-02-16,15.00000,15.12501,14.75001,14.87499,2.61415,1045500
1988-02-17,14.87499,15.12501,14.87499,15.00000,2.63612,183300
1988-02-18,14.75001,14.87499,14.49999,14.87499,2.61415,539400
1988-02-19,14.75001,15.00000,14.75001,15.00000,2.63612,1273500
1988-02-22,15.00000,15.12501,14.75001,15.00000,2.63612,802800
1988-02-23,15.12501,15.12501,14.75001,14.75001,2.59219,1041300
1988-02-24,14.87499,15.00000,14.87499,14.87499,2.61415,889500
1988-02-25,15.00000,15.62499,14.87499,15.24999,2.68005,1855800
1988-02-26,15.00000,15.37500,15.00000,15.24999,2.68005,1482300
1988-02-29,15.37500,15.62499,15.37500,15.50001,2.72399,398100
1988-03-01,15.62499,15.87501,15.50001,15.87501,2.78990,932100
1988-03-02,15.87501,16.12500,15.75000,15.87501,2.78990,864900
1988-03-03,15.87501,16.74999,15.87501,16.37499,2.87776,1579200
1988-03-04,16.37499,16.62501,16.25001,16.25001,2.85580,1153200
1988-03-07,16.25001,16.25001,15.87501,16.12500,2.83383,622800
1988-03-08,15.87501,16.25001,15.87501,15.99999,2.81186,300900
1988-03-09,16.12500,16.50000,16.12500,16.25001,2.85580,1616400
1988-03-10,16.25001,16.25001,15.62499,15.87501,2.78990,864600
1988-03-11,15.87501,16.12500,15.62499,15.87501,2.78990,1357500
1988-03-14,15.99999,15.99999,15.62499,15.75000,2.76793,153000
1988-03-15,15.75000,15.87501,15.37500,15.62499,2.74596,665700
1988-03-16,15.50001,15.62499,15.24999,15.50001,2.72609,301800
1988-03-17,15.62499,15.62499,15.37500,15.62499,2.74807,513000
1988-03-18,15.75000,15.87501,15.50001,15.87501,2.79204,660000
1988-03-21,15.75000,15.75000,15.62499,15.62499,2.74807,168900
1988-03-22,15.50001,15.75000,15.50001,15.50001,2.72609,403200
1988-03-23,15.50001,15.87501,15.50001,15.87501,2.79204,419400
1988-03-24,15.62499,15.75000,15.24999,15.24999,2.68211,717000
1988-03-25,15.24999,15.37500,15.00000,15.00000,2.63815,640500
1988-03-28,14.62500,15.00000,14.62500,14.87499,2.61616,429900
1988-03-29,15.00000,15.12501,14.75001,14.87499,2.61616,413700
1988-03-30,15.00000,15.00000,14.62500,14.87499,2.61616,817800
1988-03-31,14.75001,14.75001,14.62500,14.75001,2.59418,301500
1988-04-04,14.62500,14.87499,14.62500,14.62500,2.57219,235800
1988-04-05,14.62500,14.87499,14.62500,14.75001,2.59418,339900
1988-04-06,14.75001,14.87499,14.62500,14.87499,2.61616,603600
1988-04-07,14.75001,15.62499,14.75001,15.37500,2.70410,705300
1988-04-08,15.50001,15.50001,15.12501,15.37500,2.70410,378300
1988-04-11,15.37500,15.50001,15.12501,15.24999,2.68211,266100
1988-04-12,15.12501,15.50001,15.12501,15.37500,2.70410,525900
1988-04-13,15.24999,15.50001,15.24999,15.37500,2.70410,519900
1988-04-14,15.12501,15.37500,15.00000,15.00000,2.63815,329100
1988-04-15,14.87499,15.12501,14.75001,14.87499,2.61616,483300
1988-04-18,14.75001,15.00000,14.75001,15.00000,2.63815,171600
1988-04-19,15.12501,15.50001,15.00000,15.24999,2.68211,438300
1988-04-20,15.12501,15.24999,14.87499,15.00000,2.63815,284700
1988-04-21,15.00000,15.00000,14.75001,14.75001,2.59418,465900
1988-04-22,14.75001,15.12501,14.75001,14.87499,2.61616,229500
1988-04-25,15.00000,15.12501,14.87499,15.00000,2.63815,209400
1988-04-26,15.24999,15.37500,15.12501,15.12501,2.66013,270300
1988-04-27,15.24999,15.37500,15.12501,15.24999,2.68211,157800
1988-04-28,15.24999,15.24999,14.87499,15.00000,2.63815,182700
1988-04-29,15.12501,15.12501,14.87499,15.12501,2.66013,741600
1988-05-02,15.00000,15.12501,14.87499,15.00000,2.63815,954600
1988-05-03,15.12501,15.37500,15.00000,15.24999,2.68211,459000
1988-05-04,15.37500,15.62499,15.12501,15.50001,2.72609,511200
1988-05-05,15.24999,15.50001,15.12501,15.50001,2.72609,344100
1988-05-06,15.24999,15.50001,15.12501,15.37500,2.70410,291900
1988-05-09,15.50001,15.50001,15.00000,15.24999,2.68211,159600
1988-05-10,15.24999,15.24999,14.87499,15.00000,2.63815,372600
1988-05-11,14.87499,15.00000,14.75001,14.87499,2.61616,913200
1988-05-12,15.00000,15.00000,14.87499,14.87499,2.61616,646200
1988-05-13,15.00000,15.12501,14.87499,14.87499,2.61616,575400
1988-05-16,14.87499,15.12501,14.87499,15.00000,2.63815,794700
1988-05-17,15.75000,15.75000,15.12501,15.24999,2.68211,672300
1988-05-18,15.12501,15.24999,14.87499,15.00000,2.63815,852300
1988-05-19,14.87499,15.00000,14.75001,14.75001,2.59418,479100
1988-05-20,14.75001,14.87499,14.75001,14.75001,2.59418,317400
1988-05-23,14.75001,14.87499,14.62500,14.62500,2.57219,199800
1988-05-24,14.62500,14.87499,14.62500,14.75001,2.59418,360600
1988-05-25,14.75001,14.87499,14.62500,14.62500,2.57219,252000
1988-05-26,14.62500,14.75001,14.62500,14.62500,2.57219,234300
1988-05-27,14.62500,14.62500,14.37501,14.37501,2.52823,191400
1988-05-31,14.62500,15.00000,14.49999,14.87499,2.61616,232500
1988-06-01,15.00000,15.37500,14.87499,15.24999,2.68211,292500
1988-06-02,15.50001,15.50001,15.12501,15.24999,2.68211,288000
1988-06-03,15.12501,15.24999,15.00000,15.12501,2.66013,338700
1988-06-06,15.24999,15.24999,15.12501,15.24999,2.68211,184500
1988-06-07,15.12501,15.37500,15.12501,15.12501,2.66013,206100
1988-06-08,15.24999,15.37500,15.12501,15.24999,2.68211,338100
1988-06-09,15.50001,15.62499,15.37500,15.50001,2.72609,376800
1988-06-10,15.37500,15.62499,15.12501,15.24999,2.68211,136200
1988-06-13,15.24999,15.37500,15.24999,15.24999,2.68211,190200
1988-06-14,15.50001,15.75000,15.37500,15.62499,2.74807,321000
1988-06-15,15.50001,15.75000,15.50001,15.50001,2.72818,307800
1988-06-16,15.62499,15.75000,15.12501,15.12501,2.66218,389700
1988-06-17,15.37500,15.50001,15.12501,15.12501,2.66218,372600
1988-06-20,14.87499,15.24999,14.75001,15.24999,2.68417,282000
1988-06-21,15.24999,15.50001,15.12501,15.12501,2.66218,466800
1988-06-22,15.12501,15.62499,15.12501,15.50001,2.72818,270300
1988-06-23,15.50001,15.99999,15.50001,15.99999,2.81618,543000
1988-06-24,16.12500,16.12500,15.75000,15.75000,2.77218,242700
1988-06-27,15.75000,15.87501,15.50001,15.50001,2.72818,227700
1988-06-28,15.50001,15.87501,15.50001,15.87501,2.79419,172800
1988-06-29,15.75000,16.12500,15.62499,15.75000,2.77218,806100
1988-06-30,15.75000,15.99999,15.00000,15.99999,2.81618,208500
1988-07-01,15.99999,16.12500,15.24999,15.24999,2.68417,563100
1988-07-05,15.24999,15.37500,15.12501,15.24999,2.68417,1213500
1988-07-06,15.24999,15.37500,14.87499,14.87499,2.61817,879900
1988-07-07,14.87499,15.00000,14.75001,14.75001,2.59617,762600
1988-07-08,14.87499,14.87499,14.62500,14.75001,2.59617,196200
1988-07-11,14.62500,14.75001,14.49999,14.62500,2.57417,1740900
1988-07-12,14.75001,14.87499,14.49999,14.62500,2.57417,462000
1988-07-13,14.62500,14.75001,14.49999,14.62500,2.57417,442200
1988-07-14,14.62500,14.87499,14.49999,14.75001,2.59617,753300
1988-07-15,14.62500,15.00000,14.62500,15.00000,2.64017,604500
1988-07-18,15.00000,15.75000,14.62500,15.37500,2.70618,1433400
1988-07-19,15.24999,15.24999,14.75001,14.75001,2.59617,851400
1988-07-20,14.49999,14.62500,14.00001,14.25000,2.50816,6710700
1988-07-21,14.25000,14.37501,14.12499,14.12499,2.48616,849000
1988-07-22,14.12499,14.25000,13.74999,13.74999,2.42016,1566600
1988-07-25,13.74999,14.00001,13.62501,13.87500,2.44216,848700
1988-07-26,13.87500,14.25000,13.87500,14.12499,2.48616,594000
1988-07-27,14.00001,14.12499,13.87500,13.87500,2.44216,632400
1988-07-28,13.87500,14.25000,13.87500,14.00001,2.46416,574500
1988-07-29,14.00001,14.12499,14.00001,14.00001,2.46416,288900
1988-08-01,14.00001,14.12499,14.00001,14.00001,2.46416,2062800
1988-08-02,13.87500,14.12499,13.74999,14.00001,2.46416,1371600
1988-08-03,14.00001,14.12499,13.87500,14.00001,2.46416,1649700
1988-08-04,14.00001,14.00001,13.74999,14.00001,2.46416,795600
1988-08-05,13.87500,14.00001,13.74999,13.87500,2.44216,633600
1988-08-08,13.74999,13.87500,13.25001,13.25001,2.33216,2397300
1988-08-09,12.99999,13.62501,12.99999,13.62501,2.39816,945900
1988-08-10,13.50000,13.62501,13.25001,13.25001,2.33216,348900
1988-08-11,13.25001,13.50000,13.25001,13.25001,2.33216,299100
1988-08-12,13.25001,13.25001,12.99999,12.99999,2.28815,456600
1988-08-15,12.99999,13.12500,12.87501,12.87501,2.26615,458100
1988-08-16,12.87501,13.12500,12.62499,12.87501,2.26615,1383000
1988-08-17,12.99999,13.12500,12.87501,12.87501,2.26615,385800
1988-08-18,12.99999,12.99999,12.87501,12.99999,2.28815,224400
1988-08-19,12.99999,13.25001,12.87501,12.99999,2.28815,206700
