Date,Open,High,Low,Close,Adj Close,Volume
1997-10-16,5.81250,5.81250,5.56250,5.68750,3.82965,7436400
1997-10-17,5.65625,5.75000,5.40625,5.59375,3.76652,3390400
1997-10-20,5.50000,5.62500,5.46875,5.53125,3.72444,3068000
1997-10-21,5.56250,5.68750,5.50000,5.59375,3.76652,2382400
1997-10-22,5.68750,5.75000,5.59375,5.71875,3.85069,1525200
1997-10-23,5.68750,5.68750,5.53125,5.59375,3.76652,1622400
1997-10-24,5.65625,5.71875,5.56250,5.71875,3.85069,813600
1997-10-27,5.65625,5.75000,5.37500,5.42188,3.65079,1507200
1997-10-28,5.25000,5.68750,4.93750,5.59375,3.76652,2955600
1997-10-29,5.68750,5.71875,5.59375,5.65625,3.80860,1859200
1997-10-30,5.53125,5.56250,5.37500,5.50000,3.70340,856000
1997-10-31,5.43750,5.64062,5.43750,5.50000,3.70340,561600
1997-11-03,5.62500,5.84375,5.53125,5.73438,3.86121,1004000
1997-11-04,5.75000,5.87500,5.68750,5.78125,3.89278,364000
1997-11-05,5.81250,6.06250,5.78125,5.90625,3.97694,324400
1997-11-06,5.87500,6.25000,5.87500,6.25000,4.20840,361600
1997-11-07,6.18750,6.62500,6.03125,6.43750,4.33466,662400
1997-11-10,6.31250,6.50000,6.15625,6.15625,4.14528,266800
1997-11-11,5.93750,6.00000,5.75000,6.00000,4.04007,618000
1997-11-12,6.00000,6.00000,5.56250,5.68750,3.82965,314800
1997-11-13,5.56250,5.62500,5.46875,5.50000,3.70340,500000
1997-11-14,5.43750,5.50000,5.31250,5.43750,3.66131,438000
1997-11-17,5.50000,5.84375,5.50000,5.81250,3.91382,284000
1997-11-18,5.87500,5.87500,5.68750,5.71875,3.85069,1429600
1997-11-19,5.71875,5.81250,5.56250,5.56250,3.74548,148400
1997-11-20,5.62500,5.62500,5.31250,5.56250,3.74548,1268000
1997-11-21,5.56250,5.62500,5.50000,5.53125,3.72444,640800
1997-11-24,5.50000,5.59375,5.50000,5.53125,3.72444,64400
1997-11-25,5.56250,5.62500,5.50000,5.51562,3.71392,326800
1997-11-26,5.50000,5.53125,5.23438,5.25391,3.53769,463200
1997-11-28,5.28125,5.31250,5.25000,5.25000,3.53506,212800
1997-12-01,5.25000,5.37500,5.25000,5.26562,3.54558,475200
1997-12-02,5.37500,5.50000,5.28125,5.34375,3.59819,1280800
1997-12-03,5.43750,5.50000,5.34375,5.50000,3.70340,934400
1997-12-04,5.50000,5.62500,5.40625,5.54688,3.73496,681600
1997-12-05,5.50000,5.75000,5.43750,5.68750,3.82965,282800
1997-12-08,5.68750,5.75000,5.65625,5.71875,3.85069,227600
1997-12-09,5.75000,5.81250,5.59375,5.59375,3.76652,124000
1997-12-10,5.62500,5.62500,5.31250,5.37500,3.62896,269600
1997-12-11,5.25000,5.37500,5.15625,5.31250,3.58676,400800
1997-12-12,5.37500,5.37500,5.15625,5.15625,3.48127,412400
1997-12-15,5.25000,5.37500,5.17188,5.21875,3.52347,289200
1997-12-16,5.12500,5.31250,5.12500,5.21875,3.52347,190800
1997-12-17,5.15625,5.18750,5.03125,5.03125,3.39688,584800
1997-12-18,5.09375,5.09375,4.96875,5.00000,3.37578,272400
1997-12-19,5.03125,5.03125,4.93750,4.93750,3.33358,921600
1997-12-22,4.93750,5.31250,4.93750,5.06250,3.41797,924000
1997-12-23,5.18750,5.18750,4.93750,5.00000,3.37578,2331200
1997-12-24,5.03125,5.03125,4.93750,4.93750,3.33358,50400
1997-12-26,5.00000,5.06250,4.96875,5.06250,3.41797,1248400
1997-12-29,5.06250,5.28125,5.00000,5.28125,3.56566,430800
1997-12-30,5.06250,5.34375,5.06250,5.28125,3.56566,662800
