Date,Open,High,Low,Close,Adj Close,Volume
1982-03-31,5.68056,5.80556,5.55556,5.80556,1.56112,1474200
1982-04-01,5.68056,5.80556,5.55556,5.80556,1.56112,1474200
1982-04-02,5.94444,6.05556,5.83333,6.00000,1.61341,1710900
1982-04-05,6.05556,6.11111,6.00000,6.05556,1.62834,1604700
1982-04-06,5.98611,6.02778,5.94444,6.02778,1.62088,1361700
1982-04-07,6.05556,6.09722,6.01389,6.05556,1.62834,1206000
1982-04-08,6.08333,6.15278,6.01389,6.11111,1.64328,1188000
1982-04-12,6.08333,6.13889,6.01389,6.02778,1.62088,805500
1982-04-13,6.05556,6.09722,6.01389,6.08333,1.63582,1282500
1982-04-14,6.04167,6.06944,6.01389,6.05556,1.62834,207000
1982-04-15,6.01389,6.05556,5.97222,6.04167,1.62461,331200
1982-04-16,6.05556,6.08333,6.01389,6.04167,1.62461,576900
1982-04-19,6.08333,6.11111,6.04167,6.05556,1.62834,713700
1982-04-20,6.04167,6.06944,6.01389,6.04167,1.62461,508500
1982-04-21,6.00000,6.02778,5.97222,5.97222,1.60594,254700
1982-04-22,6.00000,6.02778,5.95833,5.98611,1.60967,576000
1982-04-23,5.68056,5.69444,5.65278,5.69444,1.53124,3060900
1982-04-26,5.59722,5.69444,5.50000,5.56944,1.49763,3427200
1982-04-27,5.51389,5.56944,5.45833,5.47222,1.47148,2219400
1982-04-28,5.48611,5.52778,5.44444,5.44444,1.46402,542700
1982-04-29,5.47222,5.51389,5.41667,5.41667,1.45655,423900
1982-04-30,5.36111,5.38889,5.33333,5.34722,1.43787,2470500
1982-05-03,5.30556,5.34722,5.26389,5.29167,1.42293,1687500
1982-05-04,5.29167,5.30556,5.27778,5.30556,1.42667,1632600
1982-05-05,5.27778,5.30556,5.25000,5.29167,1.42293,587700
1982-05-06,5.29167,5.33333,5.25000,5.30556,1.42667,1586700
1982-05-07,5.25000,5.30556,5.19444,5.22222,1.40426,2665800
1982-05-10,5.25000,5.29167,5.20833,5.23611,1.40800,1100700
1982-05-11,5.31944,5.36111,5.27778,5.34722,1.43787,941400
1982-05-12,5.22222,5.36111,5.08333,5.08333,1.36691,2474100
1982-05-13,4.59722,4.65278,4.52778,4.56944,1.22873,15327900
1982-05-14,4.68056,4.70833,4.63889,4.69444,1.26234,4312800
1982-05-17,4.69444,4.72222,4.66667,4.69444,1.26234,1360800
1982-05-18,4.68056,4.69444,4.65278,4.66667,1.25487,1487700
1982-05-19,4.61111,4.63889,4.56944,4.58333,1.23246,2322900
1982-05-20,4.52778,4.56944,4.48611,4.55556,1.22499,2007900
1982-05-21,4.50000,4.52778,4.47222,4.48611,1.20632,1656000
1982-05-24,4.43056,4.48611,4.36111,4.37500,1.17644,3863700
1982-05-25,4.43056,4.45833,4.38889,4.38889,1.18018,2444400
1982-05-26,4.34722,4.38889,4.29167,4.31944,1.16150,2028600
1982-05-27,4.29167,4.31944,4.26389,4.30556,1.15777,1105200
1982-05-28,4.29167,4.31944,4.25000,4.26389,1.14656,1545300
1982-06-01,4.22222,4.25000,4.18056,4.22222,1.13536,1088100
1982-06-02,4.25000,4.27778,4.22222,4.25000,1.14283,1796400
1982-06-03,4.22222,4.26389,4.16667,4.23611,1.13909,1359000
1982-06-04,4.15278,4.23611,4.05556,4.08333,1.09801,1927800
1982-06-07,3.97222,4.01389,3.91667,3.97222,1.08511,1387800
1982-06-08,3.86111,3.94444,3.77778,3.83333,1.04717,1832400
