Date,Open,High,Low,Close,Adj Close,Volume
1973-05-02,0.00000,2.00000,1.96615,2.00000,0.48941,672000
1973-05-03,0.00000,2.01302,1.95312,2.00521,0.49068,739200
1973-05-04,0.00000,2.02865,1.98958,2.00000,0.48941,1339200
1973-05-07,0.00000,2.01562,1.98438,1.98958,0.48686,316800
1973-05-08,0.00000,1.98958,1.94792,1.98698,0.48622,619200
1973-05-09,0.00000,2.00000,1.97917,1.97917,0.48431,508800
1973-05-10,0.00000,1.98958,1.97135,1.97917,0.48431,307200
1973-05-11,0.00000,1.98958,1.97396,1.97917,0.48431,451200
1973-05-14,0.00000,1.98438,1.95052,1.95052,0.47730,657600
1973-05-15,0.00000,1.96875,1.94271,1.95833,0.47921,830400
1973-05-16,0.00000,1.97396,1.94271,1.95833,0.47921,331200
1973-05-17,0.00000,1.95833,1.94271,1.94271,0.47539,619200
1973-05-18,0.00000,1.93229,1.90625,1.90885,0.46710,604800
1973-05-21,0.00000,1.89583,1.86719,1.87500,0.45882,1022400
1973-05-22,0.00000,1.90625,1.88542,1.89323,0.46328,1099200
1973-05-23,0.00000,1.88021,1.86979,1.87500,0.45882,768000
1973-05-24,0.00000,1.84375,1.80729,1.82552,0.44671,1483200
1973-05-25,0.00000,1.84375,1.76823,1.83854,0.44990,3124800
1973-05-29,0.00000,1.85938,1.82812,1.84115,0.45053,1756800
1973-05-30,0.00000,1.84375,1.80469,1.82031,0.44544,2478400
1973-05-31,0.00000,1.82031,1.78125,1.78906,0.43779,3008000
1973-06-01,0.00000,1.75000,1.71875,1.74219,0.42632,800000
1973-06-04,0.00000,1.71094,1.66406,1.66406,0.40720,531200
1973-06-05,0.00000,1.69531,1.57812,1.61719,0.39573,1417600
1973-06-06,0.00000,1.64062,1.47656,1.53906,0.37661,2070400
1973-06-07,0.00000,1.69531,1.53125,1.60156,0.39191,2363200
1973-06-08,0.00000,1.74219,1.63281,1.71875,0.42058,1230400
1973-06-11,0.00000,1.73438,1.70312,1.72656,0.42250,576000
1973-06-12,0.00000,1.81250,1.75000,1.79688,0.43970,857600
1973-06-13,0.00000,1.82812,1.75000,1.76562,0.43205,876800
1973-06-14,0.00000,1.77344,1.71875,1.73438,0.42441,1216000
1973-06-15,0.00000,1.72656,1.63281,1.63281,0.39955,465600
1973-06-18,0.00000,1.65625,1.62500,1.64062,0.40147,457600
1973-06-19,0.00000,1.73438,1.65625,1.73438,0.42441,566400
1973-06-20,0.00000,1.81250,1.75781,1.78906,0.43779,944000
1973-06-21,0.00000,1.79688,1.75781,1.75781,0.43014,681600
1973-06-22,0.00000,1.86719,1.75781,1.75781,0.43014,926400
1973-06-25,0.00000,1.75000,1.65625,1.66406,0.40720,523200
1973-06-26,0.00000,1.68750,1.64062,1.68750,0.41294,380800
1973-06-27,0.00000,1.71094,1.67969,1.70312,0.41676,316800
1973-06-28,0.00000,1.73438,1.69531,1.72656,0.42250,380800
1973-06-29,0.00000,1.75000,1.71875,1.75000,0.42823,524800
1973-07-02,0.00000,1.74219,1.70312,1.70312,0.41676,360000
1973-07-03,0.00000,1.70312,1.65625,1.65625,0.40529,699200
1973-07-05,0.00000,1.70312,1.64844,1.68750,0.41294,345600
1973-07-06,0.00000,1.71094,1.67969,1.68750,0.41294,244800
1973-07-09,0.00000,1.72656,1.68750,1.72656,0.42250,313600
1973-07-10,0.00000,1.75000,1.72656,1.73438,0.42441,660800
1973-07-11,0.00000,1.85156,1.74219,1.85156,0.45308,689600
1973-07-12,0.00000,1.96094,1.82812,1.96094,0.47985,1675200
1973-07-13,0.00000,1.93750,1.88281,1.90625,0.46646,936000
1973-07-16,0.00000,1.98438,1.85156,1.98438,0.48558,1004800
1973-07-17,0.00000,2.02344,1.97656,2.00781,0.49132,961600
1973-07-18,0.00000,2.03125,1.97656,2.02344,0.49514,1099200
1973-07-19,0.00000,2.03125,1.99219,2.00000,0.49146,1190400
1973-07-20,0.00000,2.05469,2.00000,2.04688,0.50297,2331200
1973-07-23,0.00000,2.08594,2.05469,2.07812,0.51065,1499200
1973-07-24,0.00000,2.08594,2.03125,2.07812,0.51065,1316800
1973-07-25,0.00000,2.14062,2.07031,2.13281,0.52409,835200
1973-07-26,0.00000,2.14062,2.12500,2.13281,0.52409,896000
1973-07-27,0.00000,2.15625,2.11719,2.14844,0.52793,913600
1973-07-30,0.00000,2.17188,2.11719,2.16406,0.53177,500800
