Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.00000,5.65625,5.45312,5.53125,1.77361,115200
1973-02-22,0.00000,5.51562,5.43750,5.43750,1.74355,178400
1973-02-23,0.00000,5.50000,5.40625,5.46875,1.75357,75200
1973-02-26,0.00000,5.42188,5.26562,5.37500,1.72351,157600
1973-02-27,0.00000,5.40625,4.84375,4.85938,1.55817,248800
1973-02-28,0.00000,5.03125,4.75000,5.00000,1.60326,460800
1973-03-01,0.00000,5.18750,4.81250,4.81250,1.54314,287200
1973-03-02,0.00000,4.90625,4.56250,4.90625,1.57320,338400
1973-03-05,0.00000,5.09375,4.90625,5.07812,1.62831,392800
1973-03-06,0.00000,5.21875,5.09375,5.21875,1.67340,175200
1973-03-07,0.00000,5.35938,5.25000,5.29688,1.69846,280800
1973-03-08,0.00000,5.40625,5.32812,5.37500,1.72351,185600
1973-03-09,0.00000,5.39062,5.31250,5.37500,1.72351,331200
1973-03-12,0.00000,5.43750,5.31250,5.35938,1.71850,108000
1973-03-13,0.00000,5.50000,5.32812,5.40625,1.73353,186400
1973-03-14,0.00000,5.60938,5.50000,5.54688,1.77862,115200
1973-03-15,0.00000,5.60938,5.50000,5.50000,1.76359,63200
1973-03-16,0.00000,5.53125,5.37500,5.51562,1.76860,200800
1973-03-19,0.00000,5.51562,5.34375,5.37500,1.72351,100000
1973-03-20,0.00000,5.37500,5.21875,5.26562,1.68844,131200
1973-03-21,0.00000,5.31250,4.89062,4.89062,1.56819,92800
1973-03-22,0.00000,5.04688,4.87500,5.00000,1.60326,111200
1973-03-23,0.00000,5.03125,4.92188,4.95312,1.58823,154400
1973-03-26,0.00000,5.20312,5.00000,5.20312,1.66840,88800
1973-03-27,0.00000,5.26562,5.14062,5.14062,1.64835,130400
1973-03-28,0.00000,5.15625,5.06250,5.12500,1.64334,155200
1973-03-29,0.00000,5.21875,5.12500,5.14062,1.64835,272000
1973-03-30,0.00000,5.14062,5.04688,5.10938,1.63833,103200
1973-04-02,0.00000,5.10938,5.00000,5.03125,1.61328,73600
1973-04-03,0.00000,5.03125,4.90625,4.90625,1.57320,184800
1973-04-04,0.00000,4.90625,4.82812,4.84375,1.55316,143200
1973-04-05,0.00000,4.87500,4.78125,4.85938,1.55817,66400
1973-04-06,0.00000,4.90625,3.60938,4.90625,1.57320,49600
1973-04-09,0.00000,5.17188,4.90625,5.17188,1.65837,94400
