Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,2.92593,2.81482,2.81482,0.63252,84000
1980-03-18,0.00000,2.96296,2.85185,2.85185,0.64084,24300
1980-03-19,0.00000,3.00000,2.88889,2.88889,0.64917,24600
1980-03-20,0.00000,3.00000,2.88889,2.88889,0.64917,16200
1980-03-21,0.00000,2.96296,2.85185,2.85185,0.64084,6600
1980-03-24,0.00000,2.88889,2.77778,2.77778,0.62420,84000
1980-03-25,0.00000,2.88889,2.77778,2.77778,0.62420,5700
1980-03-26,0.00000,2.96296,2.85185,2.85185,0.64084,70500
1980-03-27,0.00000,2.92593,2.81482,2.81482,0.63252,66600
1980-03-28,0.00000,2.92593,2.81482,2.81482,0.63252,5400
1980-03-31,0.00000,2.96296,2.85185,2.85185,0.64084,10800
1980-04-01,0.00000,3.11111,3.00000,3.00000,0.67414,171900
1980-04-02,0.00000,3.44444,3.33333,3.33333,0.74904,73200
1980-04-03,0.00000,3.29630,3.18518,3.18518,0.71575,27300
1980-04-07,0.00000,3.18518,3.07407,3.07407,0.69078,50400
1980-04-08,0.00000,3.18518,3.07407,3.07407,0.69078,1800
1980-04-09,0.00000,3.22222,3.11111,3.11111,0.69910,12600
1980-04-10,0.00000,3.07407,2.96296,2.96296,0.66581,36300
1980-04-11,0.00000,3.07407,2.96296,2.96296,0.66581,7200
1980-04-14,0.00000,3.00000,2.88889,2.88889,0.64917,38100
1980-04-15,0.00000,2.92593,2.81482,2.81482,0.63252,14700
1980-04-16,0.00000,3.07407,2.96296,2.96296,0.66581,28200
1980-04-17,0.00000,3.07407,2.96296,2.96296,0.66581,9300
1980-04-18,0.00000,3.07407,2.96296,2.96296,0.66581,30900
1980-04-21,0.00000,3.07407,2.96296,2.96296,0.66581,28200
1980-04-22,0.00000,3.07407,2.96296,2.96296,0.66581,1800
1980-04-23,0.00000,3.11111,3.00000,3.00000,0.67414,23400
1980-04-24,0.00000,3.11111,3.00000,3.00000,0.67414,14700
1980-04-25,0.00000,3.07407,2.96296,2.96296,0.66581,13500
1980-04-28,0.00000,3.11111,3.00000,3.00000,0.67414,5700
1980-04-29,0.00000,3.14815,3.03704,3.03704,0.68246,9300
