Date,Open,High,Low,Close,Adj Close,Volume
1970-12-15,12.46938,12.57475,12.46938,12.57475,0.38712,10200
1970-12-16,12.57475,12.57475,12.39912,12.50450,0.38496,7300
1970-12-17,12.50450,12.57475,12.36400,12.36400,0.38063,10900
1970-12-18,12.43425,12.85575,12.43425,12.68012,0.39037,56900
1970-12-21,12.68012,12.71525,12.50450,12.68012,0.39037,56200
1970-12-22,12.68012,12.89088,12.68012,12.68012,0.39037,22000
1970-12-23,12.68012,12.85575,12.64500,12.68012,0.39037,17700
1970-12-24,12.78550,13.03138,12.78550,13.03138,0.40118,19200
1970-12-28,13.03138,13.03138,12.75038,12.82062,0.39469,25600
1970-12-29,12.82062,12.89088,12.78550,12.89088,0.39686,5600
1970-12-30,12.89088,12.99625,12.82062,12.92600,0.39794,49300
1970-12-31,12.92600,12.92600,12.85575,12.89088,0.39686,5200
1971-01-04,12.89088,12.89088,12.64500,12.68012,0.39037,12800
1971-01-05,12.68012,12.75038,12.64500,12.68012,0.39037,8000
1971-01-06,12.68012,12.85575,12.64500,12.71525,0.39145,19200
1971-01-07,12.71525,12.71525,12.64500,12.64500,0.38928,9200
1971-01-08,12.68012,12.89088,12.68012,12.78550,0.39361,15100
1971-01-11,12.78550,12.78550,12.68012,12.68012,0.39037,4900
1971-01-12,12.71525,12.92600,12.71525,12.78550,0.39361,70400
1971-01-13,12.92600,13.13675,12.92600,13.03138,0.40118,93200
1971-01-14,13.03138,13.06650,12.96112,13.06650,0.40226,37900
1971-01-15,13.06650,13.06650,12.92600,12.92600,0.39794,45700
1971-01-18,12.99625,13.13675,12.99625,13.10162,0.40334,12300
1971-01-19,13.13675,13.20700,13.13675,13.13675,0.40442,59000
1971-01-20,13.13675,13.31238,12.99625,13.17188,0.40550,47200
1971-01-21,13.06650,13.06650,12.92600,12.92600,0.39794,9400
1971-01-22,12.92600,13.06650,12.92600,13.06650,0.40226,519500
1971-01-25,13.06650,13.13675,12.85575,12.85575,0.39577,178600
1971-01-26,12.99625,13.20700,12.99625,13.03138,0.40118,40800
1971-01-27,13.03138,13.10162,12.92600,12.96112,0.39902,136800
1971-01-28,12.96112,13.03138,12.85575,12.92600,0.39794,28400
1971-01-29,12.92600,12.99625,12.78550,12.78550,0.39361,98200
1971-02-01,12.78550,12.92600,12.78550,12.92600,0.39794,76800
1971-02-02,12.92600,12.92600,12.71525,12.92600,0.39794,18000
1971-02-03,12.89088,12.89088,12.78550,12.89088,0.39686,7800
1971-02-04,12.89088,12.89088,12.82062,12.85575,0.39577,22700
1971-02-05,12.82062,12.82062,12.71525,12.82062,0.39730,185000
1971-02-08,12.82062,12.89088,12.78550,12.89088,0.39947,19900
1971-02-09,12.89088,13.06650,12.89088,13.03138,0.40383,45700
1971-02-10,12.99625,12.99625,12.92600,12.99625,0.40274,310300
1971-02-11,13.06650,13.20700,13.06650,13.13675,0.40709,118100
1971-02-12,13.13675,13.24212,12.99625,13.24212,0.41036,55700
1971-02-16,13.24212,13.31238,13.10162,13.31238,0.41254,21300
1971-02-17,13.31238,13.48800,13.20700,13.45288,0.41689,158000
1971-02-18,13.55825,13.97975,13.55825,13.55825,0.42016,72100
1971-02-19,13.52312,13.52312,13.34750,13.41775,0.41580,64200
1971-02-22,13.38262,13.38262,13.20700,13.34750,0.41362,24100
1971-02-23,13.34750,13.48800,13.27725,13.38262,0.41471,44300
1971-02-24,13.34750,13.34750,13.20700,13.20700,0.40927,23000
1971-02-25,13.20700,13.27725,13.06650,13.20700,0.40927,13000
1971-02-26,13.17188,13.17188,12.96112,12.96112,0.40165,195200
1971-03-01,12.96112,13.03138,12.89088,12.96112,0.40165,72500
1971-03-02,12.96112,12.96112,12.85575,12.85575,0.39838,48300
1971-03-03,12.85575,12.96112,12.85575,12.96112,0.40165,17000
1971-03-04,13.06650,13.27725,13.06650,13.27725,0.41145,40000
1971-03-05,13.27725,13.38262,13.20700,13.20700,0.40927,28700
1971-03-08,13.20700,13.34750,13.20700,13.34750,0.41362,17000
1971-03-09,13.34750,13.38262,13.20700,13.24212,0.41036,13700
1971-03-10,13.24212,13.38262,13.20700,13.20700,0.40927,36500
1971-03-11,13.20700,13.34750,13.20700,13.31238,0.41254,18500
1971-03-12,13.27725,13.27725,13.06650,13.10162,0.40600,26300
1971-03-15,13.10162,13.13675,12.99625,13.10162,0.40600,219200
1971-03-16,13.10162,13.10162,12.99625,12.99625,0.40274,287000
1971-03-17,12.99625,13.10162,12.92600,13.10162,0.40600,25100
1971-03-18,13.10162,13.20700,13.10162,13.20700,0.40927,27700
1971-03-19,13.20700,13.31238,13.20700,13.24212,0.41036,33400
1971-03-22,13.24212,13.31238,13.20700,13.20700,0.40927,26500
1971-03-23,13.20700,13.24212,13.20700,13.20700,0.40927,25100
1971-03-24,13.20700,13.27725,13.20700,13.24212,0.41036,25100
