Date,Open,High,Low,Close,Adj Close,Volume
1990-02-08,1.44792,1.44792,1.41667,1.43750,1.12502,9012000
1990-02-09,1.45833,1.45833,1.42708,1.42708,1.11687,3483200
1990-02-12,1.42708,1.43750,1.39583,1.41667,1.10872,1982400
1990-02-13,1.41667,1.41667,1.40625,1.40625,1.10057,2212800
1990-02-14,1.41667,1.41667,1.39583,1.39583,1.09242,657600
1990-02-15,1.40625,1.40625,1.34375,1.36458,1.06796,1493600
1990-02-16,1.37500,1.37500,1.35417,1.36458,1.06796,638400
1990-02-20,1.36458,1.36458,1.33333,1.33333,1.04350,1190400
1990-02-21,1.34375,1.34375,1.33333,1.33333,1.04350,272000
1990-02-22,1.33333,1.35417,1.33333,1.35417,1.05981,38400
1990-02-23,1.33333,1.33333,1.29167,1.29167,1.01089,1143200
1990-02-26,1.30208,1.30208,1.28125,1.28125,1.00274,316800
1990-02-27,1.28125,1.29167,1.28125,1.29167,1.01089,324800
1990-02-28,1.29167,1.34375,1.29167,1.34375,1.05165,475200
1990-03-01,1.33333,1.36458,1.33333,1.36458,1.06796,428000
1990-03-02,1.35417,1.37500,1.35417,1.37500,1.07611,1364000
1990-03-05,1.36458,1.37500,1.35417,1.36458,1.06796,240800
1990-03-06,1.36458,1.38542,1.36458,1.38542,1.08426,430400
1990-03-07,1.39583,1.39583,1.37500,1.37500,1.07611,202400
1990-03-08,1.37500,1.37500,1.37500,1.37500,1.07611,792800
1990-03-09,1.36458,1.36458,1.33333,1.34375,1.05165,171200
1990-03-12,1.32292,1.32292,1.30208,1.30208,1.01904,1059200
1990-03-13,1.31250,1.33333,1.31250,1.33333,1.04350,89600
1990-03-14,1.33333,1.33333,1.32292,1.32292,1.03535,127200
1990-03-15,1.31250,1.33333,1.31250,1.32292,1.03535,571200
1990-03-16,1.32292,1.35417,1.32292,1.35417,1.05981,302400
1990-03-19,1.34375,1.35417,1.34375,1.35417,1.05981,14400
1990-03-20,1.35417,1.35417,1.32292,1.32292,1.03535,228000
1990-03-21,1.31250,1.31250,1.29167,1.29167,1.01089,328800
1990-03-22,1.29167,1.29167,1.29167,1.29167,1.01089,48000
1990-03-23,1.30208,1.30208,1.30208,1.30208,1.01904,0
1990-03-26,1.29167,1.31250,1.29167,1.31250,1.02720,50400
1990-03-27,1.31250,1.32292,1.31250,1.32292,1.03535,204000
1990-03-28,1.32292,1.32292,1.32292,1.32292,1.03535,2400
1990-03-29,1.31250,1.31250,1.30208,1.31250,1.02720,8000
1990-03-30,1.31250,1.31250,1.31250,1.31250,1.02720,0
1990-04-02,1.29167,1.29167,1.28125,1.28125,1.00274,160800
1990-04-03,1.29167,1.30208,1.29167,1.30208,1.01904,36000
1990-04-04,1.31250,1.33333,1.31250,1.32292,1.03535,161600
1990-04-05,1.31250,1.33333,1.30208,1.30208,1.01904,151200
1990-04-06,1.30208,1.32292,1.28125,1.31250,1.02720,273600
1990-04-09,1.31250,1.33333,1.31250,1.33333,1.04350,64800
1990-04-10,1.33333,1.33333,1.33333,1.33333,1.04350,60000
1990-04-11,1.33333,1.33333,1.29167,1.31250,1.02720,297600
1990-04-12,1.31250,1.31250,1.29167,1.29167,1.01089,19200
1990-04-16,1.29167,1.29167,1.28125,1.28125,1.00274,288800
1990-04-17,1.28125,1.28125,1.28125,1.28125,1.00274,0
1990-04-18,1.28125,1.28125,1.25000,1.25000,0.97828,464000
1990-04-19,1.22917,1.23958,1.22917,1.23958,0.97013,458400
1990-04-20,1.22917,1.22917,1.22917,1.22917,0.96198,27200
1990-04-23,1.22917,1.22917,1.17708,1.19792,0.93752,393600
1990-04-24,1.17708,1.17708,1.16667,1.16667,0.91306,375200
1990-04-25,1.18750,1.18750,1.18750,1.18750,0.92937,20000
1990-04-26,1.18750,1.20833,1.18750,1.20833,0.94567,14400
1990-04-27,1.18750,1.20833,1.18750,1.18750,0.92937,79200
1990-04-30,1.18750,1.18750,1.17708,1.18750,0.92937,108000
1990-05-01,1.18750,1.20833,1.18750,1.18750,0.92937,208800
1990-05-02,1.18750,1.18750,1.18750,1.18750,0.92937,4800
1990-05-03,1.18750,1.19792,1.18750,1.19792,0.93752,188000
1990-05-04,1.18750,1.18750,1.18750,1.18750,0.92937,41600
1990-05-07,1.19792,1.21875,1.19792,1.20833,0.94567,52800
1990-05-08,1.19792,1.19792,1.19792,1.19792,0.93752,29600
1990-05-09,1.19792,1.20833,1.19792,1.20833,0.94567,72800
1990-05-10,1.20833,1.20833,1.20833,1.20833,0.94567,48000
1990-05-11,1.20833,1.23958,1.20833,1.21875,0.95382,202400
1990-05-14,1.23958,1.26042,1.23958,1.25000,0.97828,82400
1990-05-15,1.25000,1.25000,1.23958,1.23958,0.97013,120800
1990-05-16,1.26042,1.28125,1.26042,1.28125,1.00274,36000
1990-05-17,1.28125,1.32292,1.28125,1.31250,1.02720,132800
1990-05-18,1.31250,1.31250,1.31250,1.31250,1.02720,0
