Date,Open,High,Low,Close,Adj Close,Volume
2003-11-14,38.33000,38.73000,37.55000,37.70000,16.40626,3454800
2003-11-17,37.55000,37.55000,35.80000,36.72000,15.97979,3890600
2003-11-18,36.81000,37.49000,36.50000,36.50000,15.88405,2366200
2003-11-19,36.00000,36.25000,35.13000,35.62000,15.50109,5312600
2003-11-20,34.82000,35.37000,34.50000,34.71000,15.10508,5401000
2003-11-21,35.15000,36.40000,35.15000,36.24000,15.77090,3291000
2003-11-24,36.85000,38.40000,36.63000,38.30000,16.66737,3759400
2003-11-25,38.31000,38.90000,38.10000,38.38000,16.70218,4194200
2003-11-26,38.76000,39.11000,38.40000,39.08000,17.00681,2705000
2003-11-28,39.08000,39.92000,39.08000,39.84000,17.33755,1385600
2003-12-01,40.54000,40.84000,39.46000,39.92000,17.37236,3621400
2003-12-02,39.92000,39.95000,38.76000,39.00000,16.97200,3636400
2003-12-03,39.35000,39.74000,38.29000,38.40000,16.71089,3263600
2003-12-04,38.55000,38.75000,34.75000,37.11000,16.14951,10030800
2003-12-05,36.25000,37.78000,36.00000,36.70000,15.97108,4141800
2003-12-08,36.82000,36.99000,35.80000,36.00000,15.66646,4018800
2003-12-09,36.75000,36.99000,35.62000,36.00000,15.66646,3513200
2003-12-10,36.10000,36.15000,34.70000,35.35000,15.38359,4516000
2003-12-11,34.89000,36.15000,34.81000,35.86000,15.60553,4312200
2003-12-12,36.05000,36.75000,36.00000,36.30000,15.79701,3324400
2003-12-15,37.60000,37.65000,35.25000,35.44000,15.42276,3254600
2003-12-16,35.40000,35.40000,32.50000,34.58000,15.04850,10790600
2003-12-17,34.58000,35.33000,34.00000,35.33000,15.37489,6955200
2003-12-18,35.50000,36.56000,35.50000,36.46000,15.86664,3680200
2003-12-19,37.48000,37.64000,36.30000,36.99000,16.09729,5531200
2003-12-22,36.42000,36.93000,35.84000,36.44000,15.85794,3557800
2003-12-23,36.60000,37.24000,36.24000,37.20000,16.18867,4039800
2003-12-24,37.20000,37.20000,36.71000,36.91000,16.06247,1047200
2003-12-26,36.98000,37.66000,36.98000,37.51000,16.32358,1308800
2003-12-29,37.65000,37.66000,36.55000,37.32000,16.24089,2855400
2003-12-30,37.32000,37.32000,36.65000,37.07000,16.13210,2619000
2003-12-31,37.24000,37.85000,36.90000,37.75000,16.42802,2841400
2004-01-02,37.75000,37.97000,36.81000,36.94000,16.07553,2769800
2004-01-05,37.00000,37.78000,37.00000,37.75000,16.42802,3318400
2004-01-06,37.84000,39.20000,37.83000,38.77000,16.87190,5244600
2004-01-07,37.40000,38.87000,37.20000,38.06000,16.56293,7444000
2004-01-08,38.64000,38.64000,36.72000,36.96000,16.08423,4024200
2004-01-09,36.90000,37.69000,36.52000,36.61000,15.93192,3170200
2004-01-12,36.70000,36.79000,35.60000,35.95000,15.64470,4124399
2004-01-13,36.00000,36.25000,34.88000,35.11000,15.27915,4500000
2004-01-14,35.70000,36.35000,35.35000,36.20000,15.75349,5106200
2004-01-15,36.29000,36.42000,35.27000,36.06000,15.69257,2453200
2004-01-16,36.40000,36.67000,35.81000,36.52000,15.89275,3380200
2004-01-20,36.89000,36.89000,35.85000,35.95000,15.64470,3945800
2004-01-21,36.00000,36.25000,35.06000,35.70000,15.53590,6537000
2004-01-22,35.90000,36.49000,35.86000,36.05000,15.68822,3092400
2004-01-23,36.10000,36.20000,35.49000,35.74000,15.55331,2303000
2004-01-26,35.74000,35.74000,34.50000,35.27000,15.34878,3509200
2004-01-27,35.20000,35.43000,34.76000,34.85000,15.16600,2945000
2004-01-28,35.18000,35.46000,33.91000,34.15000,14.86138,3244000
2004-01-29,34.15000,34.32000,33.75000,34.31000,14.93100,3606200
2004-01-30,34.31000,35.87000,33.81000,35.43000,15.41841,4076600
2004-02-02,35.89000,36.08000,34.88000,35.71000,15.54025,2731400
2004-02-03,35.65000,36.45000,35.45000,36.26000,15.77960,3390200
2004-02-04,36.00000,37.00000,35.95000,36.65000,15.94932,3734800
2004-02-05,37.42000,37.65000,37.00000,37.45000,16.29747,4207000
2004-02-06,37.45000,38.33000,37.45000,37.87000,16.48024,2193400
2004-02-09,37.98000,38.25000,37.65000,38.05000,16.55857,1915400
2004-02-10,38.00000,38.42000,37.50000,38.25000,16.64561,1925200
2004-02-11,38.38000,38.64000,38.28000,38.64000,16.81533,2363200
2004-02-12,38.60000,39.00000,38.39000,38.95000,16.95024,3779400
2004-02-13,39.05000,39.10000,38.05000,38.35000,16.68913,2126000
2004-02-17,38.50000,39.49000,38.45000,39.35000,17.12431,2275800
2004-02-18,39.39000,40.03000,39.13000,39.78000,17.31143,2866600
2004-02-19,39.92000,40.30000,39.92000,40.00000,17.40717,3196400
2004-02-20,39.52000,39.73000,38.59000,39.36000,17.12866,2583200
2004-02-23,40.00000,40.00000,37.63000,38.02000,16.54552,5876800
2004-02-24,38.00000,38.97000,37.79000,38.79000,16.88061,2543800
2004-02-25,38.79000,38.98000,38.15000,38.80000,16.88496,2171000
2004-02-26,38.80000,39.05000,38.43000,39.00000,16.97200,1932600
2004-02-27,39.00000,40.00000,39.00000,39.63000,17.24616,3711200
2004-03-01,40.00000,42.49000,39.98000,41.73000,18.16003,5116200
2004-03-02,41.10000,43.00000,41.04000,42.12000,18.32975,4568800
2004-03-03,42.12000,42.50000,41.39000,42.47000,18.48207,2019200
2004-03-04,42.76000,43.50000,42.08000,43.31000,18.84762,2654800
2004-03-05,42.75000,43.61000,42.50000,43.25000,18.82151,3290800
2004-03-08,43.95000,44.33000,43.51000,43.67000,19.00428,2887400
2004-03-09,43.30000,43.54000,41.85000,42.07000,18.30800,3480400
2004-03-10,42.07000,42.36000,41.04000,41.04000,17.85976,2970800
2004-03-11,40.45000,41.15000,40.32000,40.48000,17.61606,3186600
2004-03-12,40.75000,41.20000,39.87000,40.63000,17.68134,2603600
