Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,5.16152,5.25681,5.12976,5.14564,1.18671,1420600
1982-01-04,5.09799,5.12976,5.05035,5.06623,1.16840,2069199
1982-01-05,4.93918,5.03447,4.84389,4.87565,1.12445,4173800
1982-01-06,4.84389,5.00270,4.68507,4.78036,1.10247,3855800
1982-01-07,4.73272,4.78036,4.68507,4.73272,1.09148,1511100
1982-01-08,4.71683,4.78036,4.63743,4.63743,1.06951,1861400
1982-01-11,4.54214,4.65331,4.41508,4.44685,1.02555,2428100
1982-01-12,4.39920,4.49449,4.30391,4.36744,1.00724,3504000
1982-01-13,4.41508,4.47861,4.33568,4.35156,1.00358,1692200
1982-01-14,4.38332,4.47861,4.28803,4.47861,1.03288,2596500
1982-01-15,4.74860,4.98682,4.51037,4.92330,1.13544,7508600
1982-01-18,4.95506,5.09799,4.79624,5.09799,1.17572,7078100
1982-01-19,5.05035,5.17740,4.92330,4.95506,1.14276,7444100
1982-01-20,4.78036,4.90741,4.65331,4.71683,1.08782,5527600
1982-01-21,4.81212,4.87565,4.73272,4.81212,1.10980,7028500
1982-01-22,4.84389,4.89153,4.78036,4.79624,1.10613,2916800
1982-01-25,4.84389,4.97094,4.71683,4.97094,1.14642,3098700
1982-01-26,4.98682,5.08211,4.89153,4.92330,1.13544,3584300
1982-01-27,4.95506,5.01858,4.89153,4.95506,1.14276,2958600
1982-01-28,4.97094,5.01858,4.90741,4.98682,1.15009,4318600
1982-01-29,5.01858,5.09799,4.93918,4.95506,1.14276,6637400
1982-02-01,4.81212,4.89153,4.71683,4.81212,1.12567,2565000
1982-02-02,4.76448,4.81212,4.70095,4.70095,1.09966,2463500
1982-02-03,4.62154,4.74860,4.49449,4.52626,1.05880,2934200
1982-02-04,4.60566,4.70095,4.49449,4.68507,1.09595,4710600
1982-02-05,4.66919,4.74860,4.58978,4.70095,1.09966,4278500
1982-02-08,4.57390,4.70095,4.44685,4.46273,1.04394,2663400
