Date,Open,High,Low,Close,Adj Close,Volume
1986-07-09,10.68750,11.06250,10.56250,11.00000,7.76692,1116800
1986-07-10,11.06250,11.12500,10.68750,10.93750,7.72279,595600
1986-07-11,10.87500,10.93750,10.56250,10.56250,7.45800,800400
1986-07-14,10.62500,10.62500,10.12500,10.25000,7.23736,738000
1986-07-15,10.18750,10.18750,9.31250,9.93750,7.01671,2059199
1986-07-16,9.93750,10.50000,9.93750,10.12500,7.14909,1160400
1986-07-17,10.12500,10.25000,10.00000,10.18750,7.19322,1046000
1986-07-18,10.18750,10.34375,10.00000,10.25000,7.23736,1420000
1986-07-21,10.25000,10.31250,10.18750,10.25000,7.23736,322800
1986-07-22,10.25000,10.28125,10.18750,10.18750,7.19322,390800
1986-07-23,10.25000,10.25000,10.00000,10.06250,7.10496,1004000
1986-07-24,10.06250,10.12500,9.81250,9.93750,7.01671,1071600
1986-07-25,9.93750,10.12500,9.87500,10.06250,7.10496,688400
1986-07-28,10.06250,10.25000,9.96875,10.12500,7.14909,414800
1986-07-29,10.00000,10.18750,10.00000,10.18750,7.19322,278400
1986-07-30,10.06250,10.12500,9.87500,10.12500,7.14909,459200
1986-07-31,10.12500,10.25000,10.00000,10.06250,7.10496,1213600
1986-08-01,10.00000,10.12500,9.75000,9.75000,6.88431,1118000
1986-08-04,9.81250,9.81250,9.53125,9.75000,6.88431,892400
1986-08-05,9.75000,9.75000,9.50000,9.56250,6.75192,868800
1986-08-06,9.56250,9.62500,9.12500,9.12500,6.44301,550400
1986-08-07,9.00000,9.06250,8.12500,8.37500,5.91345,7560000
1986-08-08,8.43750,8.93750,8.37500,8.87500,6.26649,2802000
1986-08-11,9.00000,9.12500,8.87500,9.12500,6.44301,1428000
1986-08-12,9.12500,9.43750,9.12500,9.37500,6.61953,1155200
1986-08-13,9.43750,10.09375,9.37500,9.68750,6.84018,865600
1986-08-14,9.75000,9.81250,9.37500,9.50000,6.70779,762000
1986-08-15,9.50000,9.50000,9.18750,9.37500,6.61953,654400
1986-08-18,9.43750,9.87500,9.25000,9.68750,6.84018,606800
1986-08-19,9.75000,9.75000,9.50000,9.56250,6.75192,2744000
1986-08-20,9.56250,9.56250,9.37500,9.50000,6.70779,500000
1986-08-21,9.50000,9.56250,9.43750,9.43750,6.66366,353200
1986-08-22,9.50000,9.56250,9.37500,9.37500,6.61953,286000
1986-08-25,9.50000,9.50000,9.12500,9.25000,6.53127,766400
1986-08-26,9.18750,9.37500,9.18750,9.37500,6.61953,408800
