Date,Open,High,Low,Close,Adj Close,Volume
1984-01-25,20.37498,20.37498,19.99998,19.99998,3.01111,112800
1984-01-26,20.25000,20.25000,19.75002,19.87500,2.99229,163200
1984-01-27,19.87500,19.87500,18.87498,19.12500,2.87937,273600
1984-01-30,19.24998,19.24998,18.25002,18.49998,2.78527,320400
1984-01-31,18.25002,18.75000,18.25002,18.62502,2.80410,53400
1984-02-01,18.62502,18.75000,18.49998,18.49998,2.78527,289800
1984-02-02,18.62502,18.75000,18.37500,18.62502,2.80410,46800
1984-02-03,18.62502,18.75000,18.49998,18.49998,2.78527,114000
1984-02-06,18.37500,18.49998,18.37500,18.37500,2.76646,128400
1984-02-07,18.00000,18.37500,17.87502,17.87502,2.69118,772200
1984-02-08,17.87502,18.00000,17.37498,17.50002,2.63473,311400
1984-02-09,17.37498,17.37498,16.37502,16.50000,2.48417,1059600
1984-02-10,16.75002,16.75002,16.50000,16.50000,2.48417,118800
1984-02-13,16.62498,16.62498,16.37502,16.37502,2.46535,69600
1984-02-14,16.24998,16.24998,14.87502,15.62502,2.35243,573000
1984-02-15,15.75000,16.12500,15.75000,16.00002,2.40889,440400
1984-02-16,15.87498,16.12500,15.87498,16.00002,2.40889,531600
1984-02-17,16.00002,16.12500,16.00002,16.12500,2.42771,33600
1984-02-21,15.87498,15.87498,15.25002,15.49998,2.33361,248400
1984-02-22,15.25002,15.25002,15.00000,15.25002,2.29598,278400
1984-02-23,15.12498,15.25002,15.00000,15.12498,2.27715,195000
1984-02-24,15.37500,16.37502,15.37500,15.87498,2.39007,636000
1984-02-27,15.87498,15.87498,15.37500,15.49998,2.33361,229200
1984-02-28,15.49998,15.75000,15.37500,15.37500,2.31479,73800
1984-02-29,15.37500,15.37500,15.00000,15.37500,2.31479,124200
1984-03-01,15.25002,15.37500,15.12498,15.37500,2.31479,42000
1984-03-02,15.25002,15.37500,15.25002,15.37500,2.31479,42000
1984-03-05,15.37500,15.37500,14.87502,14.87502,2.23952,84600
1984-03-06,14.87502,14.87502,14.74998,14.74998,2.22069,39600
1984-03-07,14.74998,14.74998,13.75002,13.87500,2.08896,298800
1984-03-08,13.87500,13.87500,13.50000,13.50000,2.03250,184200
1984-03-09,13.37502,13.50000,13.24998,13.50000,2.03250,88800
1984-03-12,13.50000,13.87500,13.37502,13.75002,2.07014,150000
1984-03-13,13.75002,13.99998,13.62498,13.99998,2.10777,262800
1984-03-14,13.99998,13.99998,13.87500,13.99998,2.10777,54000
1984-03-15,13.87500,13.99998,13.50000,13.62498,2.05132,420600
1984-03-16,13.62498,13.87500,13.62498,13.75002,2.07014,268800
1984-03-19,13.62498,13.75002,13.50000,13.75002,2.07014,93000
1984-03-20,13.75002,14.25000,13.75002,14.12502,2.12660,328200
1984-03-21,14.25000,15.00000,14.25000,14.87502,2.23952,256200
1984-03-22,14.87502,14.87502,14.37498,14.37498,2.16423,57000
1984-03-23,14.37498,14.62500,13.99998,14.62500,2.20187,89400
1984-03-26,14.74998,14.87502,14.62500,14.62500,2.20187,37200
1984-03-27,14.62500,14.74998,14.50002,14.62500,2.20187,70200
1984-03-28,14.74998,15.00000,14.62500,15.00000,2.25833,273000
1984-03-29,15.37500,15.37500,15.12498,15.12498,2.27715,329400
1984-03-30,15.00000,15.00000,14.74998,14.74998,2.22069,37800
1984-04-02,14.74998,15.12498,14.74998,15.00000,2.25833,104400
1984-04-03,15.00000,15.12498,14.74998,15.00000,2.25833,60000
1984-04-04,15.00000,15.00000,14.87502,15.00000,2.25833,854400
1984-04-05,14.87502,15.00000,14.62500,15.00000,2.25833,115200
1984-04-06,14.74998,14.87502,14.37498,14.74998,2.22069,108000
1984-04-09,14.62500,14.74998,14.62500,14.62500,2.20187,31800
1984-04-10,14.62500,14.74998,14.50002,14.74998,2.22069,49200
1984-04-11,14.74998,14.87502,14.62500,14.74998,2.22069,204600
1984-04-12,14.74998,14.87502,14.62500,14.87502,2.23952,45600
1984-04-13,14.87502,14.87502,14.62500,14.62500,2.20187,72000
1984-04-16,14.62500,14.87502,14.50002,14.87502,2.23952,46800
1984-04-17,14.74998,14.87502,14.74998,14.74998,2.22069,57600
1984-04-18,14.74998,14.74998,14.62500,14.62500,2.20187,68400
1984-04-19,14.50002,14.62500,14.50002,14.62500,2.20187,39600
1984-04-23,14.50002,14.62500,14.50002,14.50002,2.18306,33000
1984-04-24,14.25000,14.25000,13.99998,14.12502,2.12660,87000
1984-04-25,14.12502,14.37498,14.12502,14.25000,2.14542,172200
1984-04-26,14.12502,14.25000,14.12502,14.12502,2.12660,58800
1984-04-27,14.12502,14.37498,13.99998,14.37498,2.16423,57000
1984-04-30,14.50002,14.62500,14.25000,14.25000,2.14542,40200
1984-05-01,14.37498,14.74998,14.37498,14.74998,2.22069,94200
1984-05-02,14.74998,15.75000,14.50002,15.75000,2.37125,340800
1984-05-03,15.75000,16.00002,15.62502,15.87498,2.39007,561000
1984-05-04,15.75000,15.87498,15.75000,15.75000,2.37125,186600
1984-05-07,15.62502,15.62502,14.87502,15.00000,2.25833,384000
1984-05-08,14.74998,14.74998,14.62500,14.74998,2.22069,29400
1984-05-09,14.62500,14.74998,14.62500,14.62500,2.20187,196800
1984-05-10,14.62500,14.62500,14.37498,14.37498,2.16423,39000
1984-05-11,14.37498,14.62500,14.25000,14.62500,2.20187,111600
1984-05-14,14.37498,14.62500,14.37498,14.50002,2.18306,162600
1984-05-15,14.50002,14.50002,14.50002,14.50002,2.18306,37800
1984-05-16,14.62500,14.62500,14.25000,14.25000,2.14542,316800
1984-05-17,14.37498,14.37498,13.99998,13.99998,2.10777,120000
1984-05-18,14.12502,14.12502,13.75002,14.12502,2.12660,289200
1984-05-21,13.99998,13.99998,13.50000,13.62498,2.05132,67800
1984-05-22,13.24998,13.50000,13.00002,13.37502,2.01368,163800
1984-05-23,13.37502,13.50000,13.24998,13.37502,2.01368,57000
1984-05-24,13.37502,13.37502,12.87498,13.00002,1.95723,198600
1984-05-25,13.00002,13.12500,12.62502,12.62502,1.90077,56400
1984-05-29,12.49998,12.62502,12.37500,12.37500,1.86313,83400
1984-05-30,12.37500,12.37500,11.87502,12.00000,1.80667,208200
1984-05-31,12.00000,12.00000,11.87502,12.00000,1.80667,61800
1984-06-01,12.00000,12.49998,12.00000,12.37500,1.86313,119400
1984-06-04,12.37500,12.62502,12.25002,12.62502,1.90077,213000
1984-06-05,12.49998,12.49998,12.37500,12.49998,1.88194,144000
1984-06-06,12.37500,12.49998,12.37500,12.49998,1.88194,162000
1984-06-07,12.49998,12.49998,12.12498,12.37500,1.86313,144600
1984-06-08,12.25002,12.37500,12.00000,12.37500,1.86313,129600
1984-06-11,12.37500,12.49998,12.25002,12.37500,1.86313,42000
1984-06-12,12.37500,12.49998,12.37500,12.37500,1.86313,42000
1984-06-13,12.37500,12.49998,12.25002,12.49998,1.88194,89400
1984-06-14,12.62502,12.62502,12.25002,12.25002,1.84431,67200
1984-06-15,12.12498,12.25002,11.25000,11.25000,1.69375,94200
1984-06-18,11.37498,11.74998,11.25000,11.74998,1.76902,486600
1984-06-19,12.00000,12.12498,11.74998,11.74998,1.76902,177600
1984-06-20,11.62500,12.25002,11.62500,12.25002,1.84431,413400
1984-06-21,12.25002,12.49998,12.25002,12.25002,1.84431,130800
1984-06-22,12.00000,12.75000,12.00000,12.49998,1.88194,438000
1984-06-25,12.49998,12.49998,12.25002,12.49998,1.88194,520200
1984-06-26,12.37500,12.37500,12.00000,12.00000,1.80667,298200
1984-06-27,12.00000,12.12498,11.87502,12.00000,1.80667,795600
1984-06-28,12.00000,12.75000,12.00000,12.75000,1.91958,641400
1984-06-29,12.75000,13.62498,12.75000,13.00002,1.95723,797400
1984-07-02,12.87498,12.87498,12.49998,12.49998,1.88194,47400
1984-07-03,12.49998,12.49998,12.37500,12.49998,1.88194,437400
1984-07-05,12.49998,12.62502,12.37500,12.49998,1.88194,202200
1984-07-06,12.49998,12.87498,12.49998,12.62502,1.90077,133200
1984-07-09,12.75000,12.75000,12.49998,12.62502,1.90077,100800
1984-07-10,12.62502,12.62502,12.49998,12.62502,1.90077,157200
1984-07-11,12.49998,12.62502,12.25002,12.25002,1.84431,172800
1984-07-12,12.37500,12.37500,12.25002,12.25002,1.84431,65400
1984-07-13,12.37500,12.62502,12.37500,12.37500,1.86313,348600
1984-07-16,12.49998,12.49998,12.25002,12.37500,1.86313,97200
1984-07-17,12.37500,12.37500,12.00000,12.00000,1.80667,303600
1984-07-18,12.12498,12.12498,11.62500,11.74998,1.76902,154800
1984-07-19,11.74998,11.87502,11.62500,11.74998,1.76902,205800
1984-07-20,11.74998,11.87502,11.50002,11.87502,1.78785,78000
1984-07-23,11.62500,11.74998,11.50002,11.62500,1.75021,103800
1984-07-24,11.50002,11.62500,10.99998,10.99998,1.65611,878400
1984-07-25,10.99998,11.50002,10.99998,11.50002,1.73139,271800
1984-07-26,11.62500,11.62500,10.99998,11.37498,1.71257,1261200
1984-07-27,11.37498,12.00000,11.37498,11.74998,1.76902,675000
1984-07-30,11.87502,11.87502,11.37498,11.37498,1.71257,342600
1984-07-31,11.37498,11.50002,11.25000,11.50002,1.73139,91200
1984-08-01,11.50002,12.37500,11.50002,12.37500,1.86313,605400
1984-08-02,12.37500,13.75002,12.37500,13.75002,2.07014,385800
1984-08-03,13.75002,14.50002,13.75002,14.25000,2.14542,1026000
1984-08-06,14.37498,14.87502,13.99998,14.25000,2.14542,360600
1984-08-07,13.99998,14.25000,13.99998,14.25000,2.14542,324600
1984-08-08,14.37498,14.50002,14.12502,14.12502,2.12660,132600
1984-08-09,13.99998,14.37498,13.62498,14.37498,2.16423,218400
1984-08-10,14.62500,15.00000,14.37498,14.50002,2.18306,370200
1984-08-13,14.12502,14.37498,13.99998,14.25000,2.14542,112800
1984-08-14,14.12502,14.25000,13.99998,13.99998,2.10777,101400
1984-08-15,13.99998,13.99998,13.50000,13.62498,2.05132,369000
1984-08-16,13.50000,13.50000,13.24998,13.50000,2.03250,138600
1984-08-17,13.24998,13.37502,13.12500,13.24998,1.99486,73800
1984-08-20,13.00002,13.00002,12.62502,12.62502,1.90077,133200
1984-08-21,12.62502,13.24998,12.37500,13.24998,1.99486,1423200
1984-08-22,13.37502,13.62498,13.00002,13.00002,1.95723,648000
1984-08-23,13.24998,13.24998,12.75000,13.00002,1.95723,565800
1984-08-24,13.12500,13.37502,13.00002,13.37502,2.01368,152400
1984-08-27,13.37502,13.37502,13.00002,13.37502,2.01368,1008600
1984-08-28,13.62498,13.62498,13.37502,13.62498,2.05132,594000
1984-08-29,13.62498,14.12502,13.37502,13.87500,2.08896,1053000
1984-08-30,13.99998,14.12502,13.87500,14.12502,2.12660,193800
1984-08-31,14.12502,14.62500,13.99998,14.25000,2.14542,436800
1984-09-04,14.25000,14.37498,13.87500,13.99998,2.10777,101400
1984-09-05,13.99998,14.25000,13.99998,14.12502,2.12660,173400
1984-09-06,14.25000,14.74998,14.25000,14.74998,2.22069,226200
1984-09-07,14.87502,15.12498,14.50002,14.50002,2.18306,228000
1984-09-10,14.37498,14.50002,14.12502,14.25000,2.14542,93600
1984-09-11,14.37498,14.62500,14.37498,14.50002,2.18306,76800
1984-09-12,14.37498,14.62500,14.25000,14.37498,2.16423,76800
1984-09-13,14.37498,15.12498,14.37498,15.00000,2.25833,162000
1984-09-14,15.12498,15.12498,14.62500,14.62500,2.20187,210600
1984-09-17,14.50002,14.74998,14.50002,14.62500,2.20187,83400
1984-09-18,14.50002,14.62500,14.37498,14.50002,2.18306,76200
1984-09-19,14.37498,14.62500,14.37498,14.37498,2.16423,133800
1984-09-20,14.37498,14.50002,13.99998,13.99998,2.10777,228000
1984-09-21,14.12502,14.12502,13.87500,13.99998,2.10777,98400
1984-09-24,13.75002,13.99998,13.50000,13.75002,2.07014,166800
1984-09-25,13.62498,13.87500,13.50000,13.87500,2.08896,50400
1984-09-26,13.75002,14.25000,13.75002,14.12502,2.12660,129000
1984-09-27,14.12502,14.25000,13.75002,13.99998,2.10777,54000
1984-09-28,14.12502,14.12502,13.75002,13.75002,2.07014,47400
1984-10-01,13.50000,13.87500,13.50000,13.75002,2.07014,71400
1984-10-02,13.62498,13.87500,13.62498,13.75002,2.07014,61200
1984-10-03,13.62498,13.87500,13.50000,13.87500,2.08896,53400
1984-10-04,13.99998,14.62500,13.99998,14.37498,2.16423,163200
1984-10-05,14.25000,14.50002,14.12502,14.50002,2.18306,105600
1984-10-08,14.25000,14.25000,13.24998,13.24998,1.99486,487800
1984-10-09,13.24998,13.24998,12.49998,12.62502,1.90077,441000
1984-10-10,12.62502,12.87498,12.62502,12.87498,1.93840,155400
1984-10-11,12.87498,13.24998,12.87498,13.24998,1.99486,44400
1984-10-12,13.24998,13.24998,13.00002,13.00002,1.95723,69000
1984-10-15,13.00002,13.12500,12.87498,12.87498,1.93840,85200
1984-10-16,12.87498,13.12500,12.75000,12.75000,1.91958,159600
1984-10-17,12.75000,13.00002,12.75000,12.87498,1.93840,122400
1984-10-18,13.00002,13.00002,12.87498,13.00002,1.95723,182400
1984-10-19,13.24998,13.50000,13.24998,13.37502,2.01368,162600
1984-10-22,13.24998,13.62498,13.12500,13.37502,2.01368,255600
1984-10-23,13.50000,13.75002,13.50000,13.50000,2.03250,202800
1984-10-24,13.37502,13.62498,13.12500,13.37502,2.01368,403200
1984-10-25,13.37502,13.50000,13.12500,13.12500,1.97604,129600
1984-10-26,13.00002,13.00002,12.62502,12.75000,1.91958,61200
1984-10-29,12.87498,13.00002,12.75000,12.75000,1.91958,49800
1984-10-30,12.75000,13.24998,12.75000,13.00002,1.95723,30600
1984-10-31,12.75000,13.00002,12.62502,12.62502,1.90077,78600
1984-11-01,12.49998,12.87498,12.49998,12.75000,1.91958,54000
1984-11-02,13.00002,13.00002,12.75000,12.87498,1.93840,87000
1984-11-05,12.87498,13.00002,12.75000,13.00002,1.95723,31800
1984-11-06,13.12500,13.37502,13.00002,13.12500,1.97604,76800
1984-11-07,13.12500,13.50000,13.00002,13.50000,2.03250,139800
1984-11-08,13.62498,14.37498,13.62498,13.87500,2.08896,98400
1984-11-09,13.87500,14.37498,13.87500,14.37498,2.16423,161400
1984-11-12,14.25000,14.25000,13.87500,13.99998,2.10777,91200
1984-11-13,13.87500,13.99998,13.87500,13.87500,2.08896,99000
1984-11-14,13.87500,13.99998,13.62498,13.87500,2.08896,102600
1984-11-15,13.99998,14.25000,13.87500,14.12502,2.12660,91200
1984-11-16,14.12502,14.25000,13.99998,14.12502,2.12660,126600
1984-11-19,13.99998,14.12502,13.87500,13.87500,2.08896,213000
1984-11-20,13.87500,14.25000,13.87500,14.12502,2.12660,124200
1984-11-21,14.25000,14.37498,14.12502,14.25000,2.14542,102000
1984-11-23,14.25000,14.62500,14.12502,14.25000,2.14542,277200
1984-11-26,14.12502,14.25000,13.87500,14.25000,2.14542,325800
1984-11-27,14.25000,14.37498,14.12502,14.37498,2.16423,129600
1984-11-28,14.37498,14.37498,14.25000,14.37498,2.16423,92400
1984-11-29,14.37498,15.62502,14.37498,15.62502,2.35243,643200
1984-11-30,15.62502,15.75000,15.25002,15.37500,2.31479,475200
1984-12-03,15.49998,15.49998,14.74998,15.25002,2.29598,280800
