Date,Open,High,Low,Close,Adj Close,Volume
1990-02-16,0.00000,0.07986,0.07378,0.07726,0.05824,940636800
1990-02-20,0.00000,0.07986,0.07465,0.07986,0.06021,151862400
1990-02-21,0.00000,0.07899,0.07552,0.07812,0.05890,70531200
1990-02-22,0.00000,0.08160,0.07899,0.07899,0.05955,45216000
1990-02-23,0.00000,0.07986,0.07812,0.07856,0.05922,44697600
1990-02-26,0.00000,0.07986,0.07639,0.07639,0.05759,26928000
1990-02-27,0.00000,0.07943,0.07639,0.07812,0.05890,25574400
1990-02-28,0.00000,0.08246,0.07812,0.08073,0.06086,67968000
1990-03-01,0.00000,0.08160,0.07986,0.07986,0.06021,28425600
1990-03-02,0.00000,0.08160,0.07986,0.08073,0.06086,8438400
1990-03-05,0.00000,0.08160,0.07986,0.07986,0.06021,2419200
1990-03-06,0.00000,0.08160,0.07899,0.07986,0.06021,23904000
1990-03-07,0.00000,0.07986,0.07726,0.07812,0.05890,18172800
1990-03-08,0.00000,0.07899,0.07726,0.07726,0.05824,33523199
1990-03-09,0.00000,0.07812,0.07726,0.07726,0.05824,11145600
1990-03-12,0.00000,0.07986,0.07726,0.07899,0.05955,20304000
1990-03-13,0.00000,0.08333,0.07899,0.08160,0.06152,53020800
1990-03-14,0.00000,0.09115,0.08160,0.09028,0.06806,87350400
1990-03-15,0.00000,0.09028,0.08507,0.08594,0.06479,38620800
1990-03-16,0.00000,0.08767,0.08594,0.08767,0.06610,19929600
1990-03-19,0.00000,0.09115,0.08507,0.09028,0.06806,43027200
1990-03-20,0.00000,0.09115,0.08246,0.08246,0.06217,43228800
1990-03-21,0.00000,0.08507,0.08246,0.08333,0.06282,19900800
1990-03-22,0.00000,0.08507,0.07726,0.07812,0.05890,43776000
1990-03-23,0.00000,0.08246,0.07812,0.08073,0.06086,16905600
1990-03-26,0.08246,0.08420,0.08160,0.08420,0.06348,41702400
1990-03-27,0.08333,0.08594,0.08246,0.08594,0.06479,15926400
1990-03-28,0.08594,0.08594,0.08507,0.08507,0.06413,9792000
1990-03-29,0.08507,0.08507,0.08333,0.08507,0.06413,16272000
1990-03-30,0.08333,0.08333,0.07986,0.08160,0.06152,28742400
1990-04-02,0.07899,0.08073,0.07726,0.07986,0.06021,15868800
1990-04-03,0.07899,0.08160,0.07899,0.08073,0.06086,8352000
1990-04-04,0.08073,0.08160,0.08073,0.08073,0.06086,14284800
1990-04-05,0.08160,0.08160,0.07986,0.08030,0.06053,8323200
1990-04-06,0.07986,0.08073,0.07899,0.07899,0.05955,10771200
1990-04-09,0.07986,0.07986,0.07812,0.07812,0.05890,6681600
1990-04-10,0.07812,0.07986,0.07465,0.07639,0.05759,34790400
1990-04-11,0.07639,0.07726,0.07552,0.07639,0.05759,24796800
1990-04-12,0.07726,0.07726,0.07552,0.07726,0.05824,13161600
1990-04-16,0.07726,0.07812,0.07639,0.07726,0.05824,5616000
1990-04-17,0.07639,0.07812,0.07552,0.07812,0.05890,6566400
1990-04-18,0.07812,0.07986,0.07726,0.07899,0.05955,24480000
1990-04-19,0.07812,0.07986,0.07812,0.07986,0.06021,25142400
1990-04-20,0.07986,0.07986,0.07726,0.07726,0.05824,8755200
1990-04-23,0.07726,0.07899,0.07639,0.07812,0.05890,5356800
1990-04-24,0.07986,0.07986,0.07899,0.07943,0.05988,10281600
1990-04-25,0.07986,0.08073,0.07986,0.07986,0.06021,6768000
1990-04-26,0.07986,0.08160,0.07986,0.07986,0.06021,10713600
1990-04-27,0.07986,0.08073,0.07899,0.07899,0.05955,4204800
1990-04-30,0.08073,0.08420,0.07986,0.08246,0.06217,34329600
1990-05-01,0.08420,0.08420,0.08246,0.08377,0.06315,28771200
1990-05-02,0.08333,0.08420,0.08246,0.08246,0.06217,3139200
1990-05-03,0.08420,0.08507,0.08333,0.08507,0.06413,7228800
1990-05-04,0.08420,0.08594,0.08420,0.08594,0.06479,5702400
1990-05-07,0.08594,0.08854,0.08594,0.08681,0.06544,13536000
1990-05-08,0.08854,0.08854,0.08594,0.08767,0.06610,14486400
1990-05-09,0.08767,0.08767,0.08507,0.08594,0.06479,9676800
1990-05-10,0.08681,0.08681,0.08507,0.08507,0.06413,2793600
1990-05-11,0.08854,0.08941,0.08507,0.08594,0.06479,29923200
1990-05-14,0.08767,0.08767,0.08594,0.08594,0.06479,15235200
1990-05-15,0.08767,0.08767,0.08594,0.08637,0.06512,24134400
1990-05-16,0.08767,0.08767,0.08507,0.08594,0.06479,18720000
1990-05-17,0.08681,0.08681,0.08594,0.08681,0.06544,6595200
1990-05-18,0.08594,0.08681,0.08420,0.08507,0.06413,45417600
1990-05-21,0.08420,0.08681,0.08420,0.08507,0.06413,4032000
1990-05-22,0.08507,0.08594,0.08507,0.08507,0.06413,22982400
1990-05-23,0.08507,0.08594,0.08420,0.08420,0.06348,39715200
1990-05-24,0.08594,0.08594,0.08420,0.08594,0.06479,8121600
1990-05-25,0.08333,0.08507,0.08246,0.08333,0.06282,4003200
1990-05-29,0.08333,0.08507,0.08160,0.08246,0.06217,20707200
1990-05-30,0.08333,0.08333,0.08073,0.08160,0.06152,96278400
1990-05-31,0.08073,0.08681,0.08073,0.08594,0.06479,102988800
1990-06-01,0.08594,0.08854,0.08507,0.08681,0.06544,103132800
1990-06-04,0.08767,0.08941,0.08594,0.08941,0.06741,48499200
1990-06-05,0.08854,0.09375,0.08854,0.09288,0.07002,56131200
1990-06-06,0.09288,0.09288,0.09028,0.09201,0.06937,23241600
1990-06-07,0.09288,0.09288,0.08854,0.08941,0.06741,18144000
1990-06-08,0.09028,0.09028,0.08681,0.08767,0.06610,6566400
1990-06-11,0.08507,0.08767,0.08507,0.08724,0.06577,3686400
1990-06-12,0.08767,0.09722,0.08681,0.09549,0.07199,133401600
1990-06-13,0.09722,0.09722,0.09635,0.09635,0.07264,52099200
1990-06-14,0.09722,0.09809,0.09549,0.09722,0.07330,54374400
1990-06-15,0.09549,0.09722,0.09549,0.09549,0.07199,6537600
1990-06-18,0.09722,0.09722,0.09201,0.09375,0.07068,11923200
1990-06-19,0.09028,0.09288,0.09028,0.09288,0.07002,20851200
1990-06-20,0.09288,0.09462,0.09201,0.09375,0.07068,30124800
1990-06-21,0.09288,0.09462,0.09201,0.09462,0.07133,9936000
1990-06-22,0.09462,0.09462,0.09288,0.09462,0.07133,806400
1990-06-25,0.09462,0.09462,0.09288,0.09332,0.07035,3600000
1990-06-26,0.09288,0.09375,0.09028,0.09201,0.06937,4665600
1990-06-27,0.09288,0.09288,0.09028,0.09201,0.06937,3801600
1990-06-28,0.09028,0.09201,0.08681,0.09115,0.06872,153648000
1990-06-29,0.09115,0.09201,0.09028,0.09201,0.06937,48268800
1990-07-02,0.09201,0.09375,0.09028,0.09288,0.07002,38131200
1990-07-03,0.09201,0.09375,0.09201,0.09288,0.07002,2851200
1990-07-05,0.09201,0.09201,0.09028,0.09158,0.06904,6508800
1990-07-06,0.09028,0.09158,0.09028,0.09158,0.06904,2476800
1990-07-09,0.09158,0.09201,0.09028,0.09115,0.06872,14630400
1990-07-10,0.09288,0.09375,0.09115,0.09375,0.07068,41529600
