Date,Open,High,Low,Close,Adj Close,Volume
1983-08-19,0.00000,0.97222,0.95139,0.95139,0.55772,1996200
1983-08-22,0.00000,0.97222,0.95833,0.95833,0.56180,1621800
1983-08-23,0.00000,0.96528,0.95833,0.95833,0.56180,1972800
1983-08-24,0.00000,0.98611,0.96528,0.96528,0.56587,819000
1983-08-25,0.00000,1.00000,0.97917,0.97917,0.57401,347400
1983-08-26,0.00000,1.02083,0.99306,0.99306,0.58215,549000
1983-08-29,0.00000,1.04167,1.01389,1.01389,0.59436,552600
1983-08-30,0.00000,1.08333,1.06250,1.06250,0.62286,777600
1983-08-31,0.00000,1.08333,1.06250,1.06250,0.62286,1432800
1983-09-01,0.00000,1.06944,1.05556,1.05556,0.61879,271800
1983-09-02,0.00000,1.07639,1.05556,1.05556,0.61879,120600
1983-09-06,0.00000,1.07639,1.05556,1.05556,0.61879,165600
1983-09-07,0.00000,1.06250,1.04861,1.04861,0.61472,1135800
1983-09-08,0.00000,1.06250,1.04861,1.04861,0.61472,124200
1983-09-09,0.00000,1.06250,1.05556,1.05556,0.61879,82800
1983-09-12,0.00000,1.06944,1.05556,1.05556,0.61879,703800
1983-09-13,0.00000,1.06250,1.05556,1.05556,0.61879,79200
1983-09-14,0.00000,1.06250,1.05556,1.05556,0.61879,77400
1983-09-15,0.00000,1.05556,1.04167,1.04167,0.61065,212400
1983-09-16,0.00000,1.05556,1.04167,1.04167,0.61065,82800
1983-09-19,0.00000,1.05556,1.04167,1.04167,0.61065,39600
1983-09-20,0.00000,1.06250,1.04167,1.04167,0.61065,59400
1983-09-21,0.00000,1.06944,1.05556,1.05556,0.61879,25200
1983-09-22,0.00000,1.06944,1.05556,1.05556,0.61879,90000
1983-09-23,0.00000,1.06944,1.05556,1.05556,0.61879,37800
1983-09-26,0.00000,1.06944,1.05556,1.05556,0.61879,304200
1983-09-27,0.00000,1.06944,1.05556,1.05556,0.61879,46800
1983-09-28,0.00000,1.06250,1.05556,1.05556,0.61879,27000
1983-09-29,0.00000,1.10417,1.08333,1.08333,0.63507,275400
1983-09-30,0.00000,1.10417,1.09722,1.09722,0.64322,325800
1983-10-03,0.00000,1.12500,1.11111,1.11111,0.65136,275400
1983-10-04,0.00000,1.12500,1.11111,1.11111,0.65136,43200
1983-10-05,0.00000,1.13889,1.11806,1.11806,0.65543,351000
1983-10-06,0.00000,1.12500,1.11806,1.11806,0.65543,259200
1983-10-07,0.00000,1.12500,1.11806,1.11806,0.65543,999000
1983-10-10,0.00000,1.12500,1.11806,1.11806,0.65543,34200
1983-10-11,0.00000,1.12500,1.11806,1.11806,0.65543,100800
1983-10-12,0.00000,1.11806,1.11111,1.11111,0.65136,14400
1983-10-13,0.00000,1.11806,1.11111,1.11111,0.65136,84600
1983-10-14,0.00000,1.11806,1.10417,1.10417,0.64729,75600
1983-10-17,0.00000,1.14583,1.13194,1.13194,0.66357,244800
1983-10-18,0.00000,1.22917,1.21528,1.21528,0.71242,491400
1983-10-19,0.00000,1.27083,1.26389,1.26389,0.74092,1146600
1983-10-20,0.00000,1.27778,1.26389,1.26389,0.74092,950400
1983-10-21,0.00000,1.27083,1.25000,1.25000,0.73278,684000
1983-10-24,0.00000,1.25000,1.22222,1.22222,0.71649,91800
1983-10-25,0.00000,1.25000,1.23611,1.23611,0.72464,316800
1983-10-26,0.00000,1.22222,1.20833,1.20833,0.70835,270000
1983-10-27,0.00000,1.15278,1.13889,1.13889,0.66764,207000
1983-10-28,0.00000,1.14583,1.13194,1.13194,0.66357,203400
1983-10-31,0.00000,1.14583,1.13194,1.13194,0.66357,50400
1983-11-01,0.00000,1.14583,1.13194,1.13194,0.66357,880200
1983-11-02,0.00000,1.13889,1.12500,1.12500,0.65950,88200
1983-11-03,0.00000,1.13889,1.12500,1.12500,0.65950,46800
1983-11-04,0.00000,1.13889,1.12500,1.12500,0.65950,18000
1983-11-07,0.00000,1.13889,1.12500,1.12500,0.65950,109800
1983-11-08,0.00000,1.15278,1.12500,1.12500,0.65950,138600
1983-11-09,0.00000,1.15278,1.13194,1.13194,0.66357,19800
1983-11-10,0.00000,1.18056,1.16667,1.16667,0.68393,144000
1983-11-11,0.00000,1.18056,1.16667,1.16667,0.68393,75600
1983-11-14,0.00000,1.18056,1.16667,1.16667,0.68393,358200
1983-11-15,0.00000,1.18056,1.16667,1.16667,0.68393,271800
1983-11-16,0.00000,1.20833,1.18750,1.18750,0.69614,219600
1983-11-17,0.00000,1.20833,1.20139,1.20139,0.70428,658800
1983-11-18,0.00000,1.22222,1.20139,1.20139,0.70428,198000
1983-11-21,0.00000,1.22222,1.21528,1.21528,0.71242,41400
1983-11-22,0.00000,1.22222,1.21528,1.21528,0.71242,81000
1983-11-23,0.00000,1.22917,1.21528,1.21528,0.71242,108000
1983-11-25,0.00000,1.23611,1.22222,1.22222,0.71649,19800
1983-11-28,0.00000,1.23611,1.22222,1.22222,0.71649,90000
1983-11-29,0.00000,1.29861,1.28472,1.28472,0.75313,869400
1983-11-30,0.00000,1.31250,1.29167,1.29167,0.75720,367200
1983-12-01,0.00000,1.31250,1.29861,1.29861,0.76127,1800
1983-12-02,0.00000,1.31250,1.29167,1.29167,0.75720,9000
1983-12-05,0.00000,1.30556,1.28472,1.28472,0.75313,120600
1983-12-06,0.00000,1.29861,1.27778,1.27778,0.74906,30600
1983-12-07,0.00000,1.29861,1.27778,1.27778,0.74906,108000
1983-12-08,0.00000,1.27083,1.25000,1.25000,0.73278,95400
1983-12-09,0.00000,1.27083,1.25000,1.25000,0.73278,37800
1983-12-12,0.00000,1.27083,1.25694,1.25694,0.73685,63000
1983-12-13,0.00000,1.27083,1.25000,1.25000,0.73278,86400
1983-12-14,0.00000,1.26389,1.24306,1.24306,0.72871,55800
1983-12-15,0.00000,1.26389,1.24306,1.24306,0.72871,48600
1983-12-16,0.00000,1.26389,1.24306,1.24306,0.72871,72000
1983-12-19,0.00000,1.25694,1.23611,1.23611,0.72464,61200
1983-12-20,0.00000,1.25694,1.23611,1.23611,0.72464,185400
1983-12-21,0.00000,1.25000,1.23611,1.23611,0.72464,39600
1983-12-22,0.00000,1.25000,1.23611,1.23611,0.72464,19800
1983-12-23,0.00000,1.25000,1.23611,1.23611,0.72464,3600
1983-12-27,0.00000,1.25000,1.22917,1.22917,0.72056,5400
1983-12-28,0.00000,1.22917,1.20833,1.20833,0.70835,81000
1983-12-29,0.00000,1.20833,1.18750,1.18750,0.69614,41400
1983-12-30,0.00000,1.20833,1.18750,1.18750,0.69614,106200
1984-01-03,0.00000,1.20833,1.18750,1.18750,0.69614,279000
1984-01-04,0.00000,1.20833,1.18750,1.18750,0.69614,30600
1984-01-05,0.00000,1.20833,1.19444,1.19444,0.70021,113400
1984-01-06,0.00000,1.22222,1.19444,1.19444,0.70021,43200
1984-01-09,0.00000,1.22222,1.19444,1.19444,0.70021,158400
1984-01-10,0.00000,1.23611,1.20833,1.20833,0.70835,630000
1984-01-11,0.00000,1.26389,1.25000,1.25000,0.73278,1008000
