Date,Open,High,Low,Close,Adj Close,Volume
1998-06-19,0.20833,0.21875,0.19792,0.20833,0.19903,61454400
1998-06-22,0.20703,0.21094,0.20573,0.20833,0.19903,6979200
1998-06-23,0.20768,0.21094,0.20052,0.20833,0.19903,9638400
1998-06-24,0.20833,0.21354,0.20573,0.21354,0.20401,1732800
1998-06-25,0.21875,0.24479,0.21745,0.23438,0.22391,18417600
1998-06-26,0.23698,0.26562,0.23307,0.25260,0.24133,10267200
1998-06-29,0.25260,0.26823,0.25260,0.25912,0.24755,4588800
1998-06-30,0.26432,0.26432,0.24740,0.25130,0.24008,4747200
1998-07-01,0.25000,0.25260,0.24740,0.24740,0.23635,16401599
1998-07-02,0.25000,0.25260,0.24740,0.25000,0.23884,3355200
1998-07-06,0.25260,0.25260,0.24740,0.25260,0.24133,2208000
1998-07-07,0.25260,0.25260,0.24740,0.25130,0.24008,3652800
1998-07-08,0.25260,0.25260,0.24740,0.25260,0.24133,1286400
1998-07-09,0.25130,0.32552,0.25000,0.29427,0.28113,14769600
1998-07-10,0.29427,0.30208,0.29427,0.29948,0.28611,1291200
1998-07-13,0.30599,0.30729,0.28776,0.28776,0.27492,5025600
1998-07-14,0.29167,0.31771,0.28646,0.31510,0.30104,5457600
1998-07-15,0.32292,0.36979,0.32031,0.33333,0.31845,8016000
1998-07-16,0.33203,0.33854,0.31250,0.32552,0.31099,4713600
1998-07-17,0.32812,0.33594,0.32292,0.33594,0.32094,974400
1998-07-20,0.33594,0.36588,0.33333,0.35156,0.33587,5347200
1998-07-21,0.36979,0.38542,0.36458,0.37240,0.35577,10684800
1998-07-22,0.38021,0.38281,0.32292,0.36198,0.34582,4641600
1998-07-23,0.36198,0.37240,0.32812,0.35156,0.33587,2116800
1998-07-24,0.35156,0.35156,0.32292,0.33594,0.32094,1881600
1998-07-27,0.33333,0.33854,0.32031,0.33594,0.32094,46747200
1998-07-28,0.33594,0.33594,0.30990,0.32031,0.30601,3052800
1998-07-29,0.32812,0.33333,0.31250,0.33333,0.31845,2534400
1998-07-30,0.33073,0.34115,0.32031,0.34115,0.32592,3014400
1998-07-31,0.34375,0.34375,0.32552,0.33333,0.31845,921600
1998-08-03,0.32812,0.33594,0.32552,0.33073,0.31596,4032000
1998-08-04,0.33203,0.33984,0.32552,0.33203,0.31721,3633600
1998-08-05,0.33333,0.36979,0.33073,0.34505,0.32965,8592000
1998-08-06,0.33724,0.34115,0.33333,0.33464,0.31970,211200
1998-08-07,0.35026,0.36458,0.34766,0.35417,0.33836,3302400
1998-08-10,0.37760,0.37760,0.35156,0.35547,0.33960,2184000
1998-08-11,0.36198,0.36198,0.32292,0.35156,0.33587,2265600
1998-08-12,0.35938,0.36979,0.35417,0.35677,0.34084,1320000
1998-08-13,0.36458,0.37240,0.35938,0.36458,0.34831,1699200
1998-08-14,0.36719,0.37500,0.36458,0.37240,0.35577,2092800
1998-08-17,0.37109,0.37109,0.35938,0.36198,0.34582,2284800
1998-08-18,0.36979,0.40755,0.36979,0.39583,0.37816,9902400
1998-08-19,0.40365,0.40885,0.39062,0.39062,0.37319,6028800
1998-08-20,0.39583,0.40365,0.38281,0.38281,0.36572,1041599
1998-08-21,0.36979,0.37500,0.34375,0.37500,0.35826,3796800
1998-08-24,0.39323,0.39323,0.35547,0.37240,0.35577,2697600
1998-08-25,0.38542,0.40104,0.38151,0.39323,0.37568,4881600
1998-08-26,0.37630,0.38412,0.36458,0.36588,0.34955,6859200
1998-08-27,0.34635,0.36458,0.32031,0.32812,0.31348,7881600
1998-08-28,0.32812,0.33854,0.30990,0.32292,0.30850,4603200
1998-08-31,0.32812,0.32812,0.25000,0.25000,0.23884,6499200
1998-09-01,0.25781,0.33073,0.24088,0.31250,0.29855,5654400
1998-09-02,0.31510,0.34635,0.30208,0.30990,0.29606,4756800
1998-09-03,0.27083,0.30208,0.27083,0.29688,0.28362,2174400
1998-09-04,0.29688,0.31771,0.28646,0.30208,0.28860,1459200
1998-09-08,0.31771,0.34635,0.30469,0.33854,0.32343,2947200
1998-09-09,0.33073,0.33724,0.30729,0.32682,0.31223,1368000
1998-09-10,0.31250,0.32422,0.30729,0.32422,0.30974,6283200
1998-09-11,0.32552,0.32552,0.31250,0.32422,0.30974,403200
1998-09-14,0.33073,0.34115,0.32422,0.32812,0.31348,662400
1998-09-15,0.33333,0.33333,0.31771,0.31771,0.30353,796800
1998-09-16,0.31901,0.31901,0.30729,0.31250,0.29855,1262400
1998-09-17,0.29948,0.30990,0.29948,0.30599,0.29233,2899200
1998-09-18,0.30469,0.30990,0.30469,0.30990,0.29606,129600
1998-09-21,0.29948,0.32292,0.29948,0.32292,0.30850,1377600
1998-09-22,0.31771,0.32292,0.31510,0.31510,0.30104,2164800
1998-09-23,0.32031,0.34115,0.31510,0.33333,0.31845,3364800
1998-09-24,0.32292,0.33854,0.31771,0.32031,0.30601,1651200
1998-09-25,0.32292,0.33854,0.32292,0.32812,0.31348,1790400
1998-09-28,0.33333,0.33854,0.32812,0.32812,0.31348,1536000
1998-09-29,0.33073,0.34115,0.32292,0.33464,0.31970,1684800
1998-09-30,0.32292,0.32812,0.32292,0.32292,0.30850,1540800
1998-10-01,0.31771,0.32552,0.31250,0.32031,0.30601,1296000
1998-10-02,0.32031,0.33594,0.32031,0.33594,0.32094,1065600
1998-10-05,0.33073,0.33333,0.32031,0.32292,0.30850,4780800
1998-10-06,0.32031,0.32031,0.26823,0.27083,0.25874,3484800
1998-10-07,0.25260,0.26042,0.25000,0.25521,0.24382,1200000
1998-10-08,0.24479,0.25000,0.14583,0.19271,0.18411,8822400
1998-10-09,0.21875,0.23698,0.21875,0.22917,0.21894,2395200
1998-10-12,0.24479,0.25000,0.22656,0.22656,0.21645,1507200
1998-10-13,0.26042,0.30208,0.25000,0.26172,0.25004,13166400
1998-10-14,0.26042,0.26042,0.23958,0.25781,0.24630,2841600
1998-10-15,0.26562,0.27604,0.26562,0.27083,0.25874,1128000
1998-10-16,0.27474,0.27865,0.26823,0.27865,0.26621,816000
1998-10-19,0.27865,0.30990,0.27865,0.30469,0.29109,2203200
1998-10-20,0.30990,0.33333,0.30990,0.32292,0.30850,3336000
1998-10-21,0.34896,0.35286,0.33333,0.34505,0.32965,23275200
1998-10-22,0.36588,0.36979,0.34505,0.36458,0.34831,6619200
1998-10-23,0.36979,0.40104,0.36849,0.38021,0.36324,7248000
1998-10-26,0.39583,0.44531,0.39323,0.42969,0.41051,12955200
1998-10-27,0.50000,0.50260,0.44271,0.47396,0.45280,19128000
1998-10-28,0.49219,0.49740,0.44792,0.46094,0.44036,11107200
1998-10-29,0.45312,0.46354,0.41406,0.43750,0.41797,10032000
1998-10-30,0.42708,0.46875,0.42708,0.46484,0.44409,6288000
1998-11-02,0.48698,0.48828,0.47396,0.47917,0.45778,7689600
1998-11-03,0.47526,0.48177,0.46484,0.47396,0.45280,3259200
1998-11-04,0.48438,0.48438,0.45703,0.47005,0.44907,3868800
1998-11-05,0.45833,0.46875,0.37500,0.42188,0.40304,9230400
1998-11-06,0.41667,0.41667,0.37760,0.39583,0.37816,10396800
1998-11-09,0.40365,0.41146,0.38542,0.41146,0.39309,4819200
1998-11-10,0.41536,0.41927,0.40625,0.41927,0.40055,1132800
1998-11-11,0.41927,0.41927,0.39583,0.39844,0.38065,3480000
1998-11-12,0.40234,0.40365,0.39583,0.39844,0.38065,1761600
1998-11-13,0.40365,0.41667,0.39583,0.40625,0.38812,5836800
1998-11-16,0.41146,0.41406,0.39844,0.40365,0.38563,1435200
1998-11-17,0.41146,0.41406,0.36979,0.40104,0.38314,2880000
1998-11-18,0.40625,0.40885,0.38802,0.40495,0.38687,1348800
1998-11-19,0.41146,0.41667,0.40104,0.41146,0.39309,1416000
1998-11-20,0.41406,0.50000,0.40885,0.45573,0.43538,7670400
1998-11-23,0.47917,0.48958,0.46875,0.47656,0.45529,6268800
1998-11-24,0.48177,0.48177,0.45833,0.46615,0.44534,2851200
1998-11-25,0.47656,0.47917,0.46354,0.46354,0.44285,388800
1998-11-27,0.47396,0.47396,0.45312,0.45312,0.43290,806400
1998-11-30,0.46875,0.47135,0.44792,0.45052,0.43041,1958400
1998-12-01,0.45052,0.51693,0.44531,0.51042,0.48763,7670400
1998-12-02,0.51823,0.54167,0.50000,0.50521,0.48266,7838400
1998-12-03,0.50391,0.51432,0.45833,0.46094,0.44036,3561600
1998-12-04,0.47396,0.47396,0.45312,0.46224,0.44160,1752000
1998-12-07,0.47917,0.52344,0.47656,0.50260,0.48017,15384000
1998-12-08,0.50260,0.51042,0.47135,0.48958,0.46773,3796800
1998-12-09,0.49219,0.49219,0.47135,0.47917,0.45778,1795200
1998-12-10,0.48438,0.50000,0.47917,0.49479,0.47270,6076800
1998-12-11,0.50651,0.50651,0.45312,0.46875,0.44782,6475200
1998-12-14,0.46615,0.47266,0.43229,0.43490,0.41548,2452800
1998-12-15,0.45573,0.46354,0.44271,0.45833,0.43787,7406400
1998-12-16,0.45833,0.47917,0.45833,0.47135,0.45031,1233600
