Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,1.62500,1.62500,1.62500,1.62500,0.61162,420800
1973-02-22,1.65625,1.65625,1.65625,1.65625,0.62338,92800
1973-02-23,1.70312,1.70312,1.70312,1.70312,0.64102,400000
1973-02-26,1.67188,1.67188,1.67188,1.67188,0.62926,187200
1973-02-27,1.54688,1.54688,1.54688,1.54688,0.58221,657600
1973-02-28,1.65625,1.65625,1.65625,1.65625,0.62338,235200
1973-03-01,1.67969,1.67969,1.67969,1.67969,0.63220,235200
1973-03-02,1.69531,1.69531,1.69531,1.69531,0.63808,128000
1973-03-05,1.65625,1.65625,1.65625,1.65625,0.62338,244800
1973-03-06,1.66406,1.66406,1.66406,1.66406,0.62632,235200
1973-03-07,1.69531,1.69531,1.69531,1.69531,0.63808,478400
1973-03-08,1.75000,1.75000,1.75000,1.75000,0.65867,299200
1973-03-09,1.71875,1.71875,1.71875,1.71875,0.64690,726400
1973-03-12,1.77344,1.77344,1.77344,1.77344,0.66749,166400
1973-03-13,1.76562,1.76562,1.76562,1.76562,0.66455,115200
1973-03-14,1.75000,1.75000,1.75000,1.75000,0.65867,36800
1973-03-15,1.76562,1.76562,1.76562,1.76562,0.66455,80000
1973-03-16,1.78906,1.78906,1.78906,1.78906,0.67337,86400
1973-03-19,1.76562,1.76562,1.76562,1.76562,0.66455,67200
1973-03-20,1.79688,1.79688,1.79688,1.79688,0.67631,72000
1973-03-21,1.75781,1.75781,1.75781,1.75781,0.66161,62400
1973-03-22,1.68750,1.68750,1.68750,1.68750,0.63514,516799
1973-03-23,1.68750,1.68750,1.68750,1.68750,0.63514,89600
1973-03-26,1.67969,1.67969,1.67969,1.67969,0.63220,75200
1973-03-27,1.71094,1.71094,1.71094,1.71094,0.64396,168000
1973-03-28,1.73438,1.73438,1.73438,1.73438,0.65278,148800
1973-03-29,1.75000,1.75000,1.75000,1.75000,0.65867,217600
1973-03-30,1.76562,1.76562,1.76562,1.76562,0.66455,222400
1973-04-02,1.74219,1.74219,1.74219,1.74219,0.65573,193600
1973-04-03,1.68750,1.68750,1.68750,1.68750,0.63514,307200
1973-04-04,1.69531,1.69531,1.69531,1.69531,0.63808,112000
1973-04-05,1.63281,1.63281,1.63281,1.63281,0.61456,507200
