Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,3.29167,3.16667,3.16667,0.40905,375600
1980-03-18,0.00000,3.29167,3.16667,3.25000,0.41981,429000
1980-03-19,0.00000,3.29167,3.25000,3.25000,0.41981,223200
1980-03-20,0.00000,3.33333,3.25000,3.29167,0.42519,207200
1980-03-21,0.00000,3.33333,3.25000,3.29167,0.42519,305600
1980-03-24,0.00000,3.29167,3.20833,3.20833,0.41443,385400
1980-03-25,0.00000,3.25000,3.16667,3.20833,0.41443,206600
1980-03-26,0.00000,3.29167,3.20833,3.25000,0.41981,131600
1980-03-27,0.00000,3.20833,3.08333,3.12500,0.40366,380400
1980-03-28,0.00000,3.20833,3.12500,3.16667,0.40905,234000
1980-03-31,0.00000,3.25000,3.16667,3.25000,0.41981,172200
1980-04-01,0.00000,3.41667,3.25000,3.41667,0.44134,1267800
1980-04-02,0.00000,3.50000,3.41667,3.41667,0.44134,236400
1980-04-03,0.00000,3.50000,3.41667,3.50000,0.45210,199400
1980-04-07,0.00000,3.50000,3.37500,3.41667,0.44134,250200
1980-04-08,0.00000,3.37500,3.29167,3.37500,0.43596,513600
1980-04-09,0.00000,3.50000,3.33333,3.50000,0.45210,222800
1980-04-10,0.00000,3.62500,3.50000,3.62500,0.46825,970200
1980-04-11,0.00000,3.66667,3.62500,3.66667,0.47363,209000
1980-04-14,0.00000,3.66667,3.58333,3.62500,0.46825,156600
1980-04-15,0.00000,3.62500,3.54167,3.54167,0.45748,151400
1980-04-16,0.00000,3.66667,3.58333,3.62500,0.46825,350000
1980-04-17,0.00000,3.70833,3.62500,3.66667,0.47363,300200
1980-04-18,0.00000,3.79167,3.66667,3.66667,0.47363,306800
1980-04-21,0.00000,3.75000,3.66667,3.70833,0.47901,212000
1980-04-22,0.00000,3.70833,3.66667,3.66667,0.47363,275400
1980-04-23,0.00000,3.75000,3.66667,3.70833,0.47901,490800
1980-04-24,0.00000,3.79167,3.66667,3.75000,0.48440,412400
1980-04-25,0.00000,3.75000,3.70833,3.75000,0.48440,951200
1980-04-28,0.00000,3.79167,3.70833,3.70833,0.47901,237600
1980-04-29,0.00000,3.79167,3.70833,3.75000,0.48440,187800
1980-04-30,0.00000,3.75000,3.70833,3.75000,0.48440,185400
1980-05-01,0.00000,3.79167,3.70833,3.79167,0.48978,141200
1980-05-02,0.00000,3.83333,3.75000,3.83333,0.49516,503000
1980-05-05,0.00000,3.87500,3.79167,3.87500,0.50054,233400
1980-05-06,0.00000,3.87500,3.83333,3.83333,0.49516,310200
1980-05-07,0.00000,3.95833,3.87500,3.95833,0.51131,513600
1980-05-08,0.00000,3.95833,3.87500,3.87500,0.50054,322800
1980-05-09,0.00000,3.91667,3.83333,3.83333,0.49516,166200
1980-05-12,0.00000,3.87500,3.79167,3.83333,0.49516,176400
1980-05-13,0.00000,3.91667,3.79167,3.87500,0.50054,157200
1980-05-14,0.00000,4.00000,3.87500,4.00000,0.51669,300800
1980-05-15,0.00000,4.00000,3.95833,4.00000,0.51669,183800
1980-05-16,0.00000,3.95833,3.87500,3.95833,0.51131,191600
1980-05-19,0.00000,3.95833,3.87500,3.91667,0.50592,155600
1980-05-20,0.00000,3.91667,3.83333,3.83333,0.49516,310800
1980-05-21,0.00000,3.91667,3.83333,3.91667,0.50592,365000
