Date,Open,High,Low,Close,Adj Close,Volume
2007-05-03,21.75000,21.95000,20.55000,20.72000,18.40447,8052800
2007-05-04,21.25000,21.35000,20.70000,20.98000,18.63541,5437300
2007-05-07,21.20000,21.29000,20.20000,20.36000,18.08470,2646300
2007-05-08,20.00000,20.00000,19.30000,19.63000,17.43628,4166100
2007-05-09,19.75000,20.20000,19.63000,19.79000,17.57840,7541100
2007-05-10,19.79000,19.99000,19.55000,19.70000,17.49846,3170600
2007-05-11,19.71000,19.80000,19.11000,19.30000,17.14316,3539400
2007-05-14,19.15000,19.39000,18.75000,18.89000,16.77898,1924800
2007-05-15,18.65000,18.85000,18.15000,18.20000,16.16610,3438700
2007-05-16,18.06000,18.48000,18.02000,18.34000,16.29045,2607600
2007-05-17,18.80000,19.75000,18.67000,19.02000,16.89446,8979000
2007-05-18,19.47000,19.49000,18.54000,19.31000,17.15204,6562200
2007-05-21,19.20000,19.34000,19.00000,19.00000,16.87669,2077699
2007-05-22,19.10000,19.53000,19.00000,19.48000,17.30304,4014700
2007-05-23,19.50000,19.70000,19.10000,19.21000,17.06322,2387100
2007-05-24,19.21000,19.33000,18.85000,19.02000,16.89446,2362000
2007-05-25,19.02000,19.05000,18.69000,18.76000,16.66351,895000
2007-05-29,18.91000,19.20000,18.85000,19.09000,16.95663,2918800
2007-05-30,19.05000,19.15000,18.81000,18.98000,16.85892,2829300
2007-05-31,19.15000,19.28000,19.03000,19.05000,16.92110,3435200
2007-06-01,19.10000,19.80000,19.05000,19.55000,17.36522,2299400
2007-06-04,18.70000,19.05000,18.69000,18.84000,16.73457,5692700
2007-06-05,18.85000,19.04000,18.73000,18.95000,16.83228,4510000
2007-06-06,18.70000,18.93000,18.65000,18.93000,16.81451,2595300
2007-06-07,18.77000,18.85000,18.15000,18.48000,16.41480,3062100
2007-06-08,18.20000,18.83000,18.20000,18.83000,16.72569,2124100
2007-06-11,18.55000,18.82000,18.22000,18.38000,16.32598,1870000
2007-06-12,18.15000,18.71000,18.02000,18.40000,16.34375,8636200
2007-06-13,18.48000,18.70000,18.36000,18.64000,16.55692,3110200
2007-06-14,18.50000,19.01000,18.43000,18.90000,16.78786,8069700
2007-06-15,18.89000,19.14000,18.45000,18.88000,16.77010,3418900
2007-06-18,18.65000,18.90000,18.50000,18.54000,16.46810,1339900
2007-06-19,18.59000,19.08000,18.55000,18.87000,16.76122,3113000
2007-06-20,19.00000,19.49000,18.82000,19.36000,17.19646,4031500
2007-06-21,19.20000,19.60000,19.02000,19.51000,17.32970,3985700
2007-06-22,19.50000,19.85000,19.37000,19.75000,17.54288,11822000
2007-06-25,19.69000,19.74000,19.11000,19.43000,17.25864,1974400
2007-06-26,19.50000,19.66000,19.27000,19.49000,17.31193,2237000
2007-06-27,19.40000,19.59000,19.13000,19.42000,17.24975,2216000
2007-06-28,19.75000,19.89000,19.62000,19.67000,17.47182,2547200
2007-06-29,19.55000,19.83000,19.51000,19.70000,17.49846,2022200
2007-07-02,19.57000,19.76000,19.53000,19.58000,17.39187,1831600
2007-07-03,19.71000,20.26000,19.71000,20.25000,17.98699,2960900
2007-07-05,20.01000,20.73000,19.92000,20.52000,18.22683,2640100
2007-07-06,20.55000,20.90000,20.38000,20.83000,18.50218,1966900
2007-07-09,20.94000,21.39000,20.86000,21.33000,18.94631,2872800
2007-07-10,21.18000,21.25000,20.53000,20.65000,18.34230,2367100
2007-07-11,20.18000,20.59000,20.00000,20.12000,17.87153,2387700
2007-07-12,20.43000,20.63000,20.11000,20.43000,18.14688,3455400
2007-07-13,20.35000,20.54000,20.08000,20.50000,18.20906,1751700
2007-07-16,20.45000,21.00000,20.31000,20.94000,18.59989,2891700
2007-07-17,21.00000,21.25000,20.78000,21.19000,18.82196,4383100
2007-07-18,21.79000,21.80000,21.15000,21.37000,18.98184,9011300
2007-07-19,21.48000,21.80000,21.40000,21.51000,19.10619,8636500
2007-07-20,21.41000,21.58000,21.00000,21.40000,19.00848,4248400
2007-07-23,21.40000,21.50000,21.01000,21.11000,18.75089,4399000
2007-07-24,21.15000,21.60000,20.73000,21.33000,18.94631,6101200
2007-07-25,21.30000,21.31000,20.45000,20.78000,18.45777,2779100
2007-07-26,20.56000,20.56000,18.87000,19.36000,17.19646,9754300
2007-07-27,19.71000,19.72000,18.37000,18.59000,16.51250,4562800
2007-07-30,18.50000,18.59000,17.32000,18.05000,16.03286,8926900
2007-07-31,18.28000,18.54000,17.72000,17.82000,15.82856,3582900
2007-08-01,18.00000,18.65000,17.18000,18.35000,16.29932,7082200
2007-08-02,18.67000,19.50000,18.26000,18.88000,16.77010,7427800
2007-08-03,18.88000,19.17000,18.19000,18.70000,16.61022,3412800
2007-08-06,18.94000,19.00000,17.71000,18.02000,16.00621,5659800
2007-08-07,17.85000,18.77000,17.85000,18.45000,16.38815,2725000
2007-08-08,18.38000,18.85000,18.05000,18.49000,16.42368,2724100
2007-08-09,18.04000,18.13000,17.65000,17.87000,15.87297,3314300
2007-08-10,17.50000,17.61000,16.95000,17.56000,15.59761,3903000
2007-08-13,17.65000,18.05000,17.18000,17.29000,15.35779,2050800
2007-08-14,17.29000,17.58000,15.96000,16.97000,15.07355,5720100
2007-08-15,16.85000,16.95000,15.02000,15.75000,13.98989,3556000
2007-08-16,15.25000,16.20000,14.94000,15.92000,14.14089,6312100
2007-08-17,16.55000,16.60000,15.02000,16.00000,14.21195,4152000
2007-08-20,16.10000,16.65000,15.86000,16.08000,14.28301,1933600
2007-08-21,16.01000,17.83000,15.95000,17.71000,15.73085,5527200
2007-08-22,18.15000,18.65000,17.64000,18.10000,16.07727,4715900
2007-08-23,18.00000,18.15000,17.55000,18.00000,15.98845,2271300
2007-08-24,17.79000,18.28000,17.62000,18.24000,16.20162,983600
2007-08-27,17.61000,18.23000,17.50000,17.70000,15.72196,1321100
2007-08-28,17.55000,17.68000,17.23000,17.35000,15.41108,1240500
2007-08-29,17.46000,17.64000,17.31000,17.36000,15.41997,1092700
2007-08-30,17.05000,17.30000,16.82000,16.98000,15.08243,1210500
2007-08-31,17.05000,17.27000,16.82000,16.88000,14.99361,1239900
2007-09-04,17.04000,17.68000,16.97000,17.53000,15.57096,1992800
2007-09-05,17.50000,17.98000,17.50000,17.62000,15.65091,1847900
2007-09-06,17.75000,18.30000,17.26000,18.07000,16.05062,2205500
2007-09-07,17.58000,17.74000,17.39000,17.62000,15.65091,1533800
2007-09-10,17.73000,17.99000,17.26000,17.44000,15.49103,2483400
