Date,Open,High,Low,Close,Adj Close,Volume
1964-02-26,259.50007,259.75010,259.25004,259.62498,1.60652,62500
1964-02-27,259.62498,259.87500,259.50007,259.87500,1.60807,89100
1964-02-28,259.87500,259.99992,259.75010,259.75010,1.60729,36000
1964-03-02,260.37504,261.00001,260.37504,261.00001,1.61503,56900
1964-03-03,262.00008,264.49993,262.00008,263.37492,1.62972,111800
1964-03-04,263.37492,263.50002,262.00008,262.00008,1.62122,51200
1964-03-05,262.00008,262.12500,260.24995,260.24995,1.61039,83400
1964-03-06,260.24995,261.00001,259.25004,259.25004,1.60420,37900
1964-03-09,259.25004,260.37504,259.00004,259.50007,1.60575,62500
1964-03-10,259.87500,260.49998,259.87500,260.49998,1.61193,55000
1964-03-11,260.49998,262.24993,260.24995,262.24993,1.62276,81500
1964-03-12,261.87498,261.87498,260.24995,260.24995,1.61039,66300
1964-03-13,260.24995,260.74999,259.00004,260.74999,1.61348,56900
1964-03-16,260.74999,262.00008,259.50007,259.99992,1.60884,75800
1964-03-17,259.99992,261.25004,259.25004,260.49998,1.61193,45500
1964-03-18,260.49998,261.00001,259.75010,259.75010,1.60729,47400
1964-03-19,259.75010,260.74999,259.25004,259.37497,1.60497,77700
1964-03-20,259.37497,259.50007,258.12503,258.49998,1.59956,39800
1964-03-23,258.49998,258.75001,257.99995,258.49998,1.59956,37900
1964-03-24,258.62509,259.00004,258.62509,258.87493,1.60188,30300
1964-03-25,258.87493,259.87500,258.75001,259.25004,1.60420,43600
1964-03-26,259.50007,260.62506,259.50007,259.62498,1.60652,58800
1964-03-30,259.75010,260.74999,259.75010,259.87500,1.60807,47400
1964-03-31,259.87500,260.74999,259.75010,259.99992,1.60884,43600
1964-04-01,259.99992,260.49998,259.50007,259.50007,1.60575,51200
1964-04-02,259.75010,260.37504,259.75010,260.12503,1.60961,43600
1964-04-03,262.00008,262.99999,262.00008,262.74998,1.62586,62500
1964-04-06,262.74998,263.25002,262.49995,262.49995,1.62431,64400
1964-04-07,262.49995,262.74998,261.75006,262.00008,1.62122,51200
1964-04-08,262.00008,262.49995,261.87498,262.00008,1.62122,62500
1964-04-09,262.00008,262.00008,260.62506,260.62506,1.61271,41700
1964-04-10,260.74999,262.00008,260.74999,261.50005,1.61812,87200
1964-04-13,261.50005,261.50005,259.99992,261.00001,1.61503,73900
1964-04-14,261.00001,261.75006,259.99992,260.49998,1.61193,58800
1964-04-15,260.49998,261.37494,260.24995,261.25004,1.61658,41700
1964-04-16,261.25004,262.00008,260.49998,262.00008,1.62122,43600
1964-04-17,262.00008,262.00008,260.24995,262.00008,1.62122,58800
1964-04-20,261.50005,261.50005,260.24995,260.74999,1.61348,70100
1964-04-21,260.74999,261.87498,260.37504,261.87498,1.62044,37900
1964-04-22,261.25004,261.25004,260.37504,260.37504,1.61116,41700
1964-04-23,260.49998,261.00001,260.49998,261.00001,1.61503,37900
1964-04-24,261.00001,261.00001,259.99992,260.49998,1.61193,62500
1964-04-27,260.49998,260.62506,255.00006,259.00004,1.60265,34100
1964-04-28,259.00004,259.87500,257.74992,259.87500,1.60807,62500
1964-04-29,259.87500,259.87500,255.49992,256.24998,1.58564,45500
1964-04-30,256.24998,256.50001,253.74997,255.00006,1.57790,58800
1964-05-01,255.49992,257.87502,255.49992,257.87502,1.59569,55000
1964-05-04,257.99995,262.00008,257.99995,262.00008,1.62122,89100
1964-05-05,262.00008,263.75003,261.00001,262.00008,1.62122,104200
1964-05-06,262.00008,263.25002,260.74999,263.25002,1.62895,43600
1964-05-07,263.75003,266.99994,263.75003,264.49993,1.63669,81500
1964-05-08,264.49993,264.99998,261.25004,262.00008,1.62122,58800
