Date,Open,High,Low,Close,Adj Close,Volume
2007-06-14,28.00000,30.50000,28.00000,28.75000,22.87510,3279100
2007-06-15,29.50000,29.80000,28.88000,29.08000,23.13767,790100
2007-06-18,29.32000,30.20000,29.30000,29.93000,23.81398,1591000
2007-06-19,30.00000,30.30000,29.60000,29.70000,23.63097,1585100
2007-06-20,30.04000,30.10000,29.57000,29.81000,23.71849,855900
2007-06-21,30.06000,31.95000,29.61000,31.21000,24.83242,842700
2007-06-22,31.50000,32.17000,31.00000,31.70000,25.22228,1490700
2007-06-25,31.50000,32.00000,31.01000,31.30000,24.90403,490000
2007-06-26,31.30000,31.65000,30.25000,30.41000,24.19589,853900
2007-06-27,30.60000,30.80000,29.57000,29.58000,23.53549,1127300
2007-06-28,29.88000,29.90000,29.16000,29.50000,23.47184,488900
2007-06-29,29.99000,30.30000,27.93000,28.50000,22.67619,3085200
2007-07-02,28.55000,29.15000,27.20000,27.50000,21.88053,10999000
2007-07-03,27.50000,27.50000,26.15000,26.67000,21.22014,8600100
2007-07-05,26.25000,26.92000,25.74000,25.93000,20.63135,8422000
2007-07-06,25.64000,25.86000,25.21000,25.64000,20.40061,7211800
2007-07-09,25.72000,26.54000,25.44000,25.54000,20.32104,11675200
2007-07-10,25.60000,25.65000,24.80000,24.90000,19.81182,8591800
2007-07-11,25.02000,25.27000,24.75000,25.21000,20.05848,10251400
2007-07-12,25.59000,26.59000,25.21000,26.34000,20.95756,10297300
2007-07-13,26.47000,27.43000,26.02000,27.16000,21.61001,6752500
2007-07-16,27.21000,27.45000,26.66000,26.84000,21.35540,9892000
2007-07-17,26.96000,26.99000,26.31000,26.50000,21.08488,5434600
2007-07-18,26.45000,26.50000,25.70000,26.36000,20.97348,4594800
2007-07-19,26.25000,26.95000,26.25000,26.71000,21.25196,4868900
2007-07-20,26.71000,27.12000,26.25000,26.30000,20.92574,5751300
2007-07-23,26.30000,26.51000,26.10000,26.12000,20.78253,4711800
2007-07-24,25.54000,25.60000,24.93000,25.00000,19.89139,5483800
2007-07-25,24.76000,24.84000,23.75000,24.10000,19.17530,8391500
2007-07-26,23.26000,24.88000,22.75000,24.62000,19.58904,9834900
2007-07-27,24.26000,24.70000,23.33000,23.33000,18.56265,6678000
2007-07-30,23.40000,23.93000,22.37000,23.57000,18.75360,5056000
2007-07-31,23.65000,24.10000,22.83000,23.05000,18.33986,4132300
2007-08-01,22.68000,23.07000,22.05000,22.88000,18.20460,5583900
2007-08-02,22.50000,24.05000,22.48000,23.37000,18.59447,3032900
2007-08-03,22.66000,23.11000,21.53000,21.99000,17.49646,5256100
2007-08-06,22.24000,23.53000,21.25000,22.15000,17.62377,6010700
2007-08-07,22.05000,23.53000,21.72000,22.88000,18.20460,3885200
2007-08-08,23.50000,24.57000,23.00000,24.29000,19.32648,5645200
2007-08-09,23.40000,23.96000,22.06000,22.16000,17.63173,4554600
2007-08-10,21.75000,21.95000,20.35000,20.86000,16.59737,10813200
2007-08-13,21.26000,22.29000,21.26000,22.10000,17.58399,7115200
2007-08-14,22.29000,22.66000,21.71000,21.96000,17.47260,3845000
2007-08-15,21.89000,22.40000,21.16000,21.66000,17.23389,3690300
2007-08-16,20.50000,23.14000,20.47000,22.85000,18.18073,5503500
2007-08-17,23.89000,23.99000,22.91000,23.18000,18.44330,5668600
2007-08-20,23.10000,23.50000,22.48000,23.45000,18.65813,3786500
2007-08-21,23.09000,23.96000,23.07000,23.67000,18.83317,2471000
2007-08-22,23.66000,24.00000,23.25000,23.73000,18.88091,3601000
2007-08-23,23.94000,24.03000,23.18000,23.70000,18.85704,2904000
2007-08-24,23.42000,24.02000,23.38000,23.99000,19.08778,2001000
2007-08-27,24.02000,24.04000,23.70000,23.83000,18.96047,1629600
2007-08-28,23.32000,23.55000,22.56000,22.71000,18.06934,4219100
2007-08-29,22.57000,23.58000,21.59000,23.33000,18.56265,2932600
2007-08-30,22.82000,23.00000,22.50000,22.76000,18.10912,2269400
2007-08-31,23.01000,23.88000,22.54000,23.14000,18.41148,3092600
2007-09-04,23.05000,23.56000,22.63000,23.43000,18.64221,2459400
2007-09-05,22.68000,23.12000,22.36000,22.55000,17.94204,2703300
2007-09-06,22.51000,22.52000,22.05000,22.28000,17.72721,3297000
2007-09-07,21.98000,21.98000,20.86000,21.11000,16.79629,3985000
2007-09-10,21.17000,21.52000,20.25000,20.56000,16.35868,2746400
2007-09-11,20.52000,21.15000,20.47000,20.61000,16.39847,2838100
2007-09-12,20.45000,21.44000,20.25000,21.00000,16.70878,3052400
2007-09-13,21.00000,21.74000,21.00000,21.34000,16.97930,2328500
2007-09-14,21.29000,21.56000,21.01000,21.27000,16.92360,1839600
2007-09-17,21.21000,21.41000,20.50000,21.32000,16.96338,2233500
2007-09-18,21.40000,23.09000,21.16000,23.09000,18.37169,3637000
2007-09-19,23.22000,23.82000,23.02000,23.41000,18.62630,4394100
2007-09-20,23.27000,24.00000,22.61000,22.66000,18.02956,2683300
2007-09-21,22.75000,22.80000,21.98000,22.40000,17.82269,10196300
2007-09-24,22.70000,23.48000,22.24000,22.26000,17.71129,4334300
2007-09-25,22.26000,22.26000,21.17000,21.72000,17.28164,9227000
2007-09-26,21.65000,21.94000,21.21000,21.25000,16.90768,4631500
2007-09-27,21.16000,21.33000,20.59000,20.67000,16.44621,5640600
2007-09-28,20.70000,20.87000,20.33000,20.80000,16.54963,3736300
2007-10-01,21.00000,21.59000,20.63000,21.57000,17.16229,3324900
2007-10-02,21.57000,22.14000,21.27000,21.37000,17.00316,2774300
2007-10-03,21.30000,22.10000,21.25000,21.35000,17.03507,2493400
2007-10-04,21.50000,22.07000,21.38000,22.02000,17.56967,3491400
2007-10-05,22.23000,22.90000,22.20000,22.73000,18.13617,3201100
2007-10-08,22.60000,22.76000,22.48000,22.65000,18.07234,2088800
2007-10-09,22.67000,23.33000,22.61000,23.03000,18.37554,3488500
2007-10-10,23.00000,23.01000,22.50000,22.65000,18.07234,4030500
2007-10-11,22.85000,23.13000,21.94000,22.03000,17.57765,3776600
2007-10-12,22.09000,22.29000,21.85000,22.13000,17.65743,1775200
2007-10-15,22.10000,22.20000,20.91000,21.38000,17.05901,2822500
2007-10-16,21.34000,21.37000,20.77000,20.93000,16.69997,3155500
2007-10-17,21.63000,21.73000,20.44000,20.78000,16.58028,3501000
2007-10-18,20.61000,20.74000,20.27000,20.53000,16.38080,4580600
2007-10-19,20.49000,20.54000,19.69000,19.80000,15.79834,7103200
2007-10-22,19.08000,19.76000,18.85000,19.68000,15.70259,4088400
2007-10-23,20.00000,20.17000,19.06000,19.41000,15.48716,4104800
2007-10-24,19.39000,19.50000,17.79000,18.39000,14.67330,8320900
2007-10-25,18.38000,18.64000,16.91000,17.56000,14.01105,10096200
2007-10-26,18.68000,19.01000,17.99000,18.93000,15.10417,9463800
2007-10-29,19.16000,19.87000,19.16000,19.49000,15.55099,6023500
2007-10-30,19.40000,20.41000,19.13000,20.14000,16.06963,5484300
2007-10-31,20.80000,20.91000,19.00000,19.30000,15.39939,8865500
2007-11-01,18.95000,18.98000,17.50000,18.52000,14.77703,7765900
2007-11-02,18.67000,18.67000,17.67000,18.18000,14.50575,10119800
2007-11-05,18.14000,18.23000,17.74000,18.15000,14.48181,4607700
2007-11-06,18.14000,18.47000,17.86000,18.24000,16.47338,3727400
2007-11-07,17.50000,18.02000,17.14000,17.26000,15.58830,7694400
2007-11-08,17.16000,17.79000,16.96000,17.70000,15.98568,5583200
2007-11-09,17.00000,17.99000,17.00000,17.82000,16.09406,4576800
2007-11-12,17.95000,18.70000,17.53000,18.01000,16.26566,5020800
2007-11-13,18.20000,19.50000,17.97000,19.00000,17.15977,6170400
2007-11-14,18.88000,19.30000,18.27000,18.29000,16.51854,3774400
2007-11-15,18.18000,18.30000,17.59000,17.68000,15.96762,4739100
2007-11-16,17.76000,18.05000,17.50000,17.76000,16.03987,3061800
2007-11-19,17.20000,17.20000,16.65000,16.74000,15.11866,6857900
2007-11-20,16.89000,17.09000,15.98000,16.44000,14.84772,6536900
2007-11-21,15.72000,16.55000,15.72000,16.25000,14.67612,6162200
2007-11-23,16.39000,16.85000,15.95000,16.68000,15.06447,1605200
2007-11-26,17.00000,17.00000,16.20000,16.30000,14.72128,5691600
2007-11-27,16.25000,16.79000,16.25000,16.75000,15.12769,3894100
2007-11-28,16.91000,17.68000,16.90000,17.65000,15.94052,4580500
2007-11-29,17.76000,17.76000,17.21000,17.28000,15.60636,3924100
2007-11-30,17.77000,18.58000,17.21000,17.37000,15.68764,7056800
2007-12-03,17.37000,17.85000,16.28000,16.39000,14.80256,7066400
2007-12-04,16.32000,16.68000,16.19000,16.21000,14.63999,5385500
2007-12-05,16.33000,16.83000,16.31000,16.45000,14.85675,2925600
2007-12-06,16.63000,17.32000,16.47000,17.32000,15.64249,2490100
2007-12-07,16.83000,17.13000,16.40000,16.76000,15.13672,4843000
2007-12-10,16.77000,17.75000,16.68000,17.27000,15.59733,3549000
2007-12-11,17.26000,17.26000,16.29000,16.32000,14.73934,3755400
2007-12-12,16.72000,17.10000,16.12000,16.51000,14.91094,7542400
2007-12-13,16.40000,16.47000,15.80000,16.42000,14.82965,6276600
2007-12-14,16.16000,16.19000,15.50000,15.64000,14.12520,6832200
2007-12-17,15.54000,15.97000,15.20000,15.61000,14.09811,4135200
2007-12-18,15.69000,16.05000,15.54000,15.89000,14.35099,4466000
2007-12-19,16.14000,16.14000,15.55000,15.89000,14.35099,3626800
2007-12-20,16.35000,16.99000,15.34000,15.46000,13.96263,7280200
2007-12-21,15.66000,15.75000,15.31000,15.50000,13.99876,6675500
2007-12-24,15.32000,15.73000,15.32000,15.63000,14.11617,1653300
2007-12-26,15.31000,15.78000,15.31000,15.71000,14.18842,2503200
2007-12-27,15.72000,15.78000,15.20000,15.20000,13.72782,3386300
2007-12-28,15.14000,15.38000,14.81000,14.94000,13.49300,3749400
2007-12-31,14.88000,15.27000,14.87000,15.08000,13.67436,3255500
2008-01-02,15.10000,15.49000,14.84000,14.90000,13.51113,4215300
2008-01-03,14.98000,15.26000,14.76000,14.83000,13.44766,4608900
2008-01-04,14.61000,14.69000,13.62000,13.94000,12.64062,4191000
2008-01-07,14.10000,14.77000,13.99000,14.38000,13.03961,4056600
2008-01-08,14.43000,14.68000,13.54000,13.60000,12.33231,4379100
2008-01-09,13.57000,14.21000,13.40000,14.18000,12.85825,5481500
2008-01-10,13.97000,14.63000,13.34000,14.26000,12.93079,8705900
2008-01-11,13.87000,14.00000,13.43000,13.73000,12.45019,9056900
2008-01-14,13.81000,13.97000,13.42000,13.56000,12.29604,6970600
2008-01-15,13.40000,13.50000,13.13000,13.20000,11.96960,10260500
2008-01-16,13.11000,13.33000,12.69000,13.07000,11.85171,7914100
2008-01-17,13.09000,13.25000,12.50000,12.55000,11.38018,6612800
2008-01-18,12.65000,13.06000,12.41000,12.63000,11.45273,6151400
2008-01-22,10.94000,13.81000,10.94000,12.71000,11.52527,9300700
2008-01-23,12.31000,14.65000,11.77000,14.60000,13.23910,8571600
2008-01-24,14.62000,17.09000,14.52000,15.70000,14.23656,7367200
2008-01-25,15.88000,16.90000,15.43000,15.56000,14.10961,5721000
2008-01-28,15.45000,16.01000,15.02000,16.00000,14.50860,4384200
2008-01-29,16.08000,16.50000,15.87000,16.35000,14.82598,6238600
2008-01-30,16.31000,17.02000,16.22000,16.30000,14.78064,5705500
2008-01-31,16.08000,17.99000,15.58000,17.49000,15.85971,10777400
2008-02-01,17.21000,17.98000,17.00000,17.96000,16.28590,8163500
2008-02-04,17.06000,17.39000,16.16000,16.34000,14.81691,8015200
2008-02-05,16.16000,16.60000,15.50000,15.80000,14.32724,6129100
2008-02-06,15.94000,16.02000,15.33000,15.77000,14.30004,6759400
2008-02-07,16.00000,16.46000,15.85000,16.21000,14.69903,8793400
2008-02-08,16.16000,16.19000,15.52000,15.63000,14.17309,6680000
2008-02-11,15.63000,15.76000,15.06000,15.17000,13.75597,9401600
2008-02-12,15.28000,15.62000,14.79000,14.98000,13.58368,5311800
2008-02-13,15.28000,15.42000,15.12000,15.28000,13.85571,5115500
2008-02-14,15.25000,15.41000,14.69000,14.81000,13.42952,5875800
2008-02-15,14.57000,14.78000,14.14000,14.23000,12.90359,6862300
2008-02-19,14.35000,14.55000,13.91000,13.97000,12.66782,6719800
2008-02-20,13.83000,14.67000,13.70000,14.57000,13.21189,7077600
2008-02-21,14.69000,14.90000,14.09000,14.16000,12.84011,2851700
2008-02-22,15.37000,15.40000,14.29000,15.10000,13.69249,7817100
2008-02-25,15.15000,15.83000,14.81000,15.50000,14.05521,5092100
