Date,Open,High,Low,Close,Adj Close,Volume
2008-09-18,6.40000,9.25000,6.40000,8.00000,8.00000,11602600
2008-09-19,7.62500,10.00000,7.62500,8.35000,8.35000,1527800
2008-09-22,8.44000,8.52000,7.80000,8.43500,8.43500,3424400
2008-09-23,8.25500,8.70500,8.00000,8.31000,8.31000,1825800
2008-09-24,8.11000,8.50000,7.58000,7.92500,7.92500,1491200
2008-09-25,7.90500,8.47500,7.55500,8.03500,8.03500,2778000
2008-09-26,7.75000,8.00000,7.66000,7.75000,7.75000,1332000
2008-09-29,7.51500,7.67500,6.54500,7.31000,7.31000,3593200
2008-09-30,6.85000,7.24500,6.76000,7.08000,7.08000,3073400
2008-10-01,6.58000,7.16000,6.58000,7.15500,7.15500,2559400
2008-10-02,7.06500,7.15000,6.50500,6.70000,6.70000,2456000
2008-10-03,6.66500,6.82000,6.27500,6.49500,6.49500,3083800
2008-10-06,6.18500,6.47000,5.78000,6.23500,6.23500,2274800
2008-10-07,6.37500,6.60500,5.68000,5.90000,5.90000,2858400
2008-10-08,4.39000,5.87500,4.39000,5.60500,5.60500,2802400
2008-10-09,5.74500,6.00000,5.20000,5.44000,5.44000,1761400
2008-10-10,4.50500,5.56500,4.25000,5.22000,5.22000,2022400
2008-10-13,5.02500,6.21000,5.02500,6.12000,6.12000,1231000
2008-10-14,5.17000,6.58000,5.07000,6.55000,6.55000,2461200
2008-10-15,6.74500,6.81000,5.88500,6.13500,6.13500,1320200
2008-10-16,6.25000,6.75500,5.05500,5.94500,5.94500,2503000
2008-10-17,5.88000,6.80000,5.49000,6.20000,6.20000,1276000
2008-10-20,6.17500,6.41000,6.07000,6.37000,6.37000,1134200
2008-10-21,6.17000,6.54500,6.06500,6.28000,6.28000,1563800
2008-10-22,6.02500,6.25500,5.75000,5.90000,5.90000,1920400
2008-10-23,5.96000,6.06500,5.19000,5.69000,5.69000,1868000
2008-10-24,5.01500,5.18000,4.62500,4.89500,4.89500,1790600
2008-10-27,4.88000,5.27500,4.78500,5.00000,5.00000,1894000
2008-10-28,5.19000,5.31000,4.85000,5.27500,5.27500,839200
2008-10-29,5.19500,5.98500,4.76000,5.81000,5.81000,1747200
2008-10-30,5.98000,6.30000,5.80000,6.29500,6.29500,1119600
2008-10-31,6.22500,6.77500,6.22500,6.66000,6.66000,1434200
2008-11-03,6.53500,6.66000,6.43000,6.52500,6.52500,2848200
2008-11-04,6.77000,6.94000,6.63000,6.79000,6.79000,1728600
2008-11-05,6.94000,6.94000,6.51000,6.63000,6.63000,1215800
2008-11-06,6.44000,6.85000,5.67500,5.67500,5.67500,897000
2008-11-07,5.59500,6.79000,5.59500,6.75500,6.75500,3255600
2008-11-10,6.75000,7.12000,6.64000,6.67500,6.67500,666200
2008-11-11,6.54000,6.82000,6.11000,6.57000,6.57000,711400
2008-11-12,6.49500,6.53500,5.73000,5.93000,5.93000,802000
2008-11-13,6.01500,6.49500,5.71000,6.49500,6.49500,1103000
2008-11-14,6.41000,6.96000,6.25000,6.73000,6.73000,691000
2008-11-17,6.70000,6.88000,6.28000,6.29000,6.29000,546000
2008-11-18,6.13000,6.40500,5.68000,5.93000,5.93000,889000
2008-11-19,5.85500,6.25000,5.78500,5.87500,5.87500,1273400
2008-11-20,5.84000,6.32500,5.72000,5.98000,5.98000,2633000
2008-11-21,6.06000,6.20000,5.43500,6.16500,6.16500,1883400
2008-11-24,6.23500,6.63500,6.23500,6.58500,6.58500,874000
2008-11-25,6.71500,6.71500,6.18500,6.36000,6.36000,1585800
2008-11-26,6.22000,6.82000,6.18500,6.67000,6.67000,740400
2008-11-28,6.70000,7.62500,6.68500,7.56500,7.56500,783800
2008-12-01,6.59500,7.37000,6.57000,6.58500,6.58500,1380400
2008-12-02,6.64000,6.82500,6.48500,6.55000,6.55000,1086000
2008-12-03,6.33000,6.75000,6.33000,6.75000,6.75000,879600
2008-12-04,6.57500,6.71500,6.02500,6.19500,6.19500,1500000
2008-12-05,6.27000,6.64500,5.91500,6.64500,6.64500,1368000
2008-12-08,6.76000,7.18000,6.72500,7.11000,7.11000,2114000
2008-12-09,7.23000,7.23000,6.21500,6.56000,6.56000,3537800
2008-12-10,6.56000,6.82000,6.31000,6.46500,6.46500,3992800
2008-12-11,6.34000,6.74000,5.86000,6.00500,6.00500,5460800
2008-12-12,5.89500,6.32500,5.88500,6.25500,6.25500,2127000
2008-12-15,6.24500,6.47000,6.08000,6.09000,6.09000,1023400
2008-12-16,6.09000,6.28000,5.91500,6.22000,6.22000,1723600
2008-12-17,6.07000,6.34000,5.99500,6.25500,6.25500,3902200
2008-12-18,6.64500,6.73000,6.25000,6.69000,6.69000,1360000
2008-12-19,6.66000,6.95500,6.26000,6.92000,6.92000,2043600
2008-12-22,6.99500,6.99500,6.39000,6.61000,6.61000,617800
2008-12-23,6.85500,6.85500,6.44000,6.58000,6.58000,563400
2008-12-24,6.53500,6.61000,6.52000,6.54500,6.54500,138400
2008-12-26,6.52000,6.69000,6.45000,6.56500,6.56500,403600
2008-12-29,6.64000,6.67000,6.38000,6.57000,6.57000,685000
2008-12-30,6.54500,6.67500,6.28500,6.64500,6.64500,553400
2008-12-31,6.70000,6.73000,6.42500,6.69500,6.69500,583200
2009-01-02,6.63500,6.89500,6.63500,6.89000,6.89000,994200
2009-01-05,6.84500,7.09000,6.83500,7.04000,7.04000,598400
2009-01-06,7.17500,7.26000,6.82000,7.22500,7.22500,705000
2009-01-07,7.03000,7.07000,6.85000,6.90000,6.90000,433000
2009-01-08,6.94500,7.12000,6.71000,7.12000,7.12000,1464800
2009-01-09,7.05500,7.25500,6.90000,7.20500,7.20500,969200
2009-01-12,7.21500,7.21500,7.04000,7.19000,7.19000,1245400
2009-01-13,7.36500,7.46500,7.22000,7.39500,7.39500,837800
2009-01-14,7.35000,7.40000,7.06000,7.29500,7.29500,465200
2009-01-15,7.36000,7.46000,6.91500,7.23500,7.23500,687800
2009-01-16,7.45000,7.54000,7.03000,7.26000,7.26000,502800
2009-01-20,7.26000,7.26000,6.71000,6.71000,6.71000,516600
2009-01-21,6.75000,7.23000,6.69000,7.18000,7.18000,751000
2009-01-22,7.07500,7.37500,7.01500,7.20000,7.20000,467800
2009-01-23,7.10000,7.32500,7.10000,7.19500,7.19500,546800
2009-01-26,7.16000,7.39500,6.97000,7.09500,7.09500,758600
2009-01-27,7.18000,7.29000,7.09000,7.28000,7.28000,671600
2009-01-28,7.39000,7.45000,7.14000,7.30000,7.30000,659400
2009-01-29,7.26500,7.28000,7.03500,7.07000,7.07000,318600
2009-01-30,7.15500,7.25000,6.91000,7.19000,7.19000,1207800
2009-02-02,7.12500,7.27000,6.90000,7.21000,7.21000,552200
2009-02-03,7.20000,7.20000,6.96000,7.09000,7.09000,1507600
2009-02-04,7.14000,7.22500,6.77500,6.80000,6.80000,679600
2009-02-05,6.70500,6.75000,6.55500,6.68500,6.68500,796600
2009-02-06,6.65500,6.95500,6.65500,6.88000,6.88000,620400
2009-02-09,6.83000,6.97000,6.83000,6.88000,6.88000,331200
2009-02-10,6.79500,6.92000,6.63500,6.69500,6.69500,766400
2009-02-11,6.67000,6.88000,6.67000,6.78000,6.78000,399400
2009-02-12,6.62000,6.95000,6.62000,6.90500,6.90500,339800
2009-02-13,6.95000,6.95500,6.77000,6.89000,6.89000,432000
2009-02-17,6.74000,6.90000,6.49500,6.60000,6.60000,1149800
2009-02-18,6.69000,6.75500,6.38500,6.49500,6.49500,852800
2009-02-19,6.52500,6.55500,6.29000,6.31500,6.31500,779000
2009-02-20,6.25000,6.31000,6.04500,6.13000,6.13000,433200
2009-02-23,6.13500,6.33000,6.01500,6.05000,6.05000,808800
2009-02-24,6.08500,6.39000,6.02000,6.34000,6.34000,1301800
2009-02-25,6.91000,7.29000,6.82500,7.06500,7.06500,1066400
2009-02-26,7.15000,7.37500,6.95000,7.02000,7.02000,795000
2009-02-27,6.94000,7.40000,6.94000,7.34000,7.34000,1430800
2009-03-02,7.16000,7.45000,7.16000,7.25500,7.25500,884000
2009-03-03,7.41000,7.50500,7.24500,7.40500,7.40500,809200
2009-03-04,7.47500,7.52500,7.00500,7.25000,7.25000,2074600
2009-03-05,7.09000,7.49500,7.07000,7.13000,7.13000,701800
2009-03-06,7.16000,7.29000,6.81500,6.99000,6.99000,1812400
2009-03-09,6.88000,7.04000,6.62000,6.65000,6.65000,1816000
2009-03-10,6.78500,7.05500,6.64500,7.00500,7.00500,1325600
2009-03-11,7.07500,7.16500,6.93500,7.12500,7.12500,1011400
2009-03-12,7.06000,7.62500,7.00500,7.60000,7.60000,1309400
2009-03-13,7.62500,7.72000,7.40500,7.68500,7.68500,755200
2009-03-16,7.72000,7.84000,7.55500,7.62500,7.62500,520400
2009-03-17,7.68500,7.68500,7.44000,7.62500,7.62500,610000
2009-03-18,7.52500,7.68500,7.50000,7.63000,7.63000,832400
2009-03-19,7.64000,7.67500,7.33500,7.41500,7.41500,1144400
2009-03-20,7.45000,7.46000,7.20500,7.25000,7.25000,432600
2009-03-23,7.36500,7.60000,7.20000,7.59000,7.59000,619600
2009-03-24,7.47000,7.59500,7.38000,7.42000,7.42000,293600
2009-03-25,7.40500,7.40500,7.13500,7.38500,7.38500,1420400
2009-03-26,7.38500,7.60500,7.38500,7.52500,7.52500,1320400
2009-03-27,7.46000,7.57500,7.07000,7.39500,7.39500,991800
2009-03-30,7.26000,7.34500,6.99000,7.31000,7.31000,575800
2009-03-31,7.30500,7.49000,7.23500,7.32500,7.32500,1000400
2009-04-01,7.20500,7.81000,7.20500,7.76500,7.76500,2333800
2009-04-02,7.79500,8.27000,7.79500,8.17500,8.17500,1269200
2009-04-03,8.22000,8.32000,8.01000,8.31500,8.31500,1647800
2009-04-06,8.17500,8.24000,8.06500,8.23500,8.23500,1113200
2009-04-07,8.02500,8.02500,7.61500,7.68000,7.68000,1842600
2009-04-08,7.72500,7.94000,7.62500,7.83000,7.83000,1013000
2009-04-09,7.92000,8.24000,7.92000,8.13500,8.13500,1237800
2009-04-13,8.15000,8.16000,7.95000,8.07500,8.07500,276400
2009-04-14,8.05000,8.15000,7.83000,7.85500,7.85500,682600
2009-04-15,7.75500,7.97000,7.70000,7.91000,7.91000,506600
2009-04-16,7.92000,8.47000,7.92000,8.35500,8.35500,417600
2009-04-17,8.32000,8.45000,8.25500,8.39500,8.39500,691200
2009-04-20,8.23000,8.34500,8.17000,8.25500,8.25500,394400
2009-04-21,8.33000,8.44500,8.09500,8.42000,8.42000,401000
2009-04-22,8.27500,8.79500,8.27500,8.61000,8.61000,388000
2009-04-23,8.62000,8.68500,8.23000,8.31500,8.31500,433600
2009-04-24,8.30000,8.49500,8.28000,8.41000,8.41000,437800
2009-04-27,8.29000,8.69500,8.28000,8.53000,8.53000,704400
2009-04-28,8.48000,8.67500,8.44500,8.51000,8.51000,367800
2009-04-29,8.62000,9.15000,8.62000,9.06500,9.06500,1196200
2009-04-30,9.13000,9.30500,8.72500,8.76000,8.76000,706400
2009-05-01,8.80500,8.80500,8.40000,8.64500,8.64500,284400
2009-05-04,8.77500,9.50500,8.77500,9.40000,9.40000,1677400
2009-05-05,9.31000,9.97000,9.19500,9.94500,9.94500,1181800
2009-05-06,9.98000,10.07000,9.70500,9.87000,9.87000,495200
2009-05-07,9.83500,9.91000,9.42000,9.48000,9.48000,1086400
2009-05-08,9.62000,9.62000,9.29500,9.46500,9.46500,390400
2009-05-11,9.39000,9.64500,9.27500,9.50000,9.50000,578000
2009-05-12,9.48000,9.87500,8.91000,9.09000,9.09000,566800
2009-05-13,8.90000,9.03000,8.81500,8.95500,8.95500,402400
2009-05-14,8.91000,9.11000,8.81000,9.03500,9.03500,317400
2009-05-15,9.10000,9.26000,8.95500,9.04500,9.04500,303000
2009-05-18,9.07000,9.39500,8.88000,9.38500,9.38500,357600
2009-05-19,9.44000,9.69000,9.33000,9.63500,9.63500,281400
2009-05-20,9.63000,10.35000,9.63000,10.20500,10.20500,930200
2009-05-21,10.11000,10.11000,9.71000,10.00500,10.00500,763200
2009-05-22,10.10500,10.19500,9.97000,10.09500,10.09500,336200
2009-05-26,10.09500,10.22000,10.03500,10.12500,10.12500,1364800
2009-05-27,10.10500,10.14500,9.96500,10.03500,10.03500,1390600
2009-05-28,10.00000,10.25000,9.87500,10.21500,10.21500,541200
2009-05-29,10.12000,10.42000,10.12000,10.42000,10.42000,1559200
2009-06-01,10.40500,10.72500,10.26500,10.40000,10.40000,1244400
2009-06-02,10.45000,10.53000,10.18500,10.44000,10.44000,681800
2009-06-03,10.43500,10.49500,10.27500,10.38500,10.38500,350600
2009-06-04,10.30000,10.44000,10.21500,10.26500,10.26500,901800
2009-06-05,10.41000,10.55500,10.16000,10.50000,10.50000,1281800
2009-06-08,10.33500,10.75500,10.33500,10.68000,10.68000,375400
2009-06-09,10.63000,10.82000,10.55500,10.78500,10.78500,471000
2009-06-10,10.94500,10.97500,10.38000,10.52500,10.52500,427800
2009-06-11,10.40500,10.49500,10.24500,10.33000,10.33000,551600
2009-06-12,10.39500,10.39500,9.97000,10.08500,10.08500,583600
2009-06-15,10.08500,10.08500,9.67000,9.99000,9.99000,541400
2009-06-16,9.93000,10.07500,9.53000,9.64000,9.64000,283200
2009-06-17,9.61000,9.72500,9.38000,9.62000,9.62000,617600
2009-06-18,9.62000,9.77000,9.59500,9.64000,9.64000,441600
2009-06-19,9.64500,9.70500,9.39000,9.43500,9.43500,815600
2009-06-22,9.37000,9.49000,9.09000,9.21000,9.21000,555200
2009-06-23,9.20000,9.40500,9.03000,9.13500,9.13500,530200
2009-06-24,9.25000,9.77500,9.24000,9.38500,9.38500,417200
2009-06-25,9.40000,9.64500,9.36500,9.60000,9.60000,834600
2009-06-26,9.47500,10.75000,9.47500,10.61000,10.61000,14605200
2009-06-29,10.25500,10.34000,10.12000,10.16500,10.16500,1510200
2009-06-30,10.22000,10.35000,10.12000,10.26500,10.26500,2236400
2009-07-01,10.23000,10.76500,10.21500,10.60500,10.60500,703000
2009-07-02,10.60500,10.60500,10.19500,10.20500,10.20500,846200
2009-07-06,10.24500,10.24500,9.93500,10.05500,10.05500,607800
2009-07-07,10.01500,10.19000,9.90000,9.94500,9.94500,618400
2009-07-08,10.08500,10.17000,9.77000,9.92500,9.92500,1033400
2009-07-09,9.92000,10.31500,9.92000,10.20500,10.20500,1299600
2009-07-10,10.20500,10.41500,10.08500,10.23000,10.23000,532800
2009-07-13,10.29000,10.29000,9.91500,10.20500,10.20500,873400
2009-07-14,10.09500,10.59000,10.09500,10.49000,10.49000,814600
2009-07-15,10.57500,10.89500,10.51000,10.80000,10.80000,466000
2009-07-16,10.75000,10.90000,10.55000,10.83000,10.83000,380800
2009-07-17,10.78000,10.81000,10.56500,10.64500,10.64500,423200
2009-07-20,10.57500,11.01000,10.52000,10.99000,10.99000,578400
2009-07-21,11.01500,11.01500,10.83000,10.94500,10.94500,355800
2009-07-22,10.81500,11.01500,10.81500,10.94000,10.94000,217600
2009-07-23,11.04000,11.10500,10.82000,11.02500,11.02500,376600
2009-07-24,11.12500,11.16000,10.90500,11.08500,11.08500,311200
2009-07-27,11.08500,11.10000,10.83500,11.03500,11.03500,274600
2009-07-28,10.89500,11.26500,10.89500,11.21500,11.21500,429000
2009-07-29,11.06500,11.25000,11.03000,11.04000,11.04000,187000
2009-07-30,11.15500,11.32000,11.11500,11.17500,11.17500,1834000
2009-07-31,11.19500,11.25000,11.12000,11.20000,11.20000,708800
2009-08-03,11.24500,11.55500,11.17500,11.55500,11.55500,1818400
2009-08-04,11.38500,11.71000,11.27500,11.47000,11.47000,639200
2009-08-05,11.53500,11.56500,11.20500,11.48000,11.48000,343200
2009-08-06,11.41000,11.75000,11.34500,11.47500,11.47500,688000
2009-08-07,11.62000,11.75500,11.49500,11.74000,11.74000,841200
2009-08-10,11.70500,11.88500,11.49500,11.67000,11.67000,651600
2009-08-11,11.54500,11.91000,11.34500,11.46500,11.46500,500400
2009-08-12,11.51500,11.78500,11.44500,11.59000,11.59000,1175400
2009-08-13,11.60500,11.60500,11.39500,11.46500,11.46500,477400
2009-08-14,11.45500,11.49500,11.16500,11.41500,11.41500,283000
2009-08-17,11.31000,11.34000,11.08000,11.18500,11.18500,456000
2009-08-18,11.26500,11.41500,11.17500,11.33500,11.33500,366400
2009-08-19,11.22000,11.54000,11.20000,11.44500,11.44500,952800
2009-08-20,11.21000,11.63000,11.21000,11.56000,11.56000,589600
2009-08-21,11.57000,11.78500,11.51000,11.76000,11.76000,815200
2009-08-24,11.77500,11.95000,11.67500,11.82500,11.82500,656800
2009-08-25,11.93000,12.25000,11.89500,12.11500,12.11500,1544800
2009-08-26,12.00000,12.13500,11.90500,12.10000,12.10000,1335200
2009-08-27,12.12000,12.12000,11.66500,11.89500,11.89500,1041400
2009-08-28,11.93500,12.10000,11.51000,11.70500,11.70500,1044800
2009-08-31,11.68000,11.76000,11.58500,11.68500,11.68500,535800
2009-09-01,11.71000,11.93500,11.53500,11.61500,11.61500,1253800
2009-09-02,11.67000,11.68000,11.41000,11.49500,11.49500,873200
2009-09-03,11.62000,11.65000,11.43500,11.58500,11.58500,435800
2009-09-04,11.51000,11.85000,11.51000,11.84000,11.84000,263800
2009-09-08,11.83500,12.08000,11.83500,12.05000,12.05000,443000
2009-09-09,11.99500,12.32000,11.94000,12.29500,12.29500,706800
2009-09-10,12.30500,12.87000,12.23000,12.82500,12.82500,970400
2009-09-11,12.76500,13.01500,12.62000,12.74000,12.74000,1230600
2009-09-14,12.77000,12.80000,12.61000,12.70500,12.70500,814400
2009-09-15,12.73500,13.02000,12.65500,12.94000,12.94000,1033000
2009-09-16,13.02000,13.37500,12.91500,13.22500,13.22500,398200
2009-09-17,13.25000,13.25000,13.06000,13.07000,13.07000,452600
2009-09-18,13.18000,13.30000,13.01500,13.20500,13.20500,827200
2009-09-21,13.07500,13.29000,13.07000,13.09000,13.09000,679000
2009-09-22,13.11000,13.24000,13.10000,13.17500,13.17500,952200
2009-09-23,13.17500,13.24000,12.88000,12.89000,12.89000,816600
2009-09-24,12.89500,12.90000,12.64500,12.77000,12.77000,571000
2009-09-25,12.70000,12.75500,12.42500,12.42500,12.42500,535200
2009-09-28,12.46000,12.83500,12.44000,12.73000,12.73000,569800
2009-09-29,12.75000,12.97500,12.65000,12.83500,12.83500,631200
2009-09-30,12.80000,13.13500,12.80000,13.01500,13.01500,791200
2009-10-01,13.27000,13.42000,12.96000,13.00500,13.00500,909600
2009-10-02,12.96500,13.09000,12.82500,13.05000,13.05000,312800
2009-10-05,13.21500,13.34500,13.07500,13.29000,13.29000,894000
2009-10-06,13.29000,13.72500,13.22500,13.58000,13.58000,558000
2009-10-07,13.48000,13.69000,13.41500,13.67000,13.67000,928000
2009-10-08,13.68000,14.07500,13.68000,13.99000,13.99000,2051600
2009-10-09,14.02500,14.02500,13.69000,13.81500,13.81500,803000
2009-10-12,13.78000,13.94500,13.68000,13.77500,13.77500,617800
2009-10-13,13.82000,13.82000,13.55000,13.65000,13.65000,319600
2009-10-14,13.73500,13.75500,13.58000,13.72500,13.72500,1096800
2009-10-15,13.72000,13.74000,13.45500,13.50000,13.50000,810400
2009-10-16,13.40500,13.60000,13.37500,13.48000,13.48000,805800
2009-10-19,13.54500,13.88000,13.40000,13.77500,13.77500,1701400
2009-10-20,13.82000,13.99000,13.65000,13.72500,13.72500,1034599
2009-10-21,13.65000,13.74000,13.18500,13.23000,13.23000,501400
2009-10-22,13.12500,13.47000,13.08500,13.30000,13.30000,612200
2009-10-23,13.21500,13.32000,13.13000,13.18000,13.18000,888600
2009-10-26,13.18000,13.34500,13.11500,13.15000,13.15000,875400
2009-10-27,13.26000,13.27500,12.79000,12.79500,12.79500,818600
2009-10-28,12.69500,12.69500,12.22000,12.26000,12.26000,1087400
2009-10-29,12.24500,12.60000,12.19000,12.54500,12.54500,1301200
2009-10-30,12.50000,12.55000,11.94000,12.01000,12.01000,685200
2009-11-02,11.97000,12.26000,11.77000,11.91000,11.91000,1120400
2009-11-03,11.86000,12.19500,11.66500,12.19000,12.19000,794400
2009-11-04,12.31000,12.89500,12.24500,12.30500,12.30500,758400
2009-11-05,12.50000,12.85000,12.25500,12.84000,12.84000,908600
2009-11-06,12.80000,13.04000,12.64000,13.04000,13.04000,410800
2009-11-09,13.25500,13.49000,13.00500,13.48500,13.48500,639600
2009-11-10,13.50000,13.50000,13.20500,13.40500,13.40500,854400
2009-11-11,13.49500,13.61000,13.34500,13.39000,13.39000,318800
2009-11-12,13.30500,13.60000,13.29000,13.35000,13.35000,457600
2009-11-13,13.44500,13.49500,13.25500,13.49500,13.49500,481000
2009-11-16,13.51000,13.89500,13.41000,13.87500,13.87500,448800
2009-11-17,13.90000,14.08000,13.74000,14.08000,14.08000,599800
2009-11-18,13.96000,14.10500,13.80000,13.84500,13.84500,549800
2009-11-19,13.83000,13.83000,13.49000,13.75500,13.75500,587200
2009-11-20,13.75500,13.88500,13.39500,13.70000,13.70000,657800
2009-11-23,13.96500,14.23000,13.70500,13.85500,13.85500,637200
2009-11-24,13.88500,14.06000,13.71000,14.02500,14.02500,770800
2009-11-25,13.98500,14.05500,13.88000,13.98000,13.98000,581200
2009-11-27,13.58000,13.94500,13.58000,13.84500,13.84500,127200
2009-11-30,13.89500,14.04000,13.69000,14.02000,14.02000,1278200
2009-12-01,14.12500,14.24000,13.99000,14.08000,14.08000,1391000
2009-12-02,14.00500,14.22500,13.95500,14.01500,14.01500,877400
2009-12-03,14.00000,14.08500,13.69000,13.72000,13.72000,1039200
2009-12-04,13.79500,13.89000,13.58000,13.72500,13.72500,711400
2009-12-07,13.66000,13.94500,13.66000,13.84000,13.84000,592600
2009-12-08,13.86500,13.86500,13.65000,13.72000,13.72000,520600
2009-12-09,13.82000,13.82000,13.52500,13.58000,13.58000,805000
2009-12-10,13.61000,14.02500,13.55000,13.91000,13.91000,836800
2009-12-11,14.02500,14.04500,13.76500,13.84500,13.84500,839800
2009-12-14,13.82500,13.91000,13.54000,13.63500,13.63500,988400
2009-12-15,13.56500,13.64500,13.39000,13.42500,13.42500,1641800
2009-12-16,13.49000,13.54500,13.41500,13.42500,13.42500,851400
2009-12-17,13.17500,13.68500,13.06500,13.57500,13.57500,923600
2009-12-18,13.59000,13.65000,13.39000,13.55000,13.55000,997600
2009-12-21,13.52500,13.73000,13.52500,13.65500,13.65500,415800
2009-12-22,13.66000,13.75000,13.49000,13.67000,13.67000,725600
2009-12-23,13.66000,13.67500,13.33500,13.39500,13.39500,387200
2009-12-24,13.39000,13.48500,13.38000,13.44000,13.44000,96600
2009-12-28,13.48000,13.57500,13.34500,13.36000,13.36000,125000
2009-12-29,13.37000,13.48000,13.29500,13.29500,13.29500,245800
2009-12-30,13.21000,13.30000,13.02500,13.15000,13.15000,401400
2009-12-31,13.10500,13.31500,13.10500,13.26000,13.26000,348800
2010-01-04,13.31500,13.46000,13.25000,13.39500,13.39500,535400
2010-01-05,13.34000,14.02000,13.34000,13.98500,13.98500,857400
2010-01-06,14.07000,14.20500,13.92000,14.12500,14.12500,1016000
2010-01-07,14.16000,14.29500,14.06500,14.25500,14.25500,744800
2010-01-08,14.19000,14.45500,14.15000,14.45500,14.45500,1252200
2010-01-11,14.46000,14.52500,14.32500,14.36500,14.36500,1086200
2010-01-12,14.28000,14.36000,13.97000,13.98000,13.98000,1762200
2010-01-13,13.98500,14.08000,13.72500,13.95500,13.95500,1196000
2010-01-14,13.90500,14.13000,13.86000,13.90000,13.90000,531200
2010-01-15,14.19500,14.51500,13.99500,14.21500,14.21500,661200
2010-01-19,14.15000,14.27000,14.07500,14.27000,14.27000,666000
2010-01-20,14.18500,14.23000,14.07000,14.09500,14.09500,385600
2010-01-21,14.26000,14.32500,13.66500,13.94500,13.94500,1457000
2010-01-22,13.99000,13.99000,13.41500,13.42000,13.42000,638000
2010-01-25,13.64000,13.64000,13.28000,13.39000,13.39000,872600
2010-01-26,13.41500,13.51000,13.27000,13.43500,13.43500,514400
2010-01-27,13.36500,13.45000,12.94500,13.20000,13.20000,403400
2010-01-28,13.20000,13.38500,13.04500,13.30500,13.30500,668400
2010-01-29,13.32500,13.41500,13.12500,13.13000,13.13000,986600
2010-02-01,13.28500,13.34000,13.16000,13.26000,13.26000,482800
2010-02-02,13.34000,13.34000,13.12000,13.25000,13.25000,741600
2010-02-03,13.25000,13.32000,13.18000,13.20500,13.20500,503400
2010-02-04,13.12500,13.13000,12.85500,12.88500,12.88500,827200
2010-02-05,12.83500,12.84500,12.48000,12.82000,12.82000,921400
2010-02-08,12.86500,13.02500,12.83000,12.86500,12.86500,3177600
2010-02-09,12.97500,13.18000,12.90500,13.11000,13.11000,1101000
2010-02-10,12.93500,12.93500,12.50000,12.66500,12.66500,1078200
2010-02-11,12.71000,12.77500,12.60000,12.70000,12.70000,581800
2010-02-12,12.62000,12.90000,12.60000,12.85000,12.85000,1006400
2010-02-16,12.90000,13.02500,12.86500,12.91500,12.91500,910600
2010-02-17,13.65500,13.92000,13.50000,13.74500,13.74500,2467800
2010-02-18,13.63500,13.89000,13.63500,13.76000,13.76000,1354800
2010-02-19,13.67000,14.09000,13.65500,14.01000,14.01000,980600
2010-02-22,13.99000,14.26000,13.99000,14.11500,14.11500,1477600
2010-02-23,13.79500,14.22500,13.76500,14.10000,14.10000,1776200
2010-02-24,14.21000,14.21000,13.95500,14.06500,14.06500,1154800
2010-02-25,13.92500,13.94500,13.51500,13.65500,13.65500,1542000
2010-02-26,13.64500,13.80500,13.26000,13.27500,13.27500,15486000
2010-03-01,13.32500,13.55000,13.32500,13.46000,13.46000,5921800
2010-03-02,13.44000,13.50000,13.38000,13.42000,13.42000,2754400
2010-03-03,13.40000,13.51000,13.37500,13.38000,13.38000,1195600
2010-03-04,13.42500,13.70500,13.30000,13.61500,13.61500,910400
2010-03-05,13.63000,13.90000,13.62500,13.85500,13.85500,894000
2010-03-08,13.83000,14.04500,13.81500,13.97500,13.97500,1449600
2010-03-09,13.84000,14.15000,13.84000,14.09500,14.09500,870000
2010-03-10,14.05500,14.20000,13.88500,14.08500,14.08500,762600
2010-03-11,14.09500,14.24500,13.97500,14.21000,14.21000,429400
2010-03-12,14.19000,14.37500,14.10500,14.37000,14.37000,602600
2010-03-15,14.31500,14.38000,14.19000,14.32500,14.32500,587200
2010-03-16,14.29000,14.45500,14.21500,14.39000,14.39000,721600
2010-03-17,14.39500,14.52000,14.35000,14.43000,14.43000,273400
2010-03-18,14.40500,14.48000,14.33000,14.37500,14.37500,806400
2010-03-19,14.35000,14.60000,14.25500,14.35000,14.35000,830600
2010-03-22,14.32000,14.72500,14.22000,14.65500,14.65500,809600
2010-03-23,14.56500,14.75000,14.52500,14.69000,14.69000,1207000
2010-03-24,14.70000,14.82000,14.56500,14.81000,14.81000,723400
2010-03-25,14.82000,14.99500,14.70500,14.73000,14.73000,905200
2010-03-26,14.78500,14.90000,14.69000,14.77000,14.77000,1561400
