Date,Open,High,Low,Close,Adj Close,Volume
2017-11-21,38.00000,52.00000,38.00000,50.50000,49.38776,289800
2017-11-22,49.51000,52.00000,49.00000,51.90000,50.75692,331900
2017-11-24,52.00000,53.40000,51.07000,51.98000,50.83516,60700
2017-11-27,52.85000,56.75000,49.00000,52.00000,50.85472,81100
2017-11-28,53.50000,53.50000,49.02000,50.24000,49.13348,48900
2017-11-29,50.10000,50.50000,49.30000,50.20000,49.09436,31700
2017-11-30,50.46000,50.46000,49.50000,50.00000,48.89876,34200
2017-12-01,50.00000,54.61000,50.00000,51.99000,50.84494,101900
2017-12-04,50.52000,51.99000,50.00000,50.82000,49.70071,109600
2017-12-05,51.54000,57.25000,50.01000,56.50000,55.25561,24670300
2017-12-06,55.83000,56.61000,53.67000,54.13000,52.93780,6315800
2017-12-07,54.11000,54.41000,52.05000,52.91000,51.74467,4023000
2017-12-08,52.07000,53.33000,50.73000,51.00000,49.87674,7325200
2017-12-11,50.70000,51.09000,50.00000,50.26000,49.15304,4629900
2017-12-12,49.99000,51.53000,49.59000,50.68000,49.56379,4548500
2017-12-13,50.60000,51.42000,49.40000,49.55000,48.45867,3815000
2017-12-14,49.23000,49.84000,47.10000,49.00000,47.92079,4819300
2017-12-15,49.11000,51.43000,49.00500,50.95000,49.82784,4276100
2017-12-18,51.75000,53.51000,51.58000,53.11000,51.94027,1903000
2017-12-19,55.13000,56.01000,53.21000,53.92000,52.73243,2370700
2017-12-20,53.95000,54.81000,53.63000,54.61000,53.40723,1166700
2017-12-21,55.25000,55.25000,53.14000,53.49000,52.31190,1394600
2017-12-22,53.23000,53.59000,52.50000,52.95000,51.78379,1142000
2017-12-26,52.94000,53.21000,52.08000,52.11000,50.96230,652900
2017-12-27,52.00000,53.51000,51.59000,53.00000,51.83270,881000
2017-12-28,53.21000,53.24000,52.63000,52.92000,51.75445,527800
2017-12-29,53.07000,53.31000,52.47000,52.47000,51.31436,421100
2018-01-02,53.00000,55.20000,52.82000,55.01000,53.79842,1134300
2018-01-03,55.10000,55.80500,53.73000,53.97000,52.78133,1471900
2018-01-04,54.29000,56.92000,54.10000,56.41000,55.16759,1217800
2018-01-05,56.50000,57.84000,54.71000,56.48000,55.23604,2419500
2018-01-08,56.73000,56.73000,55.55000,55.85000,54.61992,758600
2018-01-09,56.21000,59.60000,56.21000,57.81000,56.53675,2156100
2018-01-10,57.68000,58.91000,55.09000,55.86000,54.62970,1477700
2018-01-11,56.00000,57.90000,55.87000,57.85000,56.57587,1098800
2018-01-12,58.06000,59.56000,58.01000,59.46000,58.15041,2068400
2018-01-16,59.74000,60.39000,57.43000,57.72000,56.44873,1669900
2018-01-17,58.19000,60.00000,56.65000,59.23000,57.92548,844700
2018-01-18,59.49000,59.77000,57.03000,57.26000,55.99887,988200
2018-01-19,57.68000,57.68000,56.40000,56.55000,55.30450,1441200
2018-01-22,56.63000,56.70000,55.06000,55.78000,54.55146,734700
2018-01-23,55.68000,56.35000,55.44000,56.03000,54.79595,813600
2018-01-24,56.59000,57.07000,55.87000,56.21000,54.97198,1608300
2018-01-25,56.38000,56.72000,54.55000,55.48000,54.25808,921500
2018-01-26,56.02000,56.34000,55.56000,56.03000,54.79595,1006900
2018-01-29,56.28000,57.73500,55.93000,57.65000,56.38028,1326400
2018-01-30,56.85000,58.15000,56.53000,56.59000,55.34362,1117700
2018-01-31,57.12000,58.67000,54.60000,55.23000,54.01357,1924200
2018-02-01,55.02000,56.55000,55.01000,55.80000,54.57102,1066100
2018-02-02,55.80000,55.91000,54.36000,54.47000,53.48117,896700
2018-02-05,54.06000,54.89500,51.50000,51.66000,50.88098,784600
2018-02-06,51.13000,53.68300,50.59000,53.49000,52.68339,1134900
2018-02-07,53.47000,54.77000,52.97000,54.07000,53.25464,636500
2018-02-08,53.64000,53.99000,51.05000,51.93000,51.14691,794600
2018-02-09,52.21000,52.68000,50.26000,52.17000,51.38329,1096300
2018-02-12,52.68000,53.00000,51.33000,51.55000,50.77264,551800
2018-02-13,51.10000,51.34000,50.27000,50.73000,49.96500,366600
2018-02-14,50.10000,51.43000,49.53000,51.28000,50.50671,879100
2018-02-15,51.45000,52.35000,50.81100,51.96000,51.17646,777900
