Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,1.48207,1.47160,1.47160,0.70872,4700
1980-03-18,0.00000,1.46636,1.45065,1.45588,0.70115,938000
1980-03-19,0.00000,1.45588,1.43494,1.43494,0.69106,202700
1980-03-20,0.00000,1.44541,1.42446,1.42446,0.68602,40400
1980-03-21,0.00000,1.42446,1.42446,1.42446,0.68602,83400
1980-03-24,0.00000,1.44541,1.41399,1.42446,0.68602,398500
1980-03-25,0.00000,1.42446,1.40875,1.42446,0.68602,167000
1980-03-26,0.00000,1.44541,1.40352,1.40352,0.67593,625300
1980-03-27,0.00000,1.40352,1.38257,1.38257,0.66584,143100
1980-03-28,0.00000,1.41399,1.39828,1.41399,0.68097,451000
1980-03-31,0.00000,1.45588,1.42446,1.45588,0.70115,1515500
1980-04-01,0.00000,1.47683,1.44541,1.47683,0.71124,386600
1980-04-02,0.00000,1.49778,1.46636,1.48731,0.71628,1885500
1980-04-03,0.00000,1.51349,1.49778,1.50826,0.72637,69200
1980-04-07,0.00000,1.51873,1.50826,1.50826,0.72637,50000
1980-04-08,0.00000,1.50302,1.46636,1.48207,0.71376,303000
1980-04-09,0.00000,1.52920,1.47683,1.47683,0.71124,293500
1980-04-10,0.00000,1.52920,1.49778,1.49778,0.72133,195600
1980-04-11,0.00000,1.50826,1.50826,1.50826,0.72637,644300
1980-04-14,0.00000,1.49778,1.48731,1.49778,0.72133,179000
1980-04-15,0.00000,1.51873,1.49778,1.49778,0.72133,880700
1980-04-16,0.00000,1.50826,1.49778,1.50826,0.72637,214700
1980-04-17,0.00000,1.49778,1.48731,1.48731,0.71628,310200
1980-04-18,0.00000,1.47683,1.46636,1.46636,0.70619,35700
1980-04-21,0.00000,1.47683,1.43494,1.44541,0.69610,436700
1980-04-22,0.00000,1.49778,1.45588,1.48731,0.71628,747000
1980-04-23,0.00000,1.50826,1.48731,1.49778,0.72133,1546600
1980-04-24,0.00000,1.51873,1.47683,1.51873,0.73141,233800
1980-04-25,0.00000,1.50826,1.49778,1.50826,0.72637,40400
1980-04-28,0.00000,1.51873,1.49778,1.50826,0.72637,355500
1980-04-29,0.00000,1.52397,1.48731,1.49778,0.72133,517799
1980-04-30,0.00000,1.50302,1.47160,1.50302,0.72385,102600
1980-05-01,0.00000,1.51873,1.46636,1.46636,0.70619,465300
1980-05-02,0.00000,1.47683,1.44541,1.44541,0.69610,887800
1980-05-05,0.00000,1.45588,1.38257,1.40352,0.67593,398500
1980-05-06,0.00000,1.42446,1.38257,1.40352,0.67593,88200
1980-05-07,0.00000,1.41923,1.41399,1.41923,0.68349,33300
1980-05-08,0.00000,1.42446,1.40875,1.42446,0.68602,38100
1980-05-09,0.00000,1.41923,1.39828,1.39828,0.67341,62000
1980-05-12,0.00000,1.41399,1.39828,1.40875,0.67845,202700
1980-05-13,0.00000,1.42446,1.40352,1.40352,0.67593,1613400
1980-05-14,0.00000,1.44541,1.38257,1.42446,0.68602,298300
1980-05-15,0.00000,1.42970,1.42446,1.42970,0.68854,221900
1980-05-16,0.00000,1.43494,1.42446,1.42446,0.68602,30900
1980-05-19,0.00000,1.42970,1.40352,1.41399,0.68097,537000
1980-05-20,0.00000,1.44541,1.41923,1.44541,0.69610,2861700
1980-05-21,0.00000,1.44541,1.44541,1.44541,0.69610,257700
1980-05-22,0.00000,1.44541,1.43494,1.44541,0.69610,57100
1980-05-23,0.00000,1.46636,1.43494,1.43494,0.69106,463000
1980-05-27,0.00000,1.47160,1.44017,1.45588,0.70115,422400
1980-05-28,0.00000,1.45588,1.42446,1.42446,0.68602,143100
1980-05-29,0.00000,1.46112,1.42446,1.46112,0.70367,231500
1980-05-30,0.00000,1.44541,1.43494,1.43494,0.69106,66700
1980-06-02,0.00000,1.44017,1.42446,1.44017,0.69358,606200
1980-06-03,0.00000,1.44541,1.42446,1.43494,0.69106,398500
1980-06-04,0.00000,1.44541,1.42970,1.44541,0.69610,207600
1980-06-05,0.00000,1.47683,1.45588,1.47160,0.70872,248200
1980-06-06,0.00000,1.51873,1.48207,1.51873,0.73141,580000
1980-06-09,0.00000,1.58157,1.51873,1.56062,0.75159,961800
1980-06-10,0.00000,1.57110,1.55015,1.56062,0.75159,252900
1980-06-11,0.00000,1.57110,1.53968,1.57110,0.75664,594200
1980-06-12,0.00000,1.58681,1.57110,1.58157,0.76168,434200
1980-06-13,0.00000,1.58157,1.57110,1.57110,0.75664,374600
1980-06-16,0.00000,1.56062,1.51873,1.53968,0.74150,334100
1980-06-17,0.00000,1.58681,1.52920,1.58681,0.76420,171800
1980-06-18,0.00000,1.59205,1.58157,1.59205,0.76672,198000
1980-06-19,0.00000,1.62347,1.57110,1.57110,0.75664,186000
1980-06-20,0.00000,1.59205,1.57110,1.58681,0.76420,124000
1980-06-23,0.00000,1.60252,1.56586,1.60252,0.77177,150200
1980-06-24,0.00000,1.59205,1.57110,1.57110,0.75664,326900
1980-06-25,0.00000,1.60252,1.58157,1.60252,0.77177,54800
1980-06-26,0.00000,1.62347,1.59205,1.61823,0.77934,162300
1980-06-27,0.00000,1.62347,1.60252,1.61300,0.77681,231500
1980-06-30,0.00000,1.62347,1.61300,1.61300,0.77681,19000
1980-07-01,0.00000,1.61823,1.60252,1.60776,0.77429,92900
1980-07-02,0.00000,1.66536,1.60252,1.66536,0.80203,379400
1980-07-03,0.00000,1.71774,1.67584,1.71774,0.82726,816200
1980-07-07,0.00000,1.81200,1.72821,1.79105,0.86256,104900
1980-07-08,0.00000,1.83295,1.77534,1.78582,0.86004,52400
1980-07-09,0.00000,1.80153,1.74916,1.76487,0.84995,50000
1980-07-10,0.00000,1.77534,1.74916,1.74916,0.84239,336400
1980-07-11,0.00000,1.74916,1.73868,1.73868,0.83734,921300
1980-07-14,0.00000,1.78582,1.74916,1.78582,0.86004,214700
1980-07-15,0.00000,1.82248,1.80153,1.80153,0.86761,412800
1980-07-16,0.00000,1.81724,1.80153,1.81724,0.87518,181300
1980-07-17,0.00000,1.81724,1.80153,1.80153,0.86761,188500
1980-07-18,0.00000,1.80153,1.78058,1.79629,0.86509,448600
1980-07-21,0.00000,1.78582,1.74916,1.77010,0.85248,303000
1980-07-22,0.00000,1.83295,1.77010,1.80153,0.86761,109600
1980-07-23,0.00000,1.78058,1.75439,1.75439,0.84491,295800
1980-07-24,0.00000,1.78058,1.77010,1.77010,0.85248,651500
1980-07-25,0.00000,1.80153,1.77010,1.77010,0.85248,100100
1980-07-28,0.00000,1.80153,1.78058,1.80153,0.86761,40400
1980-07-29,0.00000,1.84342,1.80153,1.83295,0.88274,169300
1980-07-30,0.00000,1.85913,1.83295,1.83295,0.88274,200400
1980-07-31,0.00000,1.82771,1.80153,1.82771,0.88022,121600
1980-08-01,0.00000,1.85390,1.81724,1.83819,0.88526,388900
1980-08-04,0.00000,1.86437,1.84866,1.85913,0.89535,47600
1980-08-05,0.00000,1.88532,1.86437,1.88532,0.90796,369900
1980-08-06,0.00000,1.98482,1.88532,1.98482,0.95588,770900
1980-08-07,0.00000,2.07909,1.99530,2.07909,1.00128,262400
1980-08-08,0.00000,2.08432,2.01101,2.03719,0.98110,360300
1980-08-11,0.00000,2.03719,1.99006,2.03719,0.98110,1198100
1980-08-12,0.00000,2.04243,2.01101,2.01101,0.96849,271900
1980-08-13,0.00000,2.00053,1.96911,1.96911,0.94832,112100
1980-08-14,0.00000,1.98482,1.96911,1.97435,0.95084,83400
1980-08-15,0.00000,2.00053,1.96911,1.96911,0.94832,126300
1980-08-18,0.00000,1.97435,1.90627,1.90627,0.91805,40400
1980-08-19,0.00000,1.88532,1.86961,1.87484,0.90292,162300
1980-08-20,0.00000,1.86437,1.82248,1.82248,0.87770,1050100
1980-08-21,0.00000,1.90627,1.82771,1.90627,0.91805,551200
1980-08-22,0.00000,1.96911,1.95864,1.96911,0.94832,398500
1980-08-25,0.00000,1.96911,1.94816,1.94816,0.93823,408000
1980-08-26,0.00000,1.96911,1.92722,1.94816,0.93823,181300
1980-08-27,0.00000,1.94816,1.91674,1.91674,0.92310,768500
1980-08-28,0.00000,1.93769,1.92198,1.92722,0.92814,76200
1980-08-29,0.00000,1.92722,1.92198,1.92198,0.92562,16500
1980-09-02,0.00000,1.94816,1.92722,1.92722,0.92814,28500
1980-09-03,0.00000,2.05290,1.93769,2.04767,0.98615,312500
1980-09-04,0.00000,2.11575,2.06338,2.11575,1.01894,155100
1980-09-05,0.00000,2.12622,2.09480,2.09480,1.00885,677800
1980-09-08,0.00000,2.09480,2.04243,2.05290,0.98867,2200600
1980-09-09,0.00000,2.06338,2.02148,2.05290,0.98867,42900
1980-09-10,0.00000,2.07385,2.04243,2.05290,0.98867,152600
1980-09-11,0.00000,2.12098,2.05814,2.12098,1.02146,104900
1980-09-12,0.00000,2.13670,2.11051,2.13670,1.02902,205200
1980-09-15,0.00000,2.13670,2.11575,2.12622,1.02398,85900
1980-09-16,0.00000,2.18906,2.12622,2.18906,1.05425,135900
1980-09-17,0.00000,2.17859,2.14193,2.15764,1.03911,138400
1980-09-18,0.00000,2.18906,2.14717,2.14717,1.03407,200400
1980-09-19,0.00000,2.18906,2.15764,2.17859,1.04920,2262600
1980-09-22,0.00000,2.18906,2.15764,2.16812,1.04416,295800
