Date,Open,High,Low,Close,Adj Close,Volume
1970-12-15,20.00000,20.00000,19.75000,19.87500,0.48320,7900
1970-12-16,19.87500,20.00000,19.75000,19.87500,0.48320,8000
1970-12-17,19.87500,20.00000,19.62500,19.75000,0.48016,13900
1970-12-18,19.75000,20.00000,19.75000,19.87500,0.48320,8700
1970-12-21,19.87500,20.00000,19.75000,19.75000,0.48016,11300
1970-12-22,19.75000,20.00000,19.75000,19.75000,0.48016,17100
1970-12-23,19.87500,20.12500,19.87500,20.12500,0.48928,19200
1970-12-24,20.12500,20.37500,19.87500,20.37500,0.49536,10000
1970-12-28,20.37500,20.37500,20.12500,20.25000,0.49232,8300
1970-12-29,20.37500,20.87500,20.37500,20.62500,0.50144,13100
1970-12-30,20.62500,21.25000,20.62500,21.12500,0.51359,19600
1970-12-31,21.25000,22.50000,21.25000,22.50000,0.54702,25300
1971-01-04,22.37500,22.37500,21.87500,22.25000,0.54094,12900
1971-01-05,22.25000,22.25000,21.75000,22.25000,0.54094,8600
1971-01-06,22.25000,22.37500,22.12500,22.37500,0.54398,12900
1971-01-07,22.37500,22.37500,22.00000,22.25000,0.54094,11300
1971-01-08,22.25000,22.25000,22.00000,22.12500,0.53791,12100
1971-01-11,22.12500,22.25000,22.00000,22.25000,0.54094,12000
1971-01-12,22.25000,22.50000,22.12500,22.50000,0.54702,12100
1971-01-13,22.50000,22.62500,22.37500,22.62500,0.55006,13300
1971-01-14,22.62500,22.75000,22.37500,22.50000,0.54702,9900
1971-01-15,22.50000,22.75000,22.50000,22.50000,0.54702,20000
1971-01-18,22.62500,22.87500,22.62500,22.75000,0.55310,18800
1971-01-19,22.75000,23.37500,22.75000,23.12500,0.56222,28700
1971-01-20,23.12500,23.37500,23.00000,23.12500,0.56222,11600
1971-01-21,23.00000,23.00000,22.62500,23.00000,0.55918,12900
1971-01-22,22.87500,22.87500,22.37500,22.37500,0.54398,12600
1971-01-25,22.37500,22.37500,22.00000,22.25000,0.54094,19100
1971-01-26,22.25000,22.25000,21.87500,22.00000,0.53487,18700
1971-01-27,22.00000,22.25000,21.75000,21.87500,0.53183,11900
1971-01-28,21.87500,22.12500,21.87500,22.00000,0.53487,11600
1971-01-29,22.00000,22.12500,21.75000,21.75000,0.52879,10400
1971-02-01,21.75000,22.12500,21.75000,21.87500,0.53183,10200
1971-02-02,22.00000,22.25000,22.00000,22.12500,0.53791,10800
1971-02-03,22.12500,22.12500,21.75000,22.00000,0.53487,15400
1971-02-04,22.00000,22.25000,21.75000,22.12500,0.53791,12100
1971-02-05,22.12500,22.12500,21.87500,22.00000,0.53487,9300
1971-02-08,22.00000,22.25000,22.00000,22.25000,0.54094,10300
1971-02-09,22.25000,22.37500,22.00000,22.12500,0.53791,9100
1971-02-10,22.12500,22.50000,22.12500,22.50000,0.54702,8700
1971-02-11,22.50000,22.50000,22.25000,22.25000,0.54094,6400
1971-02-12,22.25000,22.37500,22.25000,22.37500,0.54398,5800
1971-02-16,22.50000,22.87500,22.50000,22.75000,0.55310,10000
1971-02-17,22.75000,23.25000,22.75000,23.25000,0.56526,27500
1971-02-18,23.25000,23.25000,22.75000,22.75000,0.55310,15700
1971-02-19,22.62500,22.62500,22.25000,22.25000,0.54094,16600
1971-02-22,22.25000,22.37500,22.00000,22.00000,0.53487,11000
1971-02-23,22.00000,22.12500,21.62500,21.75000,0.52879,13100
1971-02-24,21.75000,21.87500,21.50000,21.75000,0.52879,18800
1971-02-25,21.75000,21.87500,21.62500,21.75000,0.52879,8500
1971-02-26,21.75000,22.00000,21.62500,21.87500,0.53183,8800
1971-03-01,21.87500,22.00000,21.62500,21.62500,0.52575,8700
1971-03-02,21.62500,21.87500,21.37500,21.75000,0.52879,8900
1971-03-03,21.75000,21.87500,21.50000,21.75000,0.52879,4900
1971-03-04,21.75000,22.00000,21.62500,21.87500,0.53183,6400
1971-03-05,22.00000,22.37500,22.00000,22.00000,0.53487,6600
1971-03-08,22.00000,22.37500,22.00000,22.25000,0.54094,9400
1971-03-09,22.25000,22.37500,22.12500,22.25000,0.54094,8400
1971-03-10,22.25000,22.37500,22.12500,22.12500,0.53791,4300
1971-03-11,22.12500,22.25000,22.00000,22.00000,0.53487,11700
1971-03-12,22.00000,22.25000,22.00000,22.25000,0.54094,8600
1971-03-15,22.25000,22.37500,22.00000,22.37500,0.54398,11700
1971-03-16,22.37500,22.37500,22.00000,22.00000,0.53487,12100
1971-03-17,22.00000,22.25000,22.00000,22.25000,0.54094,8800
1971-03-18,22.25000,22.25000,22.00000,22.25000,0.54094,10800
1971-03-19,22.00000,22.00000,21.75000,21.87500,0.54033,9300
1971-03-22,21.87500,21.87500,21.50000,21.50000,0.53106,10100
1971-03-23,21.50000,21.75000,21.50000,21.50000,0.53106,9900
