Date,Open,High,Low,Close,Adj Close,Volume
2007-08-15,22.03000,22.46000,21.41000,21.47000,21.47000,6737900
2007-08-16,21.39000,21.77000,21.00000,21.59000,21.59000,7998500
2007-08-17,22.22000,22.58000,22.10000,22.57000,22.57000,7071900
2007-08-20,22.45000,22.51000,21.57000,21.73000,21.73000,6745200
2007-08-21,21.49000,21.91000,21.30000,21.80000,21.80000,5691200
2007-08-22,21.94000,22.43000,21.79000,22.42000,22.42000,4612300
2007-08-23,22.48000,22.65000,22.23000,22.33000,22.33000,6260500
2007-08-24,22.48000,23.25000,22.33000,23.12000,23.12000,5375800
2007-08-27,23.07000,23.67000,22.81000,23.36000,23.36000,4706300
2007-08-28,23.39000,23.39000,22.37000,22.43000,22.43000,6009700
2007-08-29,22.70000,23.44000,22.63000,23.36000,23.36000,6515400
2007-08-30,23.30000,23.36000,22.94000,23.04000,23.04000,5246700
2007-08-31,23.01000,23.52000,22.97000,23.33000,23.33000,4735200
2007-09-04,23.25000,23.51000,23.08000,23.44000,23.44000,4943500
2007-09-05,23.21000,23.47000,23.06000,23.26000,23.26000,4524600
2007-09-06,23.23000,23.44000,22.92000,23.08000,23.08000,4508600
2007-09-07,22.76000,23.14000,22.67000,23.12000,23.12000,4127200
2007-09-10,23.18000,23.22000,22.68000,22.84000,22.84000,3181200
2007-09-11,22.95000,22.99000,22.48000,22.59000,22.59000,5469300
2007-09-12,22.59000,22.70000,22.14000,22.17000,22.17000,6074600
2007-09-13,22.32000,22.53000,21.92000,21.94000,21.94000,6039400
2007-09-14,21.78000,22.12000,21.67000,22.08000,22.08000,4698900
2007-09-17,21.95000,22.52000,21.94000,22.35000,22.35000,4350800
2007-09-18,22.38000,23.81000,22.35000,23.75000,23.75000,6722600
2007-09-19,23.96000,24.60000,23.88000,24.42000,24.42000,9182500
2007-09-20,24.36000,25.00000,24.23000,24.45000,24.45000,5611200
2007-09-21,24.74000,24.94000,24.15000,24.70000,24.70000,10256700
2007-09-24,24.75000,24.80000,24.22000,24.24000,24.24000,4615900
2007-09-25,24.31000,24.58000,24.06000,24.25000,24.25000,6821800
2007-09-26,24.30000,24.41000,23.99000,24.14000,24.14000,5229000
2007-09-27,24.32000,24.51000,23.96000,24.06000,24.06000,5961900
2007-09-28,24.00000,24.34000,23.80000,24.28000,24.28000,5267800
2007-10-01,24.42000,24.89000,24.35000,24.59000,24.59000,4041700
2007-10-02,24.54000,24.98000,24.28000,24.47000,24.47000,5909200
2007-10-03,24.39000,24.94000,24.31000,24.91000,24.91000,5603900
2007-10-04,24.85000,25.60000,24.83000,25.53000,25.53000,6831900
2007-10-05,25.59000,26.21000,25.55000,26.00000,26.00000,8924300
2007-10-08,26.00000,26.03000,25.58000,25.66000,25.66000,4436900
2007-10-09,25.53000,26.28000,25.53000,26.20000,26.20000,5758400
2007-10-10,26.12000,26.39000,26.05000,26.28000,26.28000,4362000
2007-10-11,26.31000,26.56000,26.25000,26.37000,26.37000,5421800
2007-10-12,26.36000,26.45000,26.10000,26.18000,26.18000,4011600
2007-10-15,26.10000,26.28000,25.79000,26.13000,26.13000,4698200
2007-10-16,26.20000,26.36000,26.02000,26.23000,26.23000,5415500
2007-10-17,26.35000,26.59000,25.78000,25.98000,25.98000,5210700
2007-10-18,26.02000,26.36000,25.98000,26.06000,26.06000,5838900
2007-10-19,25.85000,25.93000,25.35000,25.46000,25.46000,6894800
2007-10-22,25.25000,25.55000,24.95000,25.35000,25.35000,4501000
2007-10-23,25.49000,26.30000,25.33000,25.51000,25.51000,3839800
2007-10-24,25.47000,26.75000,25.00000,25.51000,25.51000,4946000
2007-10-25,25.58000,25.72000,24.93000,25.22000,25.22000,4684800
2007-10-26,25.48000,25.77000,25.29000,25.70000,25.70000,2857300
2007-10-29,25.75000,26.77000,25.74000,26.70000,26.70000,5715200
2007-10-30,26.65000,26.65000,25.97000,26.06000,26.06000,4752300
2007-10-31,26.06000,26.51000,25.90000,26.48000,26.48000,5969600
2007-11-01,26.20000,26.54000,26.05000,26.14000,26.14000,5836600
2007-11-02,26.24000,26.25000,25.34000,25.62000,25.62000,6033100
2007-11-05,25.20000,25.80000,25.20000,25.26000,25.26000,4971600
