Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00000,6.64633,6.42842,6.42842,0.89220,133500
1980-03-18,0.00000,6.91872,6.42842,6.91872,0.96025,224800
1980-03-19,0.00000,6.97320,6.70081,6.70081,0.93001,319300
1980-03-20,0.00000,6.75529,6.64633,6.75529,0.93757,118800
1980-03-21,0.00000,6.75529,6.64633,6.70081,0.93001,100200
1980-03-24,0.00000,6.64633,6.48290,6.53738,0.90732,123900
1980-03-25,0.00000,6.64633,6.42842,6.59185,0.91488,353300
1980-03-26,0.00000,6.80977,6.64633,6.70081,0.93001,83900
1980-03-27,0.00000,6.70081,6.59185,6.59185,0.91488,100000
1980-03-28,0.00000,6.70081,6.64633,6.70081,0.93001,34600
1980-03-31,0.00000,6.91872,6.64633,6.91872,0.96025,75700
1980-04-01,0.00000,7.24559,6.91872,7.19111,0.99806,142700
1980-04-02,0.00000,7.30007,7.13663,7.19111,0.99806,138800
1980-04-03,0.00000,7.35455,7.19111,7.24559,1.00562,394400
1980-04-07,0.00000,7.24559,6.97320,7.02768,0.97537,710800
1980-04-08,0.00000,7.13663,6.97320,7.13663,0.99050,274400
1980-04-09,0.00000,7.35455,7.13663,7.30007,1.01318,293400
1980-04-10,0.00000,7.51798,7.35455,7.51798,1.04342,185100
1980-04-11,0.00000,7.73589,7.51798,7.57246,1.05098,169300
1980-04-14,0.00000,7.62694,7.46350,7.51798,1.04342,237900
1980-04-15,0.00000,7.46350,7.30007,7.40902,1.02830,99300
1980-04-16,0.00000,7.79037,7.46350,7.68142,1.06611,331700
1980-04-17,0.00000,7.95381,7.68142,7.89933,1.09635,157600
1980-04-18,0.00000,7.95381,7.84485,7.95381,1.10391,125700
1980-04-21,0.00000,8.00828,7.89933,8.00828,1.11147,99500
1980-04-22,0.00000,8.06276,7.84485,8.06276,1.11903,129100
1980-04-23,0.00000,8.11724,8.00828,8.00828,1.11147,198400
1980-04-24,0.00000,8.17172,7.95381,8.11724,1.12659,351900
1980-04-25,0.00000,8.11724,8.00828,8.11724,1.12659,59800
1980-04-28,0.00000,8.11724,8.00828,8.06276,1.11903,53200
1980-04-29,0.00000,8.11724,8.06276,8.11724,1.12659,57800
1980-04-30,0.00000,8.17172,8.06276,8.11724,1.12659,353500
1980-05-01,0.00000,8.22620,8.11724,8.11724,1.12659,281300
1980-05-02,0.00000,8.17172,8.06276,8.11724,1.12659,240600
1980-05-05,0.00000,8.22620,8.00828,8.17172,1.13415,225700
1980-05-06,0.00000,8.22620,8.11724,8.22620,1.14172,384700
1980-05-07,0.00000,8.38963,8.17172,8.28068,1.14928,295700
1980-05-08,0.00000,8.28068,8.11724,8.17172,1.13415,67900
1980-05-09,0.00000,8.11724,7.89933,7.95381,1.10391,200900
