Date,Open,High,Low,Close,Adj Close,Volume
1995-10-31,3.47500,4.20000,3.47500,4.07500,4.07500,15479400
1995-11-01,3.90000,3.95000,3.87500,3.90000,3.90000,3056400
1995-11-02,3.95000,4.22500,3.90000,4.17500,4.17500,1185200
1995-11-03,4.17500,4.22500,3.85000,4.00000,4.00000,1823400
1995-11-06,3.97500,4.00000,3.87500,3.90000,3.90000,339200
1995-11-07,3.87500,3.97500,3.75000,3.80000,3.80000,627200
1995-11-08,3.70000,3.82500,3.60000,3.82500,3.82500,1213800
1995-11-09,3.82500,4.07500,3.82500,4.05000,4.05000,831000
1995-11-10,4.07500,4.15000,4.05000,4.10000,4.10000,458400
1995-11-13,4.12500,4.20000,4.10000,4.15000,4.15000,251400
1995-11-14,4.17500,4.20000,4.12500,4.15000,4.15000,365400
1995-11-15,4.12500,4.12500,4.05000,4.10000,4.10000,593400
1995-11-16,4.10000,4.12500,4.07500,4.10000,4.10000,426200
1995-11-17,4.10000,4.15000,4.10000,4.15000,4.15000,80400
1995-11-20,4.20000,4.30000,4.20000,4.30000,4.30000,253400
1995-11-21,4.30000,4.35000,4.30000,4.30000,4.30000,706800
1995-11-22,4.27500,4.42500,4.27500,4.40000,4.40000,235400
1995-11-24,4.47500,4.52500,4.45000,4.52500,4.52500,29400
1995-11-27,4.50000,4.92500,4.50000,4.85000,4.85000,189000
1995-11-28,4.95000,5.35000,4.95000,5.32500,5.32500,700400
1995-11-29,5.30000,5.85000,5.27500,5.60000,5.60000,1008000
1995-11-30,5.45000,5.47500,5.32500,5.37500,5.37500,705200
1995-12-01,5.35000,5.47500,5.30000,5.37500,5.37500,753800
1995-12-04,5.20000,5.27500,5.12500,5.25000,5.25000,340800
1995-12-05,5.27500,5.35000,5.25000,5.32500,5.32500,55400
1995-12-06,27.50000,28.87500,27.50000,28.37500,5.67500,657800
1995-12-07,28.50000,28.62500,28.25000,28.25000,5.65000,576200
1995-12-08,28.12500,28.62500,28.12500,28.50000,5.70000,502400
1995-12-11,28.62500,28.75000,28.50000,28.62500,5.72500,334800
1995-12-12,28.62500,29.87500,28.62500,29.62500,5.92500,273800
1995-12-13,29.75000,29.87500,29.75000,29.75000,5.95000,483800
1995-12-14,29.50000,30.00000,29.50000,29.75000,5.95000,272400
1995-12-15,29.75000,29.75000,29.62500,29.75000,5.95000,114200
1995-12-18,29.75000,29.75000,28.50000,28.62500,5.72500,169800
1995-12-19,28.37500,28.37500,27.25000,27.25000,5.45000,342200
1995-12-20,27.37500,27.37500,25.87500,26.37500,5.27500,71400
1995-12-21,26.37500,26.75000,26.00000,26.00000,5.20000,407400
1995-12-22,26.12500,26.25000,26.00000,26.00000,5.20000,223800
1995-12-26,26.12500,26.12500,26.00000,26.00000,5.20000,151800
1995-12-27,26.25000,28.00000,26.25000,28.00000,5.60000,469400
1995-12-28,28.00000,28.00000,27.87500,28.00000,5.60000,174800
1995-12-29,28.12500,30.00000,28.12500,30.00000,6.00000,594800
1996-01-02,29.50000,29.50000,29.25000,29.25000,5.85000,57000
1996-01-03,29.75000,30.00000,29.50000,29.50000,5.90000,160400
1996-01-04,29.62500,29.62500,28.25000,28.25000,5.65000,117200
1996-01-05,28.37500,28.37500,28.12500,28.12500,5.62500,7400
1996-01-08,28.12500,28.12500,28.00000,28.00000,5.60000,3800
1996-01-09,27.87500,28.25000,27.50000,27.50000,5.50000,330000
1996-01-10,27.12500,27.75000,27.00000,27.75000,5.55000,93000
1996-01-11,27.75000,27.87500,27.62500,27.75000,5.55000,61800
1996-01-12,27.87500,29.00000,27.87500,28.75000,5.75000,103800
1996-01-15,29.00000,29.25000,29.00000,29.25000,5.85000,6800
1996-01-16,29.50000,29.87500,29.50000,29.87500,5.97500,73800
1996-01-17,29.87500,29.87500,29.50000,29.75000,5.95000,90800
1996-01-18,29.50000,29.50000,28.37500,28.37500,5.67500,162800
1996-01-19,28.50000,28.62500,28.00000,28.37500,5.67500,39000
1996-01-22,28.37500,28.37500,28.00000,28.12500,5.62500,42000
1996-01-23,28.25000,28.25000,28.00000,28.00000,5.60000,46800
1996-01-24,28.37500,28.50000,27.87500,27.87500,5.57500,62400
1996-01-25,28.00000,28.00000,28.00000,28.00000,5.60000,18000
1996-01-26,27.75000,27.87500,27.62500,27.62500,5.52500,36000
1996-01-29,27.62500,27.62500,27.00000,27.37500,5.47500,172800
1996-01-30,27.25000,27.50000,27.25000,27.37500,5.47500,35400
1996-01-31,27.50000,27.75000,27.50000,27.75000,5.55000,114200
1996-02-01,27.62500,28.50000,27.37500,28.50000,5.70000,120000
1996-02-02,28.62500,29.50000,28.62500,29.37500,5.87500,154800
1996-02-05,29.50000,29.75000,29.50000,29.75000,5.95000,60200
1996-02-06,29.62500,31.37500,29.62500,31.25000,6.25000,521400
1996-02-07,31.62500,32.25000,31.62500,32.00000,6.40000,448400
1996-02-08,32.00000,32.00000,30.12500,30.75000,6.15000,549800
