Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,2.50000,2.50000,2.50000,2.50000,1.05157,54400
1973-02-22,2.50000,2.50000,2.50000,2.50000,1.05157,56000
1973-02-23,2.47656,2.47656,2.47656,2.47656,1.04171,113600
1973-02-26,2.48438,2.48438,2.48438,2.48438,1.04500,280000
1973-02-27,2.46875,2.46875,2.46875,2.46875,1.03843,387200
1973-02-28,2.48438,2.48438,2.48438,2.48438,1.04500,144000
1973-03-01,2.46094,2.46094,2.46094,2.46094,1.03514,80000
1973-03-02,2.46875,2.46875,2.46875,2.46875,1.03843,422400
1973-03-05,2.45312,2.45312,2.45312,2.45312,1.03186,281600
1973-03-06,2.45312,2.45312,2.45312,2.45312,1.03186,184000
1973-03-07,2.42969,2.42969,2.42969,2.42969,1.02200,91200
1973-03-08,2.42188,2.42188,2.42188,2.42188,1.01871,38400
1973-03-09,2.41406,2.41406,2.41406,2.41406,1.01542,140800
1973-03-12,2.40625,2.40625,2.40625,2.40625,1.01214,432000
1973-03-13,2.41406,2.41406,2.41406,2.41406,1.01542,88000
1973-03-14,2.42188,2.42188,2.42188,2.42188,1.01871,48000
1973-03-15,2.42969,2.42969,2.42969,2.42969,1.02200,40000
1973-03-16,2.43750,2.43750,2.43750,2.43750,1.02528,137600
1973-03-19,2.42969,2.42969,2.42969,2.42969,1.02200,155200
1973-03-20,2.41406,2.41406,2.41406,2.41406,1.01542,441600
1973-03-21,2.41406,2.41406,2.41406,2.41406,1.01542,384000
1973-03-22,2.35156,2.35156,2.35156,2.35156,0.98914,225600
1973-03-23,2.29688,2.29688,2.29688,2.29688,0.96613,192000
1973-03-26,2.24219,2.24219,2.24219,2.24219,0.94313,384000
1973-03-27,2.30469,2.30469,2.30469,2.30469,0.96942,304000
1973-03-28,2.32812,2.32812,2.32812,2.32812,0.97928,326400
1973-03-29,2.37500,2.37500,2.37500,2.37500,0.99899,329600
1973-03-30,2.35938,2.35938,2.35938,2.35938,0.99242,102400
1973-04-02,2.32031,2.32031,2.32031,2.32031,0.97599,195200
1973-04-03,2.30469,2.30469,2.30469,2.30469,0.96942,73600
1973-04-04,2.26562,2.26562,2.26562,2.26562,0.95299,110400
1973-04-05,2.27344,2.27344,2.27344,2.27344,0.95627,112000
1973-04-06,2.28906,2.28906,2.28906,2.28906,0.96285,136000
1973-04-09,2.28906,2.28906,2.28906,2.28906,0.96285,120000
