Date,Open,High,Low,Close,Adj Close,Volume
1995-11-17,8.12500,8.71875,8.09375,8.62500,6.66317,35659200
1995-11-20,8.59375,8.81250,8.18750,8.31250,6.42175,8434000
1995-11-21,8.25000,8.28125,7.93750,8.15625,6.30104,6440000
1995-11-22,8.12500,8.53125,8.12500,8.40625,6.49418,3480800
1995-11-24,8.46875,8.71875,8.43750,8.71875,6.73560,1279200
1995-11-27,8.71875,8.90625,8.62500,8.75000,6.75974,2403200
1995-11-28,8.75000,8.78125,8.50000,8.62500,6.66317,1054800
1995-11-29,8.59375,8.96875,8.56250,8.75000,6.75974,1331200
1995-11-30,8.84375,9.18750,8.81250,9.09375,7.02530,2426000
1995-12-01,9.09375,9.12500,8.93750,9.00000,6.95288,978400
1995-12-04,9.03125,9.09375,8.84375,8.90625,6.88045,594000
1995-12-05,8.90625,8.90625,8.62500,8.78125,6.78388,1148800
1995-12-06,35.00000,36.00000,35.00000,35.25000,7.36300,1216000
1995-12-07,35.50000,35.62500,34.75000,35.00000,7.31078,641200
1995-12-08,34.87500,35.87500,34.50000,35.87500,7.49355,668800
1995-12-11,36.00000,36.37500,35.87500,36.37500,7.59799,660000
1995-12-12,36.12500,36.25000,34.87500,35.00000,7.31078,971600
1995-12-13,35.25000,35.25000,34.12500,34.75000,7.25856,528400
1995-12-14,34.87500,34.87500,33.75000,33.75000,7.04968,639200
1995-12-15,34.00000,34.25000,33.37500,33.50000,6.99746,1366400
1995-12-18,33.50000,33.62500,33.00000,33.12500,6.91913,741600
1995-12-19,33.00000,34.12500,32.87500,33.75000,7.04968,643600
1995-12-20,33.87500,34.75000,33.87500,34.50000,7.20634,360400
1995-12-21,34.37500,35.12500,34.25000,34.75000,7.25856,301600
1995-12-22,34.87500,35.00000,34.50000,35.00000,7.31078,208400
1995-12-26,34.87500,34.87500,34.00000,34.12500,7.12801,240000
1995-12-27,34.50000,35.37500,34.50000,35.37500,7.38911,351600
1995-12-28,35.50000,35.62500,35.12500,35.25000,7.36300,344400
1995-12-29,35.12500,35.37500,34.62500,34.87500,7.28467,219200
