Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.00000,3.57812,3.54167,3.55208,0.82536,314400
1972-06-02,3.55208,3.56250,3.54167,3.55208,0.82536,1396800
1972-06-05,3.55208,3.55729,3.53125,3.53646,0.82173,372000
1972-06-06,3.54167,3.56250,3.54167,3.54167,0.82294,177600
1972-06-07,3.52604,3.52604,3.47917,3.47917,0.80842,379200
1972-06-08,3.47917,3.51042,3.47917,3.48958,0.81084,552000
1972-06-09,3.48958,3.50000,3.46875,3.50000,0.81326,177600
1972-06-12,3.50000,3.51042,3.46875,3.50000,0.81326,506400
1972-06-13,3.50000,3.51042,3.47917,3.50000,0.81326,288000
1972-06-14,3.50000,3.51562,3.48958,3.48958,0.81084,789600
1972-06-15,3.48958,3.52604,3.48958,3.51042,0.81568,220800
1972-06-16,3.51042,3.52083,3.45833,3.46354,0.80479,96000
1972-06-19,3.46354,3.51562,3.44792,3.51562,0.81689,124800
1972-06-20,3.52083,3.54167,3.52083,3.52604,0.81931,206400
1972-06-21,3.53125,3.57292,3.53125,3.57292,0.83021,232800
1972-06-22,3.57292,3.57292,3.55208,3.56250,0.82778,336000
1972-06-23,3.56250,3.58333,3.53125,3.53646,0.82173,242400
1972-06-26,3.53646,3.53646,3.52083,3.52083,0.81810,237600
1972-06-27,3.53125,3.56250,3.53125,3.54688,0.82415,285600
1972-06-28,3.54167,3.54167,3.52083,3.53125,0.82052,139200
1972-06-29,3.53125,3.56250,3.48958,3.56250,0.82778,278400
1972-06-30,3.56771,3.59896,3.54688,3.54688,0.82415,153600
1972-07-03,3.54688,3.55208,3.53646,3.54167,0.82294,134400
1972-07-05,3.55208,3.64583,3.55208,3.63542,0.84473,148800
1972-07-06,3.65625,3.69792,3.65625,3.67708,0.85441,391200
1972-07-07,3.67708,3.68229,3.64583,3.64583,0.84715,175200
1972-07-10,3.64062,3.64062,3.61458,3.61458,0.83989,201600
1972-07-11,3.59375,3.59375,3.55729,3.57812,0.83142,117600
1972-07-12,3.57812,3.59896,3.57292,3.57292,0.83021,242400
1972-07-13,3.57292,3.57292,3.54688,3.57292,0.83021,120000
1972-07-14,3.57292,3.59375,3.56250,3.57812,0.83142,182400
1972-07-17,3.57812,3.58854,3.56771,3.58333,0.83262,170400
1972-07-18,3.58333,3.60417,3.56250,3.60417,0.83747,158400
1972-07-19,3.60417,3.64583,3.59896,3.61458,0.83989,307200
1972-07-20,3.61979,3.66667,3.61979,3.66667,0.85199,76800
1972-07-21,3.66667,3.68750,3.64583,3.67708,0.85441,184800
1972-07-24,3.67708,3.75521,3.66667,3.75521,0.87256,194400
1972-07-25,3.75521,3.84375,3.73958,3.73958,0.86893,391200
1972-07-26,3.73958,3.75000,3.72396,3.73438,0.86772,196800
1972-07-27,3.73438,3.75000,3.71875,3.75000,0.87135,446400
1972-07-28,3.75000,3.75000,3.69271,3.71875,0.86409,218400
1972-07-31,3.71875,3.71875,3.70312,3.71875,0.86409,144000
1972-08-01,3.72917,3.76042,3.72917,3.73958,0.86893,206400
1972-08-02,3.73958,3.74479,3.72917,3.72917,0.86651,1514400
1972-08-03,3.72917,3.74479,3.72917,3.74479,0.87014,350400
1972-08-04,3.74479,3.74479,3.72396,3.73958,0.86893,148800
1972-08-07,3.73958,3.74479,3.70833,3.71354,0.86288,216000
1972-08-08,3.72917,3.74479,3.72917,3.74479,0.87014,100800
1972-08-09,3.74479,3.77083,3.74479,3.77083,0.87619,741600
1972-08-10,3.77083,3.79167,3.76042,3.78125,0.87861,302400
1972-08-11,3.79167,3.80729,3.79167,3.79167,0.88103,91200
1972-08-14,3.79167,3.81250,3.77604,3.79688,0.88516,667200
1972-08-15,3.79688,3.80729,3.78125,3.80208,0.88638,268800
1972-08-16,3.80208,3.80208,3.77604,3.78125,0.88152,420000
1972-08-17,3.77604,3.77604,3.72917,3.72917,0.86938,379200
1972-08-18,3.72917,3.74479,3.72396,3.73438,0.87059,232800
1972-08-21,3.73438,3.74479,3.72917,3.73958,0.87181,244800
1972-08-22,3.73958,3.74479,3.72917,3.74479,0.87302,364800
1972-08-23,3.73958,3.73958,3.68750,3.69792,0.86209,314400
1972-08-24,3.69792,3.71875,3.68750,3.68750,0.85966,105600
1972-08-25,3.68750,3.70312,3.67188,3.67188,0.85602,81600
1972-08-28,3.67188,3.68229,3.66667,3.67708,0.85724,177600
1972-08-29,3.67708,3.68750,3.66667,3.68750,0.85966,343200
1972-08-30,3.68750,3.70833,3.68750,3.68750,0.85966,127200
1972-08-31,3.68750,3.73438,3.68750,3.73438,0.87059,278400
1972-09-01,3.73438,3.73958,3.70833,3.72396,0.86816,196800
1972-09-05,3.72396,3.72917,3.69792,3.72917,0.86938,117600
1972-09-06,3.72917,3.73958,3.72396,3.72917,0.86938,115200
1972-09-07,3.71875,3.71875,3.69271,3.71875,0.86695,93600
1972-09-08,3.71875,3.72917,3.69792,3.70833,0.86452,62400
1972-09-11,3.70312,3.70312,3.63542,3.63542,0.84752,136800
1972-09-12,3.63542,3.64583,3.62500,3.64583,0.84995,280800
1972-09-13,3.64583,3.68229,3.63542,3.66667,0.85481,156000
1972-09-14,3.66667,3.67188,3.64062,3.65625,0.85238,163200
1972-09-15,3.63542,3.63542,3.57292,3.57292,0.83295,427200
1972-09-18,3.57292,3.59375,3.54167,3.57292,0.83295,211200
1972-09-19,3.57292,3.58854,3.54688,3.56250,0.83052,141600
1972-09-20,3.55729,3.55729,3.51042,3.55729,0.82931,276000
1972-09-21,3.55729,3.55729,3.51042,3.55729,0.82931,240000
1972-09-22,3.55729,3.56250,3.53125,3.54167,0.82567,314400
1972-09-25,3.54167,3.55208,3.53125,3.55208,0.82809,271200
1972-09-26,3.55208,3.55729,3.52604,3.54167,0.82567,523200
1972-09-27,3.54167,3.58854,3.53646,3.58854,0.83659,297600
1972-09-28,3.58854,3.69271,3.57812,3.69271,0.86088,357600
1972-09-29,3.70312,3.73958,3.70312,3.73958,0.87181,199200
1972-10-02,3.71875,3.71875,3.66667,3.67708,0.85724,264000
1972-10-03,3.67708,3.68229,3.66667,3.67188,0.85602,93600
1972-10-04,3.67188,3.67188,3.65104,3.65625,0.85238,112800
1972-10-05,3.65625,3.66667,3.62500,3.65625,0.85238,938400
1972-10-06,3.65625,3.73958,3.64583,3.72917,0.86938,657600
1972-10-09,3.70833,3.70833,3.69792,3.70833,0.86452,151200
1972-10-10,3.70833,3.72917,3.68750,3.68750,0.85966,156000
1972-10-11,3.68750,3.69792,3.66667,3.68229,0.85845,206400
1972-10-12,3.68229,3.68750,3.62500,3.63542,0.84752,194400
1972-10-13,3.62500,3.62500,3.59375,3.60417,0.84024,235200
1972-10-16,3.60417,3.61458,3.57292,3.61458,0.84266,91200
1972-10-17,3.62500,3.68750,3.62500,3.68750,0.85966,192000
1972-10-18,3.68750,3.70312,3.64583,3.70312,0.86331,196800
1972-10-19,3.70312,3.70833,3.68229,3.69792,0.86209,134400
1972-10-20,3.69792,3.72396,3.69271,3.70833,0.86452,91200
1972-10-23,3.70833,3.72396,3.68750,3.69271,0.86088,321600
1972-10-24,3.69271,3.70833,3.68750,3.69792,0.86209,600000
1972-10-25,3.69792,3.72917,3.69792,3.71354,0.86574,86400
1972-10-26,3.73958,3.78646,3.73958,3.75000,0.87423,268800
1972-10-27,3.75000,3.76562,3.70833,3.73438,0.87059,578400
1972-10-30,3.73438,3.76042,3.71354,3.71354,0.86574,340800
1972-10-31,3.71875,3.75000,3.71875,3.75000,0.87423,290400
1972-11-01,3.75000,3.76042,3.74479,3.76042,0.87666,316800
1972-11-02,3.78125,3.83333,3.78125,3.79167,0.88395,789600
1972-11-03,3.79688,3.82812,3.79688,3.82812,0.89245,230400
1972-11-06,3.82812,3.82812,3.80208,3.82292,0.89123,211200
1972-11-08,3.83333,3.89062,3.83333,3.88542,0.90580,376800
1972-11-09,3.88542,3.92708,3.88021,3.92708,0.91552,220800
1972-11-10,3.93750,4.01562,3.93750,3.95312,0.92159,372000
1972-11-13,3.93750,3.93750,3.91667,3.93229,0.91964,148800
1972-11-14,3.93229,3.94271,3.91667,3.92188,0.91720,468000
1972-11-15,3.92188,3.93750,3.88542,3.90104,0.91233,259200
1972-11-16,3.90104,3.90104,3.85417,3.89583,0.91111,192000
1972-11-17,3.89583,3.91667,3.88542,3.91667,0.91598,180000
1972-11-20,3.91667,3.91667,3.86458,3.87500,0.90624,141600
1972-11-21,3.87500,3.89583,3.87500,3.87500,0.90624,91200
1972-11-22,3.87500,3.87500,3.83333,3.83333,0.89650,139200
1972-11-24,3.81250,3.81250,3.77604,3.77604,0.88310,98400
1972-11-27,3.77604,3.79167,3.77083,3.77083,0.88188,120000
1972-11-28,3.77083,3.79167,3.75000,3.77083,0.88188,489600
1972-11-29,3.77083,3.77083,3.69792,3.69792,0.86483,132000
1972-11-30,3.69792,3.71875,3.69792,3.70833,0.86726,124800
1972-12-01,3.70833,3.73958,3.70833,3.72917,0.87214,295200
1972-12-04,3.71875,3.71875,3.68229,3.69792,0.86483,146400
1972-12-05,3.69792,3.69792,3.66667,3.69792,0.86483,362400
1972-12-06,3.69792,3.73438,3.69792,3.72917,0.87214,489600
1972-12-07,3.75000,3.78125,3.75000,3.76562,0.88066,379200
1972-12-08,3.79167,3.85417,3.79167,3.79167,0.88675,388800
1972-12-11,3.79167,3.82292,3.79167,3.82292,0.89406,129600
1972-12-12,3.82292,3.85417,3.79688,3.85417,0.90137,410400
1972-12-13,3.85417,3.86458,3.84375,3.85417,0.90137,189600
1972-12-14,3.85417,3.87500,3.84375,3.86979,0.90502,211200
1972-12-15,3.86979,3.90625,3.85417,3.89583,0.91111,230400
1972-12-18,3.88542,3.88542,3.83333,3.84375,0.89893,220800
1972-12-19,3.84375,3.84375,3.80208,3.80208,0.88919,213600
1972-12-20,3.80208,3.83333,3.77083,3.80729,0.89041,278400
1972-12-21,3.80729,3.83333,3.77604,3.77604,0.88310,184800
1972-12-22,3.77604,3.78646,3.76042,3.78125,0.88432,192000
1972-12-26,3.78125,3.78646,3.76042,3.77083,0.88188,175200
1972-12-27,3.77083,3.82812,3.77083,3.77083,0.88188,309600
1972-12-29,3.78646,3.83333,3.78646,3.80208,0.88919,403200
1973-01-02,3.80208,3.82292,3.77083,3.77083,0.88188,105600
1973-01-03,3.77083,3.77083,3.73958,3.75000,0.87701,374400
1973-01-04,3.75000,3.76562,3.73958,3.75000,0.87701,201600
1973-01-05,3.75521,3.78646,3.75521,3.77083,0.88188,316800
1973-01-08,3.79167,3.83333,3.79167,3.83333,0.89650,746400
1973-01-09,3.83333,3.86979,3.82292,3.85417,0.90137,288000
1973-01-10,3.85417,3.86979,3.84375,3.85417,0.90137,122400
1973-01-11,3.85417,3.95833,3.84896,3.93229,0.91964,422400
1973-01-12,3.93229,3.94792,3.89062,3.92708,0.91842,396000
1973-01-15,3.92708,3.95833,3.87500,3.87500,0.90624,194400
1973-01-16,3.87500,3.90625,3.87500,3.89583,0.91111,652800
1973-01-17,3.89583,3.90104,3.84375,3.84375,0.89893,177600
1973-01-18,3.84375,3.90625,3.84375,3.90104,0.91233,360000
1973-01-19,3.90104,3.91667,3.88542,3.91667,0.91598,170400
1973-01-22,3.91667,3.96354,3.91667,3.96354,0.92695,211200
1973-01-23,3.96354,3.96354,3.92708,3.94792,0.92329,163200
1973-01-24,3.94792,3.97917,3.93750,3.93750,0.92086,136800
1973-01-26,3.93750,3.95833,3.84375,3.91667,0.91598,367200
1973-01-29,3.91667,3.93750,3.86458,3.87500,0.90624,122400
1973-01-30,3.87500,3.88542,3.84896,3.87500,0.90624,153600
1973-01-31,3.87500,3.89583,3.86458,3.86458,0.90380,333600
1973-02-01,3.86458,3.88542,3.83333,3.83333,0.89650,292800
1973-02-02,3.83333,3.86458,3.83333,3.83333,0.89650,268800
1973-02-05,3.83333,3.83333,3.80208,3.81250,0.89162,122400
1973-02-06,3.81250,3.83333,3.77083,3.80208,0.88919,175200
1973-02-07,3.80208,3.86458,3.80208,3.86458,0.90380,206400
1973-02-08,3.86458,3.89583,3.85417,3.86979,0.90502,583200
1973-02-09,3.86979,3.90625,3.85417,3.89583,0.91419,355200
1973-02-12,3.89583,3.91667,3.89583,3.90104,0.91542,364800
1973-02-13,3.91146,3.93750,3.91146,3.93229,0.92275,357600
1973-02-14,3.93229,3.93229,3.88021,3.89062,0.91297,120000
1973-02-15,3.89062,3.91667,3.88021,3.89583,0.91419,165600
1973-02-16,3.91146,3.94792,3.91146,3.91667,0.91908,266400
1973-02-20,3.92708,3.95833,3.92708,3.94792,0.92642,189600
1973-02-21,3.94792,3.96875,3.94271,3.94271,0.92519,273600
1973-02-22,3.93750,3.93750,3.91667,3.93750,0.92397,112800
1973-02-23,3.93750,3.96875,3.92708,3.92708,0.92153,223200
1973-02-26,3.92708,3.95833,3.90625,3.90625,0.91664,225600
1973-02-27,3.89583,3.89583,3.88542,3.88542,0.91175,91200
1973-02-28,3.88542,3.89583,3.83333,3.83333,0.89953,122400
1973-03-01,3.83333,3.85417,3.72917,3.72917,0.87508,316800
1973-03-02,3.72917,3.77083,3.69792,3.77083,0.88486,225600
1973-03-05,3.76562,3.76562,3.72917,3.75000,0.87997,218400
1973-03-06,3.76042,3.81771,3.76042,3.81771,0.89586,369600
1973-03-07,3.81771,3.82292,3.80729,3.81250,0.89464,216000
1973-03-08,3.81250,3.87500,3.81250,3.86458,0.90686,151200
1973-03-09,3.86458,3.90625,3.86458,3.88542,0.91175,187200
1973-03-12,3.88542,3.91667,3.88542,3.90104,0.91542,127200
1973-03-13,3.90104,3.97917,3.88542,3.95833,0.92886,156000
1973-03-14,3.87500,3.87500,3.84375,3.87500,0.90930,446400
1973-03-15,3.87500,3.88542,3.76042,3.76042,0.88242,585600
1973-03-16,3.76042,3.83333,3.72917,3.78125,0.88731,468000
1973-03-19,3.76042,3.76042,3.71875,3.72917,0.87508,513600
1973-03-20,3.72917,3.73958,3.66667,3.68750,0.86531,516000
1973-03-21,3.68750,3.70833,3.59375,3.60417,0.84575,369600
1973-03-22,3.60417,3.68750,3.59375,3.68750,0.86531,427200
1973-03-23,3.68750,3.70833,3.66146,3.69792,0.86775,432000
1973-03-26,3.69792,3.70312,3.66667,3.67708,0.86286,777600
1973-03-27,3.67708,3.69792,3.67708,3.68750,0.86531,561600
1973-03-28,3.68750,3.70312,3.67708,3.67708,0.86286,232800
1973-03-29,3.66667,3.66667,3.63542,3.65625,0.85797,309600
1973-03-30,3.65625,3.65625,3.62500,3.63021,0.85186,614400
1973-04-02,3.60417,3.60417,3.58333,3.58854,0.84208,170400
1973-04-03,3.58854,3.60417,3.56250,3.59896,0.84453,372000
1973-04-04,3.59896,3.60417,3.57812,3.60417,0.84575,127200
1973-04-05,3.60417,3.62500,3.59896,3.62500,0.85064,300000
1973-04-06,3.62500,3.65625,3.61458,3.64583,0.85553,415200
1973-04-09,3.66146,3.72917,3.66146,3.69792,0.86775,427200
1973-04-10,3.69792,3.71875,3.67708,3.69271,0.86653,261600
1973-04-11,3.69271,3.70833,3.68750,3.70833,0.87020,350400
1973-04-12,3.70833,3.71875,3.69271,3.70833,0.87020,326400
1973-04-13,3.70833,3.73958,3.66667,3.73958,0.87753,403200
1973-04-16,3.73958,3.74479,3.69792,3.69792,0.86775,290400
1973-04-17,3.68750,3.68750,3.66146,3.68750,0.86531,156000
1973-04-18,3.68750,3.68750,3.66667,3.67708,0.86286,244800
1973-04-19,3.68750,3.71875,3.68750,3.70833,0.87020,148800
1973-04-23,3.70833,3.71875,3.69271,3.71875,0.87264,146400
1973-04-24,3.71875,3.72396,3.63542,3.63542,0.85308,98400
1973-04-25,3.63542,3.64583,3.56250,3.59375,0.84331,271200
1973-04-26,3.59375,3.60417,3.55208,3.59375,0.84331,355200
1973-04-27,3.59375,3.59375,3.52083,3.52604,0.82742,204000
1973-04-30,3.51562,3.51562,3.39583,3.41667,0.80175,470400
1973-05-01,3.40625,3.40625,3.31250,3.36458,0.78953,472800
1973-05-02,3.36458,3.39583,3.35417,3.39583,0.79686,828000
1973-05-03,3.39062,3.39062,3.34896,3.38021,0.79320,595200
1973-05-04,3.39062,3.52083,3.39062,3.52083,0.82620,511200
1973-05-07,3.52083,3.54167,3.50000,3.54167,0.83108,453600
1973-05-08,3.53125,3.53125,3.50000,3.52083,0.82620,247200
1973-05-09,3.52083,3.56771,3.52083,3.55208,0.83353,319200
1973-05-10,3.56771,3.57812,3.56771,3.56771,0.83720,148800
1973-05-11,3.56771,3.57812,3.56250,3.56771,0.83720,254400
1973-05-14,3.55208,3.55208,3.53125,3.53125,0.83168,280800
1973-05-15,3.53125,3.54167,3.48958,3.52083,0.82923,439200
1973-05-16,3.52083,3.52083,3.42188,3.43229,0.80837,213600
1973-05-17,3.43229,3.43229,3.39062,3.40104,0.80101,288000
1973-05-18,3.39062,3.39062,3.34896,3.36979,0.79365,256800
1973-05-21,3.36979,3.39062,3.26042,3.31250,0.78016,386400
1973-05-22,3.31250,3.35938,3.28125,3.35938,0.79120,307200
1973-05-23,3.35938,3.39062,3.34896,3.39062,0.79856,168000
1973-05-24,3.39062,3.48958,3.38021,3.48958,0.82187,381600
1973-05-25,3.48958,3.63021,3.48958,3.63021,0.85499,343200
1973-05-29,3.63021,3.69792,3.63021,3.66146,0.86235,244800
1973-05-30,3.64062,3.64062,3.60938,3.64062,0.85744,336000
1973-05-31,3.64062,3.64062,3.59896,3.59896,0.84763,206400
1973-06-01,3.57812,3.57812,3.52083,3.54167,0.83413,196800
1973-06-04,3.53125,3.53125,3.46875,3.48958,0.82187,187200
1973-06-05,3.48958,3.56250,3.45833,3.53125,0.83168,494400
1973-06-06,3.53125,3.55208,3.50000,3.52083,0.82923,136800
1973-06-07,3.52083,3.53125,3.51042,3.52083,0.82923,223200
1973-06-08,3.54167,3.56771,3.54167,3.54167,0.83413,158400
1973-06-11,3.54167,3.54167,3.53125,3.54167,0.83413,295200
1973-06-12,3.54167,3.55208,3.51042,3.54167,0.83413,1312800
1973-06-13,3.54167,3.55208,3.52083,3.52083,0.82923,276000
1973-06-14,3.52083,3.53125,3.45833,3.48958,0.82187,213600
1973-06-15,3.48958,3.48958,3.45833,3.45833,0.81451,163200
1973-06-18,3.45833,3.46875,3.41146,3.41146,0.80347,326400
1973-06-19,3.41146,3.43750,3.38021,3.39062,0.79856,266400
1973-06-20,3.39062,3.46875,3.39062,3.46875,0.81696,1022400
1973-06-21,3.46875,3.53125,3.46875,3.48958,0.82187,201600
1973-06-22,3.52083,3.55208,3.52083,3.52083,0.82923,216000
1973-06-25,3.50000,3.50000,3.44792,3.44792,0.81205,74400
1973-06-26,3.44792,3.46875,3.38021,3.46875,0.81696,415200
1973-06-27,3.47917,3.50000,3.47917,3.47917,0.81941,345600
1973-06-28,3.47917,3.60938,3.46875,3.59896,0.84763,237600
1973-06-29,3.59896,3.63021,3.59896,3.60938,0.85008,261600
1973-07-02,3.58854,3.58854,3.50000,3.50000,0.82432,403200
1973-07-03,3.48958,3.48958,3.42188,3.45833,0.81451,357600
1973-07-05,3.45833,3.45833,3.43229,3.44792,0.81205,84000
1973-07-06,3.43750,3.43750,3.41146,3.41146,0.80347,321600
