Date,Open,High,Low,Close,Adj Close,Volume
2000-07-18,14.50000,14.50000,10.37500,12.25000,12.25000,82800
2000-07-19,12.37500,12.37500,11.62500,11.81250,11.81250,13800
2000-07-20,12.25000,12.25000,11.75000,12.00000,12.00000,12400
2000-07-21,12.12500,12.12500,10.87500,11.12500,11.12500,5600
2000-07-24,11.37500,11.37500,10.87500,11.00000,11.00000,19100
2000-07-25,11.00000,11.00000,10.87500,10.93750,10.93750,12300
2000-07-26,11.06250,11.10938,10.37500,10.43750,10.43750,18500
2000-07-27,10.50000,10.50000,8.93750,9.50000,9.50000,26300
2000-07-28,9.75000,9.75000,7.81250,8.34375,8.34375,63900
2000-07-31,8.25000,8.62500,8.25000,8.50000,8.50000,35300
2000-08-01,8.50000,8.75000,8.50000,8.50000,8.50000,12700
2000-08-02,8.37500,8.87500,7.87500,7.87500,7.87500,23300
2000-08-03,8.25000,8.25000,7.50000,7.75000,7.75000,9600
2000-08-04,7.87500,7.87500,7.50000,7.62500,7.62500,8400
2000-08-07,7.50000,8.18750,7.50000,8.00000,8.00000,39400
2000-08-08,8.31250,8.54688,7.93750,8.12500,8.12500,22800
2000-08-09,8.25000,8.56250,8.06250,8.06250,8.06250,32500
2000-08-10,8.00000,8.12500,7.81250,7.81250,7.81250,58700
2000-08-11,7.75000,7.93750,7.75000,7.81250,7.81250,37900
2000-08-14,7.90625,8.12500,7.75000,7.75000,7.75000,56900
2000-08-15,7.62500,7.75000,7.62500,7.62500,7.62500,13300
2000-08-16,7.62500,7.75000,7.50000,7.75000,7.75000,33100
2000-08-17,7.75000,7.75000,7.68750,7.68750,7.68750,13200
2000-08-18,7.68750,7.75000,6.87500,7.00000,7.00000,769600
2000-08-21,7.25000,7.25000,6.93750,7.18750,7.18750,83200
2000-08-22,7.15625,7.15625,7.00000,7.06250,7.06250,29100
2000-08-23,7.06250,7.25000,6.93750,7.18750,7.18750,51900
2000-08-24,7.25000,7.31250,7.12500,7.12500,7.12500,31600
2000-08-25,7.00000,7.12500,7.00000,7.06250,7.06250,8700
2000-08-28,7.18750,7.18750,7.00000,7.00000,7.00000,9800
2000-08-29,7.00000,7.12500,6.37500,6.37500,6.37500,54100
2000-08-30,6.40625,6.50000,6.37500,6.50000,6.50000,77000
2000-08-31,6.56250,6.56250,5.00000,5.12500,5.12500,134500
2000-09-01,5.62500,6.56250,5.56250,6.50000,6.50000,141700
2000-09-05,6.43750,6.43750,5.75000,6.25000,6.25000,103300
2000-09-06,6.12500,6.12500,5.75000,5.75000,5.75000,10700
2000-09-07,6.00000,6.25000,5.87500,6.18750,6.18750,102300
2000-09-08,6.37500,7.00000,6.25000,7.00000,7.00000,68300
2000-09-11,6.93750,8.25000,6.84375,7.75000,7.75000,245400
2000-09-12,8.25000,8.75000,7.87500,8.75000,8.75000,383600
2000-09-13,8.71875,8.75000,8.37500,8.37500,8.37500,12800
2000-09-14,8.37500,8.50000,8.12500,8.12500,8.12500,15900
2000-09-15,8.21875,8.21875,7.87500,8.06250,8.06250,35300
2000-09-18,8.34375,8.37500,7.93750,8.00000,8.00000,19500
2000-09-19,7.93750,8.00000,6.81250,6.81250,6.81250,125400
2000-09-20,6.81250,7.87500,6.81250,7.87500,7.87500,48300
2000-09-21,7.81250,8.06250,7.62500,8.00000,8.00000,14000
2000-09-22,7.75000,8.00000,7.75000,8.00000,8.00000,23500
2000-09-25,7.87500,8.62500,7.75000,8.37500,8.37500,141600
2000-09-26,8.37500,8.43750,8.25000,8.25000,8.25000,12100
2000-09-27,8.12500,8.31250,7.75000,8.12500,8.12500,37000
2000-09-28,7.81250,8.75000,7.81250,8.37500,8.37500,61000
2000-09-29,8.12500,10.12500,8.12500,9.81250,9.81250,201800
2000-10-02,10.12500,10.12500,8.25000,8.25000,8.25000,56600
2000-10-03,8.25000,8.87500,8.25000,8.81250,8.81250,26600
2000-10-04,8.56250,9.00000,8.37500,8.59375,8.59375,47900
2000-10-05,8.56250,8.87500,8.25000,8.43750,8.43750,108600
2000-10-06,8.37500,8.56250,8.00000,8.00000,8.00000,55800
2000-10-09,8.00000,8.00000,7.43750,7.50000,7.50000,90100
2000-10-10,7.79688,7.79688,7.50000,7.50000,7.50000,55800
2000-10-11,7.50000,7.75000,7.25000,7.62500,7.62500,38300
2000-10-12,7.68750,7.68750,7.12500,7.12500,7.12500,13000
2000-10-13,7.12500,7.25000,6.87500,7.25000,7.25000,24400
2000-10-16,6.87500,7.25000,6.87500,7.25000,7.25000,6700
2000-10-17,6.87500,7.00000,6.62500,7.00000,7.00000,33500
2000-10-18,7.12500,7.12500,6.75000,6.75000,6.75000,30700
2000-10-19,7.12500,7.12500,7.00000,7.00000,7.00000,21000
2000-10-20,7.12500,7.12500,6.81250,7.00000,7.00000,21500
2000-10-23,6.81250,7.09375,6.81250,7.00000,7.00000,5300
2000-10-24,6.81250,7.12500,6.81250,6.87500,6.87500,12800
2000-10-25,6.81250,7.25000,6.81250,7.00000,7.00000,8800
2000-10-26,7.00000,7.00000,7.00000,7.00000,7.00000,14700
